"time","TRes","heatCapacitor_T","switch_Controll"
0,293.15,20.199314,0
0.02,293.34964,20.398066,0
0.04,293.5488,20.596447,0
0.06,293.74728,20.794413,0
0.08,293.94528,20.991768,0
0.1,294.14273,21.188637,0
0.12,294.33966,21.385017,0
0.14,294.53604,21.580853,0
0.16,294.7319,21.77615,0
0.18,294.92725,21.970926,0
0.2,295.12204,22.16517,0
0.22,295.3163,22.358873,0
0.24,295.51007,22.552048,0
0.26,295.70328,22.744692,0
0.28,295.89597,22.936806,0
0.3,296.08813,23.128391,0
0.32,296.27975,23.319466,0
0.34,296.47086,23.510046,0
0.36,296.66144,23.700106,0
0.38,296.8515,23.889643,0
0.4,297.04102,24.07866,0
0.42,297.22998,24.267153,0
0.44,297.41846,24.455124,0
0.46,297.60638,24.642572,0
0.48,297.7938,24.8295,0
0.5,297.9811,25.015907,0
0.52,298.16794,25.201792,0
0.54,298.35422,25.387154,0
0.56,298.54004,25.571993,0
0.58,298.72534,25.756414,0
0.6,298.91013,25.940332,0
0.62,299.09442,25.991913,1
0.64,299.14163,25.979984,1
0.66,299.12967,25.968073,1
0.68,299.11774,25.956177,1
0.7,299.10583,25.944296,1
0.72,299.09396,25.93243,1
0.74,299.0821,25.920582,1
0.76,299.07025,25.908773,1
0.78,299.0584,25.896988,1
0.8,299.04663,25.885221,1
0.82,299.03485,25.873478,1
0.84,299.0231,25.861753,1
0.86,299.01138,25.85005,1
0.88,298.9997,25.83837,1
0.9,298.988,25.826708,1
0.92,298.97635,25.815067,1
0.94,298.96472,25.803457,1
0.96,298.95312,25.79187,1
0.98,298.94153,25.780308,1
1,298.92996,25.768764,1
1.021,298.91785,25.757246,1
1.041,298.90634,25.745749,1
1.061,298.89484,25.734274,1
1.081,298.88336,25.72282,1
1.101,298.87192,25.71139,1
1.121,298.8605,25.699982,1
1.141,298.8491,25.688595,1
1.161,298.8377,25.67723,1
1.181,298.82632,25.66589,1
1.201,298.815,25.65457,1
1.221,298.80368,25.643272,1
1.241,298.7924,25.631998,1
1.261,298.7811,25.62074,1
1.281,298.76987,25.609507,1
1.301,298.75864,25.598295,1
1.321,298.74744,25.587105,1
1.341,298.73624,25.575935,1
1.361,298.72507,25.564789,1
1.381,298.71393,25.553665,1
1.401,298.70282,25.542562,1
1.421,298.69174,25.531483,1
1.441,298.68066,25.520424,1
1.461,298.6696,25.509388,1
1.481,298.6585,25.498373,1
1.501,298.64743,25.487381,1
1.521,298.6364,25.47641,1
1.541,298.6254,25.465462,1
1.561,298.61438,25.454535,1
1.581,298.60342,25.44363,1
1.601,298.59247,25.432749,1
1.621,298.5815,25.421888,1
1.641,298.57062,25.411049,1
1.661,298.55972,25.400232,1
1.681,298.54886,25.389439,1
1.701,298.538,25.378666,1
1.721,298.52716,25.367916,1
1.741,298.51636,25.357187,1
1.761,298.50558,25.34648,1
1.781,298.4948,25.335796,1
1.801,298.48407,25.325132,1
1.821,298.47336,25.314493,1
1.841,298.46265,25.303862,1
1.861,298.45197,25.29322,1
1.881,298.4413,25.282598,1
