    "time",       "x",  "der(x)",       "k"
         0,         1,        -1,         1
       0.1,       0.9,      -0.9,         1
       0.2,      0.81,     -0.81,         1
       0.3,     0.729,    -0.729,         1
       0.4,    0.6561,   -0.6561,         1
       0.5,   0.59049,  -0.59049,         1
       0.6,  0.531441, -0.531441,         1
       0.7, 0.4782969,-0.4782969,         1
       0.8,0.43046721,-0.43046721,         1
       0.9,0.38742049,-0.38742049,         1
         1,0.34867844,-0.34867844,         1
