    "time",    "Out1", "Out2[1]", "Out2[2]",    "Out3",    "Out4",    "Out5"
      0.24,0.028663168,0.0022979689,0.028663168,0.26880879,0.026496921,0.024330673
      0.25,0.031088722,0.0025966475,0.031088722,0.28126039,0.028646818,0.026204914
      0.26,0.033611165,0.0029200663,0.033611165,0.29381226,0.030871731,0.028132297
      0.27,0.036230247,0.0032691929,0.036230247,0.30646444,0.033170662,0.030111077
      0.28,0.038945705,0.0036449925,0.038945705,0.31921698,0.035542614,0.032139523
      0.29,0.041757268,0.0040484273,0.041757268,0.33206991,0.03798659,0.034215913
       0.3,0.044664654,0.0044804572,0.044664654,0.34502327,0.040501595,0.036338535
      0.31,0.047667573,0.0049420388,0.047667573,0.35807712,0.043086631,0.038505688
      0.32,0.050765725,0.0054341261,0.050765725, 0.3712315,0.045740703,0.040715681
      0.33, 0.0539588,0.0059576698, 0.0539588,0.38448647,0.048462816,0.042966833
      0.34,0.057246478,0.0065136174,0.057246478, 0.3978421,0.051251976,0.045257474
      0.35,0.06062843,0.0071029136,0.06062843,0.41129843,0.054107187,0.047585944
      0.36,0.06410432,0.0077264992,0.06410432,0.42485554,0.057027457,0.049950594
      0.37,0.067673798,0.0083853119,0.067673798, 0.4385135,0.060011792,0.052349786
      0.38,0.071336508,0.0090802859,0.071336508,0.45227239,0.063059199,0.05478189
      0.39,0.075092083,0.0098123516,0.075092083,0.46613227,0.066168687,0.05724529
       0.4,0.078940149,0.010582436,0.078940149,0.48009324,0.069339263,0.059738377
      0.41,0.082880321,0.011391462,0.082880321,0.49415539,0.072569938,0.062259556
      0.42,0.086912203,0.012240348,0.086912203, 0.5083188,0.075859721,0.064807239
      0.43,0.091035394,0.01313001,0.091035394,0.52258357,0.079207623,0.067379853
      0.44,0.09524948,0.014061359,0.09524948,0.53694982,0.082612655,0.069975831
      0.45,0.099554041,0.015035301,0.099554041,0.55141764,0.08607383,0.072593619
      0.46,0.10394865,0.01605274,0.10394865,0.56598715,0.089590161,0.075231675
      0.47,0.10843286,0.017114573,0.10843286,0.58065847,0.093160661,0.077888466
      0.48,0.11300622,0.018221694,0.11300622,0.59543173,0.096784345,0.080562469
      0.49,0.11766828,0.019374993,0.11766828,0.61030705,0.10046023,0.083252174
       0.5,0.12241858,0.020575354,0.12241858,0.62528458,0.10418733,0.085956079
      0.51,0.12725664,0.021823657,0.12725664,0.64036444,0.10796467,0.088672697
      0.52,0.13218196,0.023120778,0.13218196,0.65554681,0.11179126,0.091400547
      0.53,0.13719407,0.024467586,0.13719407,0.67083182,0.11566612,0.094138162
      0.54,0.14229246,0.025864947,0.14229246,0.68621964,0.11958827,0.096884085
      0.55,0.14747662,0.027313721,0.14747662,0.70171044,0.12355675,0.09963687
      0.56,0.15274603,0.028814763,0.15274603, 0.7173044,0.12757056,0.10239508
      0.57,0.15810017,0.030368924,0.15810017,0.73300169,0.13162873, 0.1051573
      0.58,0.16353849,0.031977047,0.16353849,0.74880251, 0.1357303,0.10792211
      0.59,0.16906046,0.033639973,0.16906046,0.76470706,0.13987428, 0.1106881
       0.6,0.17466553,0.035358533,0.17466553,0.78071554,0.14405971,0.11345389
      0.61,0.18035313,0.037133558,0.18035313,0.79682816,0.14828561, 0.1162181
      0.62,0.18612269,0.038965869,0.18612269,0.81304514,0.15255103,0.11897936
      0.63,0.19197364,0.040856283,0.19197364,0.82936671,0.15685498,0.12173632
      0.64,0.19790539,0.042805611,0.19790539, 0.8457931, 0.1611965,0.12448761
      0.65,0.20391734,0.044814658,0.20391734,0.86232457,0.16557463,0.12723192
      0.66,0.21000891,0.046884223,0.21000891,0.87896135,0.16998841,0.12996792
      0.67,0.21617948, 0.0490151,0.21617948,0.89570373,0.17443688,0.13269429
      0.68,0.22242842,0.051208074,0.22242842,0.91255195,0.17891908,0.13540973
      0.69,0.22875513,0.053463928,0.22875513,0.92950631,0.18343404,0.13811296
       0.7,0.23515896,0.055783434,0.23515896, 0.9465671,0.18798082,0.14080269
      0.71,0.24163927,0.058167362,0.24163927, 0.9637346,0.19255846,0.14347766
      0.72,0.24819541,0.060616472,0.24819541,0.98100913,0.19716601,0.14613661
      0.73,0.25482674,0.06313152,0.25482674,0.99839101,0.20180252, 0.1487783
      0.74,0.26153258,0.065713255,0.26153258, 1.0158806,0.20646704,0.15140149
      0.75,0.26831227,0.068362418,0.26831227, 1.0334781,0.21115862,0.15400497
      0.76,0.27516513,0.071079745,0.27516513,  1.051184,0.21587633,0.15658752
      0.77,0.28209047,0.073865963,0.28209047, 1.0689986,0.22061921,0.15914795
      0.78,0.28908761,0.076721793,0.28908761, 1.0869223,0.22538633,0.16168506
