"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0.518,5.76552,3.65417,1.17,0
0.521,5.72481,3.64803,1.2,0
0.524,5.68191,3.64182,1.23,0
0.527,5.63698,3.63554,1.26,0
0.53,5.59022,3.62919,1.29,0
0.533,5.54184,3.62277,1.32,0
0.536,5.49205,3.61628,1.35,0
0.539,5.44108,3.60972,1.38,0
0.542,5.38919,3.60309,1.41,0
0.545,5.33663,3.59639,1.44,0
0.548,5.28365,3.58961,1.47,0
0.551,5.23052,3.58277,1.5,0
0.554,5.1775,3.57585,1.53,0
0.557,5.12487,3.56886,1.56,0
0.56,5.07289,3.5618,1.59,0
0.563,5.02181,3.55466,1.62,0
0.566,4.97188,3.54745,1.65,0
0.569,4.92335,3.54017,1.68,0
0.572,4.87644,3.53281,1.71,0
0.575,4.83138,3.52538,1.74,0
0.578,4.78835,3.51787,1.77,0
0.581,4.74755,3.51029,1.8,0
0.584,4.70914,3.50264,1.83,0
0.587,4.67326,3.49491,1.86,0
0.59,4.64002,3.4871,1.89,0
0.593,4.60954,3.47921,1.92,0
0.596,4.58188,3.47125,1.95,0
0.599,4.5571,3.46322,1.98,0
0.602,4.53521,3.4551,2.01,0
0.605,4.51623,3.44691,2.04,0
0.608,4.50012,3.43864,2.07,0
0.611,4.48683,3.43029,2.1,0
0.614,4.4763,3.42187,2.13,0
0.617,4.46842,3.41336,2.16,0
0.62,4.46307,3.40478,2.19,0
0.623,4.46012,3.39611,2.22,0
0.626,4.45939,3.38737,2.25,0
0.629,4.46071,3.37855,2.28,0
0.632,4.46388,3.36964,2.31,0
0.635,4.46867,3.36066,2.34,0
0.638,4.47487,3.35159,2.37,0
0.641,4.48224,3.34245,2.4,0
0.644,4.49051,3.33322,2.43,0
0.647,4.49944,3.32391,2.46,0
0.65,4.50876,3.31452,2.49,0
0.653,4.51821,3.30505,2.52,0
0.656,4.52752,3.29549,2.55,0
0.659,4.53643,3.28585,2.58,0
0.662,4.54468,3.27613,2.61,0
0.665,4.55201,3.26632,2.64,0
0.668,4.55818,3.25643,2.67,0
0.671,4.56295,3.24646,2.7,0
0.674,4.56612,3.2364,2.73,0
0.677,4.56747,3.22626,2.76,0
0.68,4.56681,3.21603,2.79,0
0.683,4.56398,3.20572,2.82,0
0.686,4.55883,3.19532,2.85,0
0.689,4.55122,3.18483,2.88,0
0.692,4.54106,3.17426,2.91,0
0.695,4.52826,3.16361,2.94,0
0.698,4.51276,3.15286,2.97,0
0.701,4.49453,3.14203,3,0
0.704,4.47357,3.13112,3.03,0
0.707,4.44988,3.12011,3.06,0
0.71,4.42351,3.10902,3.09,0
0.713,4.39453,3.10471,3.11313,0
0.716,4.36303,3.11408,3.1225,0
0.719,4.32912,3.1234,3.13182,0
0.722,4.29294,3.13267,3.1411,0
0.725,4.25464,3.14191,3.15033,0
0.728,4.21441,3.1511,3.15952,0
0.731,4.17242,3.16024,3.16866,0
0.734,4.1289,3.16934,3.17776,0
0.737,4.08407,3.17839,3.18681,0
0.74,4.03817,3.1874,3.19582,0
0.743,3.99145,3.19636,3.20478,0
0.746,3.94415,3.20528,3.2137,0
0.749,3.89655,3.21415,3.22257,0
0.752,3.84891,3.22298,3.2314,0
0.755,3.80149,3.23176,3.24018,0
0.758,3.75456,3.24049,3.24892,0
0.761,3.70839,3.24918,3.2576,0
0.764,3.66322,3.25782,3.26625,0
0.767,3.6193,3.26642,3.27484,0
0.77,3.57688,3.27497,3.28339,0
0.773,3.53618,3.28347,3.2919,0
0.776,3.4974,3.29193,3.30035,0
0.779,3.46075,3.30034,3.30876,0
0.782,3.4264,3.3087,3.31713,0
0.785,3.3945,3.31702,3.32544,0
0.788,3.36519,3.32529,3.33371,0
0.791,3.33859,3.33351,3.34193,0
0.794,3.32878,3.33468,3.34311,0
0.797,3.32722,3.33312,3.34154,0
0.8,3.32659,3.33249,3.34092,0
0.803,3.32691,3.33281,3.34123,0
0.806,3.32816,3.33406,3.34248,0
0.809,3.33034,3.33624,3.34466,0
0.812,3.33343,3.33933,3.34775,0
0.815,3.3374,3.3433,3.35172,0
0.818,3.34221,3.34812,3.35654,0
0.821,3.34783,3.35373,3.36216,0
0.824,3.35421,3.36011,3.36853,0
0.827,3.36127,3.36718,3.3756,0
0.83,3.36898,3.37488,3.3833,0
0.833,3.37785,3.38284,3.39126,0
0.836,3.38913,3.39034,3.39876,0
0.839,3.40176,3.39779,3.40621,0
0.842,3.41548,3.40519,3.41362,0
0.845,3.43004,3.41255,3.42097,0
0.848,3.44519,3.41985,3.42827,0
0.851,3.46066,3.4271,3.43552,0
0.854,3.47618,3.43431,3.44273,0
