"Time","TRes - Resulting Temperature","heatCapacitor_T - Absolute temperature in degree Celsius as output signal","switch_Controll - Connector of Boolean output signal"
0,293.15,20,0
0,293.15,20,0
0.02,293.349,20.1993,0
0.04,293.548,20.3981,0
0.06,293.746,20.5964,0
0.08,293.944,20.7944,0
0.1,294.142,20.9918,0
0.12,294.339,21.1886,0
0.14,294.535,21.385,0
0.16,294.731,21.5809,0
0.18,294.926,21.7762,0
0.2,295.121,21.9709,0
0.22,295.315,22.1652,0
0.24,295.509,22.3589,0
0.26,295.702,22.552,0
0.28,295.895,22.7447,0
0.3,296.087,22.9368,0
0.32,296.278,23.1284,0
0.34,296.469,23.3195,0
0.36,296.66,23.51,0
0.38,296.85,23.7001,0
0.4,297.04,23.8896,0
0.42,297.229,24.0787,0
0.44,297.417,24.2672,0
0.46,297.605,24.4551,0
0.48,297.793,24.6426,0
0.5,297.98,24.8295,0
0.52,298.166,25.0159,0
0.54,298.352,25.2018,0
0.56,298.537,25.3872,0
0.58,298.722,25.572,0
0.6,298.906,25.7564,0
0.62,299.09,25.9403,0
0.64,299.142,25.9919,1
0.66,299.13,25.98,1
0.68,299.118,25.9681,1
0.7,299.106,25.9562,1
0.72,299.094,25.9443,1
0.74,299.082,25.9324,1
0.76,299.071,25.9206,1
0.78,299.059,25.9088,1
0.8,299.047,25.897,1
0.82,299.035,25.8852,1
0.84,299.023,25.8735,1
0.86,299.012,25.8618,1
0.88,299,25.8501,1
0.9,298.988,25.8384,1
0.92,298.977,25.8267,1
0.94,298.965,25.8151,1
0.96,298.953,25.8035,1
0.98,298.942,25.7919,1
1,298.93,25.7803,1
1.02,298.919,25.7688,1
1.04,298.907,25.7572,1
1.06,298.896,25.7457,1
1.08,298.884,25.7343,1
1.1,298.873,25.7228,1
1.12,298.861,25.7114,1
1.14,298.85,25.7,1
1.16,298.839,25.6886,1
1.18,298.827,25.6772,1
1.2,298.816,25.6659,1
1.22,298.805,25.6546,1
1.24,298.793,25.6433,1
1.26,298.782,25.632,1
1.28,298.771,25.6207,1
1.3,298.76,25.6095,1
1.32,298.748,25.5983,1
1.34,298.737,25.5871,1
1.36,298.726,25.5759,1
1.38,298.715,25.5648,1
1.4,298.704,25.5537,1
1.42,298.693,25.5426,1
1.44,298.681,25.5315,1
1.46,298.67,25.5204,1
1.48,298.659,25.5094,1
1.5,298.648,25.4984,1
1.52,298.637,25.4874,1
1.54,298.626,25.4764,1
1.56,298.615,25.4655,1
1.58,298.605,25.4545,1
1.6,298.594,25.4436,1
1.62,298.583,25.4327,1
1.64,298.572,25.4219,1
1.66,298.561,25.411,1
1.68,298.55,25.4002,1
1.7,298.539,25.3894,1
1.72,298.529,25.3787,1
1.74,298.518,25.3679,1
1.76,298.507,25.3572,1
1.78,298.496,25.3465,1
1.8,298.486,25.3358,1
1.82,298.475,25.3251,1
1.84,298.464,25.3145,1
1.86,298.454,25.3039,1
1.88,298.443,25.2932,1
1.9,298.433,25.2826,1
1.92,298.422,25.272,1
1.94,298.411,25.2614,1
1.96,298.401,25.2509,1
1.98,298.39,25.2403,1
2,298.38,25.2298,1
2.02,298.369,25.2194,1
2.04,298.359,25.209,1
2.06,298.349,25.1987,1
2.08,298.338,25.1883,1
2.1,298.328,25.178,1
2.12,298.318,25.1677,1
2.14,298.307,25.1575,1
2.16,298.297,25.1472,1
2.18,298.287,25.137,1
2.2,298.277,25.1267,1
2.22,298.266,25.1165,1
2.24,298.256,25.1063,1
2.26,298.246,25.0961,1
2.28,298.405,25.2548,0
2.3,298.589,25.4395,0
2.32,298.774,25.6237,0
2.34,298.958,25.8077,0
2.36,299.141,25.9912,0
2.38,299.324,26.1742,0
2.4,299.507,26.3568,0
2.42,299.689,26.5389,0
2.44,299.871,26.7205,0
2.46,300.052,26.9016,0
2.48,300.232,27.0823,0
2.5,300.412,27.2624,0
2.52,300.592,27.4421,0
2.54,300.771,27.6213,0
2.56,300.95,27.8,0
2.58,301.128,27.9782,0
2.6,301.306,28.156,0
2.62,301.483,28.3332,0
2.64,301.66,28.51,0
2.66,301.836,28.6863,0
2.68,301.952,28.8019,1
2.7,301.934,28.7843,1
2.72,301.917,28.7668,1
2.74,301.899,28.7493,1
2.76,301.882,28.7319,1
2.78,301.864,28.7144,1
2.8,301.847,28.697,1
2.82,301.83,28.6797,1
2.84,301.812,28.6624,1
2.86,301.795,28.6451,1
2.88,301.778,28.6278,1
2.9,301.761,28.6106,1
2.92,301.743,28.5934,1
2.94,301.726,28.5762,1
2.96,301.709,28.5591,1
2.98,301.692,28.542,1
3,301.675,28.5249,1
3.02,301.658,28.5079,1
3.04,301.641,28.4909,1
3.06,301.624,28.474,1
3.08,301.69,28.5399,0
3.1,301.866,28.7157,0
3.12,302.041,28.891,0
3.14,302.216,29.0661,0
3.16,302.391,29.2408,0
3.18,302.565,29.4149,0
3.2,302.739,29.5886,0
3.22,302.912,29.7619,0
3.24,303.085,29.9348,0
3.26,303.257,30.1071,0
3.28,303.429,30.279,0
3.3,303.6,30.4505,0
3.32,303.771,30.6215,0
3.34,303.942,30.792,0
3.36,304.112,30.9621,0
3.38,304.282,31.1317,0
3.4,304.451,31.3008,0
3.42,304.619,31.4695,0
3.44,304.788,31.6378,0
3.46,304.956,31.8056,0
3.48,305.123,31.9729,0
3.5,305.29,32.1399,0
3.52,305.456,32.3063,0
3.54,305.494,32.3439,1
3.56,305.469,32.3193,1
3.58,305.445,32.2948,1
3.6,305.42,32.2704,1
3.62,305.396,32.246,1
3.64,305.372,32.2216,1
3.66,305.347,32.1972,1
3.68,305.323,32.1729,1
3.7,305.299,32.1486,1
3.72,305.274,32.1244,1
3.74,305.25,32.1002,1
3.76,305.226,32.076,1
3.78,305.202,32.0519,1
3.8,305.178,32.0279,1
3.82,305.154,32.0039,1
3.84,305.13,31.9799,1
3.86,305.106,31.956,1
3.88,305.082,31.9321,1
3.9,305.073,31.9232,0
3.92,305.24,32.09,0
3.94,305.406,32.2565,0
3.96,305.573,32.4225,0
3.98,305.738,32.5881,0
4,305.903,32.7533,0
4.02,306.068,32.918,0
4.04,306.232,33.0823,0
4.06,306.396,33.2461,0
4.08,306.56,33.4095,0
4.1,306.722,33.5725,0
4.12,306.885,33.735,0
4.14,307.047,33.8971,0
4.16,307.209,34.0587,0
4.18,307.37,34.22,0
4.2,307.531,34.3808,0
4.22,307.691,34.5412,0
4.24,307.851,34.7011,0
4.26,308.011,34.8607,0
4.28,308.17,35.0198,0
4.3,308.328,35.1785,0
4.32,308.487,35.3367,0
4.34,308.645,35.4945,0
4.36,308.802,35.6519,0
4.38,308.959,35.8088,0
4.4,309.115,35.9654,0
4.42,309.173,36.0228,1
4.44,309.141,35.9909,1
4.46,309.109,35.9591,1
4.48,309.077,35.9273,1
4.5,309.046,35.8956,1
4.52,309.014,35.8639,1
4.54,308.982,35.8323,1
4.56,308.951,35.8007,1
4.58,308.919,35.7692,1
4.6,308.888,35.7377,1
4.62,308.856,35.7063,1
