"time","outBool3","outBool13","outByte3","outByte13","outWord3","outWord13","outDWord3","outDWord13","outSInt3","outInt3"
0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0,0,0
0.006,0,0,0,0,0,0,0,0,0,0
0.007,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0
0.009,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0,0,0
0.011,0,0,0,0,0,0,0,0,0,0
0.012,0,0,0,0,0,0,0,0,0,0
0.013,0,0,0,0,0,0,0,0,0,0
0.014,0,0,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,0,0,0,0,0
0.017,0,0,0,0,0,0,0,0,0,0
0.018,0,0,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0,0,0
0.021,0,0,0,0,0,0,0,0,0,0
0.022,0,0,0,0,0,0,0,0,0,0
0.023,0,0,0,0,0,0,0,0,0,0
0.024,0,0,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0,0,0,0
0.026,0,0,0,0,0,0,0,0,0,0
0.027,0,0,0,0,0,0,0,0,0,0
0.028,0,0,0,0,0,0,0,0,0,0
0.029,0,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0,0,0
0.031,0,0,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0,0
0.033,0,0,0,0,0,0,0,0,0,0
0.034,0,0,0,0,0,0,0,0,0,0
0.035,0,0,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,0,0,0,0,0
0.037,0,0,0,0,0,0,0,0,0,0
0.038,0,0,0,0,0,0,0,0,0,0
0.039,0,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0,0,0
0.041,0,0,0,0,0,0,0,0,0,0
0.042,0,0,0,0,0,0,0,0,0,0
0.043,0,0,0,0,0,0,0,0,0,0
0.044,0,0,0,0,0,0,0,0,0,0
0.045,0,0,0,0,0,0,0,0,0,0
0.046,0,0,0,0,0,0,0,0,0,0
0.047,0,0,0,0,0,0,0,0,0,0
0.048,0,0,0,0,0,0,0,0,0,0
0.049,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0,0,0,0
0.051,1,1,1,1,1,1,1,1,1,1
0.052,1,1,1,1,1,1,1,1,1,1
0.053,1,1,1,1,1,1,1,1,1,1
0.054,1,1,1,1,1,1,1,1,1,1
0.055,1,1,1,1,1,1,1,1,1,1
0.056,1,1,1,1,1,1,1,1,1,1
0.057,1,1,1,1,1,1,1,1,1,1
0.058,1,1,1,1,1,1,1,1,1,1
0.059,1,1,1,1,1,1,1,1,1,1
0.06,1,1,1,1,1,1,1,1,1,1
0.061,1,1,1,1,1,1,1,1,1,1
0.062,1,1,1,1,1,1,1,1,1,1
0.063,1,1,1,1,1,1,1,1,1,1
0.064,1,1,1,1,1,1,1,1,1,1
0.065,1,1,1,1,1,1,1,1,1,1
0.066,1,1,1,1,1,1,1,1,1,1
0.067,1,1,1,1,1,1,1,1,1,1
0.068,1,1,1,1,1,1,1,1,1,1
0.069,1,1,1,1,1,1,1,1,1,1
0.07,1,1,1,1,1,1,1,1,1,1
0.071,1,1,1,1,1,1,1,1,1,1
0.072,1,1,1,1,1,1,1,1,1,1
0.073,1,1,1,1,1,1,1,1,1,1
0.074,1,1,1,1,1,1,1,1,1,1
0.075,1,1,1,1,1,1,1,1,1,1
0.076,1,1,1,1,1,1,1,1,1,1
0.077,1,1,1,1,1,1,1,1,1,1
0.078,1,1,1,1,1,1,1,1,1,1
0.079,1,1,1,1,1,1,1,1,1,1
0.08,1,1,1,1,1,1,1,1,1,1
0.081,1,1,1,1,1,1,1,1,1,1
0.082,1,1,1,1,1,1,1,1,1,1
0.083,1,1,1,1,1,1,1,1,1,1
0.084,1,1,1,1,1,1,1,1,1,1
0.085,1,1,1,1,1,1,1,1,1,1
0.086,1,1,1,1,1,1,1,1,1,1
0.087,1,1,1,1,1,1,1,1,1,1
0.088,1,1,1,1,1,1,1,1,1,1
0.089,1,1,1,1,1,1,1,1,1,1
0.09,1,1,1,1,1,1,1,1,1,1
0.091,1,1,1,1,1,1,1,1,1,1
0.092,1,1,1,1,1,1,1,1,1,1
0.093,1,1,1,1,1,1,1,1,1,1
0.094,1,1,1,1,1,1,1,1,1,1
0.095,1,1,1,1,1,1,1,1,1,1
0.096,1,1,1,1,1,1,1,1,1,1
0.097,1,1,1,1,1,1,1,1,1,1
0.098,1,1,1,1,1,1,1,1,1,1
0.099,1,1,1,1,1,1,1,1,1,1
0.1,1,1,1,1,1,1,1,1,1,1
0.101,0,0,2,2,2,2,2,2,2,2
0.102,0,0,2,2,2,2,2,2,2,2
0.103,0,0,2,2,2,2,2,2,2,2
0.104,0,0,2,2,2,2,2,2,2,2
0.105,0,0,2,2,2,2,2,2,2,2
0.106,0,0,2,2,2,2,2,2,2,2
0.107,0,0,2,2,2,2,2,2,2,2
0.108,0,0,2,2,2,2,2,2,2,2
0.109,0,0,2,2,2,2,2,2,2,2
0.11,0,0,2,2,2,2,2,2,2,2
0.111,0,0,2,2,2,2,2,2,2,2
0.112,0,0,2,2,2,2,2,2,2,2
0.113,0,0,2,2,2,2,2,2,2,2
0.114,0,0,2,2,2,2,2,2,2,2
0.115,0,0,2,2,2,2,2,2,2,2
0.116,0,0,2,2,2,2,2,2,2,2
0.117,0,0,2,2,2,2,2,2,2,2
0.118,0,0,2,2,2,2,2,2,2,2
0.119,0,0,2,2,2,2,2,2,2,2
0.12,0,0,2,2,2,2,2,2,2,2
0.121,0,0,2,2,2,2,2,2,2,2
0.122,0,0,2,2,2,2,2,2,2,2
0.123,0,0,2,2,2,2,2,2,2,2
0.124,0,0,2,2,2,2,2,2,2,2
0.125,0,0,2,2,2,2,2,2,2,2
0.126,0,0,2,2,2,2,2,2,2,2
0.127,0,0,2,2,2,2,2,2,2,2
0.128,0,0,2,2,2,2,2,2,2,2
0.129,0,0,2,2,2,2,2,2,2,2
0.13,0,0,2,2,2,2,2,2,2,2
0.131,0,0,2,2,2,2,2,2,2,2
0.132,0,0,2,2,2,2,2,2,2,2
0.133,0,0,2,2,2,2,2,2,2,2
0.134,0,0,2,2,2,2,2,2,2,2
0.135,0,0,2,2,2,2,2,2,2,2
0.136,0,0,2,2,2,2,2,2,2,2
0.137,0,0,2,2,2,2,2,2,2,2
0.138,0,0,2,2,2,2,2,2,2,2
0.139,0,0,2,2,2,2,2,2,2,2
0.14,0,0,2,2,2,2,2,2,2,2
0.141,0,0,2,2,2,2,2,2,2,2
0.142,0,0,2,2,2,2,2,2,2,2
0.143,0,0,2,2,2,2,2,2,2,2
0.144,0,0,2,2,2,2,2,2,2,2
0.145,0,0,2,2,2,2,2,2,2,2
0.146,0,0,2,2,2,2,2,2,2,2
0.147,0,0,2,2,2,2,2,2,2,2
0.148,0,0,2,2,2,2,2,2,2,2
0.149,0,0,2,2,2,2,2,2,2,2
0.15,0,0,2,2,2,2,2,2,2,2
0.151,1,1,3,3,3,3,3,3,3,3
0.152,1,1,3,3,3,3,3,3,3,3
0.153,1,1,3,3,3,3,3,3,3,3
0.154,1,1,3,3,3,3,3,3,3,3
0.155,1,1,3,3,3,3,3,3,3,3
0.156,1,1,3,3,3,3,3,3,3,3
0.157,1,1,3,3,3,3,3,3,3,3
0.158,1,1,3,3,3,3,3,3,3,3
0.159,1,1,3,3,3,3,3,3,3,3
0.16,1,1,3,3,3,3,3,3,3,3
0.161,1,1,3,3,3,3,3,3,3,3
0.162,1,1,3,3,3,3,3,3,3,3
0.163,1,1,3,3,3,3,3,3,3,3
0.164,1,1,3,3,3,3,3,3,3,3
0.165,1,1,3,3,3,3,3,3,3,3
0.166,1,1,3,3,3,3,3,3,3,3
0.167,1,1,3,3,3,3,3,3,3,3
0.168,1,1,3,3,3,3,3,3,3,3
0.169,1,1,3,3,3,3,3,3,3,3
0.17,1,1,3,3,3,3,3,3,3,3
0.171,1,1,3,3,3,3,3,3,3,3
0.172,1,1,3,3,3,3,3,3,3,3
0.173,1,1,3,3,3,3,3,3,3,3
0.174,1,1,3,3,3,3,3,3,3,3
0.175,1,1,3,3,3,3,3,3,3,3
0.176,1,1,3,3,3,3,3,3,3,3
0.177,1,1,3,3,3,3,3,3,3,3
0.178,1,1,3,3,3,3,3,3,3,3
0.179,1,1,3,3,3,3,3,3,3,3
0.18,1,1,3,3,3,3,3,3,3,3
0.181,1,1,3,3,3,3,3,3,3,3
0.182,1,1,3,3,3,3,3,3,3,3
0.183,1,1,3,3,3,3,3,3,3,3
0.184,1,1,3,3,3,3,3,3,3,3
0.185,1,1,3,3,3,3,3,3,3,3
0.186,1,1,3,3,3,3,3,3,3,3
0.187,1,1,3,3,3,3,3,3,3,3
0.188,1,1,3,3,3,3,3,3,3,3
0.189,1,1,3,3,3,3,3,3,3,3
0.19,1,1,3,3,3,3,3,3,3,3
0.191,1,1,3,3,3,3,3,3,3,3
0.192,1,1,3,3,3,3,3,3,3,3
0.193,1,1,3,3,3,3,3,3,3,3
0.194,1,1,3,3,3,3,3,3,3,3
0.195,1,1,3,3,3,3,3,3,3,3
0.196,1,1,3,3,3,3,3,3,3,3
0.197,1,1,3,3,3,3,3,3,3,3
0.198,1,1,3,3,3,3,3,3,3,3
0.199,1,1,3,3,3,3,3,3,3,3
0.2,1,1,3,3,3,3,3,3,3,3
0.201,0,0,4,4,4,4,4,4,4,4
0.202,0,0,4,4,4,4,4,4,4,4
0.203,0,0,4,4,4,4,4,4,4,4
0.204,0,0,4,4,4,4,4,4,4,4
0.205,0,0,4,4,4,4,4,4,4,4
0.206,0,0,4,4,4,4,4,4,4,4
0.207,0,0,4,4,4,4,4,4,4,4
0.208,0,0,4,4,4,4,4,4,4,4
0.209,0,0,4,4,4,4,4,4,4,4
0.21,0,0,4,4,4,4,4,4,4,4
0.211,0,0,4,4,4,4,4,4,4,4
0.212,0,0,4,4,4,4,4,4,4,4
0.213,0,0,4,4,4,4,4,4,4,4
0.214,0,0,4,4,4,4,4,4,4,4
0.215,0,0,4,4,4,4,4,4,4,4
0.216,0,0,4,4,4,4,4,4,4,4
0.217,0,0,4,4,4,4,4,4,4,4
0.218,0,0,4,4,4,4,4,4,4,4
0.219,0,0,4,4,4,4,4,4,4,4
0.22,0,0,4,4,4,4,4,4,4,4
0.221,0,0,4,4,4,4,4,4,4,4
0.222,0,0,4,4,4,4,4,4,4,4
0.223,0,0,4,4,4,4,4,4,4,4
0.224,0,0,4,4,4,4,4,4,4,4
0.225,0,0,4,4,4,4,4,4,4,4
0.226,0,0,4,4,4,4,4,4,4,4
0.227,0,0,4,4,4,4,4,4,4,4
0.228,0,0,4,4,4,4,4,4,4,4
0.229,0,0,4,4,4,4,4,4,4,4
0.23,0,0,4,4,4,4,4,4,4,4
0.231,0,0,4,4,4,4,4,4,4,4
0.232,0,0,4,4,4,4,4,4,4,4
0.233,0,0,4,4,4,4,4,4,4,4
0.234,0,0,4,4,4,4,4,4,4,4
0.235,0,0,4,4,4,4,4,4,4,4
0.236,0,0,4,4,4,4,4,4,4,4
0.237,0,0,4,4,4,4,4,4,4,4
0.238,0,0,4,4,4,4,4,4,4,4
0.239,0,0,4,4,4,4,4,4,4,4
0.24,0,0,4,4,4,4,4,4,4,4
0.241,0,0,4,4,4,4,4,4,4,4
0.242,0,0,4,4,4,4,4,4,4,4
0.243,0,0,4,4,4,4,4,4,4,4
0.244,0,0,4,4,4,4,4,4,4,4
0.245,0,0,4,4,4,4,4,4,4,4
0.246,0,0,4,4,4,4,4,4,4,4
0.247,0,0,4,4,4,4,4,4,4,4
0.248,0,0,4,4,4,4,4,4,4,4
0.249,0,0,4,4,4,4,4,4,4,4
0.25,0,0,4,4,4,4,4,4,4,4
0.251,1,1,5,5,5,5,5,5,5,5
0.252,1,1,5,5,5,5,5,5,5,5
0.253,1,1,5,5,5,5,5,5,5,5
0.254,1,1,5,5,5,5,5,5,5,5
0.255,1,1,5,5,5,5,5,5,5,5
0.256,1,1,5,5,5,5,5,5,5,5
0.257,1,1,5,5,5,5,5,5,5,5
0.258,1,1,5,5,5,5,5,5,5,5
0.259,1,1,5,5,5,5,5,5,5,5
0.26,1,1,5,5,5,5,5,5,5,5
0.261,1,1,5,5,5,5,5,5,5,5
0.262,1,1,5,5,5,5,5,5,5,5
0.263,1,1,5,5,5,5,5,5,5,5
0.264,1,1,5,5,5,5,5,5,5,5
0.265,1,1,5,5,5,5,5,5,5,5
0.266,1,1,5,5,5,5,5,5,5,5
0.267,1,1,5,5,5,5,5,5,5,5
0.268,1,1,5,5,5,5,5,5,5,5
0.269,1,1,5,5,5,5,5,5,5,5
0.27,1,1,5,5,5,5,5,5,5,5
0.271,1,1,5,5,5,5,5,5,5,5
0.272,1,1,5,5,5,5,5,5,5,5
0.273,1,1,5,5,5,5,5,5,5,5
0.274,1,1,5,5,5,5,5,5,5,5
0.275,1,1,5,5,5,5,5,5,5,5
0.276,1,1,5,5,5,5,5,5,5,5
0.277,1,1,5,5,5,5,5,5,5,5
0.278,1,1,5,5,5,5,5,5,5,5
0.279,1,1,5,5,5,5,5,5,5,5
0.28,1,1,5,5,5,5,5,5,5,5
0.281,1,1,5,5,5,5,5,5,5,5
0.282,1,1,5,5,5,5,5,5,5,5
0.283,1,1,5,5,5,5,5,5,5,5
0.284,1,1,5,5,5,5,5,5,5,5
0.285,1,1,5,5,5,5,5,5,5,5
0.286,1,1,5,5,5,5,5,5,5,5
0.287,1,1,5,5,5,5,5,5,5,5
0.288,1,1,5,5,5,5,5,5,5,5
0.289,1,1,5,5,5,5,5,5,5,5
0.29,1,1,5,5,5,5,5,5,5,5
0.291,1,1,5,5,5,5,5,5,5,5
0.292,1,1,5,5,5,5,5,5,5,5
0.293,1,1,5,5,5,5,5,5,5,5
0.294,1,1,5,5,5,5,5,5,5,5
0.295,1,1,5,5,5,5,5,5,5,5
0.296,1,1,5,5,5,5,5,5,5,5
0.297,1,1,5,5,5,5,5,5,5,5
0.298,1,1,5,5,5,5,5,5,5,5
0.299,1,1,5,5,5,5,5,5,5,5
0.3,1,1,5,5,5,5,5,5,5,5
0.301,0,0,6,6,6,6,6,6,6,6
0.302,0,0,6,6,6,6,6,6,6,6
0.303,0,0,6,6,6,6,6,6,6,6
0.304,0,0,6,6,6,6,6,6,6,6
0.305,0,0,6,6,6,6,6,6,6,6
0.306,0,0,6,6,6,6,6,6,6,6
0.307,0,0,6,6,6,6,6,6,6,6
0.308,0,0,6,6,6,6,6,6,6,6
0.309,0,0,6,6,6,6,6,6,6,6
0.31,0,0,6,6,6,6,6,6,6,6
0.311,0,0,6,6,6,6,6,6,6,6
0.312,0,0,6,6,6,6,6,6,6,6
0.313,0,0,6,6,6,6,6,6,6,6
0.314,0,0,6,6,6,6,6,6,6,6
0.315,0,0,6,6,6,6,6,6,6,6
0.316,0,0,6,6,6,6,6,6,6,6
0.317,0,0,6,6,6,6,6,6,6,6
0.318,0,0,6,6,6,6,6,6,6,6
0.319,0,0,6,6,6,6,6,6,6,6
0.32,0,0,6,6,6,6,6,6,6,6
0.321,0,0,6,6,6,6,6,6,6,6
0.322,0,0,6,6,6,6,6,6,6,6
0.323,0,0,6,6,6,6,6,6,6,6
0.324,0,0,6,6,6,6,6,6,6,6
0.325,0,0,6,6,6,6,6,6,6,6
0.326,0,0,6,6,6,6,6,6,6,6
0.327,0,0,6,6,6,6,6,6,6,6
0.328,0,0,6,6,6,6,6,6,6,6
0.329,0,0,6,6,6,6,6,6,6,6
0.33,0,0,6,6,6,6,6,6,6,6
0.331,0,0,6,6,6,6,6,6,6,6
0.332,0,0,6,6,6,6,6,6,6,6
0.333,0,0,6,6,6,6,6,6,6,6
0.334,0,0,6,6,6,6,6,6,6,6
0.335,0,0,6,6,6,6,6,6,6,6
0.336,0,0,6,6,6,6,6,6,6,6
0.337,0,0,6,6,6,6,6,6,6,6
0.338,0,0,6,6,6,6,6,6,6,6
0.339,0,0,6,6,6,6,6,6,6,6
0.34,0,0,6,6,6,6,6,6,6,6
0.341,0,0,6,6,6,6,6,6,6,6
0.342,0,0,6,6,6,6,6,6,6,6
0.343,0,0,6,6,6,6,6,6,6,6
0.344,0,0,6,6,6,6,6,6,6,6
0.345,0,0,6,6,6,6,6,6,6,6
0.346,0,0,6,6,6,6,6,6,6,6
0.347,0,0,6,6,6,6,6,6,6,6
0.348,0,0,6,6,6,6,6,6,6,6
0.349,0,0,6,6,6,6,6,6,6,6
0.35,0,0,6,6,6,6,6,6,6,6
0.351,1,1,7,7,7,7,7,7,7,7
0.352,1,1,7,7,7,7,7,7,7,7
0.353,1,1,7,7,7,7,7,7,7,7
0.354,1,1,7,7,7,7,7,7,7,7
0.355,1,1,7,7,7,7,7,7,7,7
0.356,1,1,7,7,7,7,7,7,7,7
0.357,1,1,7,7,7,7,7,7,7,7
0.358,1,1,7,7,7,7,7,7,7,7
0.359,1,1,7,7,7,7,7,7,7,7
0.36,1,1,7,7,7,7,7,7,7,7
0.361,1,1,7,7,7,7,7,7,7,7
0.362,1,1,7,7,7,7,7,7,7,7
0.363,1,1,7,7,7,7,7,7,7,7
0.364,1,1,7,7,7,7,7,7,7,7
0.365,1,1,7,7,7,7,7,7,7,7
0.366,1,1,7,7,7,7,7,7,7,7
0.367,1,1,7,7,7,7,7,7,7,7
0.368,1,1,7,7,7,7,7,7,7,7
0.369,1,1,7,7,7,7,7,7,7,7
0.37,1,1,7,7,7,7,7,7,7,7
0.371,1,1,7,7,7,7,7,7,7,7
0.372,1,1,7,7,7,7,7,7,7,7
0.373,1,1,7,7,7,7,7,7,7,7
0.374,1,1,7,7,7,7,7,7,7,7
0.375,1,1,7,7,7,7,7,7,7,7
0.376,1,1,7,7,7,7,7,7,7,7
0.377,1,1,7,7,7,7,7,7,7,7
0.378,1,1,7,7,7,7,7,7,7,7
0.379,1,1,7,7,7,7,7,7,7,7
0.38,1,1,7,7,7,7,7,7,7,7
0.381,1,1,7,7,7,7,7,7,7,7
0.382,1,1,7,7,7,7,7,7,7,7
0.383,1,1,7,7,7,7,7,7,7,7
0.384,1,1,7,7,7,7,7,7,7,7
0.385,1,1,7,7,7,7,7,7,7,7
0.386,1,1,7,7,7,7,7,7,7,7
0.387,1,1,7,7,7,7,7,7,7,7
0.388,1,1,7,7,7,7,7,7,7,7
0.389,1,1,7,7,7,7,7,7,7,7
