"time","FMU_Interface_OUT0_Engine_Power","FMU_Interface_OUT1_Engine_Speed","FMU_Interface_OUT2_Engine_Torque","FMU_Interface_OUT3_Load_Signal","FMU_Interface_OUT4_Fuel_Consumption"
0,0,0,0,0,0
0.01,5.4217,162.21,-42.704,0,5.9185
0.02,7.8093,328.46,143,0,4.9359
0.03,7.7569,437.63,-47.881,0,4.4568
0.04,6.7346,543.61,40.989,0,3.1457
0.05,4.987,617.89,-51.568,0.021565,2.4126
0.06,3.5942,686.44,-13.513,0.17658,2.0765
0.07,3.8758,740.23,-37.442,0.41898,2.0817
0.08,4.1402,790.72,-4.2762,0.44924,2.1143
0.09,4.3562,831.97,-11.483,0.43753,2.1527
0.1,4.5523,869.43,6.3481,0.42789,2.1879
0.11,4.7163,900.75,5.7633,0.42047,2.2194
0.12,4.8622,928.62,16.015,0.4143,2.2485
0.13,4.9858,952.22,17.747,0.40937,2.2732
0.14,5.0944,972.96,24.058,0.40525,2.2948
0.15,5.1869,990.63,26.341,0.40187,2.3133
0.16,5.2675,1006,30.471,0.39903,2.3294
0.17,5.3363,1019.2,32.632,0.39668,2.3431
0.18,5.3959,1030.5,35.469,0.39469,2.355
0.19,5.4467,1040.2,37.297,0.39303,2.3651
0.2,5.4903,1048.6,39.314,0.39163,2.3738
0.21,5.5274,1055.7,40.782,0.39045,2.3815
0.22,5.5591,1061.7,42.25,0.38946,2.3885
0.23,5.5859,1066.8,43.398,0.38864,2.3944
0.24,5.6085,1071.1,44.481,0.38795,2.3994
0.25,5.6274,1074.8,45.364,0.38737,2.4035
0.26,5.6432,1077.8,46.17,0.38689,2.407
0.27,5.6563,1080.3,46.844,0.3865,2.4099
0.28,5.6669,1082.3,47.445,0.38618,2.4122
0.29,5.6755,1083.9,47.956,0.38593,2.4141
0.3,5.6823,1085.2,48.406,0.38573,2.4156
0.31,5.6875,1086.2,48.791,0.38557,2.4168
0.32,5.6914,1087,49.128,0.38546,2.4176
0.33,5.6941,1087.5,49.417,0.38538,2.4182
0.34,5.6958,1087.8,49.668,0.38533,2.4186
0.35,5.6966,1088,49.884,0.3853,2.4188
0.36,5.6967,1088,50.071,0.3853,2.4188
0.37,5.6962,1087.9,50.231,0.38532,2.4187
0.38,5.695,1087.7,50.369,0.38535,2.4185
0.39,5.6934,1087.4,50.488,0.3854,2.4181
0.4,5.6914,1087,50.589,0.38546,2.4177
0.41,5.6891,1086.5,50.675,0.38553,2.4171
0.42,5.6864,1086,50.749,0.3856,2.4166
0.43,5.6835,1085.5,50.811,0.38569,2.4159
0.44,5.6804,1084.9,50.864,0.38578,2.4152
0.45,5.6771,1084.2,50.908,0.38588,2.4145
0.46,5.6736,1083.6,50.945,0.38598,2.4137
0.47,5.67,1082.9,50.975,0.38609,2.4129
0.48,5.6664,1082.2,51,0.3862,2.4121
0.49,5.6626,1081.5,51.02,0.38631,2.4113
0.5,5.6588,1080.7,51.035,0.38643,2.4104
0.51,5.6549,1080,51.048,0.38654,2.4096
0.52,5.6509,1079.3,51.057,0.38666,2.4087
0.53,5.647,1078.5,51.063,0.38678,2.4079
0.54,5.643,1077.7,51.067,0.3869,2.407
0.55,5.639,1077,51.069,0.38702,2.4061
0.56,5.635,1076.2,51.069,0.38714,2.4052
0.57,5.6311,1075.5,51.068,0.38726,2.4043
0.58,5.6271,1074.7,51.065,0.38738,2.4035
0.59,5.6231,1073.9,51.062,0.3875,2.4026
0.6,5.6192,1073.2,51.057,0.38762,2.4017
0.61,5.6152,1072.4,51.052,0.38774,2.4008
0.62,5.6113,1071.7,51.045,0.38786,2.4
0.63,5.6074,1070.9,51.039,0.38798,2.3991
0.64,5.6036,1070.2,51.031,0.3881,2.3983
0.65,5.5997,1069.5,51.024,0.38821,2.3974
0.66,5.5959,1068.7,51.016,0.38833,2.3966
0.67,5.5921,1068,51.007,0.38844,2.3958
0.68,5.5884,1067.3,50.999,0.38856,2.3949
