"time","heatCapacitor_0T","switch_0Controll"
0,20,0
0.1,20.9931,0
0.2,21.9725,0
0.3,22.9386,0
0.4,23.8914,0
0.5,24.8317,0
0.6,25.7593,0
0.626177,26,0
0.626177,26,1
0.7,25.9559,1
0.8,25.8966,1
0.9,25.8379,1
1,25.7798,1
1,25.7798,1
1.1,25.7223,1
1.2,25.6654,1
1.3,25.609,1
1.4,25.5532,1
1.5,25.4979,1
1.6,25.4432,1
1.7,25.389,1
1.8,25.3354,1
1.9,25.2823,1
2,25.2297,1
2,25.2297,1
2.1,25.1777,1
2.2,25.1261,1
2.2626,25.0942,1
2.2626,25.0942,0
2.3,25.4409,0
2.4,26.3593,0
2.5,27.2652,0
2.6,28.1589,0
2.67307,28.8045,0
2.67307,28.8045,1
2.7,28.7808,1
2.8,28.6934,1
2.9,28.6069,1
3,28.5213,1
3,28.5213,1
3.0707,28.4612,1
3.0707,28.4612,0
3.1,28.7195,0
3.2,29.5933,0
3.3,30.4553,0
3.4,31.3058,0
3.5,32.1448,0
3.52534,32.3556,0
3.52534,32.3556,1
3.6,32.2637,1
3.7,32.1416,1
3.8,32.0208,1
3.89711,31.9046,1
3.89711,31.9046,0
3.9,31.9288,0
4,32.7592,0
4,32.7592,0
4.1,33.5784,0
4.2,34.3866,0
4.3,35.1841,0
4.4,35.9709,0
4.408,36.0333,0
4.408,36.0333,1
4.5,35.8865,1
4.6,35.7284,1
4.7,35.5719,1
4.75628,35.4845,1
4.75628,35.4845,0
4.8,35.828,0
4.9,36.606,0
5,37.3737,0
5,37.3737,0
5,37.3737,0
5.1,38.1311,0
5.2,38.8784,0
5.3,39.6159,0
5.34274,39.9281,0
5.34274,39.9281,1
5.4,39.8143,1
5.5,39.6171,1
5.6,39.4219,1
5.66914,39.2881,1
5.66914,39.2881,0
5.7,39.515,0
5.8,40.2439,0
5.9,40.9631,0
6,41.673,0
6,41.673,0
6.1,42.3732,0
6.2,43.0643,0
6.3,43.7463,0
6.36609,44.1921,0
6.36609,44.1921,1
6.4,44.1102,1
6.5,43.8703,1
6.6,43.6327,1
6.67146,43.4644,1
6.67146,43.4644,0
6.7,43.6584,0
6.8,44.3325,0
6.9,44.9976,0
7,45.6542,0
7,45.6542,0
7.1,46.3019,0
7.2,46.9412,0
7.3,47.5722,0
7.4,48.1949,0
7.5,48.8097,0
7.5557,49.1488,0
7.5557,49.1488,1
7.6,49.0199,1
7.7,48.7312,1
7.8,48.4453,1
7.83977,48.3324,1
7.83977,48.3324,0
7.9,48.7023,0
8,49.3101,0
8,49.3101,0
8.1,49.91,0
8.2,50.502,0
8.28512,51,0
8.28512,51,1
8.3,50.9539,1
8.4,50.6459,1
8.5,50.341,1
8.6,50.0391,1
8.7,49.7401,1
8.8,49.4441,1
8.9,49.151,1
8.9519,49,1
8.9519,49,0
9,49.2915,0
9,49.2915,0
9.1,49.8916,0
9.2,50.4839,0
9.28821,51,0
9.28821,51,1
9.3,50.9635,1
9.4,50.6554,1
9.5,50.3504,1
9.6,50.0483,1
9.7,49.7493,1
9.8,49.4532,1
9.9,49.1601,1
9.95503,49,1
9.95503,49,0
10,49.2726,0
10,49.2726,0
