"time","J1.der(w)","clutch1.der(phi_rel)","clutch1.der(w_rel)","J2.der(phi)","clutch2.der(phi_rel)","clutch2.der(w_rel)","J1.w","J1.der(phi)","clutch1.phi_rel","clutch1.w_rel","clutch1.w_relfric","J2.phi","clutch2.phi_rel","clutch2.w_rel","clutch2.w_relfric","J1.phi","J1.flange_b.phi","clutch1.flange_a.phi","J1.flange_a.phi","torque.flange.phi","J1.a","clutch1.a_rel","clutch1.a_relfric","clutch1.fn","clutch1.f_normalized","sin2.y","clutch1.flange_b.tau","clutch1.tau0","clutch1.tau0_max","clutch1.sa","clutch1.lossPower","J2.w","J2.a","J2.der(w)","J2.der(phi,2)","clutch2.a_rel","clutch2.a_relfric","clutch2.fn","step1.y","clutch2.flange_b.tau","J3.flange_a.tau","clutch2.tau0","clutch2.tau0_max","clutch2.sa","clutch2.lossPower","J3.phi","J3.w","J3.a","J3.der(w)","clutch3.a_rel","clutch3.a_relfric","clutch3.fn","clutch3.flange_b.tau","clutch3.tau","clutch3.flange_a.tau","J4.flange_a.tau","J3.flange_b.tau","clutch3.tau0","clutch3.tau0_max","clutch3.sa","clutch3.lossPower","J4.phi","J4.w","J4.der(phi)","fixed.flange.tau","torque.tau","J1.der(phi,2)","clutch1.der(phi_rel,2)","clutch2.der(phi_rel,2)","clutch3.der(phi_rel,2)","clutch2.mode","clutch2.free"
0,-9.999996829,-10,19.99999366,-0,0,-9.999996829,10,10,0,-10,-10,0,0,0,0,0,0,0,0,0,-9.999996829,19.99999366,19.99999366,19.99999366,0.9999996829,0.9999996829,-9.999996829,9.999996829,10.99999651,8.999997146,99.99996829,-0,9.999996829,9.999996829,9.999996829,-9.999996829,-9.999996829,0,0,0,-0,0,0,-9.999996829,0,0,-0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0,-0,-0,0,-9.999996829,19.99999366,-9.999996829,0,2,1
0.003,-9.058872656,-9.941412711,19.05882844,0.02999996108,-0.02999996108,-9.999955789,9.971412672,9.971412672,-0.02991147596,-9.941412711,-9.941412711,4.500214098e-005,-4.500214098e-005,-0.02999996108,-0.02999996108,0.0299564781,0.0299564781,0.0299564781,0.0299564781,0.0299564781,-9.058872656,19.05882844,19.05882844,19.99991158,0.9999955789,0.9999955789,-9.999955789,9.999955789,10.99995137,8.058877077,99.41368759,0.02999996108,9.999955789,9.999955789,9.999955789,-9.999955789,-9.999955789,0,0,0,-0,0,0,-9.999955789,-0,9.303809893e-018,2.702699176e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,9.303809893e-018,2.702699176e-015,2.702699176e-015,-0.9410831332,0.9410831332,-9.058872656,19.05882844,-9.999955789,0,2,1
0.006,-8.125959481,-9.88563884,18.12573211,0.05999959936,-0.05999959936,-9.999772627,9.945638439,9.945638439,-0.059651151,-9.88563884,-9.88563884,0.0001800014128,-0.0001800014128,-0.05999959936,-0.05999959936,0.05983115242,0.05983115242,0.05983115242,0.05983115242,0.05983115242,-8.125959481,18.12573211,18.12573211,19.99954525,0.9999772627,0.9999772627,-9.999772627,9.999772627,10.99974989,7.125982219,98.85414067,0.05999959936,9.999772627,9.999772627,9.999772627,-9.999772627,-9.999772627,0,0,0,-0,0,0,-9.999772627,-0,5.15538133e-017,8.118505868e-016,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,5.15538133e-017,8.118505868e-016,8.118505868e-016,-1.873813146,1.873813146,-8.125959481,18.12573211,-9.999772627,0,2,1
0.009,-7.209536286,-9.832641817,17.20898363,0.0899984708,-0.0899984708,-9.999447346,9.922640288,9.922640288,-0.08922776487,-9.832641817,-9.832641817,0.0004049986436,-0.0004049986436,-0.0899984708,-0.0899984708,0.08963276351,0.08963276351,0.08963276351,0.08963276351,0.08963276351,-7.209536286,17.20898363,17.20898363,19.99889469,0.9999447346,0.9999447346,-9.999447346,9.999447346,10.99939208,6.209591551,98.32098412,0.0899984708,9.999447346,9.999447346,9.999447346,-9.999447346,-9.999447346,0,0,0,-0,0,0,-9.999447346,-0,7.432205892e-017,1.110223025e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,7.432205892e-017,1.110223025e-015,1.110223025e-015,-2.78991106,2.78991106,-7.209536286,17.20898363,-9.999447346,0,2,1
0.012,-6.317734425,-9.782358312,16.31671438,0.1199961415,-0.1199961415,-9.998979951,9.902354454,9.902354454,-0.1186497003,-9.782358312,-9.782358312,0.0007199907421,-0.0007199907421,-0.1199961415,-0.1199961415,0.119369691,0.119369691,0.119369691,0.119369691,0.119369691,-6.317734425,16.31671438,16.31671438,19.9979599,0.9998979951,0.9998979951,-9.998979951,9.998979951,10.99887795,5.317836429,97.81360464,0.1199961415,9.998979951,9.998979951,9.998979951,-9.998979951,-9.998979951,0,0,0,-0,0,0,-9.998979951,-0,1.006139616e-016,5.412337245e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.006139616e-016,5.412337245e-015,5.412337245e-015,-3.681245527,3.681245527,-6.317734425,16.31671438,-9.998979951,0,2,1
0.015,-5.458465451,-9.734701367,15.4568359,0.1499921792,-0.1499921792,-9.998370449,9.884693546,9.884693546,-0.147925074,-9.734701367,-9.734701367,0.001124973385,-0.001124973385,-0.1499921792,-0.1499921792,0.1490500474,0.1490500474,0.1490500474,0.1490500474,0.1490500474,-5.458465451,15.4568359,15.4568359,19.9967409,0.9998370449,0.9998370449,-9.998370449,9.998370449,10.99820749,4.458628407,97.33115047,0.1499921792,9.998370449,9.998370449,9.998370449,-9.998370449,-9.998370449,0,0,0,-0,0,0,-9.998370449,-0,1.14274909e-016,4.246603069e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.14274909e-016,4.246603069e-015,4.246603069e-015,-4.539904997,4.539904997,-5.458465451,15.4568359,-9.998370449,0,2,1
0.018,-4.639350897,-9.689568223,14.63696974,0.1799861875,-0.1799861875,-9.997618847,9.86955441,9.86955441,-0.1770610568,-9.689568223,-9.689568223,0.001619941327,-0.001619941327,-0.1799861875,-0.1799861875,0.1786809981,0.1786809981,0.1786809981,0.1786809981,0.1786809981,-4.639350897,14.63696974,14.63696974,19.99523769,0.9997618847,0.9997618847,-9.997618847,9.997618847,10.99738073,3.639589013,96.87260988,0.1799861875,9.997618847,9.997618847,9.997618847,-9.997618847,-9.997618847,0,0,0,-0,0,0,-9.997618847,-0,1.259842924e-016,4.607425552e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.259842924e-016,4.607425552e-015,4.607425552e-015,-5.35826795,5.35826795,-4.639350897,14.63696974,-9.997618847,0,2,1
0.021,-3.867654621,-9.64682635,13.86437978,0.2099777326,-0.2099777326,-9.996725157,9.856804083,9.856804083,-0.2060651702,-9.64682635,-9.64682635,0.00220488774,-0.00220488774,-0.2099777326,-0.2099777326,0.208270058,0.208270058,0.208270058,0.208270058,0.208270058,-3.867654621,13.86437978,13.86437978,19.99345031,0.9996725157,0.9996725157,-9.996725157,9.996725157,10.99639767,2.867982105,96.43667166,0.2099777326,9.996725157,9.996725157,9.996725157,-9.996725157,-9.996725157,0,0,0,-0,0,0,-9.996725157,-0,1.413799633e-016,5.939693182e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.413799633e-016,5.939693182e-015,5.939693182e-015,-6.129070537,6.129070537,-3.867654621,13.86437978,-9.996725157,0,2,1
0.024,-3.150218333,-9.606318675,13.14590772,0.2399663734,-0.2399663734,-9.995689392,9.846285048,9.846285048,-0.2349446018,-9.606318675,-9.606318675,0.002879804318,-0.002879804318,-0.2399663734,-0.2399663734,0.2378244061,0.2378244061,0.2378244061,0.2378244061,0.2378244061,-3.150218333,13.14590772,13.14590772,19.99137878,0.9995689392,0.9995689392,-9.995689392,9.995689392,10.99525833,2.150649393,96.02177767,0.2399663734,9.995689392,9.995689392,9.995689392,-9.995689392,-9.995689392,0,0,0,-0,0,0,-9.995689392,-0,1.526556659e-016,2.2759572e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.526556659e-016,2.2759572e-015,2.2759572e-015,-6.845471059,6.845471059,-3.150218333,13.14590772,-9.995689392,0,2,1
0.027,-2.493400869,-9.567882523,12.48791243,0.2699517076,-0.2699517076,-9.994511565,9.837834231,9.837834231,-0.2637054438,-9.567882523,-9.567882523,0.003644682246,-0.003644682246,-0.2699517076,-0.2699517076,0.267350126,0.267350126,0.267350126,0.267350126,0.267350126,-2.493400869,12.48791243,12.48791243,19.98902313,0.9994511565,0.9994511565,-9.994511565,9.994511565,10.99396272,1.493949713,95.62631254,0.2699517076,9.994511565,9.994511565,9.994511565,-9.994511565,-9.994511565,0,0,0,-0,0,0,-9.994511565,-0,1.643650493e-016,3.275157923e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.643650493e-016,3.275157923e-015,3.275157923e-015,-7.501110696,7.501110696,-2.493400869,12.48791243,-9.994511565,0,2,1
