"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0.52,5.73863,3.65009,1.19,0
0.523,5.69644,3.6439,1.22,0
0.526,5.65217,3.63764,1.25,0
0.529,5.606,3.63131,1.28,0
0.532,5.55813,3.62492,1.31,0
0.535,5.50879,3.61845,1.34,0
0.538,5.45819,3.61191,1.37,0
0.541,5.40658,3.60531,1.4,0
0.544,5.35421,3.59863,1.43,0
0.547,5.30134,3.59188,1.46,0
0.55,5.24823,3.58506,1.49,0
0.553,5.19515,3.57816,1.52,0
0.556,5.14236,3.5712,1.55,0
0.559,5.09013,3.56416,1.58,0
0.562,5.03872,3.55705,1.61,0
0.565,4.98838,3.54986,1.64,0
0.568,4.93936,3.5426,1.67,0
0.571,4.89188,3.53527,1.7,0
0.574,4.84618,3.52787,1.73,0
0.577,4.80246,3.52039,1.76,0
0.58,4.7609,3.51283,1.79,0
0.583,4.72167,3.5052,1.82,0
0.586,4.68493,3.49749,1.85,0
0.589,4.6508,3.48971,1.88,0
0.592,4.61939,3.48185,1.91,0
0.595,4.59078,3.47392,1.94,0
0.598,4.56504,3.4659,1.97,0
0.601,4.54218,3.45782,2,0
0.604,4.52223,3.44965,2.03,0
0.607,4.50517,3.44141,2.06,0
0.61,4.49095,3.43308,2.09,0
0.613,4.47951,3.42468,2.12,0
0.616,4.47076,3.4162,2.15,0
0.619,4.46458,3.40765,2.18,0
0.622,4.46085,3.39901,2.21,0
0.625,4.4594,3.39029,2.24,0
0.628,4.46005,3.3815,2.27,0
0.631,4.46263,3.37262,2.3,0
0.634,4.46691,3.36366,2.33,0
0.637,4.47267,3.35462,2.36,0
0.64,4.47967,3.3455,2.39,0
0.643,4.48767,3.3363,2.42,0
0.646,4.49641,3.32702,2.45,0
0.649,4.50563,3.31766,2.48,0
0.652,4.51507,3.30821,2.51,0
0.655,4.52445,3.29868,2.54,0
0.658,4.53352,3.28907,2.57,0
0.661,4.54202,3.27938,2.6,0
0.664,4.54968,3.2696,2.63,0
0.667,4.55626,3.25974,2.66,0
0.67,4.56153,3.24979,2.69,0
0.673,4.56526,3.23976,2.72,0
0.676,4.56723,3.22965,2.75,0
0.679,4.56726,3.21945,2.78,0
0.682,4.56518,3.20916,2.81,0
0.685,4.56081,3.19879,2.84,0
0.688,4.55404,3.18834,2.87,0
0.691,4.54474,3.1778,2.9,0
0.694,4.53282,3.16717,2.93,0
0.697,4.51823,3.15646,2.96,0
0.7,4.50091,3.14565,2.99,0
0.703,4.48086,3.13477,3.02,0
0.706,4.45808,3.12379,3.05,0
0.709,4.4326,3.11273,3.08,0
0.712,4.40448,3.10158,3.11,0
0.715,4.37381,3.11096,3.11938,0
0.718,4.34069,3.12029,3.12872,0
0.721,4.30525,3.12959,3.13801,0
0.724,4.26763,3.13883,3.14726,0
0.727,4.22802,3.14804,3.15646,0
0.73,4.1866,3.1572,3.16562,0
0.733,4.14357,3.16631,3.17473,0
0.736,4.09915,3.17538,3.1838,0
0.739,4.05358,3.1844,3.19282,0
0.742,4.0071,3.19338,3.2018,0
0.745,3.95997,3.20231,3.21073,0
0.748,3.91244,3.2112,3.21962,0
0.751,3.86478,3.22004,3.22846,0
0.754,3.81726,3.22884,3.23726,0
0.757,3.77014,3.23759,3.24601,0
0.76,3.72368,3.24629,3.25471,0
0.763,3.67815,3.25495,3.26337,0
0.766,3.63379,3.26356,3.27198,0
0.769,3.59084,3.27213,3.28055,0
0.772,3.54954,3.28064,3.28907,0
0.775,3.5101,3.28912,3.29754,0
0.778,3.47272,3.29754,3.30596,0
0.781,3.43758,3.30592,3.31434,0
0.784,3.40485,3.31425,3.32268,0
0.787,3.37467,3.32254,3.33096,0
0.79,3.34715,3.33078,3.3392,0
0.793,3.32951,3.33541,3.34383,0
0.796,3.32764,3.33354,3.34196,0
0.799,3.3267,3.3326,3.34102,0
0.802,3.3267,3.3326,3.34102,0
0.805,3.32764,3.33354,3.34196,0
0.808,3.32951,3.33541,3.34383,0
0.811,3.3323,3.3382,3.34662,0
0.814,3.33598,3.34188,3.3503,0
0.817,3.34052,3.34642,3.35484,0
0.82,3.34587,3.35178,3.3602,0
0.823,3.352,3.3579,3.36632,0
0.826,3.35884,3.36475,3.37317,0
0.829,3.36634,3.37224,3.38067,0
0.832,3.37443,3.38033,3.38875,0
0.835,3.38521,3.38785,3.39627,0
0.838,3.39742,3.39531,3.40374,0
0.841,3.4108,3.40273,3.41115,0
0.844,3.42511,3.4101,3.41852,0
0.847,3.44009,3.41742,3.42584,0
0.85,3.45548,3.42469,3.43311,0
0.853,3.47102,3.43191,3.44033,0
0.856,3.48643,3.43908,3.4475,0
0.859,3.50146,3.4462,3.45462,0
0.862,3.51584,3.45327,3.46169,0
0.865,3.52932,3.46029,3.46872,0
0.868,3.54166,3.46726,3.47569,0
0.871,3.55262,3.47419,3.48261,0
0.874,3.56198,3.48106,3.48948,0
0.877,3.56955,3.48788,3.4963,0
0.88,3.57513,3.49465,3.50307,0
0.883,3.57854,3.50137,3.50979,0
0.886,3.57965,3.50804,3.51646,0
0.889,3.57833,3.51465,3.52308,0
0.892,3.57446,3.52122,3.52964,0
0.895,3.56797,3.52774,3.53616,0
0.898,3.5588,3.5342,3.54263,0
0.901,3.54691,3.54062,3.54904,0
0.904,3.53616,3.54205,3.55047,0.006
0.907,3.52959,3.53549,3.54391,0.021
0.91,3.51911,3.525,3.53342,0.045
0.913,3.50572,3.51162,3.52004,0.075
0.916,3.49146,3.49736,3.50578,0.105
0.919,3.47638,3.48227,3.49069,0.135
0.922,3.4605,3.4664,3.47482,0.165
0.925,3.44389,3.44978,3.45821,0.195
0.928,3.4266,3.4325,3.44092,0.225
0.931,3.4087,3.4146,3.42302,0.255
0.934,3.39026,3.39616,3.40458,0.285
0.937,3.37136,3.37725,3.38567,0.315
0.94,3.35206,3.35796,3.36638,0.345
0.943,3.33246,3.33836,3.34678,0.375
0.946,3.31264,3.31854,3.32696,0.405
0.949,3.29269,3.29858,3.30701,0.435
0.952,3.27269,3.27859,3.28701,0.465
0.955,3.25274,3.25863,3.26706,0.495
0.958,3.23292,3.23882,3.24724,0.525
0.961,3.21332,3.21922,3.22764,0.555
0.964,3.19403,3.19992,3.20834,0.585
0.967,3.17512,3.18101,3.18944,0.615
0.97,3.15668,3.16257,3.171,0.645
0.973,3.13878,3.14467,3.1531,0.675
0.976,3.12149,3.12739,3.13581,0.705
0.979,3.10488,3.11078,3.1192,0.735
0.982,3.089,3.0949,3.10332,0.765
0.985,3.07392,3.07981,3.08823,0.795
0.988,3.05966,3.06555,3.07398,0.825
0.991,3.04627,3.05217,3.06059,0.855
0.994,3.03379,3.03968,3.0481,0.885
0.997,3.02222,3.02812,3.03654,0.915
1.001,3.00826,3.01416,3.02258,0.955
1.005,2.99913,3.00029,3.00872,0.995
1.009,2.99515,2.98633,2.99476,1.035
1.013,2.99621,2.97228,2.9807,1.075
1.017,3.00211,2.95813,2.96655,1.115
1.021,3.01255,2.94388,2.9523,1.155
1.025,3.0272,2.92953,2.93795,1.195
1.029,3.04565,2.91509,2.92351,1.235
1.033,3.06743,2.90055,2.90898,1.275
1.037,3.09203,2.88592,2.89434,1.315
1.041,3.11889,2.87119,2.87961,1.355
1.045,3.14741,2.85636,2.86478,1.395
1.049,3.177,2.84143,2.84986,1.435
1.053,3.20702,2.82641,2.83483,1.475
1.057,3.23683,2.81129,2.81971,1.515
1.061,3.26583,2.79607,2.80449,1.555
1.065,3.29339,2.78076,2.78918,1.595
1.069,3.31894,2.76534,2.77377,1.635
1.073,3.34193,2.74983,2.75825,1.675
1.077,3.36186,2.73422,2.74265,1.715
1.081,3.37827,2.71852,2.72694,1.755
1.085,3.39077,2.70271,2.71113,1.795
1.089,3.39902,2.68681,2.69523,1.835
1.093,3.40278,2.6708,2.67923,1.875
1.097,3.40186,2.6547,2.66312,1.915
1.101,3.39614,2.6385,2.64692,1.955
1.105,3.3856,2.6222,2.63063,1.995
1.109,3.37029,2.60581,2.61423,2.035
1.113,3.35033,2.58931,2.59773,2.075
1.117,3.32594,2.57271,2.58114,2.115
1.121,3.29738,2.55602,2.56444,2.155
1.125,3.265,2.53923,2.54765,2.195
1.129,3.22922,2.52233,2.53076,2.235
1.133,3.1905,2.50534,2.51376,2.275
1.137,3.14936,2.48825,2.49667,2.315
1.141,3.10634,2.47106,2.47948,2.355
1.145,3.06205,2.45377,2.46219,2.395
1.149,3.0171,2.43638,2.4448,2.435
1.153,2.97211,2.43326,2.44169,2.44625
1.157,2.92771,2.43487,2.44329,2.44786
1.161,2.88453,2.43641,2.44483,2.4494
1.165,2.84318,2.43788,2.44631,2.45087
1.169,2.80423,2.43929,2.44771,2.45228
1.173,2.76825,2.44063,2.44905,2.45362
