"time","heatCapacitor.T","TRes"
0,293.15,293.15
0.01,293.265,293.25
0.02,293.365,293.35
0.03,293.465,293.449
0.04,293.564,293.549
0.05,293.664,293.648
0.06,293.763,293.747
0.07,293.862,293.847
0.08,293.961,293.946
0.09,294.06,294.044
0.1,294.158,294.143
0.11,294.257,294.242
0.12,294.355,294.34
0.13,294.454,294.438
0.14,294.552,294.536
0.15,294.65,294.634
0.16,294.748,294.732
0.17,294.845,294.83
0.18,294.943,294.928
0.19,295.04,295.025
0.2,295.138,295.122
0.21,295.235,295.22
0.22,295.332,295.317
0.23,295.429,295.414
0.24,295.525,295.51
0.25,295.622,295.607
0.26,295.719,295.704
0.27,295.815,295.8
0.28,295.911,295.896
0.29,296.007,295.992
0.3,296.103,296.088
0.31,296.199,296.184
0.32,296.295,296.28
0.33,296.39,296.376
0.34,296.486,296.471
0.35,296.581,296.566
0.36,296.676,296.661
0.37,296.771,296.757
0.38,296.866,296.852
0.39,296.961,296.946
0.4,297.056,297.041
0.41,297.15,297.135
0.42,297.259,297.23
0.43,297.353,297.324
0.44,297.447,297.418
0.45,297.541,297.512
0.46,297.635,297.606
0.47,297.729,297.7
0.48,297.823,297.794
0.49,297.916,297.887
0.5,298.009,297.981
0.51,298.103,298.074
0.52,298.196,298.167
0.53,298.289,298.26
0.54,298.381,298.353
0.55,298.474,298.445
0.56,298.567,298.538
0.57,298.659,298.631
0.58,298.751,298.723
0.59,298.844,298.815
0.6,298.936,298.907
0.61,299.028,298.999
0.62,299.119,299.091
0.63,299.146,299.148
0.64,299.14,299.142
0.65,299.134,299.136
0.66,299.128,299.13
0.67,299.122,299.124
0.68,299.116,299.118
0.69,299.11,299.112
0.7,299.104,299.106
0.71,299.098,299.1
0.72,299.092,299.094
0.73,299.086,299.088
0.74,299.08,299.082
0.75,299.075,299.076
0.76,299.069,299.07
0.77,299.063,299.064
0.78,299.057,299.059
0.79,299.051,299.053
0.8,299.045,299.047
0.81,299.039,299.041
0.82,299.033,299.035
0.83,299.027,299.029
0.84,299.021,299.023
0.85,299.016,299.017
0.86,299.01,299.011
0.87,299.004,299.006
0.88,298.998,299
0.89,298.992,298.994
0.9,298.986,298.988
0.91,298.98,298.982
0.92,298.975,298.976
0.93,298.969,298.971
0.94,298.963,298.965
0.95,298.957,298.959
0.96,298.951,298.953
0.97,298.946,298.947
0.98,298.94,298.942
0.99,298.934,298.936
1,298.928,298.93
1.01,298.922,298.924
1.02,298.917,298.918
1.03,298.911,298.913
1.04,298.905,298.907
1.05,298.899,298.901
1.06,298.894,298.895
1.07,298.888,298.89
1.08,298.882,298.884
1.09,298.876,298.878
1.1,298.871,298.872
1.11,298.865,298.867
1.12,298.859,298.861
1.13,298.854,298.855
1.14,298.848,298.85
1.15,298.842,298.844
1.16,298.837,298.838
1.17,298.831,298.833
1.18,298.825,298.827
1.19,298.82,298.821
1.2,298.814,298.816
1.21,298.808,298.81
1.22,298.803,298.804
1.23,298.797,298.799
1.24,298.791,298.793
1.25,298.786,298.787
1.26,298.78,298.782
1.27,298.774,298.776
1.28,298.769,298.77
1.29,298.763,298.765
1.3,298.758,298.759
1.31,298.752,298.754
1.32,298.746,298.748
1.33,298.741,298.742
1.34,298.735,298.737
1.35,298.73,298.731
1.36,298.724,298.726
1.37,298.718,298.72
1.38,298.713,298.714
1.39,298.707,298.709
1.4,298.702,298.703
1.41,298.696,298.698
1.42,298.691,298.692
1.43,298.685,298.687
1.44,298.68,298.681
1.45,298.674,298.676
1.46,298.668,298.67
1.47,298.663,298.665
1.48,298.657,298.659
1.49,298.652,298.654
1.5,298.646,298.648
1.51,298.641,298.643
1.52,298.635,298.637
1.53,298.63,298.632
1.54,298.625,298.626
1.55,298.619,298.621
1.56,298.614,298.615
1.57,298.608,298.61
1.58,298.603,298.604
1.59,298.597,298.599
1.6,298.592,298.593
1.61,298.586,298.588
1.62,298.581,298.583
1.63,298.575,298.577
1.64,298.57,298.572
1.65,298.565,298.566
1.66,298.559,298.561
1.67,298.554,298.555
1.68,298.548,298.55
1.69,298.543,298.545
1.7,298.538,298.539
1.71,298.532,298.534
1.72,298.527,298.528
1.73,298.521,298.523
1.74,298.516,298.518
1.75,298.511,298.512
1.76,298.505,298.507
1.77,298.5,298.502
1.78,298.495,298.496
1.79,298.489,298.491
1.8,298.484,298.486
1.81,298.479,298.48
1.82,298.473,298.475
1.83,298.468,298.47
1.84,298.463,298.464
1.85,298.457,298.459
1.86,298.452,298.454
1.87,298.447,298.448
1.88,298.441,298.443
1.89,298.436,298.438
1.9,298.431,298.433
1.91,298.426,298.427
1.92,298.42,298.422
1.93,298.415,298.417
1.94,298.41,298.411
1.95,298.405,298.406
1.96,298.399,298.401
1.97,298.394,298.396
1.98,298.389,298.39
1.99,298.384,298.385
2,298.38,298.38
2.01,298.373,298.375
2.02,298.367,298.37
2.03,298.362,298.364
2.04,298.357,298.359
2.05,298.352,298.354
2.06,298.347,298.349
2.07,298.341,298.343
2.08,298.336,298.338
2.09,298.331,298.333
2.1,298.326,298.328
2.11,298.321,298.323
2.12,298.315,298.318
2.13,298.31,298.312
2.14,298.305,298.307
2.15,298.3,298.302
2.16,298.295,298.297
2.17,298.29,298.292
2.18,298.285,298.287
2.19,298.279,298.282
2.2,298.274,298.276
2.21,298.269,298.271
2.22,298.264,298.266
2.23,298.259,298.261
2.24,298.254,298.256
2.25,298.249,298.251
2.26,298.244,298.246
2.27,298.352,298.313
2.28,298.444,298.405
2.29,298.537,298.498
2.3,298.629,298.591
2.31,298.722,298.683
2.32,298.814,298.775
2.33,298.906,298.867
2.34,298.998,298.96
2.35,299.09,299.051
2.36,299.182,299.143
2.37,299.273,299.235
2.38,299.365,299.326
2.39,299.456,299.418
2.4,299.547,299.509
2.41,299.638,299.6
2.42,299.729,299.691
2.43,299.82,299.782
2.44,299.911,299.873
2.45,300.002,299.964
2.46,300.092,300.054
2.47,300.182,300.144
2.48,300.273,300.235
2.49,300.363,300.325
2.5,300.453,300.415
2.51,300.543,300.505
2.52,300.632,300.595
2.53,300.722,300.684
2.54,300.811,300.774
2.55,300.901,300.863
2.56,300.99,300.952
2.57,301.079,301.042
2.58,301.168,301.131
2.59,301.257,301.22
2.6,301.346,301.308
2.61,301.434,301.397
2.62,301.523,301.486
2.63,301.611,301.574
2.64,301.699,301.662
2.65,301.788,301.751
2.66,301.876,301.839
2.67,301.964,301.927
2.68,301.945,301.949
2.69,301.936,301.941
2.7,301.928,301.932
2.71,301.919,301.923
