"time","Out1[1]","Out1[2]","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out9","Out10","Out11","Out2","Out3","Out4","Out5"
0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,12,12
0.02,0,0.0199987,1,0,1,0,1,0,0,0,0,6,0,0,12,12
0.04,0,0.0399893,1,0,1,0,1,0,0,0,0,6,0,0,12,12
0.06,0,0.059964,1,0,1,0,1,0,0,0,0,6,0,0,12,12
0.09,0,0.0898785,1,0,1,0,1,0,0,0,0,6,1,0,12,12
0.12,0,0.119712,1,0,1,0,1,0,0,0,0.0199667,6,1,0,12,12
0.14,0,0.139543,1,0,1,0,1,0,0,0,0.0199667,6,1,0,12,12
0.16,0,0.159318,1,0,1,0,1,0,0,0,0.0199667,6,1,0,12,12
0.18,0,0.17903,1,0,1,0,1,0,0,0,0.0199667,6,2,0,12,12
0.21,0,0.20846,1,0,1,0,1,0,0,0,0.0397339,6,2,0,12,12
0.24,0,0.237703,1,0,1,0,1,0,0,0.21823,0.0397339,6,2,0,12,12
0.27,0,0.266731,1,0,1,0,1,0,0,0.21823,0.0397339,6,3,0,12,12
0.29,0,0.285952,1,0,1,0,1,0,0,0.21823,0.0397339,6,3,0,12,12
0.32,0,0.314567,1,0,1,0,1,0,0.29552,0.21823,0.059104,6,3,0,12,12
0.34,0,0.333487,1,0,1,0,1,0,0.29552,0.21823,0.059104,6,4,0,12,12
0.36,0,0.352274,1,0,1,0,1,0,0.29552,0.21823,0.059104,6,4,0,12,12
0.38,0,0.37092,1,0,1,0,1,0,0.29552,0.21823,0.059104,6,4,0,12,12
0.41,0,0.398609,1,0,1,0,1,0,0.29552,0.21823,0.0778837,6,4,0,12,12
0.43,0,0.416871,1,0,1,0,1,0,0.29552,0.21823,0.0778837,6,5,0,12,12
0.46,0,0.443948,1,0,1,0,1,0,0.29552,0.425939,0.0778837,6,5,0,12,12
0.48,0,0.461779,1,0,1,0,1,0,0.29552,0.425939,0.0778837,6,5,0,12,12
0.51,0,0.488177,1,0,1,0,1,0,0.29552,0.425939,0.0958851,6,5,0,12,12
0.53,0,0.505533,1,0,1,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.55,0,0.522687,1,0,1,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.57,0,0.539632,1,0,1,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.59,0,0.556361,1,0,1,0,1,0,0.29552,0.425939,0.0958851,6,6,0,12,12
0.62,0,0.581035,1,0,1,0,1,0,0.564642,0.425939,0.112928,6,6,0,12,12
0.64,0,0.597195,1,0,1,0,1,0,0.564642,0.425939,0.112928,6,7,0,12,12
0.66,0,0.613117,1,0,1,0,1,0,0.564642,0.613117,0.112928,6,7,0,12,12
0.68,0,0.628793,1,0,1,0,1,0,0.564642,0.613117,0.112928,6,7,0,12,12
0.7,0,0.644218,1,0,1,0,1,0,0.564642,0.613117,0.128844,6,7,0,12,12
0.72,0,0.659385,1,0,1,0,1,0,0.564642,0.613117,0.128844,6,7,0,12,12
0.74,0,0.674288,1,0,1,0,1,0,0.564642,0.613117,0.128844,6,8,0,12,12
0.76,0,0.688921,1,0,1,0,1,0,0.564642,0.613117,0.128844,6,8,0,12,12
0.78,0,0.703279,1,0,1,0,1,0,0.564642,0.613117,0.128844,6,8,0,12,12
0.81,0,0.724287,1,0,1,0,1,0,0.564642,0.613117,0.143471,6,8,0,12,12
0.83,0,0.737931,1,0,1,0,1,0,0.564642,0.613117,0.143471,6,8,0,12,12
0.85,0,0.75128,1,0,1,0,1,0,0.564642,0.613117,0.143471,6,9,0,12,12
0.87,0,0.764329,1,0,1,0,1,0,0.564642,0.613117,0.143471,6,9,0,12,12
0.9,0,0.783327,1,0,1,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
0.92,0,0.795602,1,0,1,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
0.94,0,0.807558,1,0,1,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
0.96,0,0.819192,1,0,1,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
0.98,0,0.830497,1,0,1,0,1,0,0.783327,0.770739,0.156665,6,9,0,12,12
1,1,0.841471,1,0,1,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.02,1,0.852108,1,0,1,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.04,1,0.862404,1,0,1,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.06,1,0.872355,1,0,1,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.08,1,0.881958,1,0,1,0,1,0,0.783327,0.770739,0.168294,6,10,0,12,12
1.1,1,0.891207,1,0,1,0,1,0,0.783327,0.891207,0.178241,6,10,0,12,12
1.12,1,0.9001,1,0,1,0,1,0,0.783327,0.891207,0.178241,6,10,0,12,12
1.14,1,0.908633,1,0,1,0,1,0,0.783327,0.891207,0.178241,6,10,0,12,12
1.16,1,0.916803,1,0,1,0,1,0,0.783327,0.891207,0.178241,6,11,0,12,12
1.18,1,0.924606,1,0,1,0,1,0,0.783327,0.891207,0.178241,6,11,0,12,12
1.21,1,0.935616,1,0,1,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.23,1,0.942489,1,0,1,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.25,1,0.948985,1,0,1,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.27,1,0.955101,1,0,1,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.29,1,0.960835,1,0,1,0,1,0,0.932039,0.891207,0.186408,6,11,0,12,12
1.31,1,0.966185,1,0,1,0,1,0,0.932039,0.891207,0.192712,6,11,0,12,12
1.33,1,0.971148,1,0,1,0,1,0,0.932039,0.968715,0.192712,6,11,0,12,12
1.35,1,0.975723,1,0,1,0,1,0,0.932039,0.968715,0.192712,6,11,0,12,12
1.37,1,0.979908,1,0,1,0,1,0,0.932039,0.968715,0.192712,6,11,0,12,12
1.39,1,0.983701,1,0,1,0,1,0,0.932039,0.968715,0.192712,6,11,0,12,12
1.41,1,0.9871,1,0,1,0,1,0,0.932039,0.968715,0.19709,6,11,0,12,12
1.43,1,0.990105,1,0,1,0,1,0,0.932039,0.968715,0.19709,6,11,0,12,12
1.45,1,0.992713,1,0,1,0,1,0,0.932039,0.968715,0.19709,6,11,0,12,12
1.47,1,0.994924,1,0,1,0,1,0,0.932039,0.968715,0.19709,6,11,0,12,12
1.49,1,0.996738,1,0,1,0,1,0,0.932039,0.968715,0.19709,6,11,0,12,12
1.52,1,0.99871,1,0,1,0,1,0,0.997495,0.968715,0.199499,6,11,0,12,12
1.54,1,0.999526,1,0,1,0,1,0,0.997495,0.999526,0.199499,6,11,0,12,12
1.56,1,0.999942,1,0,1,0,1,0,0.997495,0.999526,0.199499,6,11,0,12,12
1.58,1,0.999958,1,0,1,0,1,0,0.997495,0.999526,0.199499,6,11,0,12,12
1.6,1,0.999574,1,0,1,0,1,0,0.997495,0.999526,0.199915,6,11,0,12,12
1.62,1,0.99879,1,0,1,0,1,0,0.997495,0.999526,0.199915,6,11,0,12,12
1.64,1,0.997606,1,0,1,0,1,0,0.997495,0.999526,0.199915,6,11,0,12,12
1.66,1,0.996024,1,0,1,0,1,0,0.997495,0.999526,0.199915,6,11,0,12,12
1.68,1,0.994043,1,0,1,0,1,0,0.997495,0.999526,0.199915,6,11,0,12,12
1.7,1,0.991665,1,0,1,0,1,0,0.997495,0.999526,0.198333,6,11,0,12,12
1.72,1,0.98889,1,0,1,0,1,0,0.997495,0.999526,0.198333,6,11,0,12,12
1.74,1,0.985719,1,0,1,0,1,0,0.997495,0.999526,0.198333,6,11,0,12,12
1.77,1,0.980224,1,0,1,0,1,0,0.997495,0.982154,0.198333,6,11,0,12,12
1.79,1,0.976071,1,0,1,0,1,0,0.997495,0.982154,0.198333,6,11,0,12,12
1.82,1,0.969109,1,0,1,0,1,0,0.973848,0.982154,0.19477,6,11,0,12,12
1.84,1,0.963983,1,0,1,0,1,0,0.973848,0.982154,0.19477,6,11,0,12,12
1.86,1,0.958471,1,0,1,0,1,0,0.973848,0.982154,0.19477,6,11,0,12,12
1.88,1,0.952576,1,0,1,0,1,0,0.973848,0.982154,0.19477,6,11,0,12,12
1.9,1,0.9463,1,0,1,0,1,0,0.973848,0.982154,0.18926,6,11,0,12,12
1.92,1,0.939645,1,0,1,0,1,0,0.973848,0.982154,0.18926,6,11,0,12,12
1.94,1,0.932615,1,0,1,0,1,0,0.973848,0.982154,0.18926,6,11,0,12,12
1.96,1,0.925212,1,0,1,0,1,0,0.973848,0.982154,0.18926,6,11,0,12,12
1.98,1,0.917438,1,0,1,0,1,0,0.973848,0.917438,0.18926,6,11,0,12,12
2,1,0.909297,1,0,1,0,1,0,0.973848,0.917438,0.181859,6,10,0,12,12
2.03,1,0.896406,1,0,1,0,1,0,0.973848,0.917438,0.181859,6,10,0,12,12
2.06,1,0.882707,1,0,1,0,1,0,0.973848,0.917438,0.181859,6,10,0,12,12
2.09,1,0.868215,1,0,1,0,1,0,0.973848,0.917438,0.181859,6,10,0,12,12
2.12,1,0.85294,1,0,1,0,1,0,0.863209,0.917438,0.172642,6,10,0,12,12
2.15,1,0.836899,1,0,1,0,1,0,0.863209,0.917438,0.172642,6,10,0,12,12
2.18,1,0.820104,1,0,1,0,1,0,0.863209,0.917438,0.172642,6,9,0,12,12
2.21,1,0.802571,1,0,1,0,1,0,0.863209,0.808496,0.161699,6,9,0,12,12
2.24,1,0.784316,1,0,1,0,1,0,0.863209,0.808496,0.161699,6,9,0,12,12
2.27,1,0.765355,1,0,1,0,1,0,0.863209,0.808496,0.161699,6,9,0,12,12
2.3,1,0.745705,1,0,1,0,1,0,0.863209,0.808496,0.149141,6,8,0,12,12
2.33,1,0.725384,1,0,1,0,1,0,0.863209,0.808496,0.149141,6,8,0,12,12
2.36,1,0.704411,1,0,1,0,1,0,0.863209,0.808496,0.149141,6,8,0,12,12
2.39,1,0.682803,1,0,1,0,1,0,0.863209,0.808496,0.149141,6,8,0,12,12
2.42,1,0.660581,1,0,1,0,1,0,0.675463,0.660581,0.135093,6,7,0,12,12
2.45,1,0.637765,1,0,1,0,1,0,0.675463,0.660581,0.135093,6,7,0,12,12
2.48,1,0.614374,1,0,1,0,1,0,0.675463,0.660581,0.135093,6,7,0,12,12
2.51,1,0.590431,1,0,1,0,1,0,0.675463,0.660581,0.119694,6,7,0,12,12
2.54,1,0.565956,1,0,1,0,1,0,0.675463,0.660581,0.119694,6,6,0,12,12
2.57,1,0.540972,1,0,1,0,1,0,0.675463,0.660581,0.119694,6,6,0,12,12
2.6,1,0.515501,1,0,1,0,1,0,0.675463,0.660581,0.1031,6,6,0,12,12
2.63,1,0.489567,1,0,1,0,1,0,0.675463,0.660581,0.1031,6,5,0,12,12
2.66,1,0.463191,1,0,1,0,1,0,0.675463,0.480823,0.1031,6,5,0,12,12
2.69,1,0.436399,1,0,1,0,1,0,0.675463,0.480823,0.1031,6,5,0,12,12
2.72,1,0.409214,1,0,1,0,1,0,0.42738,0.480823,0.085476,6,4,0,12,12
2.75,1,0.381661,1,0,1,0,1,0,0.42738,0.480823,0.085476,6,4,0,12,12
2.78,1,0.353764,1,0,1,0,1,0,0.42738,0.480823,0.085476,6,4,0,12,12
2.81,1,0.325549,1,0,1,0,1,0,0.42738,0.480823,0.0669976,6,3,0,12,12
2.84,1,0.297041,1,0,1,0,1,0,0.42738,0.480823,0.0669976,6,3,0,12,12
2.87,1,0.268266,1,0,1,0,1,0,0.42738,0.277886,0.0669976,6,3,0,12,12
2.9,1,0.239249,1,0,1,0,1,0,0.42738,0.277886,0.0478499,6,2,0,12,12
2.93,1,0.210017,1,0,1,0,1,0,0.42738,0.277886,0.0478499,6,2,0,12,12
2.96,1,0.180596,1,0,1,0,1,0,0.42738,0.277886,0.0478499,6,2,0,12,12
2.99,1,0.151013,1,0,1,0,1,0,0.42738,0.277886,0.0478499,6,1,0,12,12
3.02,1,0.121293,1,0,1,0,1,0,0.14112,0.277886,0.028224,6,1,0,12,12
3.05,1,0.0914646,1,0,1,0,1,0,0.14112,0.277886,0.028224,6,1,0,12,12
3.08,1,0.0615537,1,0,1,0,1,0,0.14112,0.0615537,0.028224,6,0,0,12,12
3.11,1,0.0315874,1,0,1,0,1,0,0.14112,0.0615537,0.00831613,6,0,0,12,12
3.14,1,0.00159265,1,0,1,0,1,0,0.14112,0.0615537,0.00831613,6,0,0,12,12
3.17,1,-0.0284035,1,0,1,0,1,0,0.14112,0.0615537,0.00831613,6,-1,-1,12,12
3.2,1,-0.0583741,1,0,1,0,1,0,0.14112,0.0615537,-0.0116748,6,-1,-1,12,12
3.23,1,-0.0882922,1,0,1,0,1,0,0.14112,0.0615537,-0.0116748,6,-2,-1,12,12
3.26,1,-0.118131,1,0,1,0,1,0,0.14112,0.0615537,-0.0116748,6,-2,-1,12,12
3.29,1,-0.147863,1,0,1,0,1,0,0.14112,0.0615537,-0.0116748,6,-2,-1,12,12
3.32,1,-0.177462,1,0,1,0,1,0,-0.157746,-0.157746,-0.0315491,6,-3,-1,12,12
3.35,1,-0.206902,1,0,1,0,1,0,-0.157746,-0.157746,-0.0315491,6,-3,-1,12,12
3.38,1,-0.236155,1,0,1,0,1,0,-0.157746,-0.157746,-0.0315491,6,-3,-1,12,12
3.41,1,-0.265196,1,0,1,0,1,0,-0.157746,-0.157746,-0.0511082,6,-4,-1,12,12
3.44,1,-0.293998,1,0,1,0,1,0,-0.157746,-0.157746,-0.0511082,6,-4,-1,12,12
3.47,1,-0.322536,1,0,1,0,1,0,-0.157746,-0.157746,-0.0511082,6,-4,-1,12,12
3.5,1,-0.350783,1,0,1,0,1,0,-0.157746,-0.157746,-0.0701566,6,-5,-1,12,12
3.53,1,-0.378715,1,0,1,0,1,0,-0.157746,-0.369441,-0.0701566,6,-5,-1,12,12
3.56,1,-0.406306,1,0,1,0,1,0,-0.157746,-0.369441,-0.0701566,6,-5,-1,12,12
3.59,1,-0.433531,1,0,1,0,1,0,-0.157746,-0.369441,-0.0701566,6,-6,-1,12,12
3.62,1,-0.460366,1,0,1,0,1,0,-0.44252,-0.369441,-0.0885041,6,-6,-1,12,12
3.65,1,-0.486787,1,0,1,0,1,0,-0.44252,-0.369441,-0.0885041,6,-6,-1,12,12
3.68,1,-0.512769,1,0,1,0,1,0,-0.44252,-0.369441,-0.0885041,6,-7,-1,12,12
3.71,1,-0.538291,1,0,1,0,1,0,-0.44252,-0.369441,-0.105967,6,-7,-1,12,12
3.74,1,-0.563327,1,0,1,0,1,0,-0.44252,-0.563327,-0.105967,6,-7,-1,12,12
3.77,1,-0.587857,1,0,1,0,1,0,-0.44252,-0.563327,-0.105967,6,-8,-1,12,12
3.8,1,-0.611858,1,0,1,0,1,0,-0.44252,-0.563327,-0.122372,6,-8,-1,12,12
3.83,1,-0.635308,1,0,1,0,1,0,-0.44252,-0.563327,-0.122372,6,-8,-1,12,12
3.86,1,-0.658186,1,0,1,0,1,0,-0.44252,-0.563327,-0.122372,6,-8,-1,12,12
3.89,1,-0.680473,1,0,1,0,1,0,-0.44252,-0.563327,-0.122372,6,-9,-1,12,12
3.92,1,-0.702146,1,0,1,0,1,0,-0.687766,-0.563327,-0.137553,6,-9,-1,12,12
3.95,1,-0.723188,1,0,1,0,1,0,-0.687766,-0.563327,-0.137553,6,-9,-1,12,12
3.98,1,-0.743579,1,0,1,0,1,0,-0.687766,-0.730058,-0.137553,6,-9,-1,12,12
4.01,1,-0.763301,1,0,1,0,1,0,-0.687766,-0.730058,-0.15136,6,-10,-1,12,12
4.04,1,-0.782336,1,0,1,0,1,0,-0.687766,-0.730058,-0.15136,6,-10,-1,12,12
4.07,1,-0.800667,1,0,1,0,1,0,-0.687766,-0.730058,-0.15136,6,-10,-1,12,12
4.1,1,-0.818277,1,0,1,0,1,0,-0.687766,-0.730058,-0.163655,6,-10,-1,12,12
4.13,1,-0.835151,1,0,1,0,1,0,-0.687766,-0.730058,-0.163655,6,-11,-1,12,12
4.16,1,-0.851273,1,0,1,0,1,0,-0.687766,-0.730058,-0.163655,6,-11,-1,12,12
4.19,1,-0.86663,1,0,1,0,1,0,-0.687766,-0.861597,-0.163655,6,-11,-1,12,12
4.22,1,-0.881206,1,0,1,0,1,0,-0.871576,-0.861597,-0.174315,6,-11,-1,12,12
4.25,1,-0.894989,1,0,1,0,1,0,-0.871576,-0.861597,-0.174315,6,-11,-1,12,12
4.28,1,-0.907967,1,0,1,0,1,0,-0.871576,-0.861597,-0.174315,6,-11,-1,12,12
4.31,1,-0.920128,1,0,1,0,1,0,-0.871576,-0.861597,-0.183233,6,-12,-1,12,12
4.34,1,-0.931461,1,0,1,0,1,0,-0.871576,-0.861597,-0.183233,6,-12,-1,12,12
4.37,1,-0.941955,1,0,1,0,1,0,-0.871576,-0.861597,-0.183233,6,-12,-1,12,12
4.4,1,-0.951602,1,0,1,0,1,0,-0.871576,-0.951602,-0.19032,6,-12,-1,12,12
4.43,1,-0.960392,1,0,1,0,1,0,-0.871576,-0.951602,-0.19032,6,-12,-1,12,12
4.46,1,-0.968319,1,0,1,0,1,0,-0.871576,-0.951602,-0.19032,6,-12,-1,12,12
4.49,1,-0.975373,1,0,1,0,1,0,-0.871576,-0.951602,-0.19032,6,-12,-1,12,12
4.52,1,-0.98155,1,0,1,0,1,0,-0.97753,-0.951602,-0.195506,6,-12,-1,12,12
