"time","TAmb","TDif","TRes","heatCapacitor.T"
0.00000000000000E+00,2.93150000000000E+02,2.00000000000000E+00,2.93150000000000E+02,2.93150000000000E+02
2.00000000000000E-02,2.93150000000000E+02,2.00000000000000E+00,2.93349444407076E+02,2.93349444407076E+02
4.00000000000000E-02,2.93150000000000E+02,2.00000000000000E+00,2.93548335405530E+02,2.93548335405530E+02
6.00000000000000E-02,2.93150000000000E+02,2.00000000000000E+00,2.93746674771452E+02,2.93746674771452E+02
8.00000000000000E-02,2.93150000000000E+02,2.00000000000000E+00,2.93944464273448E+02,2.93944464273448E+02
1.00000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.94141705672688E+02,2.94141705672688E+02
1.20000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.94338400722949E+02,2.94338400722949E+02
1.40000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.94534551170660E+02,2.94534551170660E+02
1.60000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.94730158754949E+02,2.94730158754949E+02
1.80000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.94925225207684E+02,2.94925225207684E+02
2.00000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.95119752253519E+02,2.95119752253519E+02
2.20000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.95313741609939E+02,2.95313741609939E+02
2.40000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.95507194987298E+02,2.95507194987298E+02
2.60000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.95700114088866E+02,2.95700114088866E+02
2.80000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.95892500610870E+02,2.95892500610870E+02
3.00000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.96084356242537E+02,2.96084356242537E+02
3.20000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.96275682666132E+02,2.96275682666132E+02
3.40000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.96466481557005E+02,2.96466481557005E+02
3.60000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.96656754583627E+02,2.96656754583627E+02
3.80000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.96846503407634E+02,2.96846503407634E+02
4.00000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.97035729683864E+02,2.97035729683864E+02
4.12110976193071E-01,2.93150000000000E+02,2.00000000000000E+00,2.97150000000000E+02,2.97150000000000E+02
4.12110976193071E-01,2.93150000000000E+02,2.00000000000000E+00,2.97150000000000E+02,2.97150000000000E+02
4.20000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.97224311016002E+02,2.97224311016002E+02
4.40000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.97412497487687E+02,2.97412497487687E+02
4.60000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.97600166334476E+02,2.97600166334476E+02
4.80000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.97787319184423E+02,2.97787319184423E+02
5.00000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.97973957658984E+02,2.97973957658984E+02
5.20000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.98160083373055E+02,2.98160083373055E+02
5.40000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.98345697935005E+02,2.98345697935005E+02
5.60000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.98530802946719E+02,2.98530802946719E+02
5.80000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.98715400003633E+02,2.98715400003633E+02
6.00000000000000E-01,2.93150000000000E+02,2.00000000000000E+00,2.98899490694769E+02,2.98899490694769E+02
