"time","driveAngle","PI.I.y","inertia1.phi","inertia1.w","integrator.y","spring.phi_rel","spring.w_rel"
0.00000000000000E+00,1.57000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.71612953244125E-05,1.57000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.71630114539450E-01,1.57000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
5.00000000000000E-01,1.57000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
5.00000000000000E-01,1.57000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
5.00000213600800E-01,1.57000000000000E+00,-9.99999999995438E-02,9.74562180459820E-19,4.56253993074902E-12,2.13600800267370E-07,9.99999999999999E-04,-4.56253992970819E-12
5.00756577759644E-01,1.57000000000000E+00,-9.99946459403295E-02,3.68420412386426E-08,4.87093958735084E-05,7.56577759644317E-04,9.99964892591785E-04,-4.64160124501391E-05
5.01979743677140E-01,1.57000000000000E+00,-9.99776521798489E-02,2.22822233686514E-07,2.12864569331315E-04,1.97974367713988E-03,9.99787052798853E-04,-2.03656828612849E-04
5.03202909594636E-01,1.57000000000000E+00,-9.99496803157381E-02,6.51035685862394E-07,4.54361518182306E-04,3.20290959463544E-03,9.99386397129029E-04,-4.22775780406413E-04
5.04426075512131E-01,1.57000000000000E+00,-9.99105661015877E-02,1.41949463927184E-06,7.71988338667888E-04,4.42607551213100E-03,9.98685694441178E-04,-6.99039141986969E-04
5.06370503381211E-01,1.57000000000000E+00,-9.98267915749008E-02,3.53856474160986E-06,1.39539862472795E-03,6.37050338121117E-03,9.96827992705641E-04,-1.20446514956182E-03
