"Time","qinj@expseu_","q@INJ01","sacp@INJ01","x1@INJ01","volume@INJ01","pa@DVALV01","lca@PUMP01","p1@PUMP01"
0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5.000000000000000E+01,1.000000000000000E-09,0.000000000000000E+00,1.000000000000000E+01,0.000000000000000E+00,2.500000000000000E+00
1.000000000000000E-05,-1.637955557597200E-09,-9.831679106119899E-09,4.999999998688900E+01,1.000000000000000E-09,-1.637955557597200E-15,9.935384922459900E+00,1.274403612530700E-08,2.499285708553300E+00
2.000000000000000E-05,-3.276556675922900E-09,-9.831651169956600E-09,4.999999998688900E+01,1.000000000000000E-09,-3.276556675922900E-15,9.936016741397200E+00,2.955929452989700E-08,2.500054181290700E+00
3.000000000000000E-05,-4.915157925196700E-09,-9.831595297630099E-09,4.999999998689000E+01,1.000000000000000E-09,-4.915157925196700E-15,9.974642719122700E+00,5.173866356894000E-08,2.500095424202000E+00
4.000000000000000E-05,-6.553759290337200E-09,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-6.553759290337200E-15,9.961617553851200E+00,8.057503159760899E-08,2.499986588842700E+00
5.000000000000000E-05,-8.192360760419101E-09,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-8.192360760419100E-15,9.939846805752500E+00,1.173612869710800E-07,2.500018330295400E+00
6.000000000000000E-05,-9.830962318078501E-09,-9.831609265711700E-09,4.999999998689000E+01,1.000000000000000E-09,-9.830962318078500E-15,9.957153872698200E+00,1.633903180445100E-07,2.500110088204800E+00
6.999999999999999E-05,-1.146956394952200E-08,-9.831441648732000E-09,4.999999998689000E+01,1.000000000000000E-09,-1.146956394952200E-14,9.967452029278300E+00,2.199550131730800E-07,2.500044393452500E+00
8.000000000000001E-05,-1.310816561550300E-08,-9.831602281670901E-09,4.999999998689000E+01,1.000000000000000E-09,-1.310816561550300E-14,9.953101950703200E+00,2.883482607119700E-07,2.500028292496500E+00
9.000000000000001E-05,-1.474676731277700E-08,-9.831623233793300E-09,4.999999998689000E+01,1.000000000000000E-09,-1.474676731277700E-14,9.952334975668601E+00,3.698629490163400E-07,2.500121860464600E+00
