"time","heatCapacitor_0T","switch_0Controll"
0,20,0
0.01,20,0
0.01,20.0998,0
0.02,20.0998,0
0.02,20.1995,0
0.03,20.1995,0
0.03,20.2991,0
0.04,20.2991,0
0.04,20.3986,0
0.05,20.3986,0
0.05,20.4979,0
0.06,20.4979,0
0.06,20.5971,0
0.07,20.5971,0
0.07,20.6962,0
0.08,20.6962,0
0.08,20.7952,0
0.09,20.7952,0
0.09,20.894,0
0.1,20.894,0
0.1,20.9927,0
0.11,20.9927,0
0.11,21.0912,0
0.12,21.0912,0
0.12,21.1896,0
0.13,21.1896,0
0.13,21.2879,0
0.14,21.2879,0
0.14,21.3861,0
0.15,21.3861,0
0.15,21.4841,0
0.16,21.4841,0
0.16,21.5819,0
0.17,21.5819,0
0.17,21.6797,0
0.18,21.6797,0
0.18,21.7773,0
0.19,21.7773,0
0.19,21.8747,0
0.2,21.8747,0
0.2,21.9721,0
0.21,21.9721,0
0.21,22.0693,0
0.22,22.0693,0
0.22,22.1663,0
0.23,22.1663,0
0.23,22.2633,0
0.24,22.2633,0
0.24,22.3601,0
0.25,22.3601,0
0.25,22.4568,0
0.26,22.4568,0
0.26,22.5533,0
0.27,22.5533,0
0.27,22.6497,0
0.28,22.6497,0
0.28,22.746,0
0.29,22.746,0
0.29,22.8421,0
0.3,22.8421,0
0.3,22.9381,0
0.31,22.9381,0
0.31,23.034,0
0.32,23.034,0
0.32,23.1298,0
0.33,23.1298,0
0.33,23.2254,0
0.34,23.2254,0
0.34,23.3208,0
0.35,23.3208,0
0.35,23.4162,0
0.36,23.4162,0
0.36,23.5114,0
0.37,23.5114,0
0.37,23.6065,0
0.38,23.6065,0
0.38,23.7014,0
0.39,23.7014,0
0.39,23.7962,0
0.4,23.7962,0
0.4,23.8909,0
0.41,23.8909,0
0.41,23.9855,0
0.42,23.9855,0
0.42,24.0799,0
0.43,24.0799,0
0.43,24.1742,0
0.44,24.1742,0
0.44,24.2684,0
0.45,24.2684,0
0.45,24.3624,0
0.46,24.3624,0
0.46,24.4564,0
0.47,24.4564,0
0.47,24.5502,0
0.48,24.5502,0
0.48,24.6438,0
0.49,24.6438,0
0.49,24.7373,0
0.5,24.7373,0
0.5,24.8307,0
0.51,24.8307,0
0.51,24.924,0
0.52,24.924,0
