"time","FMU_Interface_OUT0_Engine_Power","FMU_Interface_OUT1_Engine_Speed","FMU_Interface_OUT2_Engine_Torque","FMU_Interface_OUT3_Load_Signal","FMU_Interface_OUT4_Fuel_Consumption"
0,0,0,0,0,0
0.4,5.70065,1088.74,50.5127,0.385184,2.41969
0.9,5.52174,1054.58,50.8212,0.390631,2.38022
1.3,5.42201,1035.53,50.5351,0.393828,2.36019
1.7,5.35708,1023.13,50.3483,0.395975,2.34724
2.1,5.31481,1015.05,50.2267,0.397402,2.33881
2.5,5.28729,1009.8,50.1476,0.398343,2.33332
2.9,5.26938,1006.38,50.0961,0.398962,2.32975
3.3,5.25773,1004.15,50.0625,0.399366,2.32742
3.7,5.25014,1002.7,50.0407,0.399631,2.32591
4.2,5.24426,1001.58,50.0238,0.399836,2.32474
4.7,5.24083,1000.92,50.0139,0.399956,2.32405
5.2,5.23882,1000.54,50.0081,0.400027,2.32365
5.7,5.23764,1000.32,50.0048,0.400068,2.32342
6.2,5.23695,1000.18,50.0028,0.400092,2.32328
6.7,5.23655,1000.11,50.0016,0.400106,2.3232
7.2,5.23632,1000.06,50.001,0.400114,2.32315
7.7,5.23618,1000.04,50.0006,0.400119,2.32313
8.2,5.2361,1000.02,50.0003,0.400122,2.32311
8.7,5.23605,1000.01,50.0002,0.400124,2.3231
9.2,5.23603,1000.01,50.0001,0.400125,2.3231
9.7,5.23601,1000,50.0001,0.400125,2.32309
10.2,5.236,1000,50,0.400126,2.32309
10.7,5.236,1000,50,0.400126,2.32309
11.2,5.23599,1000,50,0.400126,2.32309
11.7,5.23599,1000,50,0.400126,2.32309
12.2,5.23599,1000,50,0.400126,2.32309
12.7,5.23599,1000,50,0.400126,2.32309
13.2,5.23599,1000,50,0.400126,2.32309
13.7,5.23599,1000,50,0.400126,2.32309
14.2,5.23599,1000,50,0.400126,2.32309
14.7,5.23599,1000,50,0.400126,2.32309
15.2,5.23599,1000,50,0.400126,2.32309
15.7,5.23599,1000,50,0.400126,2.32309
16.2,5.23599,1000,50,0.400126,2.32309
16.6,5.23599,1000,50,0.400126,2.32309
17,5.23599,1000,50,0.400126,2.32309
17.4,5.23599,1000,50,0.400126,2.32309
17.8,5.23599,1000,50,0.400126,2.32309
18.2,5.23599,1000,50,0.400126,2.32309
18.6,5.23599,1000,50,0.400126,2.32309
19,5.23599,1000,50,0.400126,2.32309
19.4,5.23599,1000,50,0.400126,2.32309
19.8,5.23599,1000,50,0.400126,2.32309
20.2,10.8225,1033.47,97.4379,0.725791,3.3279
20.6,10.8171,1032.95,100.484,0.726052,3.32685
21,10.6971,1021.5,100.324,0.731875,3.30368
21.4,10.6185,1013.99,100.211,0.735762,3.28851
21.8,10.5674,1009.11,100.137,0.738324,3.27864
22.2,10.5341,1005.93,100.089,0.740005,3.27221
22.6,10.5124,1003.86,100.058,0.741105,3.26802
23,10.4983,1002.51,100.038,0.741824,3.2653
23.4,10.4891,1001.64,100.025,0.742293,3.26353
23.8,10.4831,1001.06,100.016,0.742599,3.26237
24.2,10.4792,1000.69,100.01,0.742798,3.26162
24.6,10.4767,1000.45,100.007,0.742928,3.26113
25,10.475,1000.29,100.004,0.743012,3.26082
25.4,10.474,1000.19,100.003,0.743067,3.26061
25.8,10.4733,1000.12,100.002,0.743103,3.26047
26.2,10.4728,1000.08,100.001,0.743126,3.26039
26.6,10.4725,1000.05,100.001,0.743142,3.26033
27,10.4723,1000.03,100.001,0.743151,3.26029
27.4,10.4722,1000.02,100,0.743158,3.26027
27.8,10.4721,1000.01,100,0.743162,3.26025
28.2,10.4721,1000.01,100,0.743165,3.26024
28.6,10.472,1000.01,100,0.743167,3.26023
