"time","room.RAT","room.energy","wall.Tisurf","wall.Tosurf","der(room.RAT)","der(room.energy)","der(wall.Tisurf)","der(wall.Tosurf)","OAT","RAT","fanspeed","room.DT","room.EWT","room.Qin","room.Qout","room.SAT","room.fs","room.mdota","room.mdotw","room.vo","valveopen","wall.C","wall.R","room.Tisurf","room.fanspeed","room.valveopen","wall.OAT","wall.RAT"
0,16,0,16,10,1.32890365448505e-06,0.4857600000000001,-0.0008902573757972958,-0.01155616810042916,0,16,0,0.4857600000000001,28.38172685960296,0.4857600000000001,0,25.6,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,16,0,0,0,16
0.0005,16.00000000066445,0.00024288,15.99999955487131,9.99999422191595,1.328610958729726e-06,0.4857599999865516,-0.000890258028409444,-0.0115561601174961,0,16.00000000066445,0,0.4856530096326951,28.38172685992462,0.4857599999865516,0.0001069903538564176,25.60000000039868,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999955487131,0,0,0,16.00000000066445
0.001,16.00000000132876,0.0004857599999932758,15.9999991097423,9.999988443835891,1.328318262857779e-06,0.485759999973106,-0.000890258681020896,-0.01155615213456865,0,16.00000000132876,0,0.4855460192227606,28.38172686024621,0.485759999973106,0.0002139807503453994,25.60000000079726,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.9999991097423,0,0,0,16.00000000132876
0.0015,16.00000000199292,0.0007286399999798289,15.99999866461296,9.999982665759823,1.328025566866877e-06,0.4857599999596635,-0.0008902593336316512,-0.0115561441516468,0,16.00000000199292,0,0.4854390287693439,28.38172686056772,0.4857599999596635,0.0003209711903195966,25.60000000119575,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999866461296,0,0,0,16.00000000199292
0.002,16.00000000265693,0.0009715199999596605,15.99999821948329,9.999976887687748,1.327732870758186e-06,0.4857599999462238,-0.0008902599862417101,-0.01155613616873057,0,16.00000000265693,0,0.4853320382728711,28.38172686088917,0.4857599999462238,0.0004279616733526836,25.60000000159416,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999821948329,0,0,0,16.00000000265693
0.0025,16.0000000033208,0.001214399999932773,15.9999977743533,9.999971109619663,1.32744017453054e-06,0.4857599999327872,-0.0008902606388510717,-0.01155612818581994,0,16.0000000033208,0,0.4852250477329162,28.38172686121055,0.4857599999327872,0.0005349521998709861,25.60000000199248,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.9999977743533,0,0,0,16.0000000033208
0.003,16.00000000398452,0.001457279999899166,15.99999732922298,9.99996533155557,1.327147478183938e-06,0.4857599999193534,-0.0008902612914597363,-0.01155612020291493,0,16.00000000398452,0,0.4851180571494789,28.38172686153185,0.4857599999193534,0.0006419427698745039,25.60000000239071,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999732922298,0,0,0,16.00000000398452
0.0035,16.00000000464809,0.001700159999858843,15.99999688409233,9.999959553495469,1.32685478172188e-06,0.4857599999059227,-0.0008902619440677058,-0.01155611222001551,0,16.00000000464809,0,0.4850110665238385,28.38172686185308,0.4857599999059227,0.0007489333820842603,25.60000000278886,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999688409233,0,0,0,16.00000000464809
0.004,16.00000000531152,0.001943039999811804,15.99999643896136,9.999953775439359,1.326562085140867e-06,0.485759999892495,-0.0008902625966749782,-0.01155610423712172,0,16.00000000531152,0,0.4849040758547157,28.38172686217424,0.485759999892495,0.0008559240377792321,25.60000000318691,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999643896136,0,0,0,16.00000000531152
0.0045,16.0000000059748,0.002185919999758052,15.99999599383006,9.99994799738724,1.326269388440898e-06,0.4857599998790701,-0.0008902632492815534,-0.01155609625423353,0,16.0000000059748,0,0.4847970851421107,28.38172686249533,0.4857599998790701,0.0009629147369594193,25.60000000358488,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999599383006,0,0,0,16.0000000059748
0.005,16.00000000663793,0.002428799999697587,15.99999554869844,9.999942219339113,1.325976691623141e-06,0.4857599998656483,-0.0008902639018874323,-0.01155608827135094,0,16.00000000663793,0,0.4846900943864498,28.38172686281635,0.4857599998656483,0.001069905479198496,25.60000000398276,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999554869844,0,0,0,16.00000000663793
0.0055,16.00000000730092,0.002671679999630411,15.99999510356649,9.999936441294977,1.325683994686428e-06,0.4857599998522293,-0.0008902645544926141,-0.01155608028847397,0,16.00000000730092,0,0.4845831035873065,28.3817268631373,0.4857599998522293,0.001176896264922789,25.60000000438055,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999510356649,0,0,0,16.00000000730092
0.006,16.00000000796376,0.002914559999556526,15.99999465843421,9.999930663254833,1.325391297633092e-06,0.4857599998388135,-0.0008902652070971001,-0.0115560723056026,0,16.00000000796376,0,0.4844761127455338,28.38172686345818,0.4857599998388135,0.001283887093279645,25.60000000477826,0.0001,5e-05,1e-05,0.0001,0,1606726.368,0.004194630872483221,15.99999465843421,0,0,0,16.00000000796376
