"time","axis1_w"
0,0
0.002,4.3919E-06
0.004,0.000212742
0.006,0.00117887
0.008,0.00373028
0.01,0.00848427
0.012,0.0154176
0.014,0.0248771
0.016,0.0370621
0.018,0.0520699
0.02,0.0697502
0.022,0.090116
0.024,0.111888
0.026,0.138399
0.028,0.164868
0.03,0.195923
0.032,0.226456
0.034,0.2604
0.036,0.292909
0.038,0.330427
0.04,0.364802
0.042,0.40695
0.044,0.44374
0.046,0.481571
0.048,0.523683
0.05,0.561989
0.052,0.604866
0.054,0.643633
0.056,0.685312
0.058,0.730774
0.06,0.772201
0.062,0.813438
0.064,0.854416
0.066,0.890054
0.068,0.93142
0.07,0.971815
0.072,1.01078
0.074,1.04951
0.076,1.08937
0.078,1.12712
0.08,1.16899
0.082,1.20107
0.084,1.23721
0.086,1.27284
0.088,1.30798
0.09,1.34264
0.092,1.37681
0.094,1.41053
0.096,1.44381
0.098,1.47665
0.1,1.50909
0.102,1.54114
0.104,1.57282
0.106,1.60416
0.108,1.63517
0.11,1.66588
0.112,1.69632
0.114,1.7265
0.116,1.75645
0.118,1.78205
0.12,1.81147
0.122,1.84151
0.124,1.86824
0.126,1.89288
0.128,1.91661
0.13,1.93582
0.132,1.95288
0.134,1.96694
0.136,1.97864
0.138,1.98597
0.14,1.99142
0.142,1.99353
0.144,1.9931
0.146,1.98996
0.148,1.98514
0.15,1.97756
0.152,1.96881
0.154,1.95764
0.156,1.94659
0.158,1.93302
0.16,1.92004
0.162,1.90594
0.164,1.89092
0.166,1.87519
0.168,1.86023
0.17,1.84445
0.172,1.82893
0.174,1.81497
0.176,1.79948
0.178,1.78683
0.18,1.77241
0.182,1.76194
0.184,1.7501
0.186,1.73885
0.188,1.73017
0.19,1.72054
0.192,1.71223
0.194,1.70492
0.196,1.69837
0.198,1.69296
0.2,1.68705
0.202,1.68265
0.204,1.67892
0.206,1.67591
0.208,1.67334
0.21,1.67083
0.212,1.66933
0.214,1.66793
0.216,1.66689
0.218,1.66616
0.22,1.66578
0.222,1.66565
0.224,1.66567
0.226,1.66585
0.228,1.66615
0.23,1.66654
0.232,1.66701
0.234,1.66753
0.236,1.66808
0.238,1.66873
0.24,1.66936
0.242,1.66986
0.244,1.67045
0.246,1.67102
0.248,1.67156
0.25,1.67208
0.252,1.67257
0.254,1.67303
0.256,1.67348
0.258,1.67386
0.26,1.67422
0.262,1.67455
0.264,1.67486
0.266,1.6752
0.268,1.67547
0.27,1.67573
0.272,1.67596
0.274,1.67619
0.276,1.6764
0.278,1.6766
0.28,1.67679
0.282,1.67697
0.284,1.67714
0.286,1.67731
0.288,1.67746
0.29,1.67761
0.292,1.67775
0.294,1.67788
0.296,1.678
0.298,1.67812
0.3,1.67822
0.302,1.67831
0.304,1.6784
0.306,1.67847
0.308,1.67854
0.31,1.67859
0.312,1.67864
0.314,1.67868
0.316,1.67871
0.318,1.67873
0.32,1.67874
0.322,1.67875
0.324,1.67874
0.326,1.67874
0.328,1.67872
0.33,1.67871
0.332,1.67868
0.334,1.67866
0.336,1.67863
0.338,1.6786
0.34,1.67857
0.342,1.67854
0.344,1.67851
0.346,1.67848
0.348,1.67845
0.35,1.67842
0.352,1.67839
0.354,1.67836
0.356,1.67834
0.358,1.67832
0.36,1.6783
0.362,1.67828
0.364,1.67826
0.366,1.67825
0.368,1.67824
0.37,1.67823
0.372,1.67822
0.374,1.67821
0.376,1.67821
0.378,1.67821
0.38,1.67821
0.382,1.67821
0.384,1.67821
0.386,1.67822
0.388,1.67823
0.39,1.67824
0.392,1.67825
0.394,1.67826
0.396,1.67828
0.398,1.67829
0.4,1.67831
0.402,1.67833
0.404,1.67835
0.406,1.67837
0.408,1.67839
0.41,1.67842
0.412,1.67844
0.414,1.67847
0.416,1.6785
0.418,1.67852
0.42,1.67855
0.422,1.67858
0.424,1.67861
0.426,1.67864
0.428,1.67867
0.43,1.6787
0.432,1.67873
0.434,1.67876
0.436,1.67879
0.438,1.67883
0.44,1.67886
0.442,1.67889
0.444,1.67892
0.446,1.67895
0.448,1.67899
0.45,1.67902
0.452,1.67905
0.454,1.67908
0.456,1.67911
0.458,1.67915
0.46,1.67918
0.462,1.67921
0.464,1.67924
0.466,1.67927
0.468,1.67931
0.47,1.67934
0.472,1.67937
0.474,1.6794
0.476,1.67943
0.478,1.67946
0.48,1.67949
0.482,1.67953
0.484,1.67956
0.486,1.67959
0.488,1.67962
0.49,1.67965
0.492,1.67968
0.494,1.67971
0.496,1.67974
0.498,1.67977
0.5,1.67981
0.502,1.67984
0.504,1.67987
0.506,1.6799
0.508,1.67993
0.51,1.67997
0.512,1.68
0.514,1.68003
0.516,1.68006
0.518,1.6801
0.52,1.68013
0.522,1.68016
0.524,1.6802
0.526,1.68023
0.528,1.68026
0.53,1.6803
0.532,1.68033
0.534,1.68037
0.536,1.6804
0.538,1.68044
0.54,1.68048
0.542,1.68051
0.544,1.68055
0.546,1.68059
0.548,1.68063
0.55,1.68066
0.552,1.6807
0.554,1.68074
0.556,1.68078
0.558,1.68082
0.56,1.68086
0.562,1.6809
0.564,1.68094
0.566,1.68099
0.568,1.68103
0.57,1.68107
0.572,1.68111
0.574,1.68116
0.576,1.6812
0.578,1.68125
0.58,1.68129
0.582,1.68134
0.584,1.68138
0.586,1.68143
0.588,1.68148
0.59,1.68152
0.592,1.68157
0.594,1.68162
0.596,1.68167
0.598,1.68172
0.6,1.68177
0.602,1.68182
0.604,1.68187
0.606,1.68192
0.608,1.68198
0.61,1.68203
0.612,1.68208
0.614,1.68214
0.616,1.68219
0.618,1.68225
0.62,1.6823
0.622,1.68236
0.624,1.68241
0.626,1.68247
0.628,1.68253
0.63,1.68259
0.632,1.68264
0.634,1.6827
0.636,1.68276
0.638,1.68282
0.64,1.68288
0.642,1.68294
0.644,1.68301
0.646,1.68307
0.648,1.68313
0.65,1.68319
0.652,1.68326
0.654,1.68332
0.656,1.68339
0.658,1.68345
0.66,1.68352
0.662,1.68358
0.664,1.68365
0.666,1.68372
0.668,1.68378
0.67,1.68385
0.672,1.68392
0.674,1.68399
0.676,1.68406
0.678,1.68413
0.68,1.6842
0.682,1.68427
0.684,1.68434
0.686,1.68441
0.688,1.68448
0.69,1.68456
0.692,1.68463
0.694,1.6847
0.696,1.68478
0.698,1.68485
0.7,1.68492
0.702,1.685
0.704,1.68508
0.706,1.68515
0.708,1.68523
0.71,1.68531
0.712,1.68538
0.714,1.68546
0.716,1.68554
0.718,1.68562
0.72,1.6857
0.722,1.68577
0.724,1.68585
0.726,1.68593
0.728,1.68601
0.73,1.68609
0.732,1.68618
0.734,1.68626
0.736,1.68634
0.738,1.68642
0.74,1.6865
0.742,1.68659
0.744,1.68667
0.746,1.68675
0.748,1.68684
0.75,1.68692
0.752,1.687
0.754,1.68709
0.756,1.68717
0.758,1.68726
0.76,1.68734
0.762,1.68743
0.764,1.68751
0.766,1.6876
0.768,1.68769
0.77,1.68777
0.772,1.68786
0.774,1.68795
0.776,1.68803
0.778,1.68812
0.78,1.68821
0.782,1.6883
0.784,1.68839
0.786,1.68847
0.788,1.68856
0.79,1.68865
0.792,1.68874
0.794,1.68883
0.796,1.68892
0.798,1.689
0.8,1.68909
0.802,1.68918
0.804,1.68927
0.806,1.68936
0.808,1.68945
0.81,1.68954
0.812,1.68963
0.814,1.68972
0.816,1.68981
0.818,1.6899
0.82,1.68999
0.822,1.69008
0.824,1.69017
0.826,1.69026
0.828,1.69035
0.83,1.69043
0.832,1.69052
0.834,1.69061
0.836,1.6907
0.838,1.69079
0.84,1.69088
0.842,1.69097
0.844,1.69106
0.846,1.69115
0.848,1.69124
0.85,1.69132
0.852,1.69141
0.854,1.6915
0.856,1.69159
0.858,1.69168
0.86,1.69176
0.862,1.69185
0.864,1.69194
0.866,1.69203
0.868,1.69211
0.87,1.6922
0.872,1.69228
0.874,1.69237
0.876,1.69246
0.878,1.69254
0.88,1.69263
0.882,1.69271
0.884,1.69279
0.886,1.69288
0.888,1.69296
0.89,1.69304
0.892,1.69313
0.894,1.69321
0.896,1.69329
0.898,1.69337
0.9,1.69345
0.902,1.69353
0.904,1.69361
0.906,1.69369
0.908,1.69377
0.91,1.69385
0.912,1.69393
0.914,1.69401
0.916,1.69408
0.918,1.69416
0.92,1.69424
0.922,1.69431
0.924,1.69439
0.926,1.69446
0.928,1.69453
0.93,1.69461
0.932,1.69468
0.934,1.69475
0.936,1.69482
0.938,1.69489
0.94,1.69496
0.942,1.69503
0.944,1.6951
0.946,1.69517
0.948,1.69523
0.95,1.6953
0.952,1.69537
0.954,1.69543
0.956,1.69549
0.958,1.69556
0.96,1.69562
0.962,1.69568
0.964,1.69574
0.966,1.6958
0.968,1.69586
0.97,1.69592
0.972,1.69598
0.974,1.69603
0.976,1.69609
0.978,1.69615
0.98,1.6962
0.982,1.69625
0.984,1.6963
0.986,1.69636
0.988,1.69641
0.99,1.69646
0.992,1.69651
0.994,1.69655
0.996,1.6966
0.998,1.69665
1,1.69669
1.002,1.69673
1.004,1.69678
1.006,1.69682
1.008,1.69686
1.01,1.6969
1.012,1.69694
1.014,1.69698
1.016,1.69701
1.018,1.69705
1.02,1.69709
1.022,1.69712
1.024,1.69715
1.026,1.69718
1.028,1.69722
1.03,1.69725
1.032,1.69727
1.034,1.6973
1.036,1.69733
1.038,1.69735
1.04,1.69738
1.042,1.6974
1.044,1.69742
1.046,1.69745
1.048,1.69747
1.05,1.69749
1.052,1.6975
1.054,1.69752
1.056,1.69754
1.058,1.69755
1.06,1.69756
1.062,1.69758
1.064,1.69759
1.066,1.6976
1.068,1.69761
1.07,1.69762
1.072,1.69762
1.074,1.69763
1.076,1.69763
1.078,1.69764
1.08,1.69764
1.082,1.69764
1.084,1.69764
1.086,1.69764
1.088,1.69764
1.09,1.69764
1.092,1.69763
1.094,1.69763
1.096,1.69762
1.098,1.69761
1.1,1.69761
1.102,1.6976
1.104,1.69759
1.106,1.69757
1.108,1.69756
1.11,1.69755
1.112,1.69753
1.114,1.69752
1.116,1.6975
1.118,1.69748
1.12,1.69746
1.122,1.69744
1.124,1.69742
1.126,1.6974
1.128,1.69738
1.13,1.69735
1.132,1.69733
1.134,1.6973
1.136,1.69728
1.138,1.69725
1.14,1.69722
1.142,1.69719
1.144,1.69716
1.146,1.69713
1.148,1.69709
1.15,1.69706
1.152,1.69703
1.154,1.69699
1.156,1.69695
1.158,1.69692
1.16,1.69688
1.162,1.69684
1.164,1.6968
1.166,1.69676
1.168,1.69672
1.17,1.69667
1.172,1.69663
1.174,1.69659
1.176,1.69654
1.178,1.69649
1.18,1.69645
1.182,1.6964
1.184,1.69635
1.186,1.6963
1.188,1.69625
1.19,1.6962
1.192,1.69615
1.194,1.6961
1.196,1.69605
1.198,1.69599
1.2,1.69594
1.202,1.69589
1.204,1.69583
1.206,1.69578
1.208,1.69572
1.21,1.69566
1.212,1.69561
1.214,1.69555
1.216,1.69549
1.218,1.69543
1.22,1.69537
1.222,1.69531
1.224,1.69525
1.226,1.69519
1.228,1.69513
1.23,1.69506
1.232,1.695
1.234,1.69494
1.236,1.69487
1.238,1.69481
1.24,1.69454
1.242,1.69304
1.244,1.68961
1.246,1.68374
1.248,1.67483
1.25,1.66235
1.252,1.64472
1.254,1.62394
1.256,1.59954
1.258,1.57153
1.26,1.53855
1.262,1.50651
1.264,1.46628
1.266,1.42759
1.268,1.38992
1.27,1.34795
1.272,1.30552
1.274,1.26832
1.276,1.22694
1.278,1.18692
1.28,1.14757
1.282,1.10443
1.284,1.06666
1.286,1.03352
1.288,0.995725
1.29,0.961036
1.292,0.927428
1.294,0.894672
1.296,0.860404
1.298,0.830377
1.3,0.794566
1.302,0.769184
1.304,0.739675
1.306,0.708387
1.308,0.677449
1.31,0.648935
1.312,0.620512
1.314,0.592481
1.316,0.559781
1.318,0.530486
1.32,0.501996
1.322,0.475651
1.324,0.444433
1.326,0.41649
1.328,0.387609
1.33,0.358849
1.332,0.329868
1.334,0.30058
1.336,0.269368
1.338,0.240448
1.34,0.211581
1.342,0.182766
1.344,0.154004
1.346,0.125293
1.348,0.09663
1.35,0.0709808
1.352,0.0421309
1.354,0.0152084
1.356,-0.0132269
1.358,-0.0407387
1.36,-0.066171
1.362,-0.0899049
1.364,-0.11096
1.366,-0.128102
1.368,-0.141409
1.37,-0.150697
1.372,-0.155968
1.374,-0.157838
1.376,-0.15609
1.378,-0.151729
1.38,-0.145388
1.382,-0.136342
1.384,-0.127056
1.386,-0.116392
1.388,-0.105153
1.39,-0.0946677
1.392,-0.0831411
1.394,-0.0733153
1.396,-0.0639424
1.398,-0.0551746
1.4,-0.0476315
1.402,-0.0411315
1.404,-0.0350876
1.406,-0.0312212
1.408,-0.0274313
1.41,-0.0243601
1.412,-0.0221988
1.414,-0.0203355
1.416,-0.0190409
1.418,-0.0181917
1.42,-0.0175039
1.422,-0.016996
1.424,-0.0165719
1.426,-0.0162348
1.428,-0.0158628
1.43,-0.0154227
1.432,-0.0149199
1.434,-0.0145245
