"time","Piston_body_r_00_2_","Inertia_w"
0,0.4,0
0.0005,0.4,0
0.0005,0.4,0.00470613
0.001,0.4,0.00470613
0.001,0.4,0.0094233
0.0015,0.4,0.0094233
0.0015,0.4,0.0141628
0.002,0.4,0.0141628
0.002,0.4,0.0189353
0.0025,0.4,0.0189353
0.0025,0.4,0.0237521
0.003,0.4,0.0237521
0.003,0.4,0.0286248
0.0035,0.4,0.0286248
0.0035,0.4,0.0335648
0.004,0.4,0.0335648
0.004,0.4,0.0385837
0.0045,0.4,0.0385837
0.0045,0.4,0.0436934
0.005,0.4,0.0436934
0.005,0.4,0.0489059
0.0055,0.4,0.0489059
0.0055,0.4,0.0542334
0.006,0.4,0.0542334
0.006,0.4,0.0596883
0.0065,0.4,0.0596883
0.0065,0.4,0.0652836
0.007,0.4,0.0652836
0.007,0.4,0.0710324
0.0075,0.4,0.0710324
0.0075,0.4,0.0769482
0.008,0.4,0.0769482
0.008,0.4,0.083045
0.0085,0.4,0.083045
0.0085,0.4,0.0893371
0.009,0.4,0.0893371
0.009,0.4,0.0958392
0.0095,0.4,0.0958392
0.0095,0.4,0.102567
0.01,0.4,0.102567
0.01,0.4,0.109535
0.0105,0.4,0.109535
0.0105,0.4,0.116761
0.011,0.4,0.116761
0.011,0.4,0.124262
0.0115,0.4,0.124262
0.0115,0.4,0.132055
0.012,0.4,0.132055
0.012,0.4,0.140158
0.0125,0.4,0.140158
0.0125,0.4,0.148591
0.013,0.4,0.148591
0.013,0.4,0.157374
0.0135,0.4,0.157374
0.0135,0.4,0.166526
0.014,0.4,0.166526
0.014,0.4,0.17607
0.0145,0.4,0.17607
0.0145,0.4,0.186028
0.015,0.4,0.186028
0.015,0.4,0.196424
0.0155,0.4,0.196424
0.0155,0.4,0.207281
0.016,0.4,0.207281
0.016,0.4,0.218625
0.0165,0.4,0.218625
0.0165,0.399999,0.230484
0.017,0.399999,0.230484
0.017,0.399999,0.242885
0.0175,0.399999,0.242885
0.0175,0.399999,0.255856
0.018,0.399999,0.255856
0.018,0.399999,0.26943
0.0185,0.399999,0.26943
0.0185,0.399999,0.283636
0.019,0.399999,0.283636
0.019,0.399999,0.29851
0.0195,0.399999,0.29851
0.0195,0.399999,0.314085
0.02,0.399999,0.314085
0.02,0.399999,0.330399
0.0205,0.399999,0.330399
0.0205,0.399999,0.34749
0.021,0.399999,0.34749
0.021,0.399999,0.365398
0.0215,0.399999,0.365398
0.0215,0.399999,0.384165
0.022,0.399999,0.384165
0.022,0.399999,0.403835
0.0225,0.399999,0.403835
0.0225,0.399998,0.424454
0.023,0.399998,0.424454
0.023,0.399998,0.446071
0.0235,0.399998,0.446071
0.0235,0.399998,0.468737
0.024,0.399998,0.468737
0.024,0.399998,0.492505
0.0245,0.399998,0.492505
0.0245,0.399998,0.517431
0.025,0.399998,0.517431
0.025,0.399998,0.543573
0.0255,0.399998,0.543573
0.0255,0.399997,0.570992
0.026,0.399997,0.570992
0.026,0.399997,0.599754
0.0265,0.399997,0.599754
0.0265,0.399997,0.629926
0.027,0.399997,0.629926
0.027,0.399996,0.661578
0.0275,0.399996,0.661578
0.0275,0.399996,0.694785
0.028,0.399996,0.694785
0.028,0.399996,0.729625
0.0285,0.399996,0.729625
0.0285,0.399995,0.766179
0.029,0.399995,0.766179
0.029,0.399995,0.804534
0.0295,0.399995,0.804534
0.0295,0.399994,0.84478
0.03,0.399994,0.84478
0.03,0.399994,0.88701
0.0305,0.399994,0.88701
0.0305,0.399993,0.931325
0.031,0.399993,0.931325
0.031,0.399992,0.977827
0.0315,0.399992,0.977827
0.0315,0.399992,1.02663
0.032,0.399992,1.02663
0.032,0.399991,1.07784
0.0325,0.399991,1.07784
0.0325,0.39999,1.13158
0.033,0.39999,1.13158
0.033,0.399989,1.18798
0.0335,0.399989,1.18798
0.0335,0.399988,1.24716
0.034,0.399988,1.24716
0.034,0.399986,1.30928
0.0345,0.399986,1.30928
0.0345,0.399985,1.37447
0.035,0.399985,1.37447
0.035,0.399983,1.44288
0.0355,0.399983,1.44288
0.0355,0.399982,1.51468
0.036,0.399982,1.51468
0.036,0.39998,1.59003
0.0365,0.39998,1.59003
0.0365,0.399978,1.66911
0.037,0.399978,1.66911
0.037,0.399975,1.7521
0.0375,0.399975,1.7521
0.0375,0.399973,1.8392
0.038,0.399973,1.8392
0.038,0.39997,1.93061
0.0385,0.39997,1.93061
0.0385,0.399967,2.02654
0.039,0.399967,2.02654
0.039,0.399964,2.12721
0.0395,0.399964,2.12721
0.0395,0.39996,2.23286
0.04,0.39996,2.23286
0.04,0.399956,2.34374
0.0405,0.399956,2.34374
0.0405,0.399952,2.46009
0.041,0.399952,2.46009
0.041,0.399947,2.58219
0.0415,0.399947,2.58219
0.0415,0.399941,2.71031
0.042,0.399941,2.71031
0.042,0.399935,2.84476
0.0425,0.399935,2.84476
0.0425,0.399929,2.98584
0.043,0.399929,2.98584
0.043,0.399921,3.13387
0.0435,0.399921,3.13387
0.0435,0.399913,3.28919
0.044,0.399913,3.28919
0.044,0.399905,3.45216
0.0445,0.399905,3.45216
0.0445,0.399895,3.62314
0.045,0.399895,3.62314
0.045,0.399884,3.80251
0.0455,0.399884,3.80251
0.0455,0.399873,3.99069
0.046,0.399873,3.99069
0.046,0.39986,4.1881
0.0465,0.39986,4.1881
0.0465,0.399845,4.39516
0.047,0.399845,4.39516
0.047,0.39983,4.61234
0.0475,0.39983,4.61234
0.0475,0.399812,4.84012
0.048,0.399812,4.84012
0.048,0.399793,5.07899
0.0485,0.399793,5.07899
0.0485,0.399772,5.32948
0.049,0.399772,5.32948
0.049,0.399749,5.59211
0.0495,0.399749,5.59211
0.0495,0.399724,5.86745
0.05,0.399724,5.86745
0.05,0.399696,6.15608
0.0505,0.399696,6.15608
0.0505,0.399665,6.4586
0.051,0.399665,6.4586
0.051,0.399631,6.77562
0.0515,0.399631,6.77562
0.0515,0.399594,7.1078
0.052,0.399594,7.1078
0.052,0.399552,7.45579
0.0525,0.399552,7.45579
0.0525,0.399507,7.82027
0.053,0.399507,7.82027
0.053,0.399457,8.20194
0.0535,0.399457,8.20194
0.0535,0.399403,8.60152
0.054,0.399403,8.60152
0.054,0.399342,9.01975
0.0545,0.399342,9.01975
0.0545,0.399276,9.45736
0.055,0.399276,9.45736
0.055,0.399203,9.91511
0.0555,0.399203,9.91511
0.0555,0.399123,10.3938
0.056,0.399123,10.3938
0.056,0.399035,10.8941
0.0565,0.399035,10.8941
0.0565,0.398938,11.4169
0.057,0.398938,11.4169
0.057,0.398831,11.9629
0.0575,0.398831,11.9629
0.0575,0.398714,12.5328
0.058,0.398714,12.5328
0.058,0.398585,13.1275
0.0585,0.398585,13.1275
0.0585,0.398444,13.7476
0.059,0.398444,13.7476
0.059,0.398289,14.3938
0.0595,0.398289,14.3938
0.0595,0.398119,15.0667
0.06,0.398119,15.0667
0.06,0.397933,15.767
0.0605,0.397933,15.767
0.0605,0.397729,16.4952
0.061,0.397729,16.4952
0.061,0.397505,17.2517
0.0615,0.397505,17.2517
0.0615,0.39726,18.0369
0.062,0.39726,18.0369
0.062,0.396991,18.8511
0.0625,0.396991,18.8511
0.0625,0.396697,19.6945
0.063,0.396697,19.6945
0.063,0.396376,20.5672
0.0635,0.396376,20.5672
0.0635,0.396026,21.469
0.064,0.396026,21.469
0.064,0.395643,22.3998
0.0645,0.395643,22.3998
0.0645,0.395225,23.359
0.065,0.395225,23.359
0.065,0.39477,24.3463
0.0655,0.39477,24.3463
0.0655,0.394275,25.3609
0.066,0.394275,25.3609
0.066,0.393736,26.4018
0.0665,0.393736,26.4018
0.0665,0.393151,27.4679
0.067,0.393151,27.4679
0.067,0.392515,28.5581
0.0675,0.392515,28.5581
0.0675,0.391826,29.6709
0.068,0.391826,29.6709
0.068,0.39108,30.8046
0.0685,0.39108,30.8046
0.0685,0.390273,31.9576
0.069,0.390273,31.9576
0.069,0.389402,33.1279
0.0695,0.389402,33.1279
0.0695,0.388463,34.3136
0.07,0.388463,34.3136
0.07,0.387452,35.5127
0.0705,0.387452,35.5127
0.0705,0.386365,36.7231
0.071,0.386365,36.7231
0.071,0.385198,37.9427
0.0715,0.385198,37.9427
0.0715,0.383947,39.1695
0.072,0.383947,39.1695
0.072,0.38261,40.4017
0.0725,0.38261,40.4017
0.0725,0.381181,41.6375
0.073,0.381181,41.6375
0.073,0.379658,42.8752
0.0735,0.379658,42.8752
0.0735,0.378038,44.1135
0.074,0.378038,44.1135
0.074,0.376316,45.3512
0.0745,0.376316,45.3512
0.0745,0.374491,46.5876
0.075,0.374491,46.5876
0.075,0.372559,47.8221
0.0755,0.372559,47.8221
0.0755,0.370518,49.0544
0.076,0.370518,49.0544
0.076,0.368366,50.2848
0.0765,0.368366,50.2848
0.0765,0.3661,51.5138
0.077,0.3661,51.5138
0.077,0.36372,52.7422
0.0775,0.36372,52.7422
0.0775,0.361224,53.9712
0.078,0.361224,53.9712
0.078,0.358611,55.2024
0.0785,0.358611,55.2024
0.0785,0.35588,56.4377
0.079,0.35588,56.4377
0.079,0.353031,57.6792
0.0795,0.353031,57.6792
0.0795,0.350065,58.9295
0.08,0.350065,58.9295
0.08,0.346982,60.1913
0.0805,0.346982,60.1913
0.0805,0.343783,61.4676
0.081,0.343783,61.4676
0.081,0.340469,62.7616
0.0815,0.340469,62.7616
0.0815,0.337043,64.0768
0.082,0.337043,64.0768
0.082,0.333506,65.4168
0.0825,0.333506,65.4168
0.0825,0.329862,66.7853
0.083,0.329862,66.7853
0.083,0.326113,68.186
0.0835,0.326113,68.186
0.0835,0.322264,69.623
0.084,0.322264,69.623
0.084,0.31832,71.1002
0.0845,0.31832,71.1002
0.0845,0.314285,72.6214
0.085,0.314285,72.6214
0.085,0.310165,74.1906
0.0855,0.310165,74.1906
0.0855,0.305968,75.8114
0.086,0.305968,75.8114
0.086,0.3017,77.4873
0.0865,0.3017,77.4873
0.0865,0.29737,79.2214
0.087,0.29737,79.2214
0.087,0.292986,81.0166
0.0875,0.292986,81.0166
0.0875,0.288558,82.8748
0.088,0.288558,82.8748
0.088,0.284098,84.7974
0.0885,0.284098,84.7974
0.0885,0.279616,86.7848
0.089,0.279616,86.7848
0.089,0.275126,88.8361
0.0895,0.275126,88.8361
0.0895,0.270641,90.9491
0.09,0.270641,90.9491
0.09,0.266175,93.12
0.0905,0.266175,93.12
0.0905,0.261743,95.3428
0.091,0.261743,95.3428
0.091,0.25736,97.6098
0.0915,0.25736,97.6098
