"time","TAmb","TDif","heatCapacitor_T","TRes"
0,293.15,2,293.15,293.15
0.1,293.15,2,294.143,294.143
0.2,293.15,2,295.122,295.122
0.3,293.15,2,296.089,296.089
0.4,293.15,2,297.041,297.041
0.411484,293.15,2,297.15,297.15
0.411484,293.15,2,297.15,297.15
0.5,293.15,2,297.981,297.981
0.6,293.15,2,298.908,298.908
0.626366,293.15,2,299.15,299.15
0.626366,293.15,2,299.15,299.15
0.626366,293.15,2,299.15,299.15
0.626366,293.15,2,299.15,299.15
0.7,293.15,2,299.106,299.106
0.8,293.15,2,299.047,299.047
0.9,293.15,2,298.988,298.988
1,293.15,2,298.93,298.93
1.1,293.15,2,298.872,298.872
1.2,293.15,2,298.815,298.815
1.3,293.15,2,298.759,298.759
1.4,293.15,2,298.703,298.703
1.5,293.15,2,298.648,298.648
1.6,293.15,2,298.593,298.593
1.7,293.15,2,298.539,298.539
1.8,293.15,2,298.485,298.485
1.9,293.15,2,298.432,298.432
2,293.15,2,298.38,298.38
2,293.15,2,298.38,298.38
2.1,293.15,2,298.328,298.328
2.2,293.15,2,298.276,298.276
2.26258,293.15,2,298.244,298.244
2.26258,293.15,2,298.244,298.244
2.26258,293.15,2,298.244,298.244
2.26258,293.15,2,298.244,298.244
2.3,293.15,2,298.591,298.591
2.4,293.15,2,299.509,299.509
2.5,293.15,2,300.415,300.415
2.6,293.15,2,301.309,301.309
2.67305,293.15,2,301.954,301.954
2.67305,293.15,2,301.954,301.954
2.67305,293.15,2,301.954,301.954
2.67305,293.15,2,301.954,301.954
2.7,293.15,2,301.931,301.931
2.8,293.15,2,301.843,301.843
2.9,293.15,2,301.757,301.757
3,293.15,2,301.671,301.671
3.07067,293.15,2,301.611,301.611
3.07067,293.15,2,301.611,301.611
3.07067,293.15,2,301.611,301.611
3.07067,293.15,2,301.611,301.611
3.1,293.15,2,301.87,301.87
3.2,293.15,2,302.743,302.743
3.3,293.15,2,303.605,303.605
3.4,293.15,2,304.456,304.456
3.5,293.15,2,305.295,305.295
3.52531,293.15,2,305.505,305.505
3.52531,293.15,2,305.505,305.505
3.52531,293.15,2,305.505,305.505
3.52531,293.15,2,305.505,305.505
3.6,293.15,2,305.414,305.414
3.7,293.15,2,305.292,305.292
3.8,293.15,2,305.171,305.171
3.89709,293.15,2,305.055,305.055
3.89709,293.15,2,305.055,305.055
3.89709,293.15,2,305.055,305.055
3.89709,293.15,2,305.055,305.055
3.9,293.15,2,305.079,305.079
4,293.15,2,305.909,305.909
4.1,293.15,2,306.729,306.729
4.2,293.15,2,307.537,307.537
4.3,293.15,2,308.334,308.334
4.4,293.15,2,309.122,309.122
4.4078,293.15,2,309.182,309.182
4.4078,293.15,2,309.182,309.182
4.4078,293.15,2,309.182,309.182
4.4078,293.15,2,309.182,309.182
4.5,293.15,2,309.035,309.035
4.6,293.15,2,308.877,308.877
4.7,293.15,2,308.721,308.721
4.75608,293.15,2,308.634,308.634
4.75608,293.15,2,308.634,308.634
4.75608,293.15,2,308.634,308.634
4.75608,293.15,2,308.634,308.634
4.8,293.15,2,308.979,308.979
4.9,293.15,2,309.757,309.757
5,293.15,2,310.524,310.524
5.1,293.15,2,311.282,311.282
5.2,293.15,2,312.03,312.03
5.3,293.15,2,312.767,312.767
5.34222,293.15,2,313.076,313.076
5.34222,293.15,2,313.076,313.076
5.34222,293.15,2,313.076,313.076
5.34222,293.15,2,313.076,313.076
5.4,293.15,2,312.961,312.961
5.5,293.15,2,312.764,312.764
5.6,293.15,2,312.569,312.569
5.66863,293.15,2,312.436,312.436
5.66863,293.15,2,312.436,312.436
5.66863,293.15,2,312.436,312.436
5.66863,293.15,2,312.436,312.436
5.7,293.15,2,312.667,312.667
5.8,293.15,2,313.395,313.395
5.9,293.15,2,314.115,314.115
6,293.15,2,314.825,314.825
6.1,293.15,2,315.525,315.525
6.2,293.15,2,316.216,316.216
6.3,293.15,2,316.899,316.899
6.36488,293.15,2,317.337,317.337
6.36488,293.15,2,317.337,317.337
6.36488,293.15,2,317.337,317.337
6.36488,293.15,2,317.337,317.337
6.4,293.15,2,317.252,317.252
6.5,293.15,2,317.012,317.012
6.6,293.15,2,316.775,316.775
6.67028,293.15,2,316.609,316.609
6.67028,293.15,2,316.609,316.609
6.67028,293.15,2,316.609,316.609
6.67028,293.15,2,316.609,316.609
6.7,293.15,2,316.812,316.812
6.8,293.15,2,317.486,317.486
6.9,293.15,2,318.151,318.151
7,293.15,2,318.807,318.807
7.1,293.15,2,319.455,319.455
7.2,293.15,2,320.095,320.095
7.3,293.15,2,320.726,320.726
7.4,293.15,2,321.349,321.349
7.5,293.15,2,321.964,321.964
7.5532,293.15,2,322.288,322.288
7.5532,293.15,2,322.288,322.288
7.5532,293.15,2,322.288,322.288
7.5532,293.15,2,322.288,322.288
7.6,293.15,2,322.152,322.152
7.7,293.15,2,321.864,321.864
7.8,293.15,2,321.578,321.578
7.83731,293.15,2,321.472,321.472
7.83731,293.15,2,321.472,321.472
7.83731,293.15,2,321.472,321.472
7.83731,293.15,2,321.472,321.472
7.9,293.15,2,321.857,321.857
8,293.15,2,322.465,322.465
8,293.15,2,322.465,322.465
8.1,293.15,2,323.065,323.065
8.2,293.15,2,323.657,323.657
8.28433,293.15,2,324.15,324.15
8.28433,293.15,2,324.15,324.15
8.28433,293.15,2,324.15,324.15
8.28433,293.15,2,324.15,324.15
8.3,293.15,2,324.101,324.101
8.4,293.15,2,323.793,323.793
8.5,293.15,2,323.489,323.489
8.6,293.15,2,323.187,323.187
8.7,293.15,2,322.888,322.888
8.8,293.15,2,322.592,322.592
8.9,293.15,2,322.299,322.299
8.9511,293.15,2,322.15,322.15
8.9511,293.15,2,322.15,322.15
8.9511,293.15,2,322.15,322.15
8.9511,293.15,2,322.15,322.15
9,293.15,2,322.446,322.446
9.1,293.15,2,323.046,323.046
9.2,293.15,2,323.639,323.639
9.28741,293.15,2,324.15,324.15
9.28741,293.15,2,324.15,324.15
9.28741,293.15,2,324.15,324.15
9.28741,293.15,2,324.15,324.15
9.3,293.15,2,324.111,324.111
9.4,293.15,2,323.803,323.803
9.5,293.15,2,323.498,323.498
9.6,293.15,2,323.196,323.196
9.7,293.15,2,322.897,322.897
9.8,293.15,2,322.601,322.601
9.9,293.15,2,322.308,322.308
9.95424,293.15,2,322.15,322.15
9.95424,293.15,2,322.15,322.15
9.95424,293.15,2,322.15,322.15
9.95424,293.15,2,322.15,322.15
10,293.15,2,322.427,322.427
10,293.15,2,322.427,322.427
