Time,controlledTemperature_fmu.temperatureSensor_port_T
0,293.15
0.003,293.15
0.006,293.15
0.009,293.15
0.012,293.15
0.015,293.15
0.018,293.15
0.02,293.15
0.02,293.15
0.021,293.15
0.024,293.15
0.027,293.15
0.03,293.15
0.033,293.15
0.036,293.15
0.039,293.15
0.04,293.15
0.04,293.15
0.042,293.15
0.045,293.15
0.048,293.15
0.051,293.15
0.054,293.15
0.057,293.15
0.06,293.15
0.06,293.15
0.063,293.15
0.066,293.15
0.069,293.15
0.072,293.15
0.075,293.15
0.078,293.15
0.08,293.15
0.08,293.15
0.081,293.15
0.084,293.15
0.087,293.15
0.09,293.15
0.093,293.15
0.096,293.15
0.099,293.15
0.1,293.15
0.1,293.15
0.102,293.15
0.105,293.15
0.108,293.15
0.111,293.15
0.114,293.15
0.117,293.15
0.12,293.15
0.12,293.15
0.123,293.15
0.126,293.15
0.129,293.15
0.132,293.15
0.135,293.15
0.138,293.15
0.14,293.15
0.14,293.15
0.141,293.15
0.144,293.15
0.147,293.15
0.15,293.15
0.153,293.15
0.156,293.15
0.159,293.15
0.16,293.15
0.16,293.15
0.162,293.15
0.165,293.15
0.168,293.15
0.171,293.15
0.174,293.15
0.177,293.15
0.18,293.15
0.18,293.15
0.183,293.15
0.186,293.15
0.189,293.15
0.192,293.15
0.195,293.15
0.198,293.15
0.2,293.15
0.2,293.15
0.201,293.15
0.204,293.15
0.207,293.15
0.21,293.15
0.213,293.15
0.216,293.15
0.219,293.15
0.22,293.15
0.22,293.15
0.222,293.15
0.225,293.15
0.228,293.15
0.231,293.15
0.234,293.15
0.237,293.15
0.24,293.15
0.24,293.15
0.243,293.15
0.246,293.15
0.249,293.15
0.252,293.15
0.255,293.15
0.258,293.15
0.26,293.15
0.26,293.15
0.261,293.15
0.264,293.15
0.267,293.15
0.27,293.15
0.273,293.15
0.276,293.15
0.279,293.15
0.28,293.15
0.28,293.15
0.282,293.15
0.285,293.15
0.288,293.15
0.291,293.15
0.294,293.15
0.297,293.15
0.3,293.15
0.3,293.15
0.303,293.15
0.306,293.15
0.309,293.15
0.312,293.15
0.315,293.15
0.318,293.15
0.32,293.15
0.32,293.15
0.321,293.15
0.324,293.15
0.327,293.15
0.33,293.15
0.333,293.15
0.336,293.15
0.339,293.15
0.34,293.15
0.34,293.15
0.342,293.15
0.345,293.15
0.348,293.15
0.351,293.15
0.354,293.15
0.357,293.15
0.36,293.15
0.36,293.15
0.363,293.15
0.366,293.15
0.369,293.15
0.372,293.15
0.375,293.15
0.378,293.15
0.38,293.15
0.38,293.15
0.381,293.15
0.384,293.15
0.387,293.15
0.39,293.15
0.393,293.15
0.396,293.15
0.399,293.15
0.4,293.15
0.4,293.15
0.402,293.15
0.405,293.15
0.408,293.15
0.411,293.15
0.414,293.15
0.417,293.15
0.42,293.15
0.42,293.15
0.423,293.15
0.426,293.15
0.429,293.15
0.432,293.15
0.435,293.15
0.438,293.15
0.44,293.15
0.44,293.15
0.441,293.15
0.444,293.15
0.447,293.15
0.45,293.15
0.453,293.15
0.456,293.15
0.459,293.15
0.46,293.15
0.46,293.15
0.462,293.15
0.465,293.15
0.468,293.15
0.471,293.15
0.474,293.15
0.477,293.15
0.48,293.15
0.48,293.15
0.483,293.15
0.486,293.15
0.489,293.15
0.492,293.15
0.495,293.15
0.498,293.15
0.5,293.15
0.5,293.15
0.501,293.15
0.504,293.15
0.507,293.15
0.51,293.15
0.513,293.15
0.516,293.15
0.519,293.15
0.52,293.15
0.52,293.15
0.522,293.15
0.525,293.15
0.528,293.15
0.531,293.15
0.534,293.15
0.537,293.15
0.54,293.15
0.54,293.15
0.543,293.15
0.546,293.15
0.549,293.15
0.552,293.15
0.555,293.15
0.558,293.15
0.56,293.15
0.56,293.15
0.561,293.15
0.564,293.15
0.567,293.15
0.57,293.15
0.573,293.15
0.576,293.15
0.579,293.15
0.58,293.15
0.58,293.15
0.582,293.15
0.585,293.15
0.588,293.15
0.591,293.15
0.594,293.15
0.597,293.15
0.6,293.15
0.6,293.15
0.603,293.15
0.606,293.15
0.609,293.15
0.612,293.15
0.615,293.15
0.618,293.15
0.62,293.15
0.62,293.15
0.621,293.15
0.624,293.15
0.627,293.15
0.63,293.15
0.633,293.15
0.636,293.15
0.639,293.15
0.64,293.15
0.64,293.15
0.642,293.15
0.645,293.15
0.648,293.15
0.651,293.15
0.654,293.15
0.657,293.15
0.66,293.15
0.66,293.15
0.663,293.15
0.666,293.15
0.669,293.15
0.672,293.15
0.675,293.15
0.678,293.15
0.68,293.15
0.68,293.15
0.681,293.15
0.684,293.15
0.687,293.15
0.69,293.15
0.693,293.15
0.696,293.15
0.699,293.15
0.7,293.15
0.7,293.15
0.702,293.15
0.705,293.15
0.708,293.15
0.711,293.15
0.714,293.15
0.717,293.15
0.72,293.15
0.72,293.15
0.723,293.15
0.726,293.15
0.729,293.15
0.732,293.15
0.735,293.15
0.738,293.15
0.74,293.15
0.74,293.15
0.741,293.15
0.744,293.15
0.747,293.15
0.75,293.15
0.753,293.15
0.756,293.15
0.759,293.15
0.76,293.15
0.76,293.15
0.762,293.15
0.765,293.15
0.768,293.15
0.771,293.15
0.774,293.15
0.777,293.15
0.78,293.15
0.78,293.15
0.783,293.15
0.786,293.15
0.789,293.15
0.792,293.15
0.795,293.15
0.798,293.15
0.8,293.15
0.8,293.15
0.801,293.15
0.804,293.15
0.807,293.15
0.81,293.15
0.813,293.15
0.816,293.15
0.819,293.15
0.82,293.15
0.82,293.15
0.822,293.15
0.825,293.15
0.828,293.15
0.831,293.15
0.834,293.15
0.837,293.15
0.84,293.15
0.84,293.15
0.843,293.15
0.846,293.15
0.849,293.15
0.852,293.15
0.855,293.15
0.858,293.15
0.86,293.15
0.86,293.15
0.861,293.15
0.864,293.15
0.867,293.15
0.87,293.15
0.873,293.15
0.876,293.15
0.879,293.15
0.88,293.15
0.88,293.15
0.882,293.15
0.885,293.15
0.888,293.15
0.891,293.15
0.894,293.15
0.897,293.15
0.9,293.15
0.9,293.15
0.903,293.15
0.906,293.15
0.909,293.15
0.912,293.15
0.915,293.15
0.918,293.15
0.92,293.15
0.92,293.15
0.921,293.15
0.924,293.15
0.927,293.15
0.93,293.15
0.933,293.15
0.936,293.15
0.939,293.15
0.94,293.15
0.94,293.15
0.942,293.15
0.945,293.15
0.948,293.15
0.951,293.15
0.954,293.15
0.957,293.15
0.96,293.15
0.96,293.15
0.963,293.15
0.966,293.15
0.969,293.15
0.972,293.15
0.975,293.15
0.978,293.15
0.98,293.15
0.98,293.15
0.981,293.15
0.984,293.15
0.987,293.15
0.99,293.15
0.993,293.15
0.996,293.15
0.999,293.15
1,293.15
1,293.15
1.002,293.15
1.005,293.15
1.008,293.15
1.011,293.15
1.014,293.15
1.017,293.15
1.02,293.15
1.02,293.15
1.023,293.15
1.026,293.15
1.029,293.15
1.032,293.15
1.035,293.15
1.038,293.15
1.04,293.15
1.04,293.15
1.041,293.15
1.044,293.15
1.047,293.15
1.05,293.15
1.053,293.15
1.056,293.15
1.059,293.15
1.06,293.15
1.06,293.15
1.062,293.15
1.065,293.15
1.068,293.15
1.071,293.15
1.074,293.15
1.077,293.15
1.08,293.15
1.08,293.15
1.083,293.15
1.086,293.15
1.089,293.15
1.092,293.15
1.095,293.15
1.098,293.15
1.1,293.15
1.1,293.15
1.101,293.15
1.104,293.15
1.107,293.15
1.11,293.15
1.113,293.15
1.116,293.15
1.119,293.15
1.12,293.15
1.12,293.15
1.122,293.15
1.125,293.15
1.128,293.15
1.131,293.15
1.134,293.15
1.137,293.15
1.14,293.15
1.14,293.15
1.143,293.15
1.146,293.15
1.149,293.15
1.152,293.15
1.155,293.15
1.158,293.15
1.16,293.15
1.16,293.15
1.161,293.15
1.164,293.15
1.167,293.15
1.17,293.15
1.173,293.15
1.176,293.15
1.179,293.15
1.18,293.15
1.18,293.15
1.182,293.15
1.185,293.15
1.188,293.15
1.191,293.15
1.194,293.15
1.197,293.15
1.2,293.15
1.2,293.15
1.203,293.15
1.206,293.15
1.209,293.15
1.212,293.15
1.215,293.15
1.218,293.15
1.22,293.15
1.22,293.15
1.221,293.15
1.224,293.15
1.227,293.15
1.23,293.15
1.233,293.15
1.236,293.15
1.239,293.15
1.24,293.15
1.24,293.15
1.242,293.15
1.245,293.15
1.248,293.15
1.251,293.15
1.254,293.15
1.257,293.15
1.26,293.15
1.26,293.15
1.263,293.15
1.266,293.15
1.269,293.15
1.272,293.15
1.275,293.15
1.278,293.15
1.28,293.15
1.28,293.15
1.281,293.15
1.284,293.15
1.287,293.15
1.29,293.15
1.293,293.15
1.296,293.15
1.299,293.15
1.3,293.15
1.3,293.15
1.302,293.15
1.305,293.15
1.308,293.15
1.311,293.15
1.314,293.15
1.317,293.15
1.32,293.15
1.32,293.15
1.323,293.15
1.326,293.15
1.329,293.15
1.332,293.15
1.335,293.15
1.338,293.15
1.34,293.15
1.34,293.15
1.341,293.15
1.344,293.15
1.347,293.15
1.35,293.15
1.353,293.15
1.356,293.15
1.359,293.15
1.36,293.15
1.36,293.15
1.362,293.15
1.365,293.15
1.368,293.15
1.371,293.15
1.374,293.15
