Time,yRising,yFalling,yEither,
0,1.04273e-306,1.04403e-311,2.7364e-310,
0.1,0,0,0,
0.2,0,0,0,
0.3,0,0,0,
0.4,0,0,0,
0.5,-0.756802,0,-0.756802,
0.6,-0.756802,0,-0.756802,
0.7,-0.756802,0,-0.756802,
0.8,-0.756802,0,-0.756802,
0.9,-0.756802,0,-0.756802,
1,-0.756802,0.989358,0.989358,
1.1,-0.756802,0.989358,0.989358,
1.2,-0.756802,0.989358,0.989358,
1.3,-0.756802,0.989358,0.989358,
1.4,-0.756802,0.989358,0.989358,
1.5,-0.756802,0.989358,0.989358,
1.6,-0.529805,0.989358,-0.529805,
1.7,-0.529805,0.989358,-0.529805,
1.8,-0.529805,0.989358,-0.529805,
1.9,-0.529805,0.989358,-0.529805,
2,-0.529805,0.989358,-0.529805,
2.1,-0.529805,-0.295555,-0.295555,
2.2,-0.529805,-0.295555,-0.295555,
2.3,-0.529805,-0.295555,-0.295555,
2.4,-0.529805,-0.295555,-0.295555,
2.5,-0.529805,-0.295555,-0.295555,
2.6,0.916181,-0.295555,0.916181,
2.7,0.916181,-0.295555,0.916181,
2.8,0.916181,-0.295555,0.916181,
2.9,0.916181,-0.295555,0.916181,
3,0.916181,-0.295555,0.916181,
3.1,0.916181,-0.902156,-0.902156,
3.2,0.916181,-0.902156,-0.902156,
3.3,0.916181,-0.902156,-0.902156,
3.4,0.916181,-0.902156,-0.902156,
3.5,0.916181,-0.902156,-0.902156,
3.6,0.263196,-0.902156,0.263196,
3.7,0.263196,-0.902156,0.263196,
3.8,0.263196,-0.902156,0.263196,
3.9,0.263196,-0.902156,0.263196,
4,0.263196,-0.902156,0.263196,
4.1,0.263196,0.558083,0.558083,
4.2,0.263196,0.558083,0.558083,
4.3,0.263196,0.558083,0.558083,
4.4,0.263196,0.558083,0.558083,
4.5,0.263196,0.558083,0.558083,
4.6,-0.992771,0.558083,-0.992771,
4.7,-0.992771,0.558083,-0.992771,
4.8,-0.992771,0.558083,-0.992771,
4.9,-0.992771,0.558083,-0.992771,
5,-0.992771,0.745113,0.745113,
5.1,-0.992771,0.745113,0.745113,
5.2,-0.992771,0.745113,0.745113,
5.3,-0.992771,0.745113,0.745113,
5.4,-0.992771,0.745113,0.745113,
5.5,0.0177019,0.745113,0.0177019,
5.6,0.0177019,0.745113,0.0177019,
5.7,0.0177019,0.745113,0.0177019,
5.8,0.0177019,0.745113,0.0177019,
5.9,0.0177019,0.745113,0.0177019,
6,0.0177019,-0.768255,-0.768255,
6.1,0.0177019,-0.768255,-0.768255,
6.2,0.0177019,-0.768255,-0.768255,
6.3,0.0177019,-0.768255,-0.768255,
6.4,0.0177019,-0.768255,-0.768255,
6.5,0.986628,-0.768255,0.986628,
6.6,0.986628,-0.768255,0.986628,
6.7,0.986628,-0.768255,0.986628,
6.8,0.986628,-0.768255,0.986628,
6.9,0.986628,-0.768255,0.986628,
7,0.986628,-0.521551,-0.521551,
7.1,0.986628,-0.521551,-0.521551,
7.2,0.986628,-0.521551,-0.521551,
7.3,0.986628,-0.521551,-0.521551,
7.4,0.986628,-0.521551,-0.521551,
7.5,-0.304811,-0.521551,-0.304811,
7.6,-0.304811,-0.521551,-0.304811,
7.7,-0.304811,-0.521551,-0.304811,
7.8,-0.304811,-0.521551,-0.304811,
7.9,-0.304811,-0.521551,-0.304811,
8,-0.304811,0.920026,0.920026,
8.1,-0.304811,0.920026,0.920026,
8.2,-0.304811,0.920026,0.920026,
8.3,-0.304811,0.920026,0.920026,
8.4,-0.304811,0.920026,0.920026,
8.5,-0.897928,0.920026,-0.897928,
8.6,-0.897928,0.920026,-0.897928,
8.7,-0.897928,0.920026,-0.897928,
8.8,-0.897928,0.920026,-0.897928,
8.9,-0.897928,0.920026,-0.897928,
9,-0.897928,0.253823,0.253823,
9.1,-0.897928,0.253823,0.253823,
9.2,-0.897928,0.253823,0.253823,
9.3,-0.897928,0.253823,0.253823,
9.4,-0.897928,0.253823,0.253823,
9.5,0.566108,0.253823,0.566108,
9.6,0.566108,0.253823,0.566108,
9.7,0.566108,0.253823,0.566108,
9.8,0.566108,0.253823,0.566108,
9.9,0.566108,0.253823,0.566108,
10,0.566108,0.253823,0.566108,
