"time","B1.f2.Pt","B1.f2.m","B2.f2.Pt","B2.f2.m","C1.V_bubble","C2.V_bubble","D1.f_out.m","D2.f_out.m","D3.f_out.m","D4.f_out.m","D5.f_out.m","D6.f_out.m","D7.f_out.m","D8.f_out.m"
0,1.4005551578383983,-69.132802216273049,1.4005551578383983,-69.132802216273618,4.3834861359678632,4.3834861359678623,-69.132802216273063,-69.132802216273603,-2.0193013907524503e-005,2.1199771393387072e-005,-4.0965965216516414e-006,-3.6477457074552575e-006,8.5576190793104402e-007,5.8818227958927913e-006
0.05,1.4029105672267475,-68.026719169409489,1.4005551578383983,-69.132802216273618,4.386927449554582,4.3869448513078799,-68.463178417155163,-69.132802216273603,-2.0192905907841617e-005,2.1199642628637788e-005,-4.0965664463935149e-006,-3.6477217696130176e-006,8.5576189980983104e-007,5.8817896261923794e-006
0.1,1.4068681382873407,-64.298636732803757,1.4005551578383983,-69.132802216273618,4.3902552334639724,4.3904035666478958,-64.927297046525311,-69.132802216273603,-2.0192798008341688e-005,2.1199513762083876e-005,-4.096536429254743e-006,-3.6476978498465569e-006,8.5576190902639071e-007,5.8817564799723747e-006
0.15,1.4131397880877525,-56.179669113573617,1.4005551578383983,-69.132802216273618,4.3933011022368591,4.3938622819879125,-57.130799286865191,-69.132802216273603,-2.0192690044362273e-005,2.1199384989961953e-005,-4.0965062748457651e-006,-3.6476739035989676e-006,8.5576192113727256e-007,5.8817233067825242e-006
0.2,1.4221005624867153,-41.633222716964504,1.4005551578383983,-69.132802216273618,4.395793571288225,4.3973209973279292,-42.989580024942178,-69.132802216273603,-2.0192582060566482e-005,2.1199256133930273e-005,-4.0964762733137337e-006,-3.6476500309216799e-006,8.5576188267381644e-007,5.8816901289640172e-006
0.25,1.4336280570956992,-18.409819060320153,1.4005551578383983,-69.132802216273618,4.397355835411239,4.400779712667946,-20.098900423781771,-69.132802216273603,-2.0192473986200972e-005,2.1199127402072143e-005,-4.0964462089471558e-006,-3.6476260613301836e-006,8.5576192631540964e-007,5.8816570091509059e-006
0.3,1.4473388869272943,15.630379177775314,1.4005551578383983,-69.132802216273618,4.3974958511208122,4.4042384280079645,13.715314652748516,-69.132802216273603,-2.0192366088389935e-005,2.1198998528181265e-005,-4.0964161579175835e-006,-3.6476021514483518e-006,8.5576192352845948e-007,5.8816238683843712e-006
0.35,1.4589969798791524,60.00507808922054,1.4005551578383983,-69.132802216273618,4.3956631456456634,4.407697143347983,58.772762691221928,-69.132802216273603,-2.0192258105932168e-005,2.1198869807129086e-005,-4.0963860724338153e-006,-3.6475782395058582e-006,8.5576189127961432e-007,5.8815906903584962e-006
0.4,1.4708105958352973,113.41280115836554,1.4005551578383983,-69.132802216273618,4.391382517043791,4.4111558586879998,112.00796812044887,-69.132802216273603,-2.0192150185121486e-005,2.1198740975705546e-005,-4.096356062058355e-006,-3.6475543243667648e-006,8.5576189135187703e-007,5.8815575092825808e-006
0.45,1.4821156514340934,175.20597819437197,1.4005551578383983,-69.132802216273632,4.3842169183200568,4.4146145740280183,173.80567357132497,-69.132802216273603,-2.0192042139758208e-005,2.119861219771091e-005,-4.0963259596001871e-006,-3.6475303715534322e-006,8.5576192759577067e-007,5.8815243664825225e-006
0.5,1.4986351583488229,246.84723481271831,1.4005551578383983,-69.132802216273618,4.3737310775659566,4.418073289368035,245.00740202531537,-69.132802216273603,-2.019193413453929e-005,2.1198483409859715e-005,-4.096295911014337e-006,-3.6475064920715769e-006,8.557619061381351e-007,5.8814911825798533e-006
0.55,1.5101944111470214,327.72087715297079,1.4005551578383986,-69.132802216273674,4.3594074660497366,4.4215320047080535,326.8096281611588,-69.132802216273575,-2.0191826146970404e-005,2.1198354656947093e-005,-4.0962658641100354e-006,-3.6474825424691392e-006,8.5576193255260673e-007,5.8814580423830228e-006
0.6,1.5208912602958733,413.69038342273154,1.4005551578383986,-69.132802216273674,4.3408985081957159,4.4249907200480729,413.47113102515146,-69.132802216273532,-2.019171819034163e-005,2.1198225831516765e-005,-4.0962358261700537e-006,-3.6474586162105021e-006,8.5576195706118689e-007,5.8814249122970459e-006
0.65,1.5364450485899908,506.00698562348123,1.4005551578383981,-69.132802216273717,4.3179486246516552,4.4284494353880897,503.94257748221429,-69.132802216273518,-2.0191610144950362e-005,2.1198097099809217e-005,-4.0962057768523206e-006,-3.6474347051915281e-006,8.5576192823683654e-007,5.8813917053588286e-006
0.7,1.5507358357043026,604.88679667008103,1.4005551578383983,-69.13280221627376,4.2902059953618998,4.4319081507281064,604.55657591530064,-69.132802216273518,-2.0191502227039867e-005,2.1197968292018995e-005,-4.0961757415943281e-006,-3.6474107740800644e-006,8.5576191318269361e-007,5.8813585564646782e-006
0.75,1.5661202041712807,708.79043489341109,1.4005551578383983,-69.132802216273788,4.257388308544475,4.4353668660681231,708.24771354083896,-69.13280221627349,-2.0191394249392915e-005,2.1197839454413219e-005,-4.096145691387977e-006,-3.6473868392030006e-006,8.5576193614571605e-007,5.8813254175601591e-006
0.8,1.5791781410645185,815.89152964147502,1.4005551578383981,-69.132802216273831,4.2192770035041036,4.4388255814081417,815.18831870209988,-69.13280221627349,-2.019128626365195e-005,2.1197710712216066e-005,-4.0961156016019878e-006,-3.6473629769831824e-006,8.5576191427324112e-007,5.8812922555722295e-006
0.85,1.5867562259484509,921.22923715859383,1.4005551578383981,-69.132802216273916,4.1758145772701392,4.4422842967481593,923.10060518342357,-69.132802216273447,-2.0191178135394829e-005,2.1197581907500779e-005,-4.0960855543272956e-006,-3.6473390205398474e-006,8.557619573913777e-007,5.8812591096428113e-006
0.9,1.5928425385771241,1020.332023125492,1.4005551578383986,-69.132802216273859,4.1272267538836811,4.4457430120881769,1021.5441892854416,-69.132802216273475,-2.0191070373435568e-005,2.119745302890751e-005,-4.0960554809736702e-006,-3.6473151058663392e-006,8.5576194202545539e-007,5.8812259451156269e-006
0.95,1.6001637687561223,1111.9118317573593,1.4005551578383981,-69.13280221627393,4.0738678373041495,4.4492017274281945,1112.2592054655086,-69.132802216273518,-2.0190962340599768e-005,2.119732415613382e-005,-4.0960255122938167e-006,-3.6472911997293696e-006,8.557619871684758e-007,5.8811927921344544e-006
1,1.6097491675092517,1196.4745210457299,1.4005551578383983,-69.132802216273845,4.0161098979855616,4.4526604427682122,1198.1365343850714,-69.132802216273504,-2.0190854243217113e-005,2.1197195539121327e-005,-4.09599532480755e-006,-3.6472671882974849e-006,8.5576196549936109e-007,5.8811596031635127e-006
1.05,1.6213038923208754,1274.9111247457627,1.4005551578383983,-69.132802216273831,3.9542807500790342,4.4561191581082298,1275.7013218205241,-69.132802216273518,-2.0190746503185227e-005,2.1197066537427698e-005,-4.0959654573277033e-006,-3.6472433395659588e-006,8.5576197535444893e-007,5.8811264803132512e-006
1.1,1.6346231862470384,1347.8249031291937,1.4005551578383981,-69.132802216273788,3.8886704158442051,4.4595778734482483,1347.9816526967927,-69.132802216273518,-2.0190638457090481e-005,2.1196937828656759e-005,-4.0959353694655106e-006,-3.6472194542445893e-006,8.5576190852909523e-007,5.8810932767148916e-006
1.15,1.6498749607750465,1415.787817386273,1.4005551578383986,-69.132802216273859,3.8195438446724115,4.4630365887882659,1416.8884617598562,-69.132802216273532,-2.0190530483462908e-005,2.1196809139598058e-005,-4.0959052304895424e-006,-3.647195444070834e-006,8.5576198773755329e-007,5.8810601719838397e-006
1.2,1.6669657519348902,1479.3728803020908,1.4005551578383986,-69.132802216273816,3.747132764577588,4.4664953041282835,1480.0040033965183,-69.132802216273475,-2.0190422608189689e-005,2.1196680105381749e-005,-4.0958753579599402e-006,-3.6471716412158332e-006,8.5576187661231568e-007,5.8810269440916274e-006
