    "time","x@mass2port","output@integrator"
         0,        -1,     1.521
     0.002,-0.99999801, 1.5209802
     0.004,-0.99999218, 1.5209219
     0.006,-0.99998246, 1.5208249
     0.008,-0.99996886, 1.5206891
      0.01,-0.99995136, 1.5205144
     0.012,-0.99992997,  1.520301
     0.014,-0.9999047, 1.5200487
     0.016,-0.99987553, 1.5197576
     0.018,-0.99984247, 1.5194277
      0.02,-0.99980551,  1.519059
     0.022,-0.99976466, 1.5186515
     0.024,-0.99971991, 1.5182052
     0.026,-0.99967125, 1.5177201
     0.028,-0.99961869, 1.5171962
      0.03,-0.99956223, 1.5166334
     0.032,-0.99950186, 1.5160319
     0.034,-0.99943757, 1.5153915
     0.036,-0.99936938, 1.5147123
     0.038,-0.99929726, 1.5139944
      0.04,-0.99922122, 1.5132376
     0.042,-0.99914125,  1.512442
     0.044,-0.99905736, 1.5116076
     0.046,-0.99896953, 1.5107344
     0.048,-0.99887776, 1.5098224
      0.05,-0.99878205, 1.5088716
     0.052,-0.99868239,  1.507882
     0.054,-0.99857878, 1.5068536
     0.056,-0.99847121, 1.5057864
     0.058,-0.99835968, 1.5046804
      0.06,-0.99824417, 1.5035356
     0.062,-0.9981247,  1.502352
     0.064,-0.99800124, 1.5011296
     0.066,-0.99787379, 1.4998684
     0.068,-0.99774236, 1.4985684
      0.07,-0.99760692, 1.4972297
     0.072,-0.99746747, 1.4958521
     0.074,-0.99732401, 1.4944357
     0.076,-0.99717653, 1.4929805
     0.078,-0.99702502, 1.4914866
      0.08,-0.99686947, 1.4899538
     0.082,-0.99670988, 1.4883823
     0.084,-0.99654624, 1.4867719
     0.086,-0.99637853, 1.4851228
     0.088,-0.99620676, 1.4834349
      0.09,-0.9960309, 1.4817082
     0.092,-0.99585096, 1.4799428
     0.094,-0.99566692, 1.4781385
     0.096,-0.99547877, 1.4762955
     0.098,-0.99528651, 1.4744137
       0.1,-0.99509011, 1.4724931
     0.102,-0.99488959, 1.4705337
     0.104,-0.99468491, 1.4685356
     0.106,-0.99447608, 1.4664986
     0.108,-0.99426307,  1.464423
      0.11,-0.99404589, 1.4623085
     0.112,-0.99382451, 1.4601553
     0.114,-0.99359893, 1.4579633
     0.116,-0.99336913, 1.4557325
     0.118,-0.9931351,  1.453463
      0.12,-0.99289684, 1.4511547
     0.122,-0.99265432, 1.4488076
     0.124,-0.99240753, 1.4464218
     0.126,-0.99215646, 1.4439973
     0.128,-0.99190109, 1.4415339
      0.13,-0.99164142, 1.4390319
     0.132,-0.99137743,  1.436491
     0.134,-0.9911091, 1.4339115
     0.136,-0.99083641, 1.4312931
     0.138,-0.99055936, 1.4286361
      0.14,-0.99027793, 1.4259403
     0.142,-0.9899921, 1.4232057
     0.144,-0.98970185, 1.4204324
     0.146,-0.98940718, 1.4176204
     0.148,-0.98910806, 1.4147696
      0.15,-0.98880447, 1.4118802
     0.152,-0.9884964, 1.4089519
     0.154,-0.98818383,  1.405985
     0.156,-0.98786675, 1.4029793
     0.158,-0.98754513, 1.3999349
      0.16,-0.98721896, 1.3968518
     0.162,-0.98688821,   1.39373
     0.164,-0.98655287, 1.3905695
     0.166,-0.98621292, 1.3873702
     0.168,-0.98586834, 1.3841323
      0.17,-0.9855191, 1.3808556
     0.172,-0.98516519, 1.3775402
     0.174,-0.98480659, 1.3741862
     0.176,-0.98444327, 1.3707934
     0.178,-0.98407522,  1.367362
      0.18,-0.9837024, 1.3638919
     0.182,-0.9833248,  1.360383
     0.184,-0.9829424, 1.3568355
     0.186,-0.98255516, 1.3532493
     0.188,-0.98216308, 1.3496245
      0.19,-0.98176611,  1.345961
     0.192,-0.98136424, 1.3422588
     0.194,-0.98095745, 1.3385179
     0.196,-0.9805457, 1.3347384
     0.198,-0.98012897, 1.3309202
       0.2,-0.97970723, 1.3270634
