"time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,0,0,0,0,0,0,0,0,0,0
1,1,0.909689,0.45,0.495386,30,22.3689,3,0.987124,1000,40
2,1,0.95335,0.45,0.522163,30,22.411,3,0.977689,1000,40
3,1,0.992524,0.45,0.534851,30,22.4475,3,0.970872,1000,40
4,1,1.02201,0.45,0.537161,30,30.219,3,1.20538,1000,40
5,1,1.02973,0.45,0.532083,30,30.1723,3,2.10181,1000,40
6,1,1.02244,0.45,0.522696,30,30.0956,3,3.34971,1000,40
7,1,1.00994,0.45,0.511411,30,30.0394,3,4.12605,1000,40
8,1,0.999553,0.45,0.499868,30,30.0044,3,3.87693,1000,40
9,1,0.99435,0.45,0.489037,30,29.9868,3,3.35898,1000,40
10,1,0.993929,0.45,0.479399,30,29.9834,3,3.03103,1000,40
11,1,0.996159,0.45,0.471141,30,29.9889,3,2.89731,1000,40
12,1,0.998835,0.45,0.464289,30,29.9967,3,2.88877,1000,40
13,1,1.00063,0.45,0.458791,30,30.0022,3,2.93893,1000,40
14,1,1.00124,0.45,0.454547,30,30.0039,3,2.99447,1000,40
15,1,1.00101,0.45,0.451426,30,30.0031,3,3.0261,1000,40
16,1,1.00048,0.45,0.449268,30,30.0015,3,3.03065,1000,40
17,1,1.00003,0.45,0.447901,30,30.0001,3,3.01974,1000,40
18,1,0.999799,0.45,0.44715,30,29.9994,3,3.00612,1000,40
19,1,0.999775,0.45,0.446856,30,29.9993,3,2.99698,1000,40
20,1,0.999857,0.45,0.44688,30,29.9996,3,2.99383,1000,40
21,1,0.999955,0.45,0.447109,30,29.9999,3,2.99487,1000,40
22,1,1.00002,0.45,0.447456,30,30.0001,3,2.99749,1000,40
23,1,1.00004,0.45,0.447856,30,30.0001,3,2.99978,1000,40
