"time","spring_length_out"
0.000,400.00000000
0.010,400.00000000
0.020,400.48980000
0.030,401.95610000
0.040,404.39240000
0.050,407.78970000
0.060,412.13620000
0.070,417.41800000
0.080,423.61830000
0.090,430.71830000
0.100,438.69660000
0.110,447.52960000
0.120,457.19140000
0.130,467.65400000
0.140,478.88750000
0.150,490.85990000
0.160,503.53710000
0.170,516.88370000
0.180,530.86210000
0.190,545.43340000
0.200,560.55720000
0.210,576.19170000
0.220,592.29390000
0.230,608.81950000
0.240,625.72330000
0.250,642.95930000
0.260,660.48070000
0.270,678.23990000
0.280,696.18900000
0.290,714.27960000
0.300,732.46310000
0.310,750.69060000
0.320,768.91310000
0.330,787.08190000
0.340,805.14880000
0.350,823.06610000
0.360,840.78720000
0.370,858.26490000
0.380,875.45310000
0.390,892.30690000
0.400,908.78220000
0.410,924.83600000
0.420,940.42680000
0.430,955.51400000
0.440,970.05890000
0.450,984.02420000
0.460,997.37400000
0.470,1010.07500000
0.480,1022.09400000
0.490,1033.40100000
0.500,1043.96800000
0.510,1053.77000000
0.520,1062.78100000
0.530,1070.98000000
0.540,1078.34700000
0.550,1084.86400000
0.560,1090.51800000
0.570,1095.29400000
0.580,1099.18300000
0.590,1102.17600000
0.600,1104.26800000
0.610,1105.45500000
0.620,1105.73800000
0.630,1105.11700000
0.640,1103.59600000
0.650,1101.18300000
0.660,1097.88600000
0.670,1093.71600000
0.680,1088.68600000
0.690,1082.81300000
0.700,1076.11300000
0.710,1068.60800000
0.720,1060.31900000
0.730,1051.27100000
0.740,1041.48900000
0.750,1031.00200000
0.760,1019.84000000
0.770,1008.03400000
0.780,995.61720000
0.790,982.62450000
0.800,969.09200000
0.810,955.05730000
0.820,940.55920000
0.830,925.63750000
0.840,910.33310000
0.850,894.68790000
0.860,878.74460000
0.870,862.54630000
0.880,846.13710000
0.890,829.56110000
0.900,812.86300000
0.910,796.08770000
0.920,779.28060000
0.930,762.48650000
0.940,745.75030000
0.950,729.11630000
0.960,712.62880000
0.970,696.33070000
0.980,680.26450000
0.990,664.47300000
1.000,648.99760000
1.010,633.87860000
1.020,619.15540000
1.030,604.86630000
1.040,591.04820000
1.050,577.73670000
1.060,564.96580000
1.070,552.76830000
1.080,541.17510000
1.090,530.21560000
1.100,519.91720000
1.110,510.30560000
1.120,501.40470000
1.130,493.23630000
1.140,485.82020000
1.150,479.17420000
1.160,473.31390000
1.170,468.25290000
1.180,464.00260000
1.190,460.57210000
1.200,457.96830000
1.210,456.19610000
1.220,455.25790000
1.230,455.15400000
1.240,455.88240000
1.250,457.43900000
1.260,459.81750000
1.270,463.00920000
1.280,467.00360000
1.290,471.78780000
1.300,477.34690000
1.310,483.66420000
1.320,490.72060000
1.330,498.49540000
1.340,506.96610000
1.350,516.10800000
1.360,525.89510000
1.370,536.29960000
1.380,547.29200000
1.390,558.84140000
1.400,570.91570000
1.410,583.48120000
1.420,596.50310000
1.430,609.94540000
1.440,623.77110000
1.450,637.94250000
1.460,652.42080000
1.470,667.16650000
1.480,682.13960000
1.490,697.29970000
1.500,712.60570000
1.510,728.01660000
1.520,743.49080000
1.530,758.98660000
1.540,774.46260000
1.550,789.87750000
1.560,805.19050000
1.570,820.36090000
1.580,835.34920000
1.590,850.11640000
1.600,864.62310000
1.610,878.83140000
1.620,892.70410000
1.630,906.20530000
1.640,919.29980000
1.650,931.95380000
1.660,944.13480000
1.670,955.81150000
1.680,966.95420000
1.690,977.53450000
1.700,987.52590000
1.710,996.90310000
1.720,1005.64300000
1.730,1013.72300000
1.740,1021.12500000
1.750,1027.83000000
1.760,1033.82200000
1.770,1039.08800000
1.780,1043.61400000
1.790,1047.39100000
1.800,1050.41100000
1.810,1052.66800000
1.820,1054.15800000
1.830,1054.87800000
1.840,1054.83000000
1.850,1054.01400000
1.860,1052.43700000
1.870,1050.10300000
1.880,1047.02000000
1.890,1043.20000000
1.900,1038.65400000
1.910,1033.39700000
1.920,1027.44300000
1.930,1020.81200000
1.940,1013.52200000
1.950,1005.59500000
1.960,997.05340000
1.970,987.92160000
1.980,978.22570000
1.990,967.99300000
2.000,957.25210000
2.010,946.03320000
2.020,934.36730000
2.030,922.28690000
2.040,909.82520000
2.050,897.01640000
2.060,883.89560000
2.070,870.49880000
2.080,856.86220000
2.090,843.02290000
2.100,829.01840000
2.110,814.88640000
2.120,800.66480000
2.130,786.39220000
2.140,772.10680000
2.150,757.84690000
2.160,743.65040000
2.170,729.55490000
2.180,715.59770000
2.190,701.81530000
2.200,688.24350000
2.210,674.91850000
2.220,661.87510000
2.230,649.14740000
2.240,636.76840000
2.250,624.77020000
2.260,613.18390000
2.270,602.03910000
2.280,591.36450000
2.290,581.18720000
2.300,571.53310000
2.310,562.42640000
2.320,553.89010000
2.330,545.94540000
2.340,538.61180000
2.350,531.90740000
2.360,525.84820000
2.370,520.44880000
2.380,515.72170000
2.390,511.67780000
2.400,508.32610000
2.410,505.67360000
2.420,503.72550000
2.430,502.48520000
2.440,501.95410000
2.450,502.13160000
2.460,503.01550000
2.470,504.60150000
2.480,506.88350000
2.490,509.85360000
2.500,513.50190000
2.510,517.81700000
2.520,522.78560000
2.530,528.39270000
2.540,534.62160000
2.550,541.45400000
2.560,548.87030000
2.570,556.84890000
2.580,565.36710000
2.590,574.40080000
2.600,583.92460000
2.610,593.91160000
2.620,604.33410000
2.630,615.16310000
2.640,626.36870000
2.650,637.91990000
2.660,649.78500000
2.670,661.93160000
2.680,674.32650000
2.690,686.93600000
2.700,699.72590000
2.710,712.66160000
2.720,725.70830000
2.730,738.83100000
2.740,751.99410000
2.750,765.16230000
2.760,778.30050000
2.770,791.37370000
2.780,804.34730000
2.790,817.18680000
2.800,829.85910000
2.810,842.33090000
2.820,854.56920000
2.830,866.54180000
2.840,878.21770000
2.850,889.56640000
2.860,900.55860000
2.870,911.16590000
2.880,921.36110000
2.890,931.11800000
2.900,940.41190000
2.910,949.21910000
2.920,957.51750000
2.930,965.28630000
2.940,972.50630000
2.950,979.15960000
2.960,985.22990000
2.970,990.70280000
2.980,995.56510000
2.990,999.80550000
3.000,1003.41400000
3.010,1006.38400000
3.020,1008.70800000
3.030,1010.38100000
3.040,1011.40200000
3.050,1011.76900000
3.060,1011.48300000
3.070,1010.54600000
3.080,1008.96300000
3.090,1006.74000000
3.100,1003.88300000
3.110,1000.40400000
3.120,996.31150000
3.130,991.61930000
3.140,986.34120000
3.150,980.49290000
3.160,974.09150000
3.170,967.15550000
3.180,959.70490000
3.190,951.76080000
3.200,943.34580000
3.210,934.48370000
3.220,925.19910000
3.230,915.51800000
3.240,905.46730000
3.250,895.07470000
3.260,884.36890000
3.270,873.37920000
3.280,862.13580000
3.290,850.66920000
3.300,839.01070000
3.310,827.19170000
3.320,815.24440000
3.330,803.20080000
3.340,791.09330000
3.350,778.95470000
3.360,766.81740000
3.370,754.71390000
3.380,742.67630000
3.390,730.73660000
3.400,718.92620000
3.410,707.27590000
3.420,695.81600000
3.430,684.57720000
3.440,673.58860000
3.450,662.87890000
3.460,652.47600000
3.470,642.40680000
3.480,632.69720000
3.490,623.37220000
3.500,614.45560000
3.510,605.97000000
3.520,597.93700000
3.530,590.37680000
3.540,583.30830000
3.550,576.74900000
3.560,570.71500000
3.570,565.22100000
3.580,560.28030000
3.590,555.90450000
3.600,552.10390000
3.610,548.88690000
3.620,546.26060000
3.630,544.23050000
3.640,542.80040000
3.650,541.97240000
3.660,541.74730000
3.670,542.12390000
3.680,543.09970000
3.690,544.67040000
3.700,546.83030000
3.710,549.57220000
3.720,552.88700000
3.730,556.76440000
3.740,561.19260000
3.750,566.15840000
3.760,571.64700000
3.770,577.64240000
3.780,584.12730000
3.790,591.08300000
3.800,598.48990000
3.810,606.32680000
3.820,614.57190000
3.830,623.20190000
3.840,632.19290000
3.850,641.52000000
3.860,651.15730000
