"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8[1]","Out8[2]","Out9","Out10","Out11"
0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.00E-01,0.00E+00,9.98E-02,1.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,9.98E-02,0.00E+00,0.00E+00,2.00E-02,6.00E+00
2.00E-01,0.00E+00,1.99E-01,2.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.99E-01,0.00E+00,0.00E+00,3.97E-02,6.00E+00
3.00E-01,0.00E+00,2.96E-01,3.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.96E-01,2.96E-01,0.00E+00,0.00E+00,5.91E-02,6.00E+00
4.00E-01,0.00E+00,3.89E-01,4.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.96E-01,3.89E-01,0.00E+00,0.00E+00,7.79E-02,6.00E+00
5.00E-01,0.00E+00,4.79E-01,5.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.96E-01,4.79E-01,0.00E+00,0.00E+00,9.59E-02,6.00E+00
6.00E-01,0.00E+00,5.65E-01,6.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,5.65E-01,5.65E-01,0.00E+00,0.00E+00,1.13E-01,6.00E+00
7.00E-01,0.00E+00,6.44E-01,7.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,5.65E-01,6.44E-01,0.00E+00,0.00E+00,1.29E-01,6.00E+00
8.00E-01,0.00E+00,7.17E-01,8.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,5.65E-01,7.17E-01,0.00E+00,0.00E+00,1.43E-01,6.00E+00
9.00E-01,0.00E+00,7.83E-01,9.00E+00,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,7.83E-01,7.83E-01,0.00E+00,0.00E+00,1.57E-01,6.00E+00
1.00E+00,1.00E+00,8.41E-01,1.00E+01,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,7.83E-01,8.41E-01,1.00E+00,0.00E+00,1.68E-01,6.00E+00
1.10E+00,1.00E+00,8.91E-01,1.00E+01,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,7.83E-01,8.91E-01,1.00E+00,0.00E+00,1.78E-01,6.00E+00
1.20E+00,1.00E+00,9.32E-01,1.10E+01,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,9.32E-01,9.32E-01,1.00E+00,0.00E+00,1.86E-01,6.00E+00
1.30E+00,1.00E+00,9.64E-01,1.10E+01,0.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-01,0.00E+00,0.00E+00,1.00E+00,0.00E+00,9.32E-01,9.64E-01,1.00E+00,0.00E+00,1.93E-01,6.00E+00
