"time","dm2@tpf_pump","out2@division","press@tpf_st_chamber","tau@tpf_st_chamber","tempc@tpf_st_chamber","torque@expseu_"
0.000000,0.130321,0.240000,0.023370,25.000000,19.903957,0.554211
1.000000,0.086638,0.247961,0.038352,25.796118,28.158403,0.730031
2.000000,0.040331,0.252401,0.056468,26.240098,34.987086,0.888185
3.000000,0.016206,0.254707,0.078496,26.470699,41.088118,1.030246
4.000000,0.003492,0.255918,0.105859,26.591828,46.872959,1.157218
5.000000,0.000000,0.256637,0.140263,26.663691,52.544344,1.265080
6.000000,0.000000,0.257369,0.183905,26.736868,58.226197,1.345571
7.000000,0.000000,0.258157,0.238784,26.815707,63.922836,1.383968
8.000000,0.000000,0.258998,0.307103,26.899837,69.628319,1.362114
9.000000,0.000000,0.259889,0.391325,26.988901,75.336783,1.258555
10.000000,0.000000,0.260826,0.494178,27.082559,81.042907,1.048432
11.000000,0.000000,0.261805,0.618648,27.180480,86.741578,0.703415
12.000000,0.000000,0.262823,0.767965,27.282340,92.427762,0.185277
13.000000,0.000000,0.263873,0.945349,27.387330,98.089930,-0.658508
14.000000,0.000000,0.264953,1.154457,27.495332,103.726626,-1.861836
15.000000,0.000000,0.266062,1.399128,27.606181,109.335750,-3.424521
16.000000,0.000000,0.267195,1.683197,27.719463,114.911889,-5.443422
17.000000,0.000000,0.268347,2.010483,27.834681,120.448820,-8.001185
18.000000,0.000000,0.269512,2.384646,27.951202,125.938993,-11.185107
19.000000,0.000000,0.270682,2.808994,28.068194,131.372862,-15.090702
20.000000,0.000000,0.271844,3.285742,28.184425,136.733277,-19.810174
21.000000,0.000000,0.272961,3.806052,28.296128,141.907551,-25.329225
22.000000,0.000000,0.273991,4.355556,28.399094,146.785718,-31.534541
23.000000,0.000000,0.274885,4.913030,28.488508,151.252583,-38.182122
24.000000,0.000000,0.275593,5.451515,28.559275,155.196627,-44.910953
25.000000,0.000000,0.276065,5.941155,28.606512,158.520959,-51.294546
26.000000,0.000000,0.276261,6.353315,28.626143,161.153719,-56.908027
27.000000,0.000000,0.276155,6.665045,28.615470,163.055982,-61.392086
28.000000,0.000000,0.275736,6.862656,28.573582,164.225476,-64.506359
29.000000,0.000000,0.275015,6.943423,28.501497,164.695770,-66.162337
30.000000,0.000000,0.274020,6.914979,28.401988,164.530641,-66.423293
31.000000,0.000000,0.272791,6.792726,28.279134,163.814719,-65.469901
32.000000,0.000000,0.271378,6.596438,28.137756,162.643499,-63.551259
33.000000,0.000000,0.269828,6.346812,27.982796,161.113252,-60.951743
34.000000,0.000000,0.268189,6.062983,27.818904,159.313939,-57.922368
35.000000,0.000000,0.266545,5.787031,27.654506,157.498944,-54.996515
36.000000,0.000000,0.265205,5.688706,27.520522,156.835531,-54.285019
37.000000,0.000000,0.264311,5.849496,27.431133,157.915745,-56.806806
38.000000,0.000000,0.263871,6.298092,27.387082,160.809021,-63.009905
39.000000,0.000000,0.263567,6.875929,27.356664,164.303061,-70.992730
40.000000,0.000000,0.263172,7.452729,27.317232,167.565195,-79.099008
41.000000,0.000000,0.262600,7.966381,27.259969,170.305576,-86.477679
42.000000,0.000000,0.261822,8.390555,27.182220,172.464921,-92.718306
43.000000,0.000000,0.260843,8.719837,27.084316,174.082396,-97.694093
44.000000,0.000000,0.259681,8.960969,26.968092,175.236507,-101.459129
45.000000,0.000000,0.258361,9.126818,26.836078,176.016133,-104.168964
46.000000,0.000000,0.256910,9.232278,26.690991,176.506079,-106.020222
47.000000,0.003284,0.255418,9.285920,26.541807,176.753598,-107.136157
48.000000,0.008209,0.254171,9.277320,26.417064,176.713991,-107.377508
49.000000,0.012186,0.253164,9.220732,26.316389,176.452653,-106.936888
50.000000,0.015349,0.252364,9.133274,26.236373,176.046254,-106.056726
51.000000,0.017810,0.251741,9.030695,26.174141,175.565652,-104.961367
52.000000,0.019677,0.251270,8.924768,26.126970,175.064816,-103.817838
53.000000,0.021053,0.250922,8.823033,26.092241,174.579363,-102.732106
54.000000,0.022034,0.250675,8.729616,26.067524,174.129691,-101.761124
55.000000,0.022704,0.250507,8.646248,26.050651,173.725161,-100.927777
56.000000,0.023138,0.250398,8.573149,26.039766,173.367921,-100.233779
57.000000,0.023396,0.250333,8.509697,26.033334,173.055867,-99.669152
58.000000,0.023527,0.250301,8.454865,26.030120,172.784718,-99.218536
59.000000,0.023569,0.250292,8.407496,26.029162,172.549351,-98.865014
60.000000,0.023550,0.250297,8.366456,26.029725,172.344581,-98.592235
61.000000,0.023492,0.250313,8.330712,26.031261,172.165592,-98.385474
62.000000,0.023412,0.250334,8.299369,26.033372,172.008134,-98.232044
63.000000,0.023320,0.250358,8.271665,26.035774,171.868569,-98.121304
64.000000,0.023224,0.250383,8.246976,26.038272,171.743878,-98.044532
65.000000,0.023130,0.250407,8.224777,26.040737,171.631512,-97.994576
66.000000,0.023040,0.250431,8.204649,26.043088,171.529422,-97.965745
67.000000,0.022956,0.250453,8.186254,26.045277,171.435950,-97.953526
68.000000,0.022879,0.250473,8.169323,26.047283,171.349766,-97.954354
69.000000,0.022810,0.250491,8.153636,26.049098,171.269790,-97.965406
70.000000,0.022748,0.250507,8.139018,26.050725,171.195155,-97.984465
71.000000,0.022693,0.250522,8.125328,26.052176,171.125161,-98.009788
72.000000,0.022644,0.250535,8.112452,26.053463,171.059242,-98.040002
73.000000,0.022601,0.250546,8.100296,26.054603,170.996933,-98.074023
74.000000,0.022563,0.250556,8.088783,26.055611,170.937852,-98.110987
75.000000,0.022530,0.250565,8.077849,26.056502,170.881682,-98.150207
76.000000,0.022501,0.250573,8.067441,26.057292,170.828158,-98.191133
77.000000,0.022475,0.250580,8.057514,26.057993,170.777054,-98.233319
78.000000,0.022452,0.250586,8.048029,26.058617,170.728178,-98.276404
79.000000,0.022432,0.250592,8.038951,26.059174,170.681363,-98.320091
80.000000,0.022414,0.250597,8.030253,26.059674,170.636462,-98.364133
81.000000,0.022398,0.250601,8.021907,26.060125,170.593346,-98.408305
82.000000,0.022383,0.250605,8.013891,26.060532,170.551898,-98.452473
83.000000,0.022370,0.250609,8.006183,26.060904,170.512014,-98.496465
84.000000,0.022358,0.250612,7.998765,26.061243,170.473603,-98.540160
85.000000,0.022347,0.250616,7.991621,26.061555,170.436579,-98.583467
86.000000,0.022337,0.250618,7.984734,26.061844,170.400867,-98.626283
87.000000,0.022328,0.250621,7.978091,26.062112,170.366395,-98.668551
88.000000,0.022320,0.250624,7.971679,26.062362,170.333100,-98.710206
89.000000,0.022312,0.250626,7.965485,26.062597,170.300921,-98.751192
90.000000,0.022304,0.250628,7.959499,26.062818,170.269799,-98.791460
91.000000,0.022297,0.250630,7.953710,26.063027,170.239682,-98.830970
92.000000,0.022291,0.250632,7.948107,26.063225,170.210519,-98.869685
93.000000,0.022284,0.250634,7.942681,26.063414,170.182265,-98.907580
94.000000,0.022278,0.250636,7.937426,26.063595,170.154879,-98.944637
95.000000,0.022273,0.250638,7.932331,26.063768,170.128322,-98.980842
96.000000,0.022267,0.250639,7.927392,26.063935,170.102556,-99.016192
97.000000,0.022262,0.250641,7.922599,26.064095,170.077549,-99.050671
98.000000,0.022256,0.250643,7.917948,26.064251,170.053267,-99.084273
99.000000,0.022252,0.250644,7.913433,26.064401,170.029679,-99.117004
100.000000,0.022247,0.250645,7.909046,26.064547,170.006757,-99.148859
