"time","outputs[1]","outputs[2]"
6.83,45.125,44.2195
6.86,45.25,44.4205
6.89,45.375,44.6208
6.92,45.5,44.8202
6.95,45.625,45.0189
6.98,45.75,45.2168
7.01,45.875,45.4138
7.04,46,45.6102
7.07,46.125,45.8057
7.1,46.25,46.0004
7.13,46.375,46.1944
7.16,46.5,46.3876
7.19,46.625,46.5801
7.22,46.75,46.7718
7.25,46.875,46.9627
7.28,47,47.1529
7.31,47.125,47.3423
7.34,47.25,47.531
7.37,47.375,47.7189
7.4,47.5,47.9061
7.43,47.625,48.0925
7.46,47.75,48.2782
7.49,47.875,48.4632
7.52,48,48.6474
7.55,48.125,48.831
7.58,48.25,49.0138
7.61,48.375,49.1958
7.64,48.5,49.3772
7.67,48.625,49.5578
7.7,48.75,49.7377
7.73,48.875,49.738
7.76,49,49.6489
7.79,49.125,49.56
7.82,49.25,49.4714
7.85,49.375,49.3831
7.88,49.5,49.295
7.91,49.625,49.2072
7.94,49.75,49.1197
7.97,49.875,49.0324
8,50,48.9454
8.03,50,49.1278
8.06,50,49.3094
8.09,50,49.4903
8.12,50,49.6705
8.15,50,49.85
8.18,50,50.0287
8.21,50,50.2068
8.24,50,50.3842
8.27,50,50.5609
8.3,50,50.7368
8.33,50,50.9121
8.36,50,50.9976
8.39,50,50.9047
8.42,50,50.8121
8.45,50,50.7197
8.48,50,50.6276
8.51,50,50.5359
8.54,50,50.4443
8.57,50,50.3531
8.6,50,50.2621
8.63,50,50.1714
8.66,50,50.081
8.69,50,49.9909
8.72,50,49.901
8.75,50,49.8114
8.78,50,49.722
8.81,50,49.6329
8.84,50,49.5441
8.87,50,49.4556
8.9,50,49.3673
8.93,50,49.2793
8.96,50,49.1915
8.99,50,49.1041
9.02,50,49.0168
9.05,50,49.1093
9.08,50,49.291
9.11,50,49.472
9.14,50,49.6523
9.17,50,49.8318
9.2,50,50.0107
9.23,50,50.1888
9.26,50,50.3663
9.29,50,50.543
9.32,50,50.7191
9.35,50,50.8944
9.38,50,50.9799
9.41,50,50.8871
9.44,50,50.7945
9.47,50,50.7022
9.5,50,50.6102
9.53,50,50.5185
9.56,50,50.427
9.59,50,50.3358
9.62,50,50.2449
9.65,50,50.1543
9.68,50,50.0639
9.71,50,49.9738
9.74,50,49.884
9.77,50,49.7944
9.8,50,49.7051
9.83,50,49.6161
9.86,50,49.5273
9.89,50,49.4388
9.92,50,49.3506
9.95,50,49.2626
9.98,50,49.1749
10,50,49.1166
10,50,49.1166
