"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi"
0,0.2,0.4,0.9,0,0,0,-10,1,0
0.0015,0.2,0.4,0.9,0.0156789,0.492748,0.0156789,-9.99999,1,0.0156789
0.003,0.2,0.4,0.9,0.0306455,0.962693,0.0306455,-9.99995,1,0.0306455
0.0045,0.2,0.4,0.9,0.0455918,1.4305,0.0455918,-9.99988,1,0.0455918
0.006,0.2,0.4,0.9,0.0605187,1.89513,0.0605187,-9.99977,1,0.0605187
0.0075,0.2,0.4,0.9,0.0754274,2.35556,0.0754274,-9.99962,1,0.0754274
0.009,0.2,0.4,0.9,0.0903189,2.81075,0.0903189,-9.99944,1,0.0903189
0.0105,0.2,0.4,0.9,0.105194,3.2597,0.105194,-9.99922,1,0.105194
0.012,0.2,0.4,0.9,0.120054,3.70142,0.120054,-9.99897,1,0.120054
0.0135,0.2,0.4,0.9,0.1349,4.13492,0.1349,-9.99868,1,0.1349
0.015,0.2,0.4,0.9,0.149733,4.55924,0.149733,-9.99835,1,0.149733
0.0165,0.2,0.4,0.9,0.164554,4.97343,0.164554,-9.998,1,0.164554
0.018,0.2,0.4,0.9,0.179363,5.37658,0.179363,-9.9976,1,0.179363
0.0195,0.2,0.4,0.9,0.194162,5.7678,0.194162,-9.99717,1,0.194162
0.021,0.2,0.4,0.9,0.208951,6.14621,0.208951,-9.9967,1,0.208951
0.0225,0.2,0.4,0.9,0.223732,6.51097,0.223732,-9.9962,1,0.223732
0.024,0.2,0.4,0.9,0.238504,6.86128,0.238504,-9.99566,1,0.238504
0.0255,0.2,0.4,0.9,0.25327,7.19635,0.25327,-9.99509,1,0.25327
0.027,0.2,0.4,0.9,0.268029,7.51545,0.268029,-9.99448,1,0.268029
0.0285,0.2,0.4,0.9,0.282783,7.81786,0.282783,-9.99384,1,0.282783
0.03,0.2,0.4,0.9,0.297532,8.10291,0.297532,-9.99316,1,0.297532
0.0315,0.2,0.4,0.9,0.312277,8.36997,0.312277,-9.99244,1,0.312277
0.033,0.2,0.4,0.9,0.327018,8.61845,0.327018,-9.99169,1,0.327018
0.0345,0.2,0.4,0.9,0.341756,8.84779,0.341756,-9.99091,1,0.341756
0.036,0.2,0.4,0.9,0.356491,9.05749,0.356491,-9.99009,1,0.356491
0.0375,0.2,0.4,0.9,0.371225,9.24708,0.371225,-9.98923,1,0.371225
0.039,0.2,0.4,0.9,0.385956,9.41614,0.385956,-9.98834,1,0.385956
0.0405,0.2,0.4,0.9,0.400687,9.56429,0.400687,-9.98741,1,0.400687
0.042,0.2,0.4,0.9,0.415416,9.69121,0.415416,-9.98645,1,0.415416
0.0435,0.2,0.4,0.9,0.430145,9.79661,0.430145,-9.98545,1,0.430145
0.045,0.2,0.4,0.9,0.444873,9.88026,0.444873,-9.98441,1,0.444873
0.0465,0.2,0.4,0.9,0.459601,9.94197,0.459601,-9.98334,1,0.459601
0.048,0.2,0.4,0.9,0.474329,9.98161,0.474329,-9.98224,1,0.474329
0.0495,0.2,0.4,0.9,0.489057,9.99908,0.489057,-9.9811,1,0.489057
0.051,0.2,0.4,0.9,0.503785,9.99436,0.503785,-9.97992,1,0.503785
0.0525,0.2,0.4,0.9,0.518513,9.96745,0.518513,-9.97871,1,0.518513
0.054,0.2,0.4,0.9,0.53324,9.9184,0.53324,-9.97746,1,0.53324
0.0555,0.2,0.4,0.9,0.547968,9.84734,0.547968,-9.97618,1,0.547968
0.057,0.2,0.4,0.9,0.562696,9.75441,0.562696,-9.97486,1,0.562696
0.0585,0.2,0.4,0.9,0.577423,9.63982,0.577423,-9.97351,1,0.577423
0.06,0.2,0.4,0.9,0.592149,9.50383,0.592149,-9.97212,1,0.592149
0.0615,0.2,0.4,0.9,0.606874,9.34674,0.606874,-9.9707,1,0.606874
0.063,0.2,0.4,0.9,0.621598,9.1689,0.621598,-9.96924,1,0.621598
0.0645,0.2,0.4,0.9,0.63632,8.9707,0.63632,-9.96774,1,0.63632
0.066,0.2,0.4,0.9,0.65104,8.75259,0.65104,-9.96621,1,0.65104
0.0675,0.2,0.4,0.9,0.665757,8.51504,0.665757,-9.96465,1,0.665757
0.069,0.2,0.4,0.9,0.680471,8.25858,0.680471,-9.96304,1,0.680471
0.0705,0.2,0.4,0.9,0.69518,7.98379,0.69518,-9.96141,1,0.69518
0.072,0.2,0.4,0.9,0.709886,7.69128,0.709886,-9.95973,1,0.709886
0.0735,0.2,0.4,0.9,0.724586,7.38168,0.724586,-9.95803,1,0.724586
0.075,0.2,0.4,0.9,0.739281,7.0557,0.739281,-9.95628,1,0.739281
0.0765,0.2,0.4,0.9,0.753969,6.71405,0.753969,-9.95451,1,0.753969
