"Time","SignalOutput1"
0,0
0,0
0.01,0
0.02,7.54022
0.03,15.0896
0.04,22.6482
0.05,30.216
0.06,37.7929
0.07,45.3791
0.08,52.9745
0.09,60.5792
0.1,68.1931
0.11,75.8163
0.12,83.4487
0.13,91.0908
0.14,98.7419
0.15,106.352
0.16,113.809
0.17,120.947
0.18,127.581
0.19,133.537
0.2,138.692
0.21,142.998
0.22,146.477
0.23,149.207
0.24,151.3
0.25,152.873
0.26,154.038
0.27,154.892
0.28,155.511
0.29,155.958
0.3,156.279
0.31,156.509
0.32,156.674
0.33,156.791
0.34,156.874
0.35,156.934
0.36,156.976
0.37,157.006
0.38,157.027
0.39,157.042
0.4,157.053
0.41,157.061
0.42,157.066
0.43,157.07
0.44,157.073
0.45,157.075
0.46,157.076
0.47,157.077
0.48,157.078
0.49,157.078
0.5,157.079
0.51,157.079
0.52,157.079
0.53,157.079
0.54,157.079
0.55,157.079
0.56,157.08
0.57,157.08
0.58,157.08
0.59,157.08
0.6,157.08
0.61,157.08
0.62,157.08
0.63,157.08
0.64,157.08
0.65,157.08
0.66,157.08
0.67,157.08
0.68,157.08
0.69,157.08
0.7,157.08
0.71,157.08
0.72,157.08
0.73,157.08
0.74,157.08
0.75,157.08
0.76,157.08
0.77,157.08
0.78,157.08
0.79,157.08
0.8,157.08
0.81,157.08
0.82,157.08
0.83,157.08
0.84,157.08
0.85,157.08
0.86,157.08
0.87,157.08
0.88,157.08
0.89,157.08
0.9,157.08
0.91,157.08
0.92,157.08
0.93,157.08
0.94,157.08
0.95,157.08
0.96,157.08
0.97,157.08
0.98,157.08
0.99,157.08
1,157.08
1.01,157.08
1.02,156.624
1.03,155.433
1.04,153.702
1.05,151.552
1.06,149.054
1.07,146.241
1.08,143.123
1.09,139.69
1.1,135.915
1.11,131.758
1.12,127.653
1.13,123.972
1.14,120.603
1.15,117.468
1.16,114.509
1.17,111.682
1.18,108.955
1.19,106.301
1.2,103.699
1.21,101.132
1.22,98.5864
1.23,96.0526
1.24,93.5224
1.25,90.9904
1.26,88.4536
1.27,85.9116
1.28,83.3662
1.29,80.8183
1.3,78.2673
1.31,75.7133
1.32,73.1561
1.33,70.5958
1.34,68.0324
1.35,65.4659
1.36,62.8962
1.37,60.3235
1.38,57.7476
1.39,55.1685
1.4,52.5864
1.41,50.0011
1.42,47.4126
1.43,44.821
1.44,42.2262
1.45,39.6283
1.46,37.0273
1.47,34.423
1.48,33.0166
1.49,32.0658
1.5,31.2277
1.51,30.4899
1.52,29.8404
1.53,29.2688
1.54,28.7656
1.55,28.3227
1.56,27.9328
1.57,27.5897
1.58,27.2876
1.59,27.0217
1.6,26.7877
1.61,26.5816
