time,Capacitor1.i,IdealDiode3.v
0.00860,-335.35315,-531.99656
0.00870,-385.80289,-529.54167
0.00880,-435.27653,-526.75476
0.00890,-433.93946,-523.85386
0.00900,-425.03647,-520.99550
0.00910,-409.22022,-518.22675
0.00920,-387.03413,-515.59136
0.00930,-359.05999,-513.12930
0.00940,-325.91480,-510.87648
0.00950,-288.24594,-508.86460
0.00960,-246.72770,-507.12091
0.00970,-202.04365,-505.66959
0.00980,-154.93650,-504.52560
0.00990,-106.12043,-503.70346
0.01000,-56.33320,-503.21139
0.01010,-6.31722,-503.05263
0.01020,43.18507,-503.22552
0.01030,91.43585,-503.72339
0.01040,137.70633,-504.53475
0.01050,181.28132,-505.64330
0.01060,221.46363,-507.02803
0.01070,257.57798,-508.66339
0.01080,288.97660,-510.51942
0.01090,315.04113,-512.56200
0.01100,335.18780,-514.75301
0.01110,348.87072,-517.05060
0.01120,355.58509,-519.40950
0.01130,354.87123,-521.78121
0.01140,346.31613,-524.11440
0.01150,329.55701,-526.35519
0.01160,304.28345,-528.44751
0.01170,270.23868,-530.33344
0.01180,227.22423,-531.95365
0.01190,176.57780,-533.24719
0.01200,123.08494,-534.17830
0.01210,66.98702,-534.72823
0.01220,8.17084,-534.87925
0.01230,-53.45418,-534.61297
0.01240,-117.95490,-533.91050
0.01250,-185.37348,-532.75261
0.01260,-184.12773,-376.62935
0.01270,-168.15938,-361.00457
0.01280,-148.36180,-345.34396
0.01290,-125.30806,-329.67428
0.01300,-99.59080,-314.02042
0.01310,-71.81845,-298.40530
0.01320,-42.61128,-282.84990
0.01330,-12.59757,-267.37309
0.01340,17.59035,-251.99171
0.01350,47.32011,-236.72046
0.01360,75.96327,-221.57195
0.01370,102.89913,-206.55668
0.01380,127.51898,-191.68304
0.01390,149.22940,-176.95737
0.01400,167.45636,-162.38401
0.01410,181.64868,-147.96533
0.01420,191.28154,-133.70180
0.01430,195.85933,-119.59207
0.01440,194.92056,-105.63308
0.01450,188.03821,-91.82013
0.01460,174.82415,-78.14704
0.01470,154.93129,-64.60618
0.01480,128.05582,-51.18868
0.01490,93.93903,-37.88454
0.01500,52.37003,-24.68275
0.01510,3.18580,-11.57145
0.01520,-53.72661,1.46190
0.01530,-115.10837,2.00665
0.01540,-177.14781,2.02762
0.01550,-239.91246,2.06283
0.01560,-303.46787,2.11214
0.01570,-346.48928,2.15416
0.01580,-340.72025,2.15994
0.01590,-329.09350,2.17158
0.01600,-312.13276,2.18855
0.01610,-290.39398,2.21030
0.01620,-264.46172,2.23625
0.01630,-234.94539,2.26578
0.01640,-202.47540,2.29826
0.01650,-167.69918,2.33305
0.01660,-131.27707,2.36949
0.01670,-93.87819,2.40690
0.01680,-56.17628,2.44462
0.01690,-18.84547,2.48196
0.01700,17.44393,2.51827
0.01710,52.02957,2.55287
0.01720,84.26119,2.58512
0.01730,113.50467,2.61438
0.01740,139.14598,2.64003
0.01750,160.59498,2.66150
0.01760,177.28912,2.67821
0.01770,188.69696,2.68963
0.01780,194.32149,2.69528
0.01790,193.70329,2.69467
0.01800,186.42343,2.68741
0.01810,172.10616,2.67311
0.01820,150.42137,2.65144
0.01830,121.08669,2.62212
0.01840,83.86946,2.58492
0.01850,38.59436,2.53965
0.01860,-11.04964,2.49001
0.01870,-61.95706,2.43910
0.01880,-114.28295,2.38678
0.01890,-168.16970,2.33289
0.01900,-223.74541,2.27731
0.01910,-263.92956,2.23699
0.01920,-248.87199,2.25203
0.01930,-228.78110,2.27211
0.01940,-204.22858,2.29664
0.01950,-175.81310,2.32504
0.01960,-144.15649,2.35668
0.01970,-109.89981,2.39092
0.01980,-73.69928,2.42711
0.01990,-36.22217,2.46457
0.02000,1.85734,2.50263
0.02010,39.86243,2.54062
0.02020,77.11784,2.57786
0.02030,112.95403,2.61368
0.02040,146.71140,2.64743
0.02050,177.74438,2.67845
0.02060,205.42539,2.70611
0.02070,229.14882,2.72982
0.02080,248.33476,2.74900
0.02090,262.43265,2.76308
0.02100,270.92468,2.77156
0.02110,273.32912,2.77396
0.02120,269.20333,2.76982
0.02130,258.14657,2.75875
0.02140,239.80263,2.74039
0.02150,213.86211,2.71444
0.02160,180.06449,2.68063
0.02170,138.19993,2.63876
0.02180,88.11070,2.58866
0.02190,30.11720,2.52980
0.02200,-30.74596,2.45706
0.02210,-93.06396,2.36894
0.02220,-156.90590,2.26550
0.02230,-222.32720,2.14680
0.02240,-289.36872,2.01293
0.02250,-290.10599,-139.06011
0.02260,-278.95045,-153.03631
0.02270,-262.88894,-167.16846
0.02280,-242.47275,-181.45714
0.02290,-218.27929,-195.90099
0.02300,-190.90840,-210.49660
0.02310,-160.97851,-225.23844
0.02320,-129.12274,-240.11887
0.02330,-95.98490,-255.12808
0.02340,-62.21544,-270.25407
0.02350,-28.46737,-285.48268
0.02360,4.60782,-300.79756
0.02370,36.36423,-316.18024
0.02380,66.16560,-331.61015
0.02390,93.38924,-347.06468
0.02400,117.42996,-362.51922
0.02410,137.70382,-377.94729
0.02420,153.65181,-393.32058
0.02430,164.74334,-408.60910
0.02440,170.47957,-423.78124
0.02450,170.39659,-438.80396
0.02460,164.06835,-453.64287
0.02470,151.10939,-468.26241
0.02480,131.17738,-482.62598
0.02490,103.97527,-496.69613
0.02500,69.25340,-510.43470
0.02510,26.81110,-523.80300
0.02520,-23.24934,-533.36057
0.02530,-76.06314,-533.04096
0.02540,-129.83223,-532.38035
0.02550,-184.69044,-531.37176
0.02560,-240.76120,-530.00738
0.02570,-298.15613,-528.27857
0.02580,-290.77666,-526.31582
0.02590,-274.47364,-524.44502
0.02600,-253.14754,-522.70499
0.02610,-227.37802,-521.12672
0.02620,-197.77143,-519.73722
0.02630,-164.95696,-518.55935
0.02640,-129.58270,-517.61170
0.02650,-92.31153,-516.90847
0.02660,-53.81693,-516.45939
0.02670,-14.77883,-516.26968
0.02680,24.12067,-516.34000
0.02690,62.20156,-516.66648
0.02700,98.79009,-517.24074
0.02710,133.22302,-518.04994
0.02720,164.85171,-519.07691
0.02730,193.04613,-520.30019
0.02740,217.19882,-521.69425
0.02750,236.72865,-523.22961
0.02760,251.08442,-524.87305
0.02770,259.74839,-526.58781
0.02780,262.23944,-528.33383
0.02790,258.11621,-530.06804
0.02800,246.97983,-531.74457
0.02810,228.47655,-533.31512
0.02820,202.30002,-534.72922
0.02830,168.19331,-535.93457
0.02840,125.95072,-536.87739
0.02850,75.41918,-537.50275
0.02860,18.68975,-537.76095
0.02870,-39.66462,-537.63352
0.02880,-99.58981,-537.11031
0.02890,-161.17173,-536.18046
0.02900,-224.48141,-534.83262
0.02910,-279.27710,-533.07006
0.02920,-269.90941,-531.24578
0.02930,-255.38210,-529.50660
0.02940,-236.23622,-527.88459
0.02950,-213.04070,-526.40809
0.02960,-186.38872,-525.10154
0.02970,-156.89393,-523.98534
0.02980,-125.18653,-523.07571
0.02990,-91.90935,-522.38463
0.03000,-57.71372,-521.91973
0.03010,-23.25546,-521.68432
0.03020,10.80928,-521.67728
0.03030,43.82807,-521.89317
