"time","J1.phi","J1.w","T2","clutch1.phi_nominal","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0,0,10,0.4,0.0001,-10,0,0,0,0,0.2
0.01,0.1,9.900000032,0.4,0.0001,-9.800000063,0,-0.09999996829,0,0,0.2
0.02,0.1990000003,9.830908658,0.4,0.0001,-9.630915616,-0.0009999996829,-0.1999930417,0,0,0.2
0.03,0.2973090869,9.789716795,0.4,0.0001,-9.489753364,-0.0029999301,-0.2999634301,0,0,0.2
0.04,0.3952062548,9.770686577,0.4,0.0001,-9.37079123,-0.005999564401,-0.399895347,0,0,0.2
0.05,0.4929131206,9.765914564,0.4,0.0001,-9.266141551,-0.009998517871,-0.4997730121,0,0,0.2
0.06,0.5905722662,9.766106922,0.4,0.0001,-9.166526269,-0.01499624799,-0.5995806535,0,0,0.2
0.07,0.6882333355,9.761490717,0.4,0.0001,-9.062188207,-0.02099205453,-0.6993025104,0,0,0.2
0.08,0.7858482426,9.742772091,0.4,0.0001,-8.943849256,-0.02798507963,-0.7989228355,0,0,0.2
0.09,0.8832759636,9.702047554,0.4,0.0001,-8.803621657,-0.03597430799,-0.8984258978,0,0,0.2
0.1,0.9802964391,9.633579167,0.4,0.0001,-8.635783183,-0.04495856696,-0.9977959844,0,0,0.2
0.11,1.076632231,9.534357748,0.4,0.0001,-8.437340344,-0.05493652681,-1.097017404,0,0,0.2
0.12,1.171975808,9.404398965,0.4,0.0001,-8.208324477,-0.06590670084,-1.196074487,0,0,0.2
0.13,1.266019798,9.246743333,0.4,0.0001,-7.95179174,-0.07786744572,-1.294951593,0,0,0.2
0.14,1.358487231,9.06716012,0.4,0.0001,-7.673527012,-0.09081696165,-1.393633108,0,0,0.2
0.15,1.449158832,8.873584128,0.4,0.0001,-7.381480681,-0.1047532927,-1.492103448,0,0,0.2
0.16,1.537894674,8.675340513,0.4,0.0001,-7.084993449,-0.1196743272,-1.590347063,0,0,0.2
0.17,1.624648079,8.482233483,0.4,0.0001,-6.793885043,-0.1355777978,-1.688348441,0,0,0.2
0.18,1.709470414,8.30358812,0.4,0.0001,-6.517496015,-0.1524612822,-1.786092105,0,0,0.2
0.19,1.792506295,8.147339079,0.4,0.0001,-6.263776458,-0.1703222033,-1.883562621,0,0,0.2
0.2,1.873979686,8.019255404,0.4,0.0001,-6.038510808,-0.1891578295,-1.980744596,0,0,0.2
0.21,1.95417224,7.922377315,0.4,0.0001,-5.844754629,-0.2089652755,-2.077622685,0,0,0.2
0.22,2.033396013,7.856720109,0.4,0.0001,-5.682538519,-0.2297415023,-2.17418159,0,0,0.2
0.23,2.111963214,7.819274162,0.4,0.0001,-5.548868099,-0.2514833182,-2.270406063,0,0,0.2
0.24,2.190155956,7.804301016,0.4,0.0001,-5.438020108,-0.2741873788,-2.366280908,0,0,0.2
0.25,2.268198966,7.803896589,0.4,0.0001,-5.342105603,-0.2978501879,-2.461790986,0,0,0.2
0.26,2.346237932,7.80876636,0.4,0.0001,-5.251845144,-0.3224680978,-2.556921216,0,0,0.2
0.27,2.424325595,7.809136654,0.4,0.0001,-5.15748008,-0.3480373099,-2.651656574,0,0,0.2
0.28,2.502416962,7.795712826,0.4,0.0001,-5.049730725,-0.3745538757,-2.745982101,0,0,0.2
0.29,2.58037409,7.76059055,0.4,0.0001,-4.920707649,-0.4020136967,-2.839882902,0,0,0.2
0.3,2.657979996,7.698031003,0.4,0.0001,-4.764686855,-0.4304125257,-2.933344148,0,0,0.2
0.31,2.734960306,7.605024069,0.4,0.0001,-4.578672987,-0.4597459672,-3.026351082,0,0,0.2
0.32,2.811010546,7.481584436,0.4,0.0001,-4.362695419,-0.490009478,-3.118889016,0,0,0.2
0.33,2.885826391,7.330751589,0.4,0.0001,-4.119808251,-0.5211983682,-3.210943338,0,0,0.2
0.34,2.959133906,7.158293717,0.4,0.0001,-3.855794206,-0.5533078015,-3.302499511,0,0,0.2
0.35,3.030716844,6.972144499,0.4,0.0001,-3.578601422,-0.5863327967,-3.393543077,0,0,0.2
0.36,3.100438289,6.781627916,0.4,0.0001,-3.297568257,-0.6202682274,-3.484059659,0,0,0.2
0.37,3.168254568,6.596546959,0.4,0.0001,-3.022511995,-0.655108824,-3.574034965,0,0,0.2
0.38,3.234220037,6.42622544,0.4,0.0001,-2.762770655,-0.6908491737,-3.663454785,0,0,0.2
0.39,3.298482292,6.278596701,0.4,0.0001,-2.526291702,-0.7274837215,-3.752304999,0,0,0.2
0.4,3.361268259,6.159428423,0.4,0.0001,-2.318856846,-0.7650067715,-3.840571577,0,0,0.2
0.41,3.422862543,6.071759419,0.4,0.0001,-2.243518839,-0.8034124873,-3.728240581,0,-0.1,0.2
0.42,3.483580137,6.015603534,0.4,0.0001,-2.200305368,-0.8406948931,-3.615298166,-0.001,-0.2,0.2
0.43,3.543736173,5.98794964,0.4,0.0001,-2.186219055,-0.8768478747,-3.501730585,-0.003,-0.3,0.2
0.44,3.603615669,5.983057735,0.4,0.0001,-2.195533545,-0.9118651806,-3.387524189,-0.006,-0.4,0.2
0.45,3.663446246,5.993022144,0.4,0.0001,-2.220356712,-0.9457404225,-3.272665432,-0.01,-0.5,0.2
0.46,3.723376468,6.008546709,0.4,0.0001,-2.251405842,-0.9784670768,-3.157140867,-0.015,-0.6,0.2
0.47,3.783461935,6.019856072,0.4,0.0001,-2.278918917,-1.010038485,-3.040937155,-0.021,-0.7,0.2
0.48,3.843660496,6.017653863,0.4,0.0001,-2.293612798,-1.040447857,-2.924041064,-0.028,-0.8,0.2
0.49,3.903837034,5.994033981,0.4,0.0001,-2.28759451,-1.069688268,-2.806439471,-0.036,-0.9,0.2
0.5,3.963777374,5.943255788,0.4,0.0001,-2.255136424,-1.097752662,-2.688119364,-0.045,-1,0.2
0.51,4.023209932,5.862307307,0.4,0.0001,-2.193239462,-1.124633856,-2.569067845,-0.055,-1.1,0.2
0.52,4.081833005,5.751201322,0.4,0.0001,-2.101929191,-1.150324534,-2.44927213,-0.066,-1.2,0.2
0.53,4.139345018,5.612975371,0.4,0.0001,-1.984255815,-1.174817256,-2.328719556,-0.078,-1.3,0.2
0.54,4.195474772,5.453395651,0.4,0.0001,-1.845998075,-1.198104451,-2.207397576,-0.091,-1.4,0.2
0.55,4.250008728,5.280393809,0.4,0.0001,-1.695100043,-1.220178427,-2.085293766,-0.105,-1.5,0.2
0.56,4.302812666,5.10329175,0.4,0.0001,-1.540895924,-1.241031365,-1.962395826,-0.12,-1.6,0.2
0.57,4.353845584,4.931890344,0.4,0.0001,-1.393198765,-1.260655323,-1.83869158,-0.136,-1.7,0.2
0.58,4.403164487,4.775511245,0.4,0.0001,-1.261342265,-1.279042239,-1.71416898,-0.153,-1.8,0.2
0.59,4.4509196,4.642085593,0.4,0.0001,-1.153269486,-1.296183929,-1.588816107,-0.171,-1.9,0.2
0.6,4.497340456,4.537378826,0.4,0.0001,-1.074757653,-1.31207209,-1.462621174,-0.19,-2,0.2
0.61,4.542714244,4.464427474,0.4,0.0001,-1.028854949,-1.326698301,-1.335572526,-0.21,-2.1,0.2
0.62,4.587358519,4.423243057,0.4,0.0001,-1.015584414,-1.340054027,-1.207658643,-0.231,-2.2,0.2
0.63,4.631590949,4.410812083,0.4,0.0001,-1.031943941,-1.352130613,-1.078868142,-0.253,-2.3,0.2
0.64,4.67569907,4.421392146,0.4,0.0001,-1.072202368,-1.362919294,-0.949189778,-0.276,-2.4,0.2
0.65,4.719912992,4.447075129,0.4,0.0001,-1.128462682,-1.372411192,-0.8186124468,-0.3,-2.5,0.2
0.66,4.764383743,4.47856239,0.4,0.0001,-1.191437205,-1.380597317,-0.6871251854,-0.325,-2.6,0.2
0.67,4.809169367,4.506076052,0.4,0.0001,-1.251358878,-1.387468569,-0.5547171749,-0.351,-2.7,0.2
0.68,4.854230127,4.520317185,0.4,0.0001,-1.298939443,-1.39301574,-0.4213777418,-0.378,-2.8,0.2
0.69,4.899433299,4.513377092,0.4,0.0001,-1.326280733,-1.397229518,-0.2870963596,-0.406,-2.9,0.2
0.7,4.94456707,4.479512501,0.4,0.0001,-1.32764985,-1.400100481,-0.1518626506,-0.435,-3,0.2
0.71,4.989362195,4.415708764,0.4,0.0001,-1.300042377,-1.401619108,-0.01566638739,-0.465,-3.1,0.2
0.72,5.033519283,4.321975957,0.4,0.0001,-1.243478463,-1.401775772,0.1215025053,-0.496,-3.2,0.2
