"time","'tempc@tpf_0st_0chamber'","'press@tpf_0st_0chamber'","'out2@division'","'tau@tpf_0st_0chamber'","'dm2@tpf_0pump'","'torque@expseu_0'"
0,19.904,0.02337,0.24,25,0.130321,0
0.1,19.904,0.02337,0.24,25,0.130321,0
0.1,20.2064,0.0238115,0.240846,25.0846,0.130355,0
0.2,20.2064,0.0238115,0.240846,25.0846,0.130355,0
0.2,21.0755,0.025121,0.24172,25.172,0.130389,0.576009
0.3,21.0755,0.025121,0.24172,25.172,0.130389,0.576009
0.3,21.9404,0.026486,0.242597,25.2597,0.130422,0.593644
0.4,21.9404,0.026486,0.242597,25.2597,0.130422,0.593644
0.4,22.8008,0.0279079,0.243476,25.3476,0.130456,0.611498
0.5,22.8008,0.0279079,0.243476,25.3476,0.130456,0.611498
0.5,23.652,0.0293794,0.244343,25.4343,0.124297,0.629449
0.6,23.652,0.0293794,0.244343,25.4343,0.124297,0.629449
0.6,24.4807,0.0308767,0.245159,25.5159,0.115816,0.647159
0.7,24.4807,0.0308767,0.245159,25.5159,0.115816,0.647159
0.7,25.2879,0.0323984,0.245922,25.5922,0.10787,0.664611
0.8,25.2879,0.0323984,0.245922,25.5922,0.10787,0.664611
0.8,26.0751,0.033945,0.246637,25.6637,0.100427,0.681817
0.9,26.0751,0.033945,0.246637,25.6637,0.100427,0.681817
0.9,26.844,0.0355173,0.247307,25.7307,0.0934546,0.698785
1,26.844,0.0355173,0.247307,25.7307,0.0934546,0.698785
1,27.596,0.0371158,0.247934,25.7934,0.086925,0.715527
1.1,27.596,0.0371158,0.247934,25.7934,0.086925,0.715527
1.1,28.3325,0.0387418,0.248521,25.8521,0.0808114,0.732053
1.2,28.3325,0.0387418,0.248521,25.8521,0.0808114,0.732053
1.2,29.0547,0.0403958,0.24907,25.907,0.0750868,0.748373
1.3,29.0547,0.0403958,0.24907,25.907,0.0750868,0.748373
1.3,29.7636,0.0420788,0.249585,25.9585,0.0697229,0.764492
1.4,29.7636,0.0420788,0.249585,25.9585,0.0697229,0.764492
1.4,30.4603,0.0437916,0.250066,26.0066,0.0646982,0.780419
1.5,30.4603,0.0437916,0.250066,26.0066,0.0646982,0.780419
1.5,31.1455,0.0455351,0.250518,26.0518,0.0599873,0.796159
1.6,31.1455,0.0455351,0.250518,26.0518,0.0599873,0.796159
1.6,31.8204,0.0473106,0.250941,26.0941,0.0555748,0.811722
1.7,31.8204,0.0473106,0.250941,26.0941,0.0555748,0.811722
1.7,32.4856,0.0491193,0.251337,26.1337,0.0514416,0.827114
1.8,32.4856,0.0491193,0.251337,26.1337,0.0514416,0.827114
1.8,33.142,0.0509624,0.251708,26.1708,0.04757,0.842343
1.9,33.142,0.0509624,0.251708,26.1708,0.04757,0.842343
1.9,33.7902,0.052841,0.252055,26.2055,0.0439433,0.857412
2,33.7902,0.052841,0.252055,26.2055,0.0439433,0.857412
2,34.4309,0.0547563,0.25238,26.238,0.0405459,0.872329
2.1,34.4309,0.0547563,0.25238,26.238,0.0405459,0.872329
2.1,35.0647,0.0567098,0.252685,26.2685,0.0373629,0.887096
2.2,35.0647,0.0567098,0.252685,26.2685,0.0373629,0.887096
2.2,35.692,0.0587026,0.25297,26.297,0.0343808,0.901717
2.3,35.692,0.0587026,0.25297,26.297,0.0343808,0.901717
2.3,36.3134,0.0607361,0.253238,26.3238,0.0315867,0.916195
2.4,36.3134,0.0607361,0.253238,26.3238,0.0315867,0.916195
2.4,36.9294,0.0628117,0.253488,26.3488,0.0289684,0.930534
2.5,36.9294,0.0628117,0.253488,26.3488,0.0289684,0.930534
2.5,37.5404,0.0649307,0.253723,26.3723,0.0265146,0.944734
2.6,37.5404,0.0649307,0.253723,26.3723,0.0265146,0.944734
2.6,38.1469,0.0670945,0.253942,26.3942,0.0242144,0.958797
2.7,38.1469,0.0670945,0.253942,26.3942,0.0242144,0.958797
2.7,38.749,0.0693044,0.254148,26.4148,0.0220589,0.972724
2.8,38.749,0.0693044,0.254148,26.4148,0.0220589,0.972724
2.8,39.3473,0.0715621,0.254341,26.4341,0.0200378,0.986514
2.9,39.3473,0.0715621,0.254341,26.4341,0.0200378,0.986514
2.9,39.942,0.0738689,0.254522,26.4522,0.0181432,1.00017
3,39.942,0.0738689,0.254522,26.4522,0.0181432,1.00017
3,40.5337,0.0762276,0.254692,26.4692,0.0163688,1.0137
3.1,40.5337,0.0762276,0.254692,26.4692,0.0163688,1.0137
3.1,41.1225,0.0786384,0.25485,26.485,0.0147042,1.02708
3.2,41.1225,0.0786384,0.25485,26.485,0.0147042,1.02708
3.2,41.7084,0.0811026,0.254999,26.4999,0.0131418,1.04033
3.3,41.7084,0.0811026,0.254999,26.4999,0.0131418,1.04033
3.3,42.2915,0.0836209,0.255139,26.5139,0.0116735,1.05342
3.4,42.2915,0.0836209,0.255139,26.5139,0.0116735,1.05342
3.4,42.8725,0.0861968,0.25527,26.527,0.0102975,1.06638
3.5,42.8725,0.0861968,0.25527,26.527,0.0102975,1.06638
3.5,43.4516,0.0888317,0.255394,26.5394,0.00900631,1.07919
3.6,43.4516,0.0888317,0.255394,26.5394,0.00900631,1.07919
3.6,44.0286,0.0915259,0.255509,26.5509,0.00779298,1.09184
3.7,44.0286,0.0915259,0.255509,26.5509,0.00779298,1.09184
3.7,44.6035,0.0942801,0.255618,26.5618,0.00665229,1.10432
3.8,44.6035,0.0942801,0.255618,26.5618,0.00665229,1.10432
3.8,45.1769,0.0970972,0.25572,26.572,0.00558063,1.11664
3.9,45.1769,0.0970972,0.25572,26.572,0.00558063,1.11664
3.9,45.7488,0.0999789,0.255815,26.5815,0.00457348,1.12878
4,45.7488,0.0999789,0.255815,26.5815,0.00457348,1.12878
4,46.3193,0.102927,0.255905,26.5905,0.00362643,1.14076
4.1,46.3193,0.102927,0.255905,26.5905,0.00362643,1.14076
4.1,46.8889,0.105944,0.25599,26.599,0.00273484,1.15256
4.2,46.8889,0.105944,0.25599,26.599,0.00273484,1.15256
4.2,47.4572,0.10903,0.25607,26.607,0.00188704,1.16416
4.3,47.4572,0.10903,0.25607,26.607,0.00188704,1.16416
4.3,48.0244,0.112186,0.256144,26.6144,0.00106541,1.17556
4.4,48.0244,0.112186,0.256144,26.6144,0.00106541,1.17556
4.4,48.5907,0.115415,0.256214,26.6214,0.000304972,1.18676
4.5,48.5907,0.115415,0.256214,26.6214,0.000304972,1.18676
4.5,49.1564,0.118721,0.256281,26.6281,0,1.19775
4.6,49.1564,0.118721,0.256281,26.6281,0,1.19775
4.6,49.7223,0.122107,0.256348,26.6348,0,1.20855
4.7,49.7223,0.122107,0.256348,26.6348,0,1.20855
