"time","x_coor","y_coor"
0.0000000000000000E+000,9.9399999999999999E-001,0.0000000000000000E+000
2.0000000000000015E-001,8.5848191624031178E-001,-3.9797977286672746E-002
4.0000000000000030E-001,7.4787677585024170E-001,2.7254175276131124E-004
6.0000000000000042E-001,6.3257939148256248E-001,8.4805372442046500E-002
8.0000000000000060E-001,4.9500682035791943E-001,2.0771347751775637E-001
1.0000000000000007E+000,3.1329585346957523E-001,3.4800742686683461E-001
1.2009999999999785E+000,8.4331438521668162E-002,4.6002222323408481E-001
1.4009999999999565E+000,-1.4462222916449402E-001,5.1587263027161712E-001
1.6009999999999345E+000,-3.3408700519626278E-001,5.4189966984679294E-001
1.8009999999999124E+000,-4.7750492514843978E-001,5.6863382799626261E-001
2.0009999999998906E+000,-5.8027870076863441E-001,6.0933369859399122E-001
2.2009999999998686E+000,-6.4755104119990725E-001,6.6604257605728323E-001
2.4009999999998466E+000,-6.8274636926964427E-001,7.3573505765903269E-001
2.6009999999998246E+000,-6.8843521203725888E-001,8.1328660404656294E-001
2.8009999999998025E+000,-6.6717952157319649E-001,8.9285722666502088E-001
3.0009999999997805E+000,-6.2204985152433878E-001,9.6863020002099087E-001
3.2009999999997585E+000,-5.5686878288025199E-001,1.0352803910755664E+000
3.4009999999997365E+000,-4.7626120579667663E-001,1.0883078474032677E+000
3.6009999999997144E+000,-3.8557274630450977E-001,1.1242808651994587E+000
3.8009999999996924E+000,-2.9070142164093177E-001,1.1409981565536385E+000
4.0009999999996708E+000,-1.9787844115634287E-001,1.1375665190493529E+000
4.2009999999997376E+000,-1.1342951872537524E-001,1.1143845068933220E+000
4.4009999999998044E+000,-4.3545583741368757E-002,1.0730171567399138E+000
4.6009999999998712E+000,5.9114298270391899E-003,1.0159363017782237E+000
4.8009999999999380E+000,2.9551812249024534E-002,9.4607772860270611E-001
5.0000000000000044E+000,2.2686433688286645E-002,8.6653980516146611E-001
5.2000000000000712E+000,-1.8755806428230756E-002,7.7775517843383946E-001
5.4000000000001380E+000,-9.7257836833833877E-002,6.7800847011457588E-001
