"time","block_in_0031","block_in_3263","key_1_0_0031","key_1_0_3263","key_0_0_0031","key_0_0_3263","rst","enc"
0,0,0,0,0,0,0,0,0
0.001,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,1,0
0.002,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.003,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.004,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.005,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.006,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.007,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.008,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.009,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.01,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.011,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.012,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.013,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.014,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.015,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.016,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.017,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.018,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.019,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.02,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.021,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.022,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.023,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.024,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.025,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.026,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.027,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.028,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.029,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.03,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.031,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.032,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.033,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.034,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.035,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.036,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.037,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.038,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.039,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.04,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.041,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.042,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.043,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.044,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.045,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.046,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.047,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.048,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.049,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.05,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.051,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.052,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.053,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.054,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.055,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.056,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.057,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.058,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.059,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.06,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.061,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.062,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.063,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.064,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.065,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.066,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.067,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.068,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.069,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.07,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.071,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.072,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.073,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.074,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.075,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.076,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.077,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.078,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.079,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.08,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.081,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.082,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.083,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.084,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.085,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.086,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.087,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.088,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.089,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.09,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.091,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.092,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.093,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.094,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.095,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.096,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.097,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.098,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.099,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.1,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.101,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.102,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.103,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.104,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.105,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.106,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.107,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.108,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.109,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.11,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.111,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.112,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.113,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.114,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.115,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.116,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.117,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.118,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.119,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.12,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.121,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.122,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.123,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.124,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.125,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.126,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.127,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.128,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.129,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.13,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.131,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.132,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.133,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.134,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.135,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.136,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.137,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.138,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
0.139,-1985229329,19088743,-1682120719,322197369,-1682120719,322197369,0,0
