"time","v_0_out","v_1_out"
0.225,838201459,-1996594090
0.226,838201459,-1996594090
0.227,1433766756,-1996594090
0.228,1433766756,-1996594090
0.229,1433766756,1877293355
0.23,1433766756,1877293355
0.231,1981091954,1877293355
0.232,1981091954,1877293355
0.233,1981091954,480111865
0.234,1981091954,480111865
0.235,128683677,480111865
0.236,128683677,480111865
0.237,128683677,678039126
0.238,128683677,678039126
0.239,1096561937,678039126
0.24,1096561937,678039126
0.241,1096561937,302158042
0.242,1096561937,302158042
0.243,-1016921506,302158042
0.244,-1016921506,302158042
0.245,-1016921506,-813878736
0.246,-1016921506,-813878736
0.247,-894654803,-813878736
0.248,-894654803,-813878736
0.249,-894654803,-479881467
0.25,-894654803,-479881467
0.251,-1002942465,-479881467
0.252,-1002942465,-479881467
0.253,-1002942465,1713631483
0.254,-1002942465,1713631483
0.255,-1977508559,1713631483
0.256,-1977508559,1713631483
0.257,-1977508559,-140727922
0.258,-1977508559,-140727922
0.259,-140727922,-1977508559
0.26,-140727922,-1977508559
0.261,1713631483,-1977508559
0.262,1713631483,-1977508559
0.263,1713631483,-1002942465
0.264,1713631483,-1002942465
0.265,-479881467,-1002942465
0.266,-479881467,-1002942465
0.267,-479881467,-894654803
0.268,-479881467,-894654803
0.269,-813878736,-894654803
0.27,-813878736,-894654803
0.271,-813878736,-1016921506
0.272,-813878736,-1016921506
0.273,302158042,-1016921506
0.274,302158042,-1016921506
0.275,302158042,1096561937
0.276,302158042,1096561937
0.277,678039126,1096561937
0.278,678039126,1096561937
0.279,678039126,128683677
0.28,678039126,128683677
0.281,480111865,128683677
0.282,480111865,128683677
0.283,480111865,1981091954
0.284,480111865,1981091954
0.285,1877293355,1981091954
0.286,1877293355,1981091954
0.287,1877293355,1433766756
0.288,1877293355,1433766756
0.289,-1996594090,1433766756
0.29,-1996594090,1433766756
0.291,-1996594090,838201459
0.292,-1996594090,838201459
0.293,568675079,838201459
0.294,568675079,838201459
0.295,568675079,-510241444
0.296,568675079,-510241444
0.297,-2009263983,-510241444
0.298,-2009263983,-510241444
0.299,-2009263983,-321333622
0.3,-2009263983,-321333622
0.301,-1022324816,-321333622
0.302,-1022324816,-321333622
0.303,-1022324816,-1102622561
0.304,-1022324816,-1102622561
0.305,1636483,-1102622561
0.306,1636483,-1102622561
0.307,1636483,-6455635
0.308,1636483,-6455635
0.309,879200676,-6455635
0.31,879200676,-6455635
0.311,879200676,463128008
0.312,879200676,463128008
0.313,-417545598,463128008
0.314,-417545598,463128008
0.315,-417545598,1058508579
0.316,-417545598,1058508579
0.317,974604035,1058508579
0.318,974604035,1058508579
0.319,974604035,-1113007046
0.32,974604035,-1113007046
0.321,1933280362,-1113007046
0.322,1933280362,-1113007046
0.323,1933280362,-668323858
0.324,1933280362,-668323858
0.325,1485641534,-668323858
0.326,1485641534,-668323858
0.327,1485641534,-630674169
0.328,1485641534,-630674169
0.329,-219470641,-630674169
0.33,-219470641,-630674169
0.331,-219470641,-993777795
0.332,-219470641,-993777795
0.333,1692851184,-993777795
0.334,1692851184,-993777795
0.335,1692851184,1946046028
0.336,1692851184,1946046028
0.337,-1981629848,1946046028
0.338,-1981629848,1946046028
0.339,-1981629848,-1963218874
0.34,-1981629848,-1963218874
0.341,395212859,-1963218874
0.342,395212859,-1963218874
0.343,395212859,1636566822
0.344,395212859,1636566822
0.345,-986174272,1636566822
0.346,-986174272,1636566822
0.347,-986174272,-682220359
0.348,-986174272,-682220359
0.349,-2116625405,-682220359
0.35,-2116625405,-682220359
0.351,-2116625405,-433479696
0.352,-2116625405,-433479696
0.353,1611814414,-433479696
0.354,1611814414,-433479696
0.355,1611814414,-1345719447
0.356,1611814414,-1345719447
0.357,1648741729,-1345719447
0.358,1648741729,-1345719447
0.359,1648741729,194431989
0.36,1648741729,194431989
0.361,2028246453,194431989
