"time","tempc@tpf_st_chamber","press@tpf_st_chamber","out2@division","tau@tpf_st_chamber","dm2@tpf_pump","torque@expseu_"
8.2,70.7679,0.322564,0.259173,26.9173,0,1.34853
8.3,71.3388,0.330553,0.259261,26.9261,0,1.34054
8.4,71.9097,0.338708,0.25935,26.935,0,1.33167
8.5,72.4806,0.347033,0.259438,26.9438,0,1.32188
8.6,73.0515,0.355531,0.259528,26.9528,0,1.31116
8.7,73.6224,0.364203,0.259618,26.9618,0,1.29949
8.8,74.1933,0.373052,0.259708,26.9708,0,1.28682
8.9,74.7642,0.382082,0.259799,26.9799,0,1.27315
9,75.335,0.391296,0.25989,26.989,0,1.25844
9.1,75.9059,0.400695,0.259981,26.9981,0,1.24267
9.2,76.4767,0.410284,0.260074,27.0074,0,1.22581
9.3,77.0474,0.420064,0.260166,27.0166,0,1.20783
9.4,77.6182,0.43004,0.260259,27.0259,0,1.18871
9.5,78.1889,0.440213,0.260353,27.0353,0,1.16842
9.6,78.7595,0.450586,0.260447,27.0447,0,1.14692
9.7,79.3301,0.461164,0.260541,27.0541,0,1.1242
9.8,79.9006,0.471948,0.260636,27.0636,0,1.10022
9.9,80.4711,0.482942,0.260731,27.0731,0,1.07495
10,81.0415,0.49415,0.260827,27.0827,0,1.04837
10.1,81.6118,0.505573,0.260923,27.0923,0,1.02044
10.2,82.1821,0.517215,0.261019,27.1019,0,0.991134
10.3,82.7522,0.529079,0.261116,27.1116,0,0.960421
10.4,83.3223,0.541169,0.261214,27.1214,0,0.928269
10.5,83.8923,0.553487,0.261311,27.1311,0,0.894647
10.6,84.4621,0.566038,0.261409,27.141,0,0.859523
10.7,85.0319,0.578823,0.261508,27.1508,0,0.822864
10.8,85.6016,0.591847,0.261607,27.1607,0,0.784636
10.9,86.1711,0.605112,0.261706,27.1706,0,0.744803
11,86.7405,0.618623,0.261806,27.1806,0,0.703327
11.1,87.3098,0.632382,0.261906,27.1906,0,0.66017
11.2,87.879,0.646392,0.262007,27.2007,0,0.615283
11.3,88.448,0.660658,0.262108,27.2108,0,0.56861
11.4,89.0169,0.675182,0.262209,27.2209,0,0.520081
11.5,89.5857,0.689967,0.262311,27.2311,0,0.469603
11.6,90.1543,0.705019,0.262413,27.2413,0,0.417047
11.7,90.7227,0.720338,0.262516,27.2516,0,0.362242
11.8,91.291,0.735931,0.262618,27.2618,0,0.304987
11.9,91.8591,0.751799,0.262722,27.2722,0,0.245124
12,92.4271,0.767946,0.262825,27.2825,0,0.182813
12.1,92.9949,0.784376,0.262929,27.2929,0,0.119194
12.2,93.5625,0.801093,0.263033,27.3033,0,0.0570361
12.3,94.1299,0.818097,0.263138,27.3138,0,0.000975263
12.4,94.6963,0.835373,0.263242,27.3242,0,-0.0923865
12.5,95.2625,0.852942,0.263347,27.3347,0,-0.17543
12.6,95.8284,0.870811,0.263452,27.3452,0,-0.265032
12.7,96.3942,0.888983,0.263558,27.3558,0,-0.35887
12.8,96.9597,0.907462,0.263663,27.3663,0,-0.45585
12.9,97.525,0.926251,0.263769,27.3769,0,-0.555792
13,98.0901,0.945354,0.263876,27.3876,0,-0.658709
13.1,98.6549,0.964776,0.263982,27.3982,0,-0.764641
13.2,99.2195,0.984518,0.264089,27.4089,0,-0.873638
13.3,99.7839,1.00459,0.264197,27.4197,0,-0.985752
13.4,100.348,1.02498,0.264304,27.4304,0,-1.10103
13.5,100.912,1.04571,0.264412,27.4412,0,-1.21953
13.6,101.475,1.06677,0.26452,27.452,0,-1.34129
13.7,102.039,1.08818,0.264629,27.4629,0,-1.46638
13.8,102.602,1.10993,0.264738,27.4738,0,-1.59483
13.9,103.164,1.13202,0.264847,27.4847,0,-1.72671
14,103.727,1.15447,0.264956,27.4956,0,-1.86206
14.1,104.289,1.17727,0.265066,27.5066,0,-2.00093
14.2,104.851,1.20043,0.265175,27.5175,0,-2.14337
14.3,105.412,1.22395,0.265286,27.5286,0,-2.28945
14.4,105.974,1.24784,0.265396,27.5396,0,-2.4392
14.5,106.535,1.2721,0.265507,27.5507,0,-2.59269
14.6,107.095,1.29673,0.265617,27.5617,0,-2.75004
14.7,107.656,1.32173,0.265729,27.5729,0,-2.91169
14.8,108.215,1.34712,0.26584,27.584,0,-3.07778
14.9,108.775,1.3729,0.265952,27.5952,0,-3.2484
15,109.334,1.39906,0.266063,27.6063,0,-3.4236
15.1,109.893,1.42562,0.266175,27.6175,0,-3.60346
15.2,110.452,1.45257,0.266288,27.6288,0,-3.78807
15.3,111.01,1.47992,0.2664,27.64,0,-3.97751
15.4,111.568,1.50767,0.266513,27.6513,0,-4.17185
15.5,112.125,1.53583,0.266626,27.6626,0,-4.37119
15.6,112.682,1.5644,0.266739,27.6739,0,-4.57559
15.7,113.238,1.59338,0.266852,27.6852,0,-4.78514
15.8,113.795,1.62278,0.266965,27.6965,0,-4.99993
15.9,114.35,1.65261,0.267079,27.7079,0,-5.22003
16,114.906,1.68286,0.267193,27.7193,0,-5.44553
16.1,115.461,1.71354,0.267307,27.7307,0,-5.67649
16.2,116.015,1.74465,0.267421,27.7421,0,-5.91305
16.3,116.569,1.77619,0.267535,27.7535,0,-6.15529
16.4,117.122,1.80817,0.267649,27.7649,0,-6.4033
16.5,117.675,1.8406,0.267764,27.7764,0,-6.65716
16.6,118.228,1.87347,0.267878,27.7878,0,-6.91697
16.7,118.78,1.90679,0.267993,27.7993,0,-7.1828
16.8,119.332,1.94056,0.268108,27.8108,0,-7.45474
16.9,119.883,1.97479,0.268223,27.8223,0,-7.73289
17,120.433,2.00948,0.268337,27.8337,0,-8.01731
17.1,120.983,2.04463,0.268453,27.8453,0,-8.30809
17.2,121.532,2.08025,0.268568,27.8568,0,-8.60537
17.3,122.081,2.11632,0.268683,27.8683,0,-8.90923
17.4,122.629,2.15286,0.268798,27.8798,0,-9.21977
17.5,123.177,2.18988,0.268913,27.8913,0,-9.53705
17.6,123.723,2.22736,0.269028,27.9028,0,-9.86117
17.7,124.27,2.26532,0.269143,27.9143,0,-10.1922
17.8,124.815,2.30377,0.269258,27.9259,0,-10.5302
17.9,125.36,2.34269,0.269374,27.9374,0,-10.8753
18,125.904,2.3821,0.269489,27.9489,0,-11.2276
18.1,126.447,2.42196,0.269604,27.9604,0,-11.5867
18.2,126.988,2.46223,0.269718,27.9718,0,-11.9528
18.3,127.528,2.50291,0.269833,27.9833,0,-12.3257
18.4,128.065,2.544,0.269947,27.9947,0,-12.7055
18.5,128.601,2.58551,0.270061,28.0061,0,-13.0922
18.6,129.136,2.62742,0.270174,28.0174,0,-13.4859
18.7,129.668,2.66974,0.270287,28.0287,0,-13.8865
18.8,130.199,2.71246,0.2704,28.04,0,-14.2942
18.9,130.727,2.7556,0.270512,28.0512,0,-14.7088
19,131.255,2.79914,0.270624,28.0624,0,-15.1305
19.1,131.779,2.84305,0.270735,28.0735,0,-15.5589
19.2,132.301,2.88727,0.270846,28.0846,0,-15.9937
19.3,132.82,2.9318,0.270956,28.0956,0,-16.435
19.4,133.336,2.97664,0.271065,28.1065,0,-16.8827
19.5,133.85,3.02178,0.271174,28.1174,0,-17.3368
19.6,134.36,3.06721,0.271281,28.1281,0,-17.7971
19.7,134.868,3.11294,0.271388,28.1388,0,-18.2637
19.8,135.373,3.15896,0.271495,28.1495,0,-18.7364
19.9,135.875,3.20526,0.2716,28.16,0,-19.2152
20,136.374,3.25184,0.271705,28.1705,0,-19.6999
20.1,136.869,3.29864,0.271809,28.1809,0,-20.1901
20.2,137.361,3.34559,0.271911,28.1911,0,-20.6855
20.3,137.848,3.39271,0.272013,28.2013,0,-21.1858
20.4,138.332,3.43996,0.272113,28.2113,0,-21.691
20.5,138.812,3.48735,0.272213,28.2213,0,-22.2009
20.6,139.287,3.53486,0.272311,28.2311,0,-22.7152
20.7,139.759,3.58248,0.272407,28.2407,0,-23.234
20.8,140.227,3.63021,0.272503,28.2503,0,-23.7569
20.9,140.69,3.67804,0.272597,28.2597,0,-24.2839
21,141.15,3.72595,0.272691,28.2691,0,-24.8148
21.1,141.605,3.77388,0.272782,28.2782,0,-25.3486
21.2,142.055,3.82176,0.272872,28.2872,0,-25.8852
21.3,142.499,3.86958,0.272961,28.2961,0,-26.4242
21.4,142.939,3.91733,0.273048,28.3048,0,-26.9654
21.5,143.374,3.96499,0.273133,28.3133,0,-27.5086
21.6,143.803,4.01254,0.273217,28.3217,0,-28.0535
21.7,144.228,4.05998,0.273299,28.3298,0,-28.5999
21.8,144.647,4.10729,0.273379,28.3379,0,-29.1476
21.9,145.061,4.15446,0.273457,28.3457,0,-29.6963
22,145.47,4.20147,0.273534,28.3534,0,-30.2458
22.1,145.874,4.24826,0.273609,28.3609,0,-30.7951
