"time","outChar","outDateAndTime2"
0,0,0
0.2,4,600
0.4,8,2800
0.6,12,6600
0.8,16,12000
1,20,19000
1.2,24,27600
1.4,28,37800
1.6,32,49600
1.8,36,63000
2,40,78000
2.2,44,94600
2.4,48,112800
2.6,52,132600
2.8,56,154000
3,60,177000
3.2,64,201600
3.4,68,227800
3.6,72,255600
3.8,76,285000
4,80,316000
4.2,84,348600
4.4,88,382800
4.6,92,418600
4.8,96,456000
5,100,495000
5.2,104,535600
5.4,108,577800
5.6,112,621600
5.8,116,667000
6,120,714000
6.2,124,762600
6.4,128,812800
6.6,132,864600
6.8,136,918000
7,140,973000
7.2,144,1.0296e+06
7.4,148,1.0878e+06
7.6,152,1.1476e+06
7.8,156,1.209e+06
8,160,1.272e+06
8.2,164,1.3366e+06
8.4,168,1.4028e+06
8.6,172,1.4706e+06
8.8,176,1.54e+06
9,180,1.611e+06
9.2,184,1.6836e+06
9.4,188,1.7578e+06
9.6,192,1.8336e+06
9.8,196,1.911e+06
10,200,1.99e+06
10.2,204,2.0706e+06
10.4,208,2.1528e+06
10.6,212,2.2366e+06
10.8,216,2.322e+06
11,220,2.409e+06
11.2,224,2.4976e+06
11.4,228,2.5878e+06
11.6,232,2.6796e+06
11.8,236,2.773e+06
12,240,2.868e+06
12.2,244,2.9646e+06
12.4,248,3.0628e+06
12.6,252,3.1626e+06
12.8,0,3.264e+06
13,4,3.367e+06
13.2,8,3.4716e+06
13.4,12,3.5778e+06
13.6,16,3.6856e+06
13.8,20,3.795e+06
14,24,3.906e+06
14.2,28,4.0186e+06
14.4,32,4.1328e+06
14.6,36,4.2486e+06
14.8,40,4.366e+06
15,44,4.485e+06
15.2,48,4.6056e+06
15.4,52,4.7278e+06
15.6,56,4.8516e+06
15.8,60,4.977e+06
16,64,5.104e+06
16.2,68,5.2326e+06
16.4,72,5.3628e+06
16.6,76,5.4946e+06
16.8,80,5.628e+06
17,84,5.763e+06
17.2,88,5.8996e+06
17.4,92,6.0378e+06
17.6,96,6.1776e+06
17.8,100,6.319e+06
18,104,6.462e+06
18.2,108,6.6066e+06
18.4,112,6.7528e+06
18.6,116,6.9006e+06
18.8,120,7.05e+06
19,124,7.201e+06
19.2,128,7.3536e+06
19.4,132,7.5078e+06
19.6,136,7.6636e+06
19.8,140,7.821e+06
20,144,7.98e+06
20.2,148,8.1406e+06
20.4,152,8.3028e+06
20.6,156,8.4666e+06
20.8,160,8.632e+06
21,164,8.799e+06
21.2,168,8.9676e+06
21.4,172,9.1378e+06
21.6,176,9.3096e+06
21.8,180,9.483e+06
22,184,9.658e+06
22.2,188,9.8346e+06
22.4,192,1.00128e+07
22.6,196,1.01926e+07
22.8,200,1.0374e+07
23,204,1.0557e+07
23.2,208,1.07416e+07
23.4,212,1.09278e+07
23.6,216,1.11156e+07
23.8,220,1.1305e+07
24,224,1.1496e+07
24.2,228,1.16886e+07
24.4,232,1.18828e+07
24.6,236,1.20786e+07
24.8,240,1.2276e+07
25,244,1.2475e+07
25.2,248,1.26756e+07
25.4,252,1.28778e+07
25.6,0,1.30816e+07
25.8,4,1.3287e+07
26,8,1.3494e+07
26.2,12,1.37026e+07
26.4,16,1.39128e+07
26.6,20,1.41246e+07
26.8,24,1.4338e+07
27,28,1.4553e+07
27.2,32,1.47696e+07
27.4,36,1.49878e+07
27.6,40,1.52076e+07
27.8,44,1.5429e+07
28,48,1.5652e+07
28.2,52,1.58766e+07
28.4,56,1.61028e+07
28.6,60,1.63306e+07
28.8,64,1.656e+07
29,68,1.6791e+07
29.2,72,1.70236e+07
29.4,76,1.72578e+07
29.6,80,1.74936e+07
29.8,84,1.7731e+07
30,88,1.797e+07
30.2,92,1.82106e+07
30.4,96,1.84528e+07
30.6,100,1.86966e+07
30.8,104,1.8942e+07
31,108,1.9189e+07
31.2,112,1.94376e+07
31.4,116,1.96878e+07
31.6,120,1.99396e+07
31.8,124,2.0193e+07
32,128,2.0448e+07
32.2,132,2.07046e+07
32.4,136,2.09628e+07
32.6,140,2.12226e+07
32.8,144,2.1484e+07
33,148,2.1747e+07
33.2,152,2.20116e+07
33.4,156,2.22778e+07
