"time","egsCarSpeed","egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4"
0,0,0,0,0,0,0,0,0,0,0
0.03356,0,-2,2,0,0,0,0,0.055144,0.055144,0
0.06712,0,-2,2,0,0,0,0,0.12,0.12,0
0.10068,0,-2,2,0,0,0,0,0.2,0.2,0
0.13424,0,-2,2,0,0,0,0,0.26,0.26,0
0.1678,0,-2,2,0,0,0,0,0.32,0.32,0
0.20136,-1.94064E-14,-2,2,0,0,0,0,0.4,0.4,0
0.23492,-9.48303E-15,-2,2,0,0,0,0,0.46,0.46,0
0.26848,-1.14413E-15,-2,2,0,0,0,0,0.52,0.52,0
0.30204,1.35949E-15,-2,2,0,0,0,0,0.6,0.6,0
0.3356,-0.817193,-2,2,0,0,0,0,0.66,0.66,0
0.36916,0.118097,-2,2,0,0,0,0,0.72,0.72,0
0.40272,0.160347,-2,2,0,0,0,0,0.8,0.8,0
0.43628,0.183557,-2,2,0,0,0,0,0.86,0.86,0
0.46984,0.206761,-2,2,0,0,0,0,0.92,0.92,0
0.5034,0.2669,-2,2,0,0,0,0,1,1,0
0.53696,0.21441,-2,2,0,0,0,0,1,1,0
0.57052,0.247433,-2,2,0,0,0,0,1,1,0
0.60408,0.247044,-2,2,0,0,0,0,1,1,0
0.63764,0.246153,-2,2,0,0,0,0,1,1,0
0.6712,0.24494,-2,2,0,0,0,0,1,1,0
0.70476,0.244033,-2,2,0,0,0,0,1,1,0
0.73832,0.24313,-2,2,0,0,0,0,1,1,0
0.77188,0.241931,-2,2,0,0,0,0,1,1,0
0.80544,0.241035,-2,2,0,0,0,0,1,1,0
0.839,0.240143,-2,2,0,0,0,0,1,1,0
0.87256,0.238958,-2,2,0,0,0,0,1,1,0
0.90612,0.238073,-2,2,0,0,0,0,1,1,0
0.93968,0.237192,-2,2,0,0,0,0,1,1,0
0.97324,0.236022,-2,2,0,0,0,0,1,1,0
1.0068,0.235148,-2,2,0,0,0,0,1,1,0
1.04036,0.233988,0,2,1,1.02,0,0,0.96,1,0
1.07392,0.949007,0,2,1,1.02,0,0,0.9,1,0
1.10748,1.40272,0,2,1,1.02,0,0,0.84,1,0
1.14104,1.77236,0,2,1,1.02,0,0,0.76,1,0
1.1746,2.8708,0,2,1,1.02,0,0,0.7,1,0
1.20816,3.82505,0,2,1,1.02,0,0,0.64,1,0
1.24172,5.37981,0,2,1,1.02,0,0,0.56,1,0
1.27528,6.31963,0,2,1,1.02,0,0,0.5,1,0
1.30884,7.50688,0,2,1,1.02,0,0,0.44,1,0
1.3424,9.69499,0,2,1,1.02,0,0,0.36,1,0
1.37596,11.2455,0,2,1,1.02,0,0,0.3,1,0
1.40952,11.0185,0,2,1,1.02,0,0,0.24,1,0
1.44308,13.8711,0,2,1,1.02,0,0,0.16,1,0
1.47664,15.2371,0,2,1,1.02,0,0,0.1,1,0
1.5102,16.331,0,2,1,1.02,0,0,0.02,1,0
1.54376,17.3582,0,2,1,1.02,0,0,0,1,0
1.57732,18.3349,0,2,1,1.02,0,0,0,1,0
1.61088,19.5681,0,2,1,1.02,0,0,0,1,0
1.64444,20.477,0,2,1,1.02,0,0,0,1,0
1.678,21.3671,0,2,1,1.02,0,0,0,1,0
1.71156,22.5237,0,2,1,1.02,0,0,0,1,0
1.74512,23.3709,0,2,1,1.02,0,0,0,1,0
1.77868,24.201,0,2,1,1.02,0,0,0,1,0
1.81224,25.2825,0,2,1,1.02,0,0,0,1,0
1.8458,26.066,0,2,1,1.02,0,0,0,1,0
1.87936,26.8217,0,2,1,1.02,0,0,0,1,0
1.91292,27.925,0,2,1,1.02,0,0,0,1,0
1.94648,28.653,0,2,1,1.02,0,0,0,1,0
1.98004,29.6229,0,2,1,1.02,0,0,0,1,0
2.0136,30.3708,0,2,1,1.02,0,0,0,1,0
2.04716,31.1062,1,1,1,1.02,0,0,0,1,0
2.08072,32.0615,1,1,1,1.02,0,0,0,1,0
2.11428,32.7704,1,1,1,1.02,0,0,0,1,0
2.14784,33.4726,1,1,1,1.02,0,0,0,1,0
2.1814,34.3952,1,1,1,1.02,0,0,0,1,0
2.21496,35.0772,1,1,1,1.02,0,0,0,1,0
2.24852,35.7513,1,1,1,1.02,0,0,0,1,0
2.28208,36.6377,1,1,1,1.02,0,0,0,1,0
2.31564,37.2931,1,1,1,1.02,0,0,0,1,0
2.3492,37.9407,1,1,1,1.02,0,0,0,1,0
2.38276,38.7942,1,1,1,1.02,0,0,0,1,0
2.41632,39.4242,1,1,1,1.02,0,0,0,1,0
2.44988,40.0455,1,2,2,2.44,0,0,0,1,0
2.48344,40.2539,1,2,2,2.44,0,0,0,0.92,0
2.517,40.0651,1,2,2,2.44,0,0,0,0.86,0
2.55056,40.2781,1,2,2,2.44,0,0,0,0.78,0
2.58412,40.0501,1,2,2,2.44,0,0,0,0.72,0
2.61768,40.2698,1,2,2,2.44,0,0,0,0.66,0
