"time","revolute1_w","revolute2_w"
0,0,0
0.006,-0.150869,0.200413
0.012,-0.30169,0.400705
0.018,-0.452457,0.600854
0.024,-0.603156,0.800813
0.03,-0.753759,1.00049
0.036,-0.904223,1.19973
0.042,-1.05448,1.39832
0.048,-1.20445,1.59596
0.054,-1.354,1.79223
0.06,-1.50298,1.98661
0.066,-1.6512,2.17847
0.072,-1.79844,2.36706
0.078,-1.94444,2.55149
0.084,-2.08892,2.73077
0.09,-2.23154,2.9038
0.096,-2.37196,3.06936
0.102,-2.50981,3.22619
0.108,-2.64472,3.37299
0.114,-2.77631,3.50844
0.12,-2.90422,3.63123
0.126,-3.0281,3.74014
0.132,-3.14767,3.83404
0.138,-3.26264,3.91191
0.144,-3.3728,3.9729
0.15,-3.47799,4.0163
0.156,-3.57808,4.0416
0.162,-3.67301,4.04843
0.168,-3.76274,4.03659
0.174,-3.8473,4.00603
0.18,-3.92669,3.95678
0.186,-4.00096,3.889
0.192,-4.07016,3.80289
0.198,-4.13432,3.6987
0.204,-4.19347,3.57672
0.21,-4.2476,3.43724
0.216,-4.29669,3.28052
0.222,-4.34066,3.10683
0.228,-4.37941,2.91639
0.234,-4.41279,2.70938
0.24,-4.44061,2.48596
0.246,-4.46262,2.24623
0.252,-4.47854,1.99026
0.258,-4.48804,1.71807
0.264,-4.49077,1.42964
0.27,-4.48632,1.12491
0.276,-4.47424,0.803807
0.282,-4.45408,0.466187
0.288,-4.42535,0.111893
0.294,-4.38755,-0.25927
0.3,-4.34018,-0.647528
0.306,-4.28273,-1.05313
0.312,-4.21472,-1.47636
0.318,-4.13568,-1.91749
0.324,-4.04521,-2.37681
0.33,-3.94296,-2.85456
0.336,-3.82868,-3.35091
0.342,-3.70226,-3.86586
0.348,-3.56377,-4.39917
0.354,-3.41353,-4.95017
0.36,-3.2522,-5.51751
0.366,-3.08094,-6.09886
0.372,-2.90152,-6.6904
0.378,-2.71663,-7.28617
0.384,-2.53005,-7.87736
0.39,-2.347,-8.45149
0.396,-2.17426,-8.99172
0.402,-2.0203,-9.47653
0.408,-1.89486,-9.88077
0.414,-1.80798,-10.178
0.42,-1.7686,-10.3444
0.426,-1.78275,-10.3637
0.432,-1.85228,-10.2309
0.438,-1.97433,-9.95317
0.444,-2.14208,-9.54841
0.45,-2.34635,-9.04045
0.456,-2.5772,-8.45462
0.462,-2.82535,-7.81423
0.468,-3.08282,-7.13866
0.474,-3.34329,-6.44284
0.48,-3.60191,-5.73761
0.486,-3.85517,-5.03046
0.492,-4.1006,-4.32634
0.498,-4.33653,-3.62836
0.504,-4.56192,-2.93841
0.51,-4.77615,-2.25753
0.516,-4.97898,-1.58626
0.522,-5.17043,-0.924818
0.528,-5.35071,-0.273236
0.534,-5.52018,0.368467
0.54,-5.67932,1.00023
0.546,-5.82863,1.62186
0.552,-5.96866,2.23301
0.558,-6.09991,2.83302
0.564,-6.22283,3.4209
0.57,-6.33771,3.99513
0.576,-6.44464,4.55357
0.582,-6.54344,5.09324
0.588,-6.63357,5.61017
0.594,-6.71406,6.09915
0.6,-6.78341,6.55364
0.606,-6.83962,6.96566
0.612,-6.88018,7.32606
0.618,-6.90221,7.62478
0.624,-6.90272,7.85175
0.63,-6.87897,7.99808
0.636,-6.82897,8.05747
0.642,-6.75182,8.02726
0.648,-6.64796,7.90921
0.654,-6.51923,7.70956
0.66,-6.36863,7.4383
0.666,-6.19985,7.10769
0.672,-6.01685,6.73086
0.678,-5.82344,6.32056
0.684,-5.62302,5.88832
0.69,-5.41843,5.44387
0.696,-5.2119,4.99498
0.702,-5.00508,4.54764
0.708,-4.79917,4.10627
0.714,-4.59496,3.67395
0.72,-4.39294,3.25276
0.726,-4.19339,2.84396
0.732,-3.99643,2.44822
0.738,-3.80207,2.06579
0.744,-3.61025,1.69658
0.75,-3.42086,1.34029
0.756,-3.23377,0.996449
0.762,-3.04883,0.664474
0.768,-2.86587,0.3437
0.774,-2.68475,0.0334105
0.78,-2.50531,-0.267145
0.786,-2.32739,-0.558741
0.792,-2.15086,-0.842167
0.798,-1.97555,-1.11822
0.804,-1.80134,-1.38771
0.81,-1.62808,-1.65143
0.816,-1.45564,-1.91017
0.822,-1.28387,-2.16473
0.828,-1.11265,-2.41586
0.834,-0.941863,-2.6643
0.84,-0.771383,-2.91076
0.846,-0.601106,-3.15589
0.852,-0.430944,-3.40028
0.858,-0.260831,-3.64443
0.864,-0.090744,-3.88871
0.87,0.0793049,-4.13334
0.876,0.249236,-4.37833
0.882,0.418905,-4.62348
0.888,0.588077,-4.86829
0.894,0.756421,-5.11194
0.9,0.923488,-5.35322
0.906,1.08871,-5.59057
0.912,1.25141,-5.82198
0.918,1.41078,-6.04516
0.924,1.56595,-6.25742
0.93,1.71601,-6.45601
0.936,1.86008,-6.63819
0.942,1.99738,-6.80145
0.948,2.12728,-6.94366
0.954,2.24935,-7.06326
0.96,2.36343,-7.15938
0.966,2.46958,-7.23186
0.972,2.56814,-7.28124
0.978,2.65965,-7.30866
0.984,2.7448,-7.31565
0.99,2.82438,-7.30405
0.996,2.89922,-7.2758
1.002,2.97016,-7.23282
1.008,3.03799,-7.17695
1.014,3.10344,-7.10982
1.02,3.16719,-7.03289
1.026,3.22982,-6.94736
1.032,3.29184,-6.85421
1.038,3.35367,-6.7542
1.044,3.41568,-6.6479
1.05,3.47815,-6.5357
1.056,3.54133,-6.41781
1.062,3.60538,-6.29434
1.068,3.67046,-6.16525
1.074,3.73663,-6.03041
1.08,3.80395,-5.88962
1.086,3.87242,-5.74258
1.092,3.94202,-5.58896
1.098,4.01266,-5.42835
1.104,4.08424,-5.26033
1.11,4.15661,-5.08443
1.116,4.22956,-4.90014
1.122,4.30287,-4.70696
1.128,4.37622,-4.50436
1.134,4.44927,-4.29179
1.14,4.52162,-4.06872
1.146,4.5928,-3.83463
1.152,4.6623,-3.58901
1.158,4.72951,-3.33136
1.164,4.79378,-3.06123
1.17,4.85438,-2.77819
1.176,4.91052,-2.48184
1.182,4.96133,-2.17183
1.188,5.0059,-1.84786
1.194,5.04322,-1.50968
1.2,5.07228,-1.15708
1.206,5.09199,-0.78989
1.212,5.10125,-0.407991
1.218,5.09891,-0.0113071
1.224,5.08385,0.400236
1.23,5.05494,0.826684
1.236,5.01109,1.26812
1.242,4.95123,1.72467
1.248,4.87438,2.19652
1.254,4.77959,2.68395
1.26,4.66601,3.18741
1.266,4.53284,3.70751
1.272,4.37939,4.24515
1.278,4.20503,4.80151
1.284,4.00917,5.3782
1.29,3.79127,5.9773
1.296,3.55077,6.60147
1.302,3.28709,7.2541
1.308,2.99951,7.93943
1.314,2.68718,8.66272
1.32,2.34904,9.43042
1.326,1.98372,10.2504
1.332,1.58958,11.1318
1.338,1.1647,12.0855
1.344,0.707029,13.1233
1.35,0.215261,14.2559
1.356,-0.310063,15.4901
1.362,-0.86358,16.8203
1.368,-1.42975,18.2131
1.374,-1.97446,19.5837
1.38,-2.43677,20.7699
1.386,-2.73248,21.541
1.392,-2.78687,21.6892
1.398,-2.58313,21.1673
1.404,-2.17545,20.1268
1.41,-1.6495,18.8042
1.416,-1.07848,17.3973
1.422,-0.507808,16.0231
1.428,0.0398667,14.7345
1.434,0.555499,13.5467
1.44,1.03685,12.4572
1.446,1.48465,11.4559
1.452,1.90069,10.5314
1.458,2.28691,9.67207
1.464,2.64505,8.86805
1.47,2.97654,8.11078
1.476,3.28255,7.39317
1.482,3.56395,6.70949
1.488,3.82149,6.05505
1.494,4.05575,5.42614
1.5,4.2673,4.81983
1.506,4.45667,4.23381
1.512,4.62444,3.66635
1.518,4.77124,3.11614
1.524,4.89778,2.5822
1.53,5.00486,2.06385
1.536,5.09337,1.56064
1.542,5.16429,1.07225
1.548,5.21868,0.59849
1.554,5.25766,0.139241
1.56,5.28242,-0.305579
1.566,5.29416,-0.736037
1.572,5.29411,-1.15222
1.578,5.2835,-1.55423
1.584,5.26354,-1.94223
1.59,5.23542,-2.31644
1.596,5.20026,-2.67711
1.602,5.15917,-3.0246
1.608,5.11317,-3.35928
1.614,5.06321,-3.68163
1.62,5.01019,-3.99217
1.626,4.95493,-4.29146
1.632,4.89817,-4.58013
1.638,4.84058,-4.85884
1.644,4.78278,-5.12828
1.65,4.7253,-5.38917
1.656,4.66863,-5.64223
1.662,4.61318,-5.8882
1.668,4.5593,-6.12781
1.674,4.50731,-6.36176
1.68,4.45745,-6.59072
1.686,4.4099,-6.81531
1.692,4.3648,-7.03604
1.698,4.32219,-7.25332
1.704,4.28206,-7.46742
1.71,4.2443,-7.67836
1.716,4.20867,-7.88591
1.722,4.17482,-8.08948
1.728,4.14219,-8.28798
1.734,4.11005,-8.47981
1.74,4.07739,-8.66262
1.746,4.04295,-8.83328
1.752,4.00511,-8.98775
1.758,3.96198,-9.1211
1.764,3.91133,-9.22755
1.77,3.85079,-9.30084
1.776,3.77802,-9.33486
1.782,3.69096,-9.32427
1.788,3.5881,-9.26538
1.794,3.46873,-9.15686
1.8,3.33311,-9.00018
1.806,3.18247,-8.79962
1.812,3.01884,-8.56172
1.818,2.84474,-8.29439
1.824,2.66282,-8.00587
1.83,2.47565,-7.70399
1.836,2.28545,-7.39558
1.842,2.09407,-7.08623
