"time","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz","J1.phi","J1.w","T2"
0,0,-10,0,0,0,0,0.2,0,10,0.4
1e-005,-9.999899697e-005,-9.999800016,-5.015499644e-010,-9.999996879e-005,0,0,0.2,9.999949852e-005,9.999900016,0.4
6e-005,-0.0005999640071,-9.998800566,-1.80034107e-008,-0.0005999998271,0,0,0.2,0.0005999820105,9.999400566,0.4
0.00031,-0.003099040703,-9.993815097,-4.80505184e-007,-0.003099999412,0,0,0.2,0.003099521208,9.996915096,0.4
0.00131,-0.01308295709,-9.974069526,-8.580503751e-006,-0.0130999985,0,0,0.2,0.0130915376,9.987169525,0.4
0.00231,-0.02304728424,-9.954637804,-2.668049384e-005,-0.02309998693,0,0,0.2,0.02307396473,9.977737791,0.4
0.00331,-0.03299233632,-9.935519404,-5.478045886e-005,-0.03309994889,0,0,0.2,0.03304711678,9.968619353,0.4
0.00431,-0.04291842642,-9.916713514,-9.288036628e-005,-0.04309986858,0,0,0.2,0.04301130679,9.959813383,0.4
0.00531,-0.05282586631,-9.898218971,-0.0001409801648,-0.05309973021,0,0,0.2,0.05296684647,9.951318701,0.4
0.00631,-0.06271496646,-9.880034299,-0.000199079787,-0.063099518,0,0,0.2,0.06291404624,9.943133817,0.4
0.00731,-0.07258603593,-9.862157778,-0.0002671791531,-0.07309921615,0,0,0.2,0.07285321508,9.935256994,0.4
0.00831,-0.08243938235,-9.844587413,-0.0003452781689,-0.08309880887,0,0,0.2,0.08278466052,9.927686222,0.4
0.00931,-0.09227531018,-9.827320792,-0.0004333767186,-0.09309828037,0,0,0.2,0.0927086869,9.920419073,0.4
0.01031,-0.1020941226,-9.810355313,-0.0005314746764,-0.1030976149,0,0,0.2,0.1026255973,9.913452928,0.4
0.01131,-0.1118961189,-9.793687966,-0.000639571895,-0.1130967966,0,0,0.2,0.1125356908,9.906784762,0.4
