"time","onOffController.reference"
7.558066E+000,4.815861E+001
7.560566E+000,4.816903E+001
7.573066E+000,4.822111E+001
7.625371E+000,4.843905E+001
7.725371E+000,4.885571E+001
7.825371E+000,4.927238E+001
7.841620E+000,4.934008E+001
7.841620E+000,4.934008E+001
7.841620E+000,4.934008E+001
7.842120E+000,4.934217E+001
7.844620E+000,4.935258E+001
7.857120E+000,4.940467E+001
7.894266E+000,4.955944E+001
7.972042E+000,4.988351E+001
8.000000E+000,5.000000E+001
8.000000E+000,5.000000E+001
8.000000E+000,5.000000E+001
8.000500E+000,5.000000E+001
8.003000E+000,5.000000E+001
8.015500E+000,5.000000E+001
8.052962E+000,5.000000E+001
8.131616E+000,5.000000E+001
8.231616E+000,5.000000E+001
8.285802E+000,5.000000E+001
8.285802E+000,5.000000E+001
8.285802E+000,5.000000E+001
8.286302E+000,5.000000E+001
8.288802E+000,5.000000E+001
8.301302E+000,5.000000E+001
8.352646E+000,5.000000E+001
8.452646E+000,5.000000E+001
8.552646E+000,5.000000E+001
8.652646E+000,5.000000E+001
8.752646E+000,5.000000E+001
8.852646E+000,5.000000E+001
8.952646E+000,5.000000E+001
8.952742E+000,5.000000E+001
8.952742E+000,5.000000E+001
8.953242E+000,5.000000E+001
8.955742E+000,5.000000E+001
8.968242E+000,5.000000E+001
9.005604E+000,5.000000E+001
9.083977E+000,5.000000E+001
9.183977E+000,5.000000E+001
9.283977E+000,5.000000E+001
9.289103E+000,5.000000E+001
9.289103E+000,5.000000E+001
9.289103E+000,5.000000E+001
9.289603E+000,5.000000E+001
9.292103E+000,5.000000E+001
9.304603E+000,5.000000E+001
9.355947E+000,5.000000E+001
9.455947E+000,5.000000E+001
9.555947E+000,5.000000E+001
9.655947E+000,5.000000E+001
9.755947E+000,5.000000E+001
9.855947E+000,5.000000E+001
9.955947E+000,5.000000E+001
9.956044E+000,5.000000E+001
9.956044E+000,5.000000E+001
9.956544E+000,5.000000E+001
9.959044E+000,5.000000E+001
9.971544E+000,5.000000E+001
1.000000E+001,5.000000E+001
1.000000E+001,5.000000E+001
1.000000E+001,5.000000E+001
