"time","dataOut1"
0,1
0.025,1
0.05,1
0.075,1
0.1,1
0.125,1
0.15,1
0.175,1
0.2,1
0.225,1
0.25,1
0.275,1
0.3,1
0.325,1
0.35,1
0.375,1
0.4,1
0.425,1
0.45,1
0.475,1
0.5,1
0.525,1
0.55,1
0.575,1
0.6,1
0.625,1
0.65,1
0.675,1
0.7,1
0.725,1
0.75,1
0.775,1
0.8,1
0.825,1
0.85,1
0.875,1
0.9,1
0.925,1
0.95,1
0.975,1
1,1
1.025,1
1.05,1
1.075,1
1.1,1
1.125,1
1.15,1
1.175,1
1.2,1
1.225,1
1.25,1
1.275,1
1.3,1
1.325,1
1.35,1
1.375,1
1.4,1
1.425,1
1.45,1
1.475,1
1.5,1
1.525,1
1.55,1
1.575,1
1.6,1
1.625,1
1.65,1
1.675,1
1.7,1
1.725,1
1.75,1
1.775,1
1.8,1
1.825,1
1.85,1
1.875,1
1.9,1
1.925,1
1.95,1
1.975,1
2,1
2.025,1
2.05,1
2.075,1
2.1,1
2.125,1
2.15,1
2.175,1
2.2,1
2.225,1
2.25,1
2.275,1
2.3,1
2.325,1
2.35,1
2.375,1
2.4,1
2.425,1
2.45,1
2.475,1
2.5,1
2.525,1
2.55,1
2.575,1
2.6,1
2.625,1
2.65,1
2.675,1
2.7,1
2.725,1
2.75,1
2.775,1
2.8,1
2.825,1
2.85,1
2.875,1
2.9,1
2.925,1
2.95,1
2.975,1
3,1
3.025,1
3.05,1
3.075,1
3.1,1
3.125,1
3.15,1
3.175,1
3.2,1
3.225,1
3.25,1
3.275,1
3.3,1
3.325,1
3.35,1
3.375,1
3.4,1
3.425,1
3.45,1
3.475,1
3.5,1
3.525,1
3.55,1
3.575,1
3.6,1
3.625,1
3.65,1
3.675,1
3.7,1
3.725,1
3.75,1
3.775,1
3.8,1
3.825,1
3.85,1
3.875,1
3.9,1
3.925,1
3.95,1
3.975,1
4,1
4.025,1
4.05,1
4.075,1
4.1,1
4.125,1
4.15,1
4.175,1
4.2,1
4.225,1
4.25,1
4.275,1
4.3,1
4.325,1
4.35,1
4.375,1
4.4,1
4.425,1
4.45,1
4.475,1
4.5,1
4.525,1
4.55,1
4.575,1
4.6,1
4.625,1
4.65,1
4.675,1
4.7,1
4.725,1
4.75,1
4.775,1
4.8,1
4.825,1
4.85,1
4.875,1
4.9,1
4.925,1
4.95,1
4.975,1
5,1
5.025,1
5.05,1
5.075,1
5.1,1
5.125,1
5.15,1
5.175,1
5.2,1
5.225,1
5.25,1
5.275,1
5.3,1
5.325,1
5.35,1
5.375,1
5.4,1
5.425,1
5.45,1
5.475,1
5.5,1
5.525,1
5.55,1
5.575,1
5.6,1
5.625,1
5.65,1
5.675,1
5.7,1
5.725,1
5.75,1
5.775,1
5.8,1
5.825,1
5.85,1
5.875,1
5.9,1
5.925,1
5.95,1
5.975,1
6,1
6.025,3
6.05,3
6.075,3
6.1,3
6.125,3
6.15,3
6.175,3
6.2,3
6.225,3
6.25,3
6.275,3
6.3,3
6.325,3
6.35,3
6.375,3
6.4,3
6.425,3
6.45,3
6.475,3
6.5,3
6.525,3
6.55,3
6.575,3
6.6,3
6.625,3
6.65,3
6.675,3
6.7,3
6.725,3
6.75,3
6.775,3
6.8,3
6.825,3
6.85,3
6.875,3
6.9,3
6.925,3
6.95,3
6.975,3
7,3
7.025,3
7.05,3
7.075,3
7.1,3
7.125,3
7.15,3
7.175,3
7.2,3
7.225,3
7.25,3
7.275,3
7.3,3
7.325,3
7.35,3
7.375,3
7.4,3
7.425,3
7.45,3
7.475,3
7.5,3
7.525,3
7.55,3
7.575,3
7.6,3
7.625,3
7.65,3
7.675,3
7.7,3
7.725,3
7.75,3
7.775,3
7.8,3
7.825,3
7.85,3
7.875,3
7.9,3
7.925,3
7.95,3
7.975,3
8,3
8.025,3
8.05,3
8.075,3
8.1,3
8.125,3
8.15,3
8.175,3
8.2,3
8.225,3
8.25,3
8.275,3
8.3,3
8.325,3
8.35,3
8.375,3
8.4,3
8.425,3
8.45,3
8.475,3
8.5,3
8.525,3
8.55,3
8.575,3
8.6,3
8.625,3
8.65,3
8.675,3
8.7,3
8.725,3
8.75,3
8.775,3
8.8,3
8.825,3
8.85,3
8.875,3
8.9,3
8.925,3
8.95,3
8.975,3
9,3
9.025,3
9.05,3
9.075,3
9.1,3
9.125,3
9.15,3
9.175,3
9.2,3
9.225,3
9.25,3
9.275,3
9.3,3
9.325,3
9.35,3
9.375,3
9.4,3
9.425,3
9.45,3
9.475,3
9.5,3
9.525,3
9.55,3
9.575,3
9.6,3
9.625,3
9.65,3
9.675,3
9.7,3
9.725,3
9.75,3
9.775,3
9.8,3
9.825,3
9.85,3
9.875,3
9.9,3
9.925,3
9.95,3
9.975,3
10,3
10.025,3
10.05,3
10.075,3
10.1,3
10.125,3
10.15,3
10.175,3
10.2,3
10.225,3
10.25,3
10.275,3
10.3,3
10.325,3
10.35,3
10.375,3
10.4,3
10.425,3
10.45,3
10.475,3
10.5,3
10.525,3
10.55,3
10.575,3
10.6,3
10.625,3
10.65,3
10.675,3
10.7,3
10.725,3
10.75,3
10.775,3
10.8,3
10.825,3
10.85,3
10.875,3
10.9,3
10.925,3
10.95,3
10.975,3
11,3
11.025,3
11.05,3
11.075,3
11.1,3
11.125,3
11.15,3
11.175,3
11.2,3
11.225,3
11.25,3
11.275,3
11.3,3
11.325,3
11.35,3
11.375,3
11.4,3
11.425,3
11.45,3
11.475,3
11.5,3
11.525,3
11.55,3
11.575,3
11.6,3
11.625,3
11.65,3
11.675,3
11.7,3
11.725,3
11.75,3
11.775,3
11.8,3
11.825,3
11.85,3
11.875,3
11.9,3
11.925,3
11.95,3
11.975,3
12,3
12.025,3
12.05,3
12.075,3
12.1,3
12.125,3
12.15,3
12.175,3
12.2,3
12.225,3
12.25,3
12.275,3
12.3,3
12.325,3
12.35,3
12.375,3
12.4,3
12.425,3
12.45,3
12.475,3
12.5,3
12.525,3
12.55,3
12.575,3
12.6,3
12.625,3
12.65,3
12.675,3
12.7,3
12.725,3
12.75,3
12.775,3
12.8,3
12.825,3
12.85,3
12.875,3
12.9,3
12.925,3
12.95,3
12.975,3
13,3
13.025,4
13.05,4
13.075,4
13.1,4
13.125,4
13.15,4
13.175,4
13.2,4
13.225,4
13.25,4
13.275,4
13.3,4
13.325,4
13.35,4
13.375,4
13.4,4
13.425,4
13.45,4
13.475,4
13.5,4
13.525,4
13.55,4
13.575,4
13.6,4
13.625,4
13.65,4
13.675,4
13.7,4
13.725,4
13.75,4
13.775,4
13.8,4
13.825,4
13.85,4
13.875,4
13.9,4
13.925,4
13.95,4
13.975,4
14,4
14.025,4
14.05,4
14.075,4
14.1,4
14.125,4
14.15,4
14.175,4
14.2,4
14.225,4
14.25,4
14.275,4
14.3,4
14.325,4
14.35,4
14.375,4
14.4,4
14.425,4
14.45,4
14.475,4
14.5,4
14.525,4
14.55,4
14.575,4
14.6,4
14.625,4
14.65,4
14.675,4
14.7,4
14.725,4
14.75,4
14.775,4
14.8,4
14.825,4
14.85,4
14.875,4
14.9,4
14.925,4
14.95,4
14.975,4
15,4
15.025,4
15.05,4
15.075,4
15.1,4
15.125,4
15.15,4
15.175,4
15.2,4
15.225,4
15.25,4
15.275,4
15.3,4
15.325,4
15.35,4
15.375,4
15.4,4
15.425,4
15.45,4
15.475,4
15.5,4
15.525,4
15.55,4
15.575,4
15.6,4
15.625,4
15.65,4
15.675,4
15.7,4
15.725,4
15.75,4
15.775,4
15.8,4
15.825,4
15.85,4
15.875,4
15.9,4
15.925,4
15.95,4
15.975,4
16,4
16.025,4
16.05,4
16.075,4
16.1,4
16.125,4
16.15,4
16.175,4
16.2,4
16.225,4
16.25,4
16.275,4
16.3,4
16.325,4
16.35,4
16.375,4
16.4,4
16.425,4
16.45,4
16.475,4
16.5,4
16.525,4
16.55,4
16.575,4
16.6,4
16.625,4
16.65,4
16.675,4
16.7,4
16.725,4
16.75,4
16.775,4
16.8,4
16.825,4
16.85,4
16.875,4
16.9,4
16.925,4
16.95,4
16.975,4
17,4
17.025,4
17.05,4
17.075,4
17.1,4
17.125,4
17.15,4
17.175,4
17.2,4
17.225,4
17.25,4
17.275,4
17.3,4
17.325,4
17.35,4
17.375,4
17.4,4
17.425,4
17.45,4
17.475,4
17.5,4
17.525,4
17.55,4
17.575,4
17.6,4
17.625,4
17.65,4
17.675,4
17.7,4
17.725,4
17.75,4
17.775,4
17.8,4
17.825,4
17.85,4
17.875,4
17.9,4
17.925,4
17.95,4
17.975,4
18,4
18.025,4
18.05,4
18.075,4
18.1,4
18.125,4
18.15,4
18.175,4
18.2,4
18.225,4
18.25,4
18.275,4
18.3,4
18.325,4
18.35,4
18.375,4
18.4,4
18.425,4
18.45,4
18.475,4
18.5,4
18.525,4
18.55,4
18.575,4
18.6,4
18.625,4
18.65,4
18.675,4
18.7,4
18.725,4
18.75,4
18.775,4
18.8,4
18.825,4
18.85,4
18.875,4
18.9,4
18.925,4
18.95,4
18.975,4
19,4
19.025,4
19.05,4
19.075,4
19.1,4
19.125,4
19.15,4
19.175,4
19.2,4
19.225,4
19.25,4
19.275,4
19.3,4
19.325,4
19.35,4
19.375,4
19.4,4
19.425,4
19.45,4
19.475,4
19.5,4
19.525,4
19.55,4
19.575,4
19.6,4
19.625,4
19.65,4
19.675,4
19.7,4
19.725,4
19.75,4
19.775,4
19.8,4
19.825,4
19.85,4
19.875,4
19.9,4
19.925,4
19.95,4
19.975,4
20,4
20.025,3
20.05,3
20.075,3
20.1,3
20.125,3
20.15,3
20.175,3
20.2,3
20.225,3
20.25,3
20.275,3
20.3,3
20.325,3
20.35,3
20.375,3
20.4,3
20.425,3
20.45,3
20.475,3
20.5,3
20.525,3
20.55,3
20.575,3
20.6,3
20.625,3
20.65,3
20.675,3
20.7,3
20.725,3
20.75,3
20.775,3
20.8,3
20.825,3
20.85,3
20.875,3
20.9,3
20.925,3
20.95,3
20.975,3
21,3
21.025,3
21.05,3
21.075,3
21.1,3
21.125,3
21.15,3
21.175,3
21.2,3
21.225,3
21.25,3
21.275,3
21.3,3
21.325,3
21.35,3
21.375,3
21.4,3
21.425,3
21.45,3
21.475,3
21.5,3
21.525,3
21.55,3
21.575,3
21.6,3
21.625,3
21.65,3
21.675,3
21.7,3
21.725,3
21.75,3
21.775,3
21.8,3
21.825,3
21.85,3
21.875,3
21.9,3
21.925,3
21.95,3
21.975,3
22,3
22.025,3
22.05,3
22.075,3
22.1,3
22.125,3
22.15,3
22.175,3
22.2,3
22.225,3
22.25,3
22.275,3
22.3,3
22.325,3
22.35,3
22.375,3
22.4,3
22.425,3
22.45,3
22.475,3
22.5,3
22.525,3
22.55,3
22.575,3
22.6,3
22.625,3
22.65,3
22.675,3
22.7,3
22.725,3
22.75,3
22.775,3
22.8,3
22.825,3
22.85,3
22.875,3
22.9,3
22.925,3
22.95,3
22.975,3
23,3
23.025,3
23.05,3
23.075,3
23.1,3
23.125,3
23.15,3
23.175,3
23.2,3
23.225,3
23.25,3
23.275,3
23.3,3
23.325,3
23.35,3
23.375,3
23.4,3
23.425,3
23.45,3
23.475,3
23.5,3
23.525,3
23.55,3
23.575,3
23.6,3
23.625,3
23.65,3
23.675,3
23.7,3
23.725,3
23.75,3
23.775,3
23.8,3
23.825,3
23.85,3
23.875,3
23.9,3
23.925,3
23.95,3
23.975,3
24,3
24.025,3
24.05,3
24.075,3
24.1,3
24.125,3
24.15,3
24.175,3
24.2,3
24.225,3
24.25,3
24.275,3
24.3,3
24.325,3
24.35,3
24.375,3
24.4,3
24.425,3
24.45,3
24.475,3
24.5,3
24.525,3
24.55,3
24.575,3
24.6,3
24.625,3
24.65,3
24.675,3
24.7,3
24.725,3
24.75,3
24.775,3
24.8,3
24.825,3
24.85,3
24.875,3
24.9,3
24.925,3
24.95,3
24.975,3
25,3
