Time,_dummy,_derdummy,_clutch3_f_0normalized_start,clutch3_f_0normalized,J1_w,J2_w,J3_w,J4_w,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_StartTime,fmi_StopTime,fmi_NumberOfSteps,fmi_CommunicationStepSize,fmi_forceShutDownAtStopTime
0,1,0,0,0,10,0,0,0,0,1,0,1.5,500,0.003,0
0.003,1,0,0,0,10,0,0,0,0,1,0,1.5,500,0.003,0
0.003,1,0,0,0,9.97147,0.03,0,0,0,1,0,1.5,500,0.003,0
0.006,1,0,0,0,9.97147,0.03,0,0,0,1,0,1.5,500,0.003,0
0.006,1,0,0,0,9.9457,0.0599995,0,0,0,1,0,1.5,500,0.003,0
0.009,1,0,0,0,9.9457,0.0599995,0,0,0,1,0,1.5,500,0.003,0
0.009,1,0,0,0,9.92269,0.0899983,0,0,0,1,0,1.5,500,0.003,0
0.012,1,0,0,0,9.92269,0.0899983,0,0,0,1,0,1.5,500,0.003,0
0.012,1,0,0,0,9.90239,0.119996,0,0,0,1,0,1.5,500,0.003,0
0.015,1,0,0,0,9.90239,0.119996,0,0,0,1,0,1.5,500,0.003,0
0.015,1,0,0,0,9.8847,0.149992,0,0,0,1,0,1.5,500,0.003,0
0.018,1,0,0,0,9.8847,0.149992,0,0,0,1,0,1.5,500,0.003,0
0.018,1,0,0,0,9.86953,0.179986,0,0,0,1,0,1.5,500,0.003,0
0.021,1,0,0,0,9.86953,0.179986,0,0,0,1,0,1.5,500,0.003,0
0.021,1,0,0,0,9.85675,0.209977,0,0,0,1,0,1.5,500,0.003,0
0.024,1,0,0,0,9.85675,0.209977,0,0,0,1,0,1.5,500,0.003,0
0.024,1,0,0,0,9.84622,0.239966,0,0,0,1,0,1.5,500,0.003,0
0.027,1,0,0,0,9.84622,0.239966,0,0,0,1,0,1.5,500,0.003,0
0.027,1,0,0,0,9.83776,0.269951,0,0,0,1,0,1.5,500,0.003,0
0.03,1,0,0,0,9.83776,0.269951,0,0,0,1,0,1.5,500,0.003,0
0.03,1,0,0,0,9.83117,0.299933,0,0,0,1,0,1.5,500,0.003,0
0.033,1,0,0,0,9.83117,0.299933,0,0,0,1,0,1.5,500,0.003,0
0.033,1,0,0,0,9.82625,0.32991,0,0,0,1,0,1.5,500,0.003,0
0.036,1,0,0,0,9.82625,0.32991,0,0,0,1,0,1.5,500,0.003,0
0.036,1,0,0,0,9.82278,0.359883,0,0,0,1,0,1.5,500,0.003,0
0.039,1,0,0,0,9.82278,0.359883,0,0,0,1,0,1.5,500,0.003,0
0.039,1,0,0,0,9.82051,0.389851,0,0,0,1,0,1.5,500,0.003,0
0.042,1,0,0,0,9.82051,0.389851,0,0,0,1,0,1.5,500,0.003,0
0.042,1,0,0,0,9.81921,0.419813,0,0,0,1,0,1.5,500,0.003,0
0.045,1,0,0,0,9.81921,0.419813,0,0,0,1,0,1.5,500,0.003,0
0.045,1,0,0,0,9.81861,0.449769,0,0,0,1,0,1.5,500,0.003,0
0.048,1,0,0,0,9.81861,0.449769,0,0,0,1,0,1.5,500,0.003,0
0.048,1,0,0,0,9.81847,0.47972,0,0,0,1,0,1.5,500,0.003,0
0.051,1,0,0,0,9.81847,0.47972,0,0,0,1,0,1.5,500,0.003,0
0.051,1,0,0,0,9.81851,0.509663,0,0,0,1,0,1.5,500,0.003,0
0.054,1,0,0,0,9.81851,0.509663,0,0,0,1,0,1.5,500,0.003,0
0.054,1,0,0,0,9.81847,0.539599,0,0,0,1,0,1.5,500,0.003,0
0.057,1,0,0,0,9.81847,0.539599,0,0,0,1,0,1.5,500,0.003,0
0.057,1,0,0,0,9.81809,0.569528,0,0,0,1,0,1.5,500,0.003,0
0.06,1,0,0,0,9.81809,0.569528,0,0,0,1,0,1.5,500,0.003,0
0.06,1,0,0,0,9.8171,0.599449,0,0,0,1,0,1.5,500,0.003,0
0.063,1,0,0,0,9.8171,0.599449,0,0,0,1,0,1.5,500,0.003,0
0.063,1,0,0,0,9.81524,0.629361,0,0,0,1,0,1.5,500,0.003,0
0.066,1,0,0,0,9.81524,0.629361,0,0,0,1,0,1.5,500,0.003,0
0.066,1,0,0,0,9.81227,0.659264,0,0,0,1,0,1.5,500,0.003,0
0.069,1,0,0,0,9.81227,0.659264,0,0,0,1,0,1.5,500,0.003,0
0.069,1,0,0,0,9.80794,0.689159,0,0,0,1,0,1.5,500,0.003,0
0.072,1,0,0,0,9.80794,0.689159,0,0,0,1,0,1.5,500,0.003,0
0.072,1,0,0,0,9.80204,0.719043,0,0,0,1,0,1.5,500,0.003,0
0.075,1,0,0,0,9.80204,0.719043,0,0,0,1,0,1.5,500,0.003,0
0.075,1,0,0,0,9.79435,0.748917,0,0,0,1,0,1.5,500,0.003,0
0.078,1,0,0,0,9.79435,0.748917,0,0,0,1,0,1.5,500,0.003,0
0.078,1,0,0,0,9.78467,0.778781,0,0,0,1,0,1.5,500,0.003,0
0.081,1,0,0,0,9.78467,0.778781,0,0,0,1,0,1.5,500,0.003,0
0.081,1,0,0,0,9.77282,0.808634,0,0,0,1,0,1.5,500,0.003,0
0.084,1,0,0,0,9.77282,0.808634,0,0,0,1,0,1.5,500,0.003,0
0.084,1,0,0,0,9.75865,0.838475,0,0,0,1,0,1.5,500,0.003,0
0.087,1,0,0,0,9.75865,0.838475,0,0,0,1,0,1.5,500,0.003,0
0.087,1,0,0,0,9.74201,0.868305,0,0,0,1,0,1.5,500,0.003,0
0.09,1,0,0,0,9.74201,0.868305,0,0,0,1,0,1.5,500,0.003,0
0.09,1,0,0,0,9.7228,0.898122,0,0,0,1,0,1.5,500,0.003,0
0.093,1,0,0,0,9.7228,0.898122,0,0,0,1,0,1.5,500,0.003,0
0.093,1,0,0,0,9.7009,0.927927,0,0,0,1,0,1.5,500,0.003,0
