"Time","counter"
0.000000000000000E+00,1
5.000000000000000E-01,1
1.000000000000000E+00,2
1.500000000000000E+00,2
2.000000000000000E+00,3
2.500000000000000E+00,3
3.000000000000000E+00,4
3.500000000000000E+00,4
4.000000000000000E+00,5
4.500000000000000E+00,5
5.000000000000000E+00,6
5.500000000000000E+00,6
6.000000000000000E+00,7
6.500000000000000E+00,7
7.000000000000000E+00,8
7.500000000000000E+00,8
8.000000000000000E+00,9
8.500000000000000E+00,9
9.000000000000000E+00,10
9.500000000000000E+00,10
1.000000000000000E+01,11
1.050000000000000E+01,11
1.100000000000000E+01,12
1.150000000000000E+01,12
1.200000000000000E+01,13
