"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0.000912,4.93198E-05,1E-09,-9.84596E-09,-1.50459E-13,2.51196,9.9952,50
0.000928,5.05544E-05,1E-09,-9.84644E-09,-1.52428E-13,2.51221,9.99535,50
0.000944,5.20127E-05,1E-09,-9.84692E-09,-1.54725E-13,2.51251,9.99552,50
0.00096,5.36977E-05,1E-09,-9.84737E-09,-1.57351E-13,2.51283,9.99571,50
0.000976,5.56205E-05,1E-09,-9.8477E-09,-1.60306E-13,2.51319,9.99592,50
0.000992,5.77889E-05,1E-09,-9.84789E-09,-1.63588E-13,2.51365,9.99616,50
0.001008,5.91081E-05,1E-09,-9.84789E-09,-1.65558E-13,2.51396,9.9963,50
0.001024,6.06697E-05,1E-09,-9.84778E-09,-1.67856E-13,2.51437,9.99646,50
0.00104,6.24806E-05,1E-09,-9.84755E-09,-1.70482E-13,2.5149,9.99664,50
0.001056,6.45622E-05,1E-09,-9.84711E-09,-1.73436E-13,2.51557,9.99684,50
0.001072,6.6931E-05,1E-09,-9.84646E-09,-1.76718E-13,2.51642,9.99705,50
0.001088,6.83823E-05,1E-09,-9.846E-09,-1.78687E-13,2.51698,9.99718,50
0.001104,7.01113E-05,1E-09,-9.84538E-09,-1.80985E-13,2.5177,9.99732,50
0.00112,7.21273E-05,1E-09,-9.84463E-09,-1.8361E-13,2.51856,9.99748,50
0.001136,7.44557E-05,1E-09,-9.84372E-09,-1.86563E-13,2.51951,9.99765,50
0.001152,7.71062E-05,1E-09,-9.8427E-09,-1.89844E-13,2.5205,9.99784,50
0.001168,7.87255E-05,1E-09,-9.84209E-09,-1.91813E-13,2.52106,9.99795,50
0.001184,8.06442E-05,1E-09,-9.84141E-09,-1.94109E-13,2.52168,9.99808,50
0.0012,8.28659E-05,1E-09,-9.84066E-09,-1.96733E-13,2.52234,9.99822,50
0.001216,8.54051E-05,1E-09,-9.8399E-09,-1.99685E-13,2.523,9.99838,50
0.001232,8.8266E-05,1E-09,-9.83915E-09,-2.02965E-13,2.52366,9.99856,50
0.001248,9E-05,1E-09,-9.83876E-09,-2.04933E-13,2.52401,9.99867,50
0.001264,9.20401E-05,1E-09,-9.83837E-09,-2.07228E-13,2.5244,9.99879,50
0.00128,9.43897E-05,1E-09,-9.83801E-09,-2.09852E-13,2.52485,9.99892,50
0.001296,9.70613E-05,1E-09,-9.83769E-09,-2.12803E-13,2.52538,9.99907,50
0.001312,0.000100063,1E-09,-9.83748E-09,-2.16082E-13,2.526,9.99921,50
0.001328,0.00010188,1E-09,-9.83739E-09,-2.1805E-13,2.52638,9.99929,50
0.001344,0.000104019,1E-09,-9.83737E-09,-2.20345E-13,2.52683,9.99937,50
0.00136,0.000106484,1E-09,-9.83738E-09,-2.22969E-13,2.52737,9.99944,50
0.001376,0.000109289,1E-09,-9.83742E-09,-2.2592E-13,2.52799,9.99949,50
0.001392,0.000112442,1E-09,-9.83749E-09,-2.29199E-13,2.52872,9.9995,50
0.001408,0.000114353,1E-09,-9.83754E-09,-2.31166E-13,2.52917,9.99948,50
0.001424,0.000116604,1E-09,-9.83758E-09,-2.33462E-13,2.52972,9.99941,50
0.00144,0.0001192,1E-09,-9.83762E-09,-2.36085E-13,2.53039,9.99929,50
0.001456,0.000122158,1E-09,-9.8376E-09,-2.39037E-13,2.53117,9.99907,50
0.001472,0.000125489,1E-09,-9.83753E-09,-2.42316E-13,2.5321,9.99874,50
0.001488,0.00012751,1E-09,-9.83744E-09,-2.44283E-13,2.53268,9.99849,50
0.001504,0.000129895,1E-09,-9.83731E-09,-2.46579E-13,2.53339,9.99813,50
0.00152,0.000132648,1E-09,-9.83711E-09,-2.49202E-13,2.53423,9.99763,50
0.001536,0.00013579,1E-09,-9.83682E-09,-2.52153E-13,2.53519,9.99696,50
0.001552,0.000139328,1E-09,-9.83644E-09,-2.55432E-13,2.53612,9.99607,50
0.001568,0.00014147,1E-09,-9.8362E-09,-2.57399E-13,2.53659,9.99547,50
0.001584,0.000143986,1E-09,-9.83588E-09,-2.59694E-13,2.53704,9.99468,50
0.0016,0.000146876,1E-09,-9.83553E-09,-2.62317E-13,2.53745,9.9937,50
0.001616,0.000150144,1E-09,-9.83514E-09,-2.65268E-13,2.53774,9.99247,50
0.001632,0.000153784,1E-09,-9.83472E-09,-2.68546E-13,2.53787,9.99096,50
0.001648,0.000155969,1E-09,-9.83449E-09,-2.70513E-13,2.53786,9.98999,50
0.001664,0.000158515,1E-09,-9.83425E-09,-2.72807E-13,2.53773,9.98879,50
0.00168,0.00016142,1E-09,-9.834E-09,-2.7543E-13,2.53759,9.98735,50
0.001696,0.000164688,1E-09,-9.83377E-09,-2.7838E-13,2.53774,9.98564,50
0.001712,0.000168336,1E-09,-9.83359E-09,-2.81658E-13,2.53828,9.98366,50
0.001728,0.000170541,1E-09,-9.83352E-09,-2.83625E-13,2.5388,9.98243,50
0.001744,0.000173138,1E-09,-9.83348E-09,-2.85919E-13,2.53961,9.98099,50
0.00176,0.00017614,1E-09,-9.83346E-09,-2.88541E-13,2.54078,9.97931,50
0.001776,0.000179581,1E-09,-9.83349E-09,-2.91491E-13,2.54247,9.97743,50
0.001792,0.000183495,1E-09,-9.83356E-09,-2.94769E-13,2.5448,9.97536,50
0.001808,0.000185895,1E-09,-9.8336E-09,-2.96736E-13,2.54641,9.97414,50
0.001824,0.000188754,1E-09,-9.83367E-09,-2.9903E-13,2.54827,9.97275,50
0.00184,0.000192081,1E-09,-9.83375E-09,-3.01653E-13,2.55026,9.97122,50
0.001856,0.000195902,1E-09,-9.83381E-09,-3.04603E-13,2.55224,9.96959,50
0.001872,0.000200225,1E-09,-9.83387E-09,-3.07881E-13,2.55415,9.96792,50
0.001888,0.000202852,1E-09,-9.83389E-09,-3.09848E-13,2.55514,9.96699,50
0.001904,0.000205947,1E-09,-9.83388E-09,-3.12142E-13,2.55612,9.96599,50
0.00192,0.00020951,1E-09,-9.83384E-09,-3.14765E-13,2.55704,9.96496,50
0.001936,0.000213549,1E-09,-9.83378E-09,-3.17715E-13,2.55777,9.96396,50
0.001952,0.00021806,1E-09,-9.83365E-09,-3.20993E-13,2.55834,9.96305,50
0.001968,0.000220777,1E-09,-9.83355E-09,-3.22959E-13,2.5587,9.96261,50
0.001984,0.000223959,1E-09,-9.83343E-09,-3.25254E-13,2.55917,9.9622,50
0.002,0.000227611,1E-09,-9.83327E-09,-3.27876E-13,2.55977,9.96183,50
0.002016,0.000231744,1E-09,-9.83307E-09,-3.30826E-13,2.56054,9.96162,50
0.002032,0.000236369,1E-09,-9.83284E-09,-3.34104E-13,2.56149,9.96156,50
0.002048,0.000239161,1E-09,-9.83269E-09,-3.3607E-13,2.56212,9.96161,50
0.002064,0.00024244,1E-09,-9.83253E-09,-3.38364E-13,2.56291,9.96175,50
0.00208,0.00024621,1E-09,-9.83236E-09,-3.40986E-13,2.56387,9.962,50
0.002096,0.00025049,1E-09,-9.83217E-09,-3.43936E-13,2.56502,9.96239,50
0.002112,0.000255289,1E-09,-9.83198E-09,-3.47213E-13,2.56628,9.96292,50
0.002128,0.000258189,1E-09,-9.83187E-09,-3.4918E-13,2.56703,9.96328,50
0.002144,0.000261596,1E-09,-9.83176E-09,-3.51474E-13,2.56789,9.96374,50
0.00216,0.000265512,1E-09,-9.83164E-09,-3.54096E-13,2.56886,9.9643,50
0.002176,0.000269952,1E-09,-9.8315E-09,-3.57045E-13,2.56992,9.96495,50
0.002192,0.000274925,1E-09,-9.83137E-09,-3.60322E-13,2.57108,9.96569,50
0.002208,0.000277927,1E-09,-9.83127E-09,-3.62289E-13,2.57177,9.96614,50
0.002224,0.000281449,1E-09,-9.83117E-09,-3.64582E-13,2.57255,9.96665,50
0.00224,0.000285496,1E-09,-9.83103E-09,-3.67204E-13,2.57346,9.96723,50
0.002256,0.000290081,1E-09,-9.83086E-09,-3.70153E-13,2.5745,9.96785,50
0.002272,0.000295213,1E-09,-9.83065E-09,-3.7343E-13,2.57571,9.96852,50
0.002288,0.000298311,1E-09,-9.83049E-09,-3.75396E-13,2.57645,9.96891,50
0.002304,0.000301947,1E-09,-9.83031E-09,-3.7769E-13,2.57735,9.96934,50
0.00232,0.000306127,1E-09,-9.83009E-09,-3.80312E-13,2.57839,9.96982,50
0.002336,0.000310865,1E-09,-9.82981E-09,-3.83261E-13,2.5796,9.97033,50
0.002352,0.000316171,1E-09,-9.82948E-09,-3.86537E-13,2.58099,9.97089,50
0.002368,0.000319377,1E-09,-9.82928E-09,-3.88503E-13,2.58184,9.97121,50
0.002384,0.000323139,1E-09,-9.82904E-09,-3.90796E-13,2.58278,9.97159,50
0.0024,0.000327462,1E-09,-9.82878E-09,-3.93417E-13,2.58382,9.97202,50
0.002416,0.000332358,1E-09,-9.8285E-09,-3.96366E-13,2.5849,9.9725,50
0.002432,0.000337832,1E-09,-9.82823E-09,-3.99642E-13,2.58601,9.97306,50
0.002448,0.000341132,1E-09,-9.82808E-09,-4.01608E-13,2.58664,9.9734,50
0.002464,0.000344999,1E-09,-9.82796E-09,-4.03901E-13,2.58731,9.97381,50
0.00248,0.000349433,1E-09,-9.82785E-09,-4.06522E-13,2.58802,9.97429,50
0.002496,0.000354443,1E-09,-9.82781E-09,-4.0947E-13,2.58874,9.97485,50
0.002512,0.000360033,1E-09,-9.82783E-09,-4.12746E-13,2.58962,9.9755,50
0.002528,0.000363402,1E-09,-9.82789E-09,-4.14712E-13,2.59033,9.9759,50
0.002544,0.000367354,1E-09,-9.82803E-09,-4.17005E-13,2.59135,9.97638,50
0.00256,0.000371898,1E-09,-9.82824E-09,-4.19626E-13,2.59276,9.97694,50
0.002576,0.000377059,1E-09,-9.82857E-09,-4.22574E-13,2.59467,9.97758,50
0.002592,0.000382862,1E-09,-9.82904E-09,-4.2585E-13,2.59722,9.97829,50
0.002608,0.000386382,1E-09,-9.82936E-09,-4.27816E-13,2.59897,9.97872,50
0.002624,0.000390535,1E-09,-9.82979E-09,-4.3011E-13,2.60123,9.97922,50
0.00264,0.000395336,1E-09,-9.83033E-09,-4.32731E-13,2.60408,9.97979,50
0.002656,0.000400824,1E-09,-9.83101E-09,-4.3568E-13,2.60737,9.98041,50
0.002672,0.000407014,1E-09,-9.83183E-09,-4.38958E-13,2.61072,9.98108,50
0.002688,0.00041077,1E-09,-9.83235E-09,-4.40924E-13,2.61258,9.98146,50
0.002704,0.000415193,1E-09,-9.83298E-09,-4.43218E-13,2.61456,9.9819,50
0.00272,0.000420287,1E-09,-9.83371E-09,-4.45841E-13,2.61664,9.98237,50
0.002736,0.000426072,1E-09,-9.83455E-09,-4.48791E-13,2.61866,9.98288,50
0.002752,0.00043255,1E-09,-9.8355E-09,-4.52069E-13,2.62055,9.98341,50
0.002768,0.000436459,1E-09,-9.83606E-09,-4.54036E-13,2.6215,9.98371,50
0.002784,0.000441038,1E-09,-9.83669E-09,-4.56332E-13,2.62243,9.98405,50
