Time,heatCapacitor_T,switch_Controll,
0,2.68208e-310,10,
0.001,20.01,0,
0.002,20.02,0,
0.003,20.03,0,
0.004,20.04,0,
0.005,20.05,0,
0.006,20.06,0,
0.007,20.07,0,
0.008,20.0799,0,
0.009,20.0899,0,
0.01,20.0999,0,
0.011,20.1099,0,
0.012,20.1199,0,
0.013,20.1299,0,
0.014,20.1399,0,
0.015,20.1498,0,
0.016,20.1598,0,
0.017,20.1698,0,
0.018,20.1798,0,
0.019,20.1897,0,
0.02,20.1997,0,
0.021,20.2097,0,
0.022,20.2196,0,
0.023,20.2296,0,
0.024,20.2396,0,
0.025,20.2495,0,
0.026,20.2595,0,
0.027,20.2695,0,
0.028,20.2794,0,
0.029,20.2894,0,
0.03,20.2994,0,
0.031,20.3093,0,
0.032,20.3193,0,
0.033,20.3292,0,
0.034,20.3392,0,
0.035,20.3491,0,
0.036,20.3591,0,
0.037,20.369,0,
0.038,20.379,0,
0.039,20.3889,0,
0.04,20.3989,0,
0.041,20.4088,0,
0.042,20.4187,0,
0.043,20.4287,0,
0.044,20.4386,0,
0.045,20.4486,0,
0.046,20.4585,0,
0.047,20.4684,0,
0.048,20.4784,0,
0.049,20.4883,0,
0.05,20.4982,0,
0.051,20.5082,0,
0.052,20.5181,0,
0.053,20.528,0,
0.054,20.5379,0,
0.055,20.5479,0,
0.056,20.5578,0,
0.057,20.5677,0,
0.058,20.5776,0,
0.059,20.5875,0,
0.06,20.5975,0,
0.061,20.6074,0,
0.062,20.6173,0,
0.063,20.6272,0,
0.064,20.6371,0,
0.065,20.647,0,
0.066,20.6569,0,
0.067,20.6668,0,
0.068,20.6767,0,
0.069,20.6867,0,
0.07,20.6966,0,
0.071,20.7065,0,
0.072,20.7164,0,
0.073,20.7263,0,
0.074,20.7362,0,
0.075,20.7461,0,
0.076,20.7559,0,
0.077,20.7658,0,
0.078,20.7757,0,
0.079,20.7856,0,
0.08,20.7955,0,
0.081,20.8054,0,
0.082,20.8153,0,
0.083,20.8252,0,
0.084,20.8351,0,
0.085,20.8449,0,
0.086,20.8548,0,
0.087,20.8647,0,
0.088,20.8746,0,
0.089,20.8845,0,
0.09,20.8943,0,
0.091,20.9042,0,
0.092,20.9141,0,
0.093,20.924,0,
0.094,20.9338,0,
0.095,20.9437,0,
0.096,20.9536,0,
0.097,20.9634,0,
0.098,20.9733,0,
0.099,20.9832,0,
0.1,20.993,0,
0.101,21.0029,0,
0.102,21.0127,0,
0.103,21.0226,0,
0.104,21.0325,0,
0.105,21.0423,0,
0.106,21.0522,0,
0.107,21.062,0,
0.108,21.0719,0,
0.109,21.0817,0,
0.11,21.0916,0,
0.111,21.1014,0,
0.112,21.1113,0,
0.113,21.1211,0,
0.114,21.131,0,
0.115,21.1408,0,
0.116,21.1506,0,
0.117,21.1605,0,
0.118,21.1703,0,
0.119,21.1802,0,
0.12,21.19,0,
0.121,21.1998,0,
0.122,21.2097,0,
0.123,21.2195,0,
0.124,21.2293,0,
0.125,21.2392,0,
0.126,21.249,0,
0.127,21.2588,0,
0.128,21.2686,0,
0.129,21.2785,0,
0.13,21.2883,0,
0.131,21.2981,0,
0.132,21.3079,0,
0.133,21.3177,0,
0.134,21.3276,0,
0.135,21.3374,0,
0.136,21.3472,0,
0.137,21.357,0,
0.138,21.3668,0,
0.139,21.3766,0,
0.14,21.3864,0,
0.141,21.3962,0,
0.142,21.406,0,
0.143,21.4159,0,
0.144,21.4257,0,
0.145,21.4355,0,
0.146,21.4453,0,
0.147,21.4551,0,
0.148,21.4649,0,
0.149,21.4747,0,
0.15,21.4845,0,
0.151,21.4942,0,
0.152,21.504,0,
