"time",	"outputs[1]",	"outputs[2]",	"outputs[3]",	"outputs[4]"
0,	10,	0,	0,	0
0.0002,	9.998008,	0.002,	0,	0
0.0004,	9.996028,	0.004,	0,	0
0.0006,	9.994062,	0.006,	0,	0
0.0008,	9.992108,	0.008,	0,	0
0.001,	9.990167,	0.01,	0,	0
0.0012,	9.988239,	0.012,	0,	0
0.0014,	9.986322,	0.014,	0,	0
0.0016,	9.984418,	0.016,	0,	0
0.0018,	9.982528,	0.018,	0,	0
0.002,	9.980649,	0.02,	0,	0
0.0022,	9.978784,	0.022,	0,	0
0.0024,	9.97693,	0.024,	0,	0
0.0026,	9.975089,	0.026,	0,	0
0.0028,	9.973261,	0.028,	0,	0
0.003,	9.971445,	0.03,	0,	0
0.0032,	9.969641,	0.032,	0,	0
0.0034,	9.96785,	0.034,	0,	0
0.0036,	9.966071,	0.036,	0,	0
0.0038,	9.964305,	0.038,	0,	0
0.004,	9.962552,	0.04,	0,	0
0.0042,	9.960811,	0.042,	0,	0
0.0044,	9.959083,	0.044,	0,	0
0.0046,	9.957367,	0.046,	0,	0
0.0048,	9.955663,	0.048,	0,	0
0.005,	9.953972,	0.05,	0,	0
0.0052,	9.952295,	0.052,	0,	0
0.0054,	9.95063,	0.054,	0,	0
0.0056,	9.948977,	0.056,	0,	0
0.0058,	9.947336,	0.058,	0,	0
0.006,	9.945707,	0.06,	0,	0
0.0062,	9.94409,	0.062,	0,	0
0.0064,	9.942484,	0.063999,	0,	0
0.0066,	9.940889,	0.065999,	0,	0
0.0068,	9.939307,	0.067999,	0,	0
0.007,	9.937738,	0.069999,	0,	0
0.0072,	9.93618,	0.071999,	0,	0
0.0074,	9.934635,	0.073999,	0,	0
0.0076,	9.933102,	0.075999,	0,	0
0.0078,	9.931581,	0.077999,	0,	0
0.008,	9.930072,	0.079999,	0,	0
0.0082,	9.928576,	0.081999,	0,	0
0.0084,	9.927091,	0.083999,	0,	0
0.0086,	9.925619,	0.085999,	0,	0
0.0088,	9.924159,	0.087999,	0,	0
0.009,	9.922711,	0.089998,	0,	0
0.0092,	9.921275,	0.091998,	0,	0
0.0094,	9.919852,	0.093998,	0,	0
0.0096,	9.91844,	0.095998,	0,	0
0.0098,	9.91704,	0.097998,	0,	0
0.01,	9.915652,	0.099998,	0,	0
0.0102,	9.914276,	0.101998,	0,	0
0.0104,	9.912912,	0.103998,	0,	0
0.0106,	9.91156,	0.105997,	0,	0
0.0108,	9.91022,	0.107997,	0,	0
0.011,	9.908892,	0.109997,	0,	0
0.0112,	9.907576,	0.111997,	0,	0
0.0114,	9.906271,	0.113997,	0,	0
0.0116,	9.904978,	0.115997,	0,	0
0.0118,	9.903697,	0.117996,	0,	0
0.012,	9.902428,	0.119996,	0,	0
0.0122,	9.90117,	0.121996,	0,	0
0.0124,	9.899924,	0.123996,	0,	0
0.0126,	9.898689,	0.125995,	0,	0
0.0128,	9.897467,	0.127995,	0,	0
0.013,	9.896255,	0.129995,	0,	0
0.0132,	9.895056,	0.131995,	0,	0
0.0134,	9.893867,	0.133995,	0,	0
0.0136,	9.892691,	0.135994,	0,	0
0.0138,	9.891526,	0.137994,	0,	0
0.014,	9.890372,	0.139994,	0,	0
0.0142,	9.889229,	0.141993,	0,	0
0.0144,	9.888098,	0.143993,	0,	0
0.0146,	9.886978,	0.145993,	0,	0
0.0148,	9.88587,	0.147993,	0,	0
0.015,	9.884772,	0.149992,	0,	0
0.0152,	9.883686,	0.151992,	0,	0
0.0154,	9.882611,	0.153992,	0,	0
0.0156,	9.881548,	0.155991,	0,	0
0.0158,	9.880495,	0.157991,	0,	0
0.016,	9.879453,	0.15999,	0,	0
0.0162,	9.878423,	0.16199,	0,	0
0.0164,	9.877403,	0.16399,	0,	0
0.0166,	9.876394,	0.165989,	0,	0
0.0168,	9.875397,	0.167989,	0,	0
0.017,	9.87441,	0.169988,	0,	0
0.0172,	9.873434,	0.171988,	0,	0
0.0174,	9.872468,	0.173988,	0,	0
0.0176,	9.871514,	0.175987,	0,	0
0.0178,	9.87057,	0.177987,	0,	0
0.018,	9.869637,	0.179986,	0,	0
0.0182,	9.868714,	0.181986,	0,	0
0.0184,	9.867802,	0.183985,	0,	0
0.0186,	9.866901,	0.185985,	0,	0
0.0188,	9.86601,	0.187984,	0,	0
0.019,	9.865129,	0.189984,	0,	0
0.0192,	9.864259,	0.191983,	0,	0
0.0194,	9.863399,	0.193983,	0,	0
0.0196,	9.86255,	0.195982,	0,	0
0.0198,	9.861711,	0.197981,	0,	0
0.02,	9.860882,	0.199981,	0,	0
0.0202,	9.860063,	0.20198,	0,	0
0.0204,	9.859254,	0.20398,	0,	0
0.0206,	9.858456,	0.205979,	0,	0
0.0208,	9.857667,	0.207978,	0,	0
0.021,	9.856889,	0.209978,	0,	0
0.0212,	9.85612,	0.211977,	0,	0
0.0214,	9.855362,	0.213976,	0,	0
0.0216,	9.854613,	0.215976,	0,	0
0.0218,	9.853874,	0.217975,	0,	0
0.022,	9.853144,	0.219974,	0,	0
0.0222,	9.852425,	0.221974,	0,	0
0.0224,	9.851715,	0.223973,	0,	0
0.0226,	9.851015,	0.225972,	0,	0
0.0228,	9.850324,	0.227971,	0,	0
0.023,	9.849642,	0.229971,	0,	0
0.0232,	9.848971,	0.23197,	0,	0
0.0234,	9.848308,	0.233969,	0,	0
0.0236,	9.847655,	0.235968,	0,	0
0.0238,	9.847011,	0.237967,	0,	0
0.024,	9.846376,	0.239966,	0,	0
