"Time","Speed_SWC_output_data"
0.01,0.01998
0.02,0.03992
0.03,0.05982
0.04,0.07968
0.05,0.0995
0.06,0.11928
0.07,0.13902
0.08,0.15872
0.09,0.17838
0.1,0.198
0.11,0.21758
0.12,0.23712
0.13,0.25662
0.14,0.27608
0.15,0.2955
0.16,0.31488
0.17,0.33422
0.18,0.35352
0.19,0.37278
0.2,0.392
0.21,0.41118
0.22,0.43032
0.23,0.44942
0.24,0.46848
0.25,0.4875
0.26,0.50648
0.27,0.52542
0.28,0.54432
0.29,0.56318
0.3,0.582
0.31,0.60078
0.32,0.61952
0.33,0.63822
0.34,0.65688
0.35,0.6755
0.36,0.69408
0.37,0.71262
0.38,0.73112
0.39,0.74958
0.4,0.768
