"time","yRising","yFalling","yEither"
0,0,0,0
0.2,0,0,0
0.4,0,0,0
0.5,0,0,0
0.5,-0.7568,0,-0.7568
0.7,-0.7568,0,-0.7568
0.9,-0.7568,0,-0.7568
1,-0.7568,0,-0.7568
1,-0.7568,0.98936,0.98936
1.2,-0.7568,0.98936,0.98936
1.4,-0.7568,0.98936,0.98936
1.5,-0.7568,0.98936,0.98936
1.5,-0.53657,0.98936,-0.53657
1.7,-0.53657,0.98936,-0.53657
1.9,-0.53657,0.98936,-0.53657
2,-0.53657,0.98936,-0.53657
2,-0.53657,-0.2879,-0.2879
2.2,-0.53657,-0.2879,-0.2879
2.4,-0.53657,-0.2879,-0.2879
2.5,-0.53657,-0.2879,-0.2879
2.5,0.91295,-0.2879,0.91295
2.7,0.91295,-0.2879,0.91295
2.9,0.91295,-0.2879,0.91295
3,0.91295,-0.2879,0.91295
3,0.91295,-0.90558,-0.90558
3.2,0.91295,-0.90558,-0.90558
3.4,0.91295,-0.90558,-0.90558
3.5,0.91295,-0.90558,-0.90558
3.5,0.27091,-0.90558,0.27091
3.7,0.27091,-0.90558,0.27091
3.9,0.27091,-0.90558,0.27091
4,0.27091,-0.90558,0.27091
4,0.27091,0.55143,0.55143
4.2,0.27091,0.55143,0.55143
4.4,0.27091,0.55143,0.55143
4.5,0.27091,0.55143,0.55143
4.5,-0.99178,0.55143,-0.99178
4.7,-0.99178,0.55143,-0.99178
4.9,-0.99178,0.55143,-0.99178
5,-0.99178,0.55143,-0.99178
5,-0.99178,0.74511,0.74511
5.2,-0.99178,0.74511,0.74511
5.4,-0.99178,0.74511,0.74511
5.5,-0.99178,0.74511,0.74511
5.5,0.017702,0.74511,0.017702
5.7,0.017702,0.74511,0.017702
5.9,0.017702,0.74511,0.017702
6,0.017702,0.74511,0.017702
6,0.017702,-0.76825,-0.76825
6.2,0.017702,-0.76825,-0.76825
6.4,0.017702,-0.76825,-0.76825
6.5,0.017702,-0.76825,-0.76825
6.5,0.98663,-0.76825,0.98663
6.7,0.98663,-0.76825,0.98663
6.9,0.98663,-0.76825,0.98663
7,0.98663,-0.76825,0.98663
7,0.98663,-0.52155,-0.52155
7.2,0.98663,-0.52155,-0.52155
7.4,0.98663,-0.52155,-0.52155
7.5,0.98663,-0.52155,-0.52155
7.5,-0.30481,-0.52155,-0.30481
7.7,-0.30481,-0.52155,-0.30481
7.9,-0.30481,-0.52155,-0.30481
8,-0.30481,-0.52155,-0.30481
8,-0.30481,0.92003,0.92003
8.2,-0.30481,0.92003,0.92003
8.4,-0.30481,0.92003,0.92003
8.5,-0.30481,0.92003,0.92003
8.5,-0.89793,0.92003,-0.89793
8.7,-0.89793,0.92003,-0.89793
8.9,-0.89793,0.92003,-0.89793
9,-0.89793,0.92003,-0.89793
9,-0.89793,0.25382,0.25382
9.2,-0.89793,0.25382,0.25382
9.4,-0.89793,0.25382,0.25382
9.5,-0.89793,0.25382,0.25382
9.5,0.56611,0.25382,0.56611
9.7,0.56611,0.25382,0.56611
9.9,0.56611,0.25382,0.56611
10,0.56611,0.25382,0.56611
10,0.56611,-0.99389,-0.99389
