Time,y_multiSwitch,y_triggeredAdd,y_product,y_sum
0.0,4.0,0.0,0.0,1.0
0.02,4.0,0.0,0.0,1.0
0.04,4.0,0.0,0.0,1.0
0.06,4.0,0.0,0.0,1.0
0.08,4.0,0.0,0.0,1.0
0.1,4.0,0.0,0.0,1.0
0.12,4.0,0.0,0.0,1.0
0.14,4.0,0.0,0.0,1.0
0.16,4.0,0.0,0.0,1.0
0.18,4.0,0.0,0.0,1.0
0.2,4.0,0.0,0.0,1.0
0.22,4.0,0.0,0.0,1.0
0.24,4.0,0.0,0.0,1.0
0.26,4.0,0.0,0.0,1.0
0.28,4.0,0.0,0.0,2.0
0.3,4.0,0.0,0.0,2.0
0.32,4.0,0.0,0.0,2.0
0.34,4.0,0.0,0.0,2.0
0.36,4.0,0.0,0.0,2.0
0.38,4.0,0.0,0.0,2.0
0.4,4.0,0.0,0.0,2.0
0.42,4.0,0.0,0.0,2.0
0.44,4.0,0.0,0.0,2.0
0.46,4.0,0.0,0.0,2.0
0.48,4.0,0.0,0.0,2.0
0.5,6.0,0.0,0.0,2.0
0.52,6.0,0.0,0.0,2.0
0.54,6.0,0.0,0.0,2.0
0.56,6.0,0.0,0.0,2.0
0.58,6.0,0.0,0.0,2.0
0.6,6.0,0.0,0.0,2.0
0.62,6.0,0.0,0.0,2.0
0.64,6.0,0.0,0.0,2.0
0.66,6.0,0.0,0.0,2.0
0.68,6.0,0.0,0.0,2.0
0.7,6.0,0.0,0.0,2.0
0.72,6.0,0.0,0.0,2.0
0.74,6.0,0.0,0.0,2.0
0.76,6.0,0.0,0.0,2.0
0.78,6.0,0.0,0.0,2.0
0.8,6.0,0.0,0.0,2.0
0.82,6.0,0.0,0.0,2.0
0.84,6.0,0.0,0.0,3.0
0.86,6.0,0.0,0.0,3.0
0.88,6.0,0.0,0.0,3.0
0.9,6.0,0.0,0.0,3.0
0.92,6.0,0.0,0.0,3.0
0.94,6.0,0.0,0.0,3.0
0.96,6.0,0.0,0.0,3.0
0.98,6.0,0.0,0.0,3.0
1.0,4.0,1.0,0.0,3.0
1.02,4.0,1.0,0.0,3.0
1.04,4.0,1.0,0.0,3.0
1.06,4.0,1.0,0.0,3.0
1.08,4.0,1.0,0.0,3.0
1.1,4.0,1.0,0.0,3.0
1.12,4.0,1.0,0.0,3.0
1.14,4.0,1.0,0.0,3.0
1.16,4.0,1.0,0.0,3.0
1.18,4.0,1.0,0.0,3.0
1.2,4.0,1.0,0.0,3.0
1.22,4.0,1.0,0.0,3.0
1.24,4.0,1.0,0.0,3.0
1.26,4.0,1.0,0.0,3.0
1.28,4.0,1.0,0.0,3.0
1.3,4.0,1.0,0.0,3.0
1.32,4.0,1.0,0.0,3.0
1.34,4.0,1.0,0.0,3.0
1.36,4.0,1.0,0.0,3.0
1.38,4.0,1.0,0.0,3.0
1.4,4.0,1.0,0.0,3.0
1.42,4.0,1.0,0.0,3.0
1.44,4.0,1.0,0.0,3.0
1.46,4.0,1.0,0.0,3.0
1.48,4.0,1.0,0.0,3.0
1.5,6.0,1.0,0.0,3.0
1.52,6.0,1.0,0.0,3.0
1.54,6.0,1.0,0.0,3.0
1.56,6.0,1.0,0.0,3.0
1.58,6.0,1.0,0.0,4.0
1.6,2.0,1.0,0.0,4.0
1.62,2.0,1.0,0.0,4.0
1.64,2.0,1.0,0.0,4.0
1.66,2.0,1.0,0.0,4.0
1.68,2.0,1.0,0.0,4.0
1.7,2.0,1.0,0.0,4.0
1.72,2.0,1.0,0.0,4.0
1.74,2.0,1.0,0.0,4.0
1.76,2.0,1.0,0.0,4.0
1.78,2.0,1.0,0.0,4.0
1.8,2.0,1.0,0.0,4.0
1.82,2.0,1.0,0.0,4.0
1.84,2.0,1.0,0.0,4.0
1.86,2.0,1.0,0.0,4.0
1.88,2.0,1.0,0.0,4.0
1.9,2.0,1.0,0.0,4.0
1.92,2.0,1.0,5.0,5.0
1.94,2.0,1.0,5.0,5.0
1.96,2.0,1.0,12.0,6.0
1.98,2.0,1.0,12.0,6.0
2.0,4.0,2.0,21.0,7.0
2.02,4.0,2.0,21.0,7.0
2.04,4.0,2.0,21.0,7.0
2.06,4.0,2.0,21.0,7.0
2.08,4.0,2.0,21.0,7.0
2.1,4.0,2.0,21.0,7.0
2.12,4.0,2.0,21.0,7.0
2.14,4.0,2.0,21.0,7.0
2.16,4.0,2.0,21.0,7.0
2.18,4.0,2.0,21.0,7.0
2.2,4.0,2.0,21.0,7.0
2.22,4.0,2.0,21.0,7.0
