"time","driveAngle","spring_w_0rel","PI_I_y","inertia1_phi","spring_phi_0rel","integrator_y","inertia1_w"
0,1.57,0,-0.1,0,0.001,0,0
0.008,1.57,0,-0.1,0,0.001,0,0
0.016,1.57,0,-0.1,0,0.001,0,0
0.024,1.57,0,-0.1,0,0.001,0,0
0.032,1.57,0,-0.1,0,0.001,0,0
0.04,1.57,0,-0.1,0,0.001,0,0
0.048,1.57,0,-0.1,0,0.001,0,0
0.056,1.57,0,-0.1,0,0.001,0,0
0.064,1.57,0,-0.1,0,0.001,0,0
0.072,1.57,0,-0.1,0,0.001,0,0
0.08,1.57,0,-0.1,0,0.001,0,0
0.088,1.57,0,-0.1,0,0.001,0,0
0.096,1.57,0,-0.1,0,0.001,0,0
0.104,1.57,0,-0.1,0,0.001,0,0
0.112,1.57,0,-0.1,0,0.001,0,0
0.12,1.57,0,-0.1,0,0.001,0,0
0.128,1.57,0,-0.1,0,0.001,0,0
0.136,1.57,0,-0.1,0,0.001,0,0
0.144,1.57,0,-0.1,0,0.001,0,0
0.152,1.57,0,-0.1,0,0.001,0,0
0.16,1.57,0,-0.1,0,0.001,0,0
0.168,1.57,0,-0.1,0,0.001,0,0
0.176,1.57,0,-0.1,0,0.001,0,0
0.184,1.57,0,-0.1,0,0.001,0,0
0.192,1.57,0,-0.1,0,0.001,0,0
0.2,1.57,0,-0.1,0,0.001,0,0
0.208,1.57,0,-0.1,0,0.001,0,0
0.216,1.57,0,-0.1,0,0.001,0,0
0.224,1.57,0,-0.1,0,0.001,0,0
0.232,1.57,0,-0.1,0,0.001,0,0
0.24,1.57,0,-0.1,0,0.001,0,0
0.248,1.57,0,-0.1,0,0.001,0,0
0.256,1.57,0,-0.1,0,0.001,0,0
0.264,1.57,0,-0.1,0,0.001,0,0
0.272,1.57,0,-0.1,0,0.001,0,0
0.28,1.57,0,-0.1,0,0.001,0,0
0.288,1.57,0,-0.1,0,0.001,0,0
0.296,1.57,0,-0.1,0,0.001,0,0
0.304,1.57,0,-0.1,0,0.001,0,0
0.312,1.57,0,-0.1,0,0.001,0,0
0.32,1.57,0,-0.1,0,0.001,0,0
0.328,1.57,0,-0.1,0,0.001,0,0
0.336,1.57,0,-0.1,0,0.001,0,0
0.344,1.57,0,-0.1,0,0.001,0,0
0.352,1.57,0,-0.1,0,0.001,0,0
0.36,1.57,0,-0.1,0,0.001,0,0
0.368,1.57,0,-0.1,0,0.001,0,0
0.376,1.57,0,-0.1,0,0.001,0,0
0.384,1.57,0,-0.1,0,0.001,0,0
0.392,1.57,0,-0.1,0,0.001,0,0
0.4,1.57,0,-0.1,0,0.001,0,0
0.408,1.57,0,-0.1,0,0.001,0,0
0.416,1.57,0,-0.1,0,0.001,0,0
0.424,1.57,0,-0.1,0,0.001,0,0
0.432,1.57,0,-0.1,0,0.001,0,0
0.44,1.57,0,-0.1,0,0.001,0,0
0.448,1.57,0,-0.1,0,0.001,0,0
0.456,1.57,0,-0.1,0,0.001,0,0
0.464,1.57,0,-0.1,0,0.001,0,0
0.472,1.57,0,-0.1,0,0.001,0,0
0.48,1.57,0,-0.1,0,0.001,0,0
0.488,1.57,0,-0.1,0,0.001,0,0
0.496,1.57,0,-0.1,0,0.001,0,0
0.5,1.57,0,-0.1,0,0.001,0,0
0.5,1.57,0,-0.1,0,0.001,0,0
0.504,1.57,-0.000553557,-0.09993,9.96058e-007,0.000999082,0.004,0.000606293
0.512,1.57,-0.00275642,-0.0994563,1.76289e-005,0.000985822,0.012,0.00372904
0.52,1.57,-0.00420576,-0.0986316,6.31609e-005,0.000957784,0.02,0.00769668
0.528,1.57,-0.00461394,-0.0975142,0.000143418,0.000923532,0.028,0.0122174
0.536,1.57,-0.00434049,-0.0961505,0.000263047,0.000888967,0.036,0.017439
0.544,1.57,-0.00370268,-0.0945945,0.000427454,0.000857434,0.044,0.0234431
0.552,1.57,-0.00297076,-0.0929112,0.00064312,0.000831032,0.052,0.0302386
0.56,1.57,-0.00228375,-0.0911599,0.000915986,0.00081007,0.06,0.0377465
0.568,1.57,-0.00169102,-0.0893846,0.00125046,0.000794162,0.068,0.045863
0.576,1.57,-0.00121489,-0.0876332,0.00165132,0.000782566,0.076,0.0544472
0.584,1.57,-0.000842561,-0.08594,0.002122,0.000774419,0.084,0.0633651
0.592,1.57,-0.000550088,-0.0843249,0.00266449,0.000768993,0.092,0.0725141
0.6,1.57,-0.000323814,-0.082805,0.0032805,0.000765687,0.1,0.081806
0.608,1.57,-0.000150851,-0.0813958,0.00397158,0.000763933,0.108,0.0911588
0.616,1.57,-1.98557e-005,-0.080094,0.0047374,0.000763456,0.116,0.100543
0.624,1.57,8.1063e-005,-0.0789073,0.00557873,0.00076381,0.124,0.109898
0.632,1.57,0.000154591,-0.0778274,0.00649474,0.000764879,0.132,0.119219
0.64,1.57,0.00020795,-0.0768534,0.00748534,0.000766398,0.14,0.128475
0.648,1.57,0.000243299,-0.0759775,0.00854976,0.000768265,0.148,0.137663
0.656,1.57,0.000264977,-0.075195,0.0096875,0.000770325,0.156,0.146771
