"time","Output"
0.0000000000000000E+000,0.0000000000000000E+000
2.0000000000000001E-004,0.0000000000000000E+000
4.0000000000000002E-004,3.8254659599515692E-009
6.0000000000000006E-004,1.5437243015863566E-008
8.0000000000000015E-004,3.5647016922243755E-008
1.0000000000000002E-003,6.4168408073442713E-008
1.2000000000000003E-003,1.0039546866369466E-007
1.4000000000000004E-003,1.4368699009885425E-007
1.6000000000000005E-003,1.9346039028315189E-007
1.8000000000000006E-003,2.4921375810055697E-007
2.0000000000000005E-003,3.1052224177807825E-007
2.2000000000000001E-003,3.7702660782614385E-007
2.4999999999999996E-003,4.8586731453758639E-007
2.6999999999999993E-003,5.6411029815157359E-007
2.8999999999999989E-003,6.4663944236191220E-007
3.0999999999999986E-003,7.3325662537921657E-007
3.2999999999999982E-003,8.2377955479511089E-007
3.4999999999999979E-003,9.1803761928467467E-007
3.6999999999999976E-003,1.0158687226561430E-006
3.8999999999999972E-003,1.1171168958533536E-006
4.0999999999999977E-003,1.2216305186882408E-006
4.2999999999999983E-003,1.3292610155028755E-006
4.4999999999999988E-003,1.4398619165188489E-006
4.6999999999999993E-003,1.5532881993761371E-006
4.8999999999999998E-003,1.6693958437943531E-006
5.0000000000000001E-003,1.7284103716221324E-006
5.2000000000000006E-003,1.8482715424476011E-006
5.4000000000000012E-003,1.9704568289035865E-006
5.6000000000000017E-003,2.0948241906454680E-006
5.8000000000000022E-003,2.2212320669531307E-006
6.0000000000000027E-003,2.3495394295177560E-006
6.2000000000000033E-003,2.4796058615128508E-006
6.4000000000000038E-003,2.6112916536414504E-006
6.6000000000000043E-003,2.7444579101695029E-006
6.8000000000000048E-003,2.8789666597428400E-006
7.0000000000000053E-003,3.0146809671599514E-006
7.2000000000000059E-003,3.1514650433275190E-006
7.4000000000000064E-003,3.2891843514324479E-006
7.6000000000000069E-003,3.4277057079790560E-006
7.8000000000000074E-003,3.5668973778068436E-006
8.0000000000000071E-003,3.7066291625565429E-006
8.2000000000000059E-003,3.8467724823163025E-006
8.4000000000000047E-003,3.9872004503760321E-006
8.6000000000000035E-003,4.1277879411619102E-006
8.8000000000000023E-003,4.2684116515269431E-006
9.0000000000000011E-003,4.4089501556465904E-006
9.2999999999999992E-003,4.6193372818932496E-006
9.4999999999999980E-003,4.7591442771545550E-006
9.6999999999999968E-003,4.8984565131597664E-006
9.8999999999999956E-003,5.0371615358526341E-006
1.0099999999999994E-002,5.1751489706332369E-006
1.0299999999999993E-002,5.3123105438147540E-006
1.0499999999999992E-002,5.4485401002391341E-006
1.0699999999999991E-002,5.5837336173752566E-006
1.0899999999999990E-002,5.7177892162083129E-006
1.1099999999999988E-002,5.8506071692131156E-006
1.1299999999999987E-002,5.9820899056875951E-006
1.1499999999999986E-002,6.1121420147060092E-006
1.1699999999999985E-002,6.2406702459347972E-006
1.1899999999999984E-002,6.3675835085376632E-006
1.2099999999999982E-002,6.4927928683805557E-006
1.2299999999999981E-002,6.6162115437318707E-006
1.2499999999999980E-002,6.7377548996383749E-006
1.2699999999999979E-002,6.8573404411432926E-006
1.2899999999999977E-002,6.9748878054995856E-006
1.3099999999999976E-002,7.0903187535186953E-006
1.3299999999999975E-002,7.2035571601830891E-006
1.3499999999999974E-002,7.3145290046396418E-006
1.3699999999999973E-002,7.4231623596802825E-006
1.3899999999999971E-002,7.5293873808064616E-006
1.4099999999999970E-002,7.6331362949647531E-006
1.4299999999999969E-002,7.7343433890322876E-006
1.4499999999999968E-002,7.8329449981227621E-006
1.4699999999999967E-002,7.9288794937763782E-006
1.4899999999999965E-002,8.0220872720902338E-006
1.5099999999999964E-002,8.1125107418393916E-006
1.5299999999999963E-002,8.2000943126331675E-006
1.5499999999999962E-002,8.2847843831457791E-006
1.5699999999999961E-002,8.3665293294557938E-006
1.5899999999999959E-002,8.4452794935243628E-006
1.6099999999999958E-002,8.5209871718383140E-006
1.6299999999999957E-002,8.5936066042405684E-006
1.6499999999999956E-002,8.6630939629671575E-006
1.6699999999999954E-002,8.7294073419072723E-006
1.6899999999999953E-002,8.7925067461002258E-006
1.7099999999999952E-002,8.8523540814810011E-006
1.7299999999999951E-002,8.9089131448841260E-006
1.7499999999999950E-002,8.9621496143139594E-006
1.7699999999999948E-002,9.0120310394880501E-006
1.7899999999999947E-002,9.0585268326591074E-006
1.8099999999999946E-002,9.1016596523353710E-006
1.8299999999999945E-002,9.1415680607658097E-006
1.8499999999999944E-002,9.1784404245069223E-006
1.8699999999999942E-002,9.2124751030428729E-006
1.8899999999999941E-002,9.2438642637508839E-006
1.9099999999999940E-002,9.2727869740483655E-006
1.9299999999999939E-002,9.2994060000886988E-006
1.9499999999999938E-002,9.3238661543485147E-006
1.9699999999999936E-002,9.3462933600800008E-006
1.9899999999999935E-002,9.3667941141393042E-006
2.0099999999999934E-002,9.3854552272620860E-006
2.0299999999999933E-002,9.4023437954779556E-006
2.0499999999999931E-002,9.4175073831790825E-006
2.0699999999999930E-002,9.4309744066648435E-006
2.0899999999999929E-002,9.4427547082108859E-006
2.1099999999999928E-002,9.4528403093490360E-006
2.1299999999999927E-002,9.4612063298788345E-006
2.1499999999999925E-002,9.4678120568870890E-006
2.1699999999999924E-002,9.4726021460345654E-006
2.1899999999999923E-002,9.4755079357141951E-006
2.2099999999999922E-002,9.4764488534539306E-006
2.2299999999999921E-002,9.4753338931543359E-006
2.2499999999999919E-002,9.4720631414193867E-006
2.2699999999999918E-002,9.4665293313466979E-006
2.2899999999999917E-002,9.4586194026667033E-006
2.3099999999999916E-002,9.4482160480253070E-006
2.3299999999999915E-002,9.4351992264498112E-006
