"time","axlePosition","speedVal2"
0,0,0
0.05,0,0
0.1,0,0
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
0.55,0,0
0.6,0,0
0.65,0,0
0.7,0,0
0.75,0,0
0.8,0,0
0.85,0,0
0.9,0,0
0.95,0,0
1,0,0
1.05,0,0
1.1,0,0
1.15,0,0
1.2,0,0
1.25,0,0
1.3,0,0
1.35,0,0
1.4,0,0
1.45,0,0
1.5,0,0
1.55,0,0
1.6,0,0
1.65,0,0
1.7,0,0
1.75,0,0
1.8,0,0
1.85,0,0
1.9,0,0
1.95,0,0
2,0,0
2.05,0,0
2.1,0,0
2.15,0,0
2.2,0,0
2.25,0,0
2.3,0,0
2.35,0,0
2.4,0,0
2.45,0,0
2.5,0,0
2.55,0,0
2.6,0,0
2.65,0,0
2.7,0,0
2.75,0,0
2.8,0,0
2.85,0,0
2.9,0,0
2.95,0,0
3,0,0
3.05,0,0
3.1,0,0
3.15,0,0
3.2,0,0
3.25,0,0
3.3,0,0
3.35,0,0
3.4,0,0
3.45,0,0
3.5,0,0
3.55,0,0
3.6,0,0
3.65,0,0
3.7,0,0
3.75,0,0
3.8,0,0
3.85,0,0
3.9,0,0
3.95,0,0
4,0,0
4.05,0,0
4.1,0,0
4.15,0,0
4.2,0,0
4.25,0,0
4.3,0,0
4.35,0,0
4.4,0,0
4.45,0,0
4.5,0,0
4.55,0,0
4.6,0,0
4.65,0,0
4.7,0,0
4.75,0,0
4.8,0,0
4.85,0,0
4.9,0,0
4.95,0,0
5,0,0
5.05,0,0
5.1,0,0
5.15,0,0
5.2,0,0
5.25,0,0
5.3,0,0
5.35,0,0
5.4,0,0
5.45,0,0
5.5,0,0
5.55,0,0
5.6,0,0
5.65,0,0
5.7,0,0
5.75,0,0
5.8,0,0
5.85,0,0
5.9,0,0
5.95,0,0
6,0,0
6.05,10,500
6.1,20,1000
6.15,30,1500
6.2,40,2000
6.25,50,2500
6.3,60,3000
6.35,70,3500
6.4,80,4000
6.45,80,4500
6.5,85,5000
6.55,90,5000
6.6,95,5000
6.65,100,5000
6.7,100,5000
6.75,95,5000
6.8,85,5000
6.85,75,5000
6.9,65,5000
6.95,55,5000
7,45,5000
7.05,35,5000
7.1,25,5000
7.15,25,4500
7.2,20,4000
7.25,15,3500
7.3,10,3000
7.35,5,2500
7.4,0,2000
7.45,0,1500
7.5,0,1000
7.55,0,500
7.6,0,0
7.65,0,0
7.7,0,0
7.75,0,0
7.8,0,0
7.85,0,0
7.9,0,0
7.95,0,0
8,0,0
8.05,0,0
8.1,0,0
8.15,0,0
8.2,0,0
8.25,0,0
8.3,0,0
8.35,0,0
8.4,0,0
8.45,0,0
8.5,0,0
8.55,0,0
8.6,0,0
8.65,0,0
8.7,0,0
8.75,0,0
8.8,0,0
8.85,0,0
8.9,0,0
8.95,0,0
9,0,0
9.05,0,0
9.1,0,0
9.15,0,0
9.2,0,0
9.25,0,0
9.3,0,0
9.35,0,0
9.4,0,0
9.45,0,0
9.5,0,0
9.55,0,0
9.6,0,0
9.65,0,0
9.7,0,0
9.75,0,0
9.8,0,0
9.85,0,0
9.9,0,0
9.95,0,0
10,0,0
10.05,0,0
10.1,0,0
10.15,10,500
10.2,20,1000
10.25,30,1500
10.3,40,2000
10.35,50,2500
10.4,60,3000
10.45,70,3500
10.5,80,4000
10.55,80,4500
10.6,85,5000
10.65,90,5000
10.7,95,5000
10.75,100,5000
10.8,100,5000
10.85,95,5000
10.9,85,5000
10.95,75,5000
11,65,5000
11.05,55,5000
11.1,45,5000
11.15,35,5000
11.2,25,5000
11.25,25,4500
11.3,20,4000
11.35,15,3500
11.4,10,3000
11.45,5,2500
11.5,0,2000
11.55,0,1500
11.6,0,1000
11.65,0,500
11.7,0,0
11.75,0,0
11.8,0,0
11.85,0,0
11.9,0,0
11.95,0,0
12,0,0
12.05,0,0
12.081,0,0
12.081,0,0
