Time,In1,Out1,
0,0.099833,1.58658e-317,
0.1,0.099833,0,
0.2,0.099833,0.0099833,
0.3,0.198669,0.0199666,
0.4,0.389418,0.0398335,
0.5,0.479426,0.0787753,
0.6,0.564642,0.126718,
0.7,0.644218,0.183182,
0.8,0.717356,0.247604,
0.9,0.783327,0.319339,
1,0.841471,0.397672,
1.1,0.891207,0.481819,
1.2,0.932039,0.57094,
1.3,0.963558,0.664144,
1.4,0.98545,0.7605,
1.5,0.997495,0.859045,
1.6,0.999574,0.958794,
1.7,0.991665,1.05875,
1.8,0.973848,1.15792,
1.9,0.9463,1.2553,
2,0.909297,1.34993,
2.1,0.863209,1.44086,
2.2,0.808496,1.52718,
2.3,0.808496,1.60803,
2.4,0.675463,1.68888,
2.5,0.598472,1.75643,
2.6,0.515501,1.81628,
2.7,0.42738,1.86783,
2.8,0.334988,1.91056,
2.9,0.239249,1.94406,
3,0.14112,1.96799,
3.1,0.041581,1.9821,
3.2,-0.058374,1.98626,
3.3,-0.157746,1.98042,
3.4,-0.255541,1.96465,
3.5,-0.350783,1.93909,
3.6,-0.44252,1.90401,
3.7,-0.529836,1.85976,
3.8,-0.611858,1.80678,
3.9,-0.687766,1.74559,
4,-0.756802,1.67682,
4.1,-0.818277,1.60114,
4.2,-0.871576,1.51931,
4.3,-0.916166,1.43215,
4.4,-0.951602,1.34053,
4.5,-0.97753,1.24537,
4.6,-0.993691,1.14762,
4.7,-0.999923,1.04825,
4.8,-0.996165,0.948259,
4.9,-0.982453,0.848643,
5,-0.958924,0.750397,
5.1,-0.925815,0.654505,
5.2,-0.883455,0.561923,
5.3,-0.832267,0.473578,
5.4,-0.772764,0.390351,
5.5,-0.70554,0.313075,
5.6,-0.631267,0.242521,
5.7,-0.550686,0.179394,
5.8,-0.464602,0.124325,
5.9,-0.373877,0.0778652,
6,-0.279415,0.0404775,
6.1,-0.182163,0.012536,
6.2,-0.083089,-0.0056803,
6.3,0.016814,-0.0139892,
6.4,0.116549,-0.0123078,
6.5,0.21512,-0.0006529,
6.6,0.311541,0.0208591,
6.7,0.40485,0.0520132,
6.8,0.494113,0.0924982,
6.9,0.57844,0.14191,
7,0.656987,0.199754,
7.1,0.728969,0.265452,
7.2,0.793668,0.338349,
7.3,0.850437,0.417716,
7.4,0.898708,0.50276,
7.5,0.938,0.59263,
7.6,0.96792,0.68643,
7.7,0.988168,0.783222,
7.8,0.998543,0.882039,
7.9,0.998941,0.981894,
8,0.989358,1.08179,
8.1,0.96989,1.18072,
8.2,0.940731,1.27771,
8.3,0.902172,1.37179,
8.4,0.854599,1.462,
8.5,0.798487,1.54746,
8.6,0.734397,1.62731,
8.7,0.662969,1.70075,
8.8,0.584917,1.76705,
8.9,0.501021,1.82554,
9,0.412118,1.87564,
9.1,0.319098,1.91685,
9.2,0.319098,1.94876,
9.3,0.124454,1.98067,
9.4,0.024775,1.99312,
9.5,-0.075151,1.9956,
9.6,-0.075151,1.98808,
9.7,-0.174327,1.98057,
9.8,-0.366479,1.96313,
9.9,-0.457536,1.92649,
10,-0.544021,1.88073,
