"time","uDC"
0,565.685
0.0001,562.346
0.0002,559.008
0.0003,555.679
0.0004,552.368
0.0005,549.084
0.0006,545.831
0.0007,542.61
0.0008,539.419
0.0009,536.253
0.001,533.102
0.0011,529.956
0.0012,526.8
0.0013,523.617
0.0014,520.386
0.0015,517.086
0.0016,513.749
0.0017,510.412
0.0018,507.075
0.0019,503.738
0.002,500.416
0.0021,497.162
0.0022,494.034
0.0023,491.083
0.0024,488.36
0.0025,485.908
0.0026,483.768
0.0027,481.975
0.0028,480.559
0.0029,479.547
0.003,478.957
0.0031,478.804
0.0032,479.097
0.0033,479.839
0.0034,481.028
0.0035,482.656
0.0036,484.711
0.0037,487.172
0.0038,490.016
0.0039,493.214
0.004,496.73
0.0041,500.527
0.0042,504.56
0.0043,508.781
0.0044,513.14
0.0045,517.579
0.0046,522.042
0.0047,526.466
0.0048,530.787
0.0049,534.939
0.005,538.854
0.0051,542.464
0.0052,545.696
0.0053,548.484
0.0054,550.782
0.0055,552.562
0.0056,553.795
0.0057,554.455
0.0058,554.513
0.0059,553.943
0.006,552.804
0.0061,551.567
0.0062,550.332
0.0063,549.123
0.0064,547.958
0.0065,546.855
0.0066,545.826
0.0067,544.88
0.0068,544.023
0.0069,543.256
0.007,542.579
0.0071,541.986
0.0072,541.467
0.0073,541.011
0.0074,540.604
0.0075,540.226
0.0076,539.854
0.0077,539.465
0.0078,539.031
0.0079,538.521
0.008,537.902
0.0081,537.139
0.0082,536.195
0.0083,535.031
0.0084,533.607
0.0085,531.881
0.0086,529.819
0.0087,527.416
0.0088,524.68
0.0089,521.779
0.009,518.913
0.0091,516.13
0.0092,513.473
0.0093,510.984
0.0094,508.699
0.0095,506.65
0.0096,504.866
0.0097,503.369
0.0098,502.179
0.0099,501.309
0.01,500.768
0.0101,500.561
0.0102,500.685
0.0103,501.136
0.0104,501.902
0.0105,502.968
0.0106,504.314
0.0107,505.914
0.0108,507.739
0.0109,509.757
0.011,511.929
0.0111,514.213
0.0112,516.566
0.0113,518.94
0.0114,521.282
0.0115,523.54
0.0116,525.659
0.0117,527.579
0.0118,529.243
0.0119,530.591
0.012,531.59
0.0121,532.224
0.0122,532.476
0.0123,532.326
0.0124,531.755
0.0125,530.745
0.0126,529.481
0.0127,528.304
0.0128,527.246
0.0129,526.331
0.013,525.578
0.0131,525.004
0.0132,524.62
0.0133,524.433
0.0134,524.448
0.0135,524.662
0.0136,525.073
0.0137,525.669
0.0138,526.437
0.0139,527.361
0.014,528.417
0.0141,529.582
0.0142,530.827
0.0143,532.12
0.0144,533.425
0.0145,534.705
0.0146,535.918
0.0147,537.021
0.0148,537.968
0.0149,538.712
0.015,539.204
0.0151,539.393
0.0152,539.229
0.0153,538.666
0.0154,537.692
0.0155,536.302
0.0156,534.492
0.0157,532.277
0.0158,529.984
0.0159,527.748
0.016,525.608
0.0161,523.597
0.0162,521.745
0.0163,520.078
0.0164,518.619
0.0165,517.384
0.0166,516.386
0.0167,515.636
0.0168,515.135
0.0169,514.886
0.017,514.882
0.0171,515.115
0.0172,515.572
0.0173,516.233
0.0174,517.078
0.0175,518.08
0.0176,519.21
0.0177,520.434
0.0178,521.715
0.0179,523.014
0.018,524.287
0.0181,525.487
