"time","I@variable_resistance","U@resistance"
0,-0,0
3e-07,-3.12434e-08,0.00347241
6e-07,-1.22374e-07,0.0268095
9e-07,-2.65882e-07,0.0862438
1.1e-06,-3.85036e-07,0.151433
1.4e-06,-5.88403e-07,0.291258
1.7e-06,-8.07055e-07,0.480017
2e-06,-1.02442e-06,0.709451
2.3e-06,-1.22473e-06,0.964953
2.6e-06,-1.39439e-06,1.22704
2.9e-06,-1.52307e-06,1.47333
3.2e-06,-1.60445e-06,1.68078
3.5e-06,-1.6366e-06,1.82802
3.8e-06,-1.62192e-06,1.89753
4e-06,-1.58908e-06,1.8945
4.3e-06,-1.51188e-06,1.81124
4.6e-06,-1.41095e-06,1.6339
4.9e-06,-1.2984e-06,1.36974
5.2e-06,0.0119397,0.764836
5.5e-06,-0.0208132,0.0323681
5.8e-06,-0.0526677,-0.653259
6.1e-06,-0.0831759,-1.26859
6.4e-06,-0.111971,-1.79442
6.7e-06,-0.138778,-2.21626
7e-06,-0.163415,-2.52463
7.3e-06,-0.185795,-2.71501
7.6e-06,-0.205927,-2.78779
7.8e-06,-0.218143,-2.77321
8e-06,-0.229446,-2.71093
8.2e-06,-0.239897,-2.60414
8.4e-06,-0.249571,-2.45666
8.6e-06,-0.258551,-2.27287
8.8e-06,-0.266927,-2.05757
9e-06,-0.274799,-1.81591
9.2e-06,-0.282269,-1.55327
9.4e-06,-0.289442,-1.27514
9.6e-06,-0.296424,-0.98707
9.8e-06,-0.303319,-0.69451
1e-05,-0.000261389,-0.40275
1.02e-05,-6.99886e-07,-0.0394915
1.04e-05,-1.3866e-06,0.461404
1.06e-05,-2.03863e-06,1.08015
1.08e-05,-2.6333e-06,1.79054
1.1e-05,-3.15076e-06,2.56124
1.12e-05,-3.57476e-06,3.35726
1.14e-05,-3.89316e-06,4.14156
1.16e-05,-4.09837e-06,4.87679
1.18e-05,-4.18754e-06,5.52693
1.2e-05,-4.16251e-06,6.05896
1.22e-05,-4.02963e-06,6.44425
1.24e-05,-3.79936e-06,6.65988
1.26e-05,-3.48571e-06,6.68962
1.28e-05,-3.10557e-06,6.5246
1.3e-05,-2.67788e-06,6.1637
1.32e-05,-2.22279e-06,5.61361
1.34e-05,-1.76077e-06,4.88851
1.36e-05,-1.31173e-06,4.00945
1.38e-05,-8.94202e-07,3.00352
1.4e-05,-5.24566e-07,1.90265
1.42e-05,-2.1643e-07,0.742357
1.44e-05,1.98771e-08,-0.439752
1.46e-05,1.77646e-07,-1.60546
1.48e-05,2.53971e-07,-2.71747
1.5e-05,2.49775e-07,-3.74084
1.52e-05,-0.0480934,-4.59709
1.55e-05,-0.0871049,-5.6574
1.58e-05,-0.120605,-6.42919
1.61e-05,-0.148384,-6.90153
1.64e-05,-0.170469,-7.07576
1.67e-05,-0.187105,-6.96469
1.7e-05,-0.198731,-6.59133
1.73e-05,-0.205952,-5.98732
1.76e-05,-0.209502,-5.19117
1.79e-05,-0.210211,-4.24629
1.82e-05,-0.208963,-3.19898
1.85e-05,-0.20666,-2.09652
1.88e-05,-0.204185,-0.985157
1.91e-05,-0.20237,0.0915221
1.94e-05,-0.201966,1.09412
1.97e-05,-0.203623,1.98871
2e-05,-0.000306301,2.74773
2.03e-05,-7.00313e-07,3.46611
2.06e-05,-1.36999e-06,4.22779
2.09e-05,-1.96792e-06,4.98383
2.12e-05,-2.45887e-06,5.67585
2.15e-05,-2.81814e-06,6.24193
2.18e-05,-3.03316e-06,6.62303
2.21e-05,-3.1039e-06,6.76907
2.24e-05,-3.04213e-06,6.64435
2.27e-05,-2.86958e-06,6.23151
2.3e-05,-2.61541e-06,5.53389
2.33e-05,-2.31297e-06,4.57595
2.36e-05,-1.99647e-06,3.40171
2.39e-05,-1.69762e-06,2.07154
2.42e-05,-1.44283e-06,0.657431
2.45e-05,-1.2509e-06,-0.762673
2.48e-05,-1.13176e-06,-2.11101
2.51e-05,-0.00557302,-3.43644
2.54e-05,-0.0500331,-4.78193
2.57e-05,-0.0892707,-5.85408
2.6e-05,-0.122836,-6.62933
2.63e-05,-0.150529,-7.09714
2.66e-05,-0.172389,-7.25958
2.69e-05,-0.188679,-7.13038
2.72e-05,-0.19986,-6.73366
2.75e-05,-0.206559,-6.10233
2.78e-05,-0.209537,-5.27619
2.81e-05,-0.209649,-4.29999
2.84e-05,-0.207803,-3.22135
2.87e-05,-0.204924,-2.08873
2.9e-05,-0.201917,-0.949499
2.93e-05,-0.199632,0.151847
2.96e-05,-0.198834,1.17516
2.99e-05,-0.200181,2.08596
3.02e-05,-4.51953e-07,2.90638
3.05e-05,-1.10676e-06,3.76675
3.07e-05,-1.51133e-06,4.34528
3.09e-05,-1.8773e-06,4.90765
3.11e-05,-2.19553e-06,5.43521
3.13e-05,-2.45904e-06,5.90897
3.15e-05,-2.66315e-06,6.3104
3.17e-05,-2.80563e-06,6.62233
3.19e-05,-2.88662e-06,6.82964
3.21e-05,-2.90861e-06,6.92003
3.23e-05,-2.87614e-06,6.88455
3.25e-05,-2.79561e-06,6.71803
3.27e-05,-2.67488e-06,6.41943
3.29e-05,-2.52288e-06,5.99189
3.31e-05,-2.34919e-06,5.44272
3.33e-05,-2.16362e-06,4.78317
3.35e-05,-1.97574e-06,4.02805
3.37e-05,-1.79448e-06,3.19524
3.39e-05,-1.62778e-06,2.30505
3.41e-05,-1.48227e-06,1.3795
3.43e-05,-1.36303e-06,0.441547
3.45e-05,-1.27342e-06,-0.485722
3.47e-05,-1.21501e-06,-1.37988
3.49e-05,-1.18756e-06,-2.21992
3.51e-05,-0.016447,-3.11816
3.53e-05,-0.0468052,-4.05285
3.55e-05,-0.0750239,-4.87556
3.57e-05,-0.100924,-5.57693
3.59e-05,-0.124375,-6.15008
3.61e-05,-0.145294,-6.5907
3.63e-05,-0.163647,-6.89698
3.65e-05,-0.179445,-7.06951
3.67e-05,-0.192743,-7.1112
3.69e-05,-0.20364,-7.02711
3.71e-05,-0.212268,-6.82426
3.73e-05,-0.218796,-6.51144
3.75e-05,-0.22342,-6.09896
3.77e-05,-0.226362,-5.59842
3.79e-05,-0.227863,-5.02243
3.81e-05,-0.228178,-4.38436
3.83e-05,-0.227572,-3.69807
3.85e-05,-0.226313,-2.97766
3.87e-05,-0.22467,-2.23718
3.89e-05,-0.222907,-1.49044
3.91e-05,-0.221277,-0.750711
3.93e-05,-0.22002,-0.0305688
3.95e-05,-0.219358,0.658296
3.97e-05,-0.219496,1.30527
3.99e-05,-0.220612,1.90092
4.01e-05,-2.50106e-07,2.45103
4.03e-05,-7.41794e-07,3.02972
4.05e-05,-1.2154e-06,3.63675
4.07e-05,-1.65688e-06,4.25471
4.09e-05,-2.05384e-06,4.86384
4.11e-05,-2.39605e-06,5.44294
4.13e-05,-2.67569e-06,5.97024
4.15e-05,-2.88762e-06,6.42443
4.17e-05,-3.02946e-06,6.78558
4.19e-05,-3.10161e-06,7.03604
4.21e-05,-3.10708e-06,7.16126
4.23e-05,-3.0513e-06,7.15045
4.25e-05,-2.94175e-06,6.99709
4.27e-05,-2.78762e-06,6.69928
4.29e-05,-2.59932e-06,6.25991
4.31e-05,-2.38797e-06,5.68658
4.33e-05,-2.16492e-06,4.99137
4.35e-05,-1.94127e-06,4.19044
4.37e-05,-1.72733e-06,3.30344
4.39e-05,-1.53228e-06,2.35283
4.41e-05,-1.36374e-06,1.36301
4.43e-05,-1.22755e-06,0.359506
4.45e-05,-1.12754e-06,-0.632008
4.47e-05,-1.06545e-06,-1.58657
4.49e-05,-1.04095e-06,-2.48082
4.51e-05,-0.0206926,-3.40946
4.53e-05,-0.0512043,-4.35219
4.55e-05,-0.0794701,-5.17738
4.57e-05,-0.105315,-5.87585
4.59e-05,-0.128613,-6.44102
4.61e-05,-0.14929,-6.86895
4.63e-05,-0.167318,-7.15825
4.65e-05,-0.18272,-7.30999
4.67e-05,-0.195559,-7.32763
4.69e-05,-0.205945,-7.21677
4.71e-05,-0.214022,-6.98504
4.73e-05,-0.219969,-6.64181
4.75e-05,-0.223996,-6.198
4.77e-05,-0.226333,-5.66578
4.79e-05,-0.227234,-5.05834
4.81e-05,-0.226963,-4.38958
4.83e-05,-0.225795,-3.67388
4.85e-05,-0.224008,-2.92577
4.87e-05,-0.221878,-2.15974
4.89e-05,-0.219674,-1.38991
4.91e-05,-0.217656,-0.62986
4.93e-05,-0.216069,0.107592
4.95e-05,-0.215138,0.8106
4.97e-05,-0.215068,1.46843
4.99e-05,-0.216041,2.07162
5.01e-05,-2.44888e-07,2.62567
5.03e-05,-7.26358e-07,3.2031
5.05e-05,-1.19035e-06,3.8037
5.07e-05,-1.62327e-06,4.41059
5.09e-05,-2.01319e-06,5.0047
5.11e-05,-2.35018e-06,5.56563
5.13e-05,-2.62672e-06,6.07252
5.15e-05,-2.83781e-06,6.50497
5.17e-05,-2.98114e-06,6.84402
5.19e-05,-3.05706e-06,7.07292
5.21e-05,-3.06843e-06,7.17795
5.23e-05,-3.02044e-06,7.14907
5.25e-05,-2.92026e-06,6.98037
5.27e-05,-2.77669e-06,6.6704
5.29e-05,-2.59969e-06,6.22232
5.31e-05,-2.39993e-06,5.64385
5.33e-05,-2.18829e-06,4.94702
5.35e-05,-1.97538e-06,4.14776
5.37e-05,-1.7711e-06,3.26536
5.39e-05,-1.58423e-06,2.32178
5.41e-05,-1.42209e-06,1.34084
5.43e-05,-1.29026e-06,0.34739
5.45e-05,-1.19243e-06,-0.633579
5.47e-05,-1.13026e-06,-1.57781
5.49e-05,-1.10344e-06,-2.46259
5.51e-05,-0.0187551,-3.38983
5.53e-05,-0.0493772,-4.33833
5.55e-05,-0.077753,-5.16927
5.57e-05,-0.103706,-5.87338
5.59e-05,-0.127108,-6.44399
5.61e-05,-0.147883,-6.87706
5.63e-05,-0.166003,-7.17113
5.65e-05,-0.181487,-7.32722
5.67e-05,-0.1944,-7.3487
5.69e-05,-0.204849,-7.24115
5.71e-05,-0.212979,-7.01216
5.73e-05,-0.218967,-6.67108
5.75e-05,-0.223023,-6.22881
5.77e-05,-0.225379,-5.69752
5.79e-05,-0.226286,-5.09042
5.81e-05,-0.226011,-4.42143
5.83e-05,-0.224829,-3.70495
5.85e-05,-0.223017,-2.95555
5.87e-05,-0.220853,-2.18776
5.89e-05,-0.218609,-1.41577
5.91e-05,-0.216543,-0.653218
5.93e-05,-0.214902,0.0870424
5.95e-05,-0.213913,0.79309
5.97e-05,-0.213783,1.45414
5.99e-05,-0.214692,2.06065
6.01e-05,-2.43315e-07,2.61798
6.03e-05,-7.2162e-07,3.19806
6.05e-05,-1.18248e-06,3.80059
6.07e-05,-1.61242e-06,4.40871
6.09e-05,-1.99962e-06,5.0034
6.11e-05,-2.33427e-06,5.56435
6.13e-05,-2.60891e-06,6.0708
6.15e-05,-2.81863e-06,6.50251
6.17e-05,-2.96116e-06,6.84064
6.19e-05,-3.03687e-06,7.06862
6.21e-05,-3.04864e-06,7.17287
6.23e-05,-3.00163e-06,7.14348
6.25e-05,-2.90297e-06,6.97466
6.27e-05,-2.76139e-06,6.66507
6.29e-05,-2.58678e-06,6.21794
6.31e-05,-2.38971e-06,5.64101
6.33e-05,-2.18098e-06,4.94631
6.35e-05,-1.97107e-06,4.14977
6.37e-05,-1.76979e-06,3.27059
6.39e-05,-1.58582e-06,2.33065
6.41e-05,-1.42636e-06,1.35365
6.43e-05,-1.29692e-06,0.364302
6.45e-05,-1.20112e-06,-0.612551
6.47e-05,-1.14057e-06,-1.55281
6.49e-05,-1.11492e-06,-2.43393
6.51e-05,-0.0190633,-3.35928
6.53e-05,-0.0496857,-4.3078
6.55e-05,-0.078072,-5.1393
6.57e-05,-0.104045,-5.84446
6.59e-05,-0.127476,-6.41658
6.61e-05,-0.148287,-6.85157
6.63e-05,-0.16645,-7.14792
6.65e-05,-0.181984,-7.30659
6.67e-05,-0.194951,-7.3309
6.69e-05,-0.205458,-7.22637
6.71e-05,-0.213647,-7.00051
6.73e-05,-0.219696,-6.66263
6.75e-05,-0.223813,-6.22357
6.77e-05,-0.226229,-5.69544
6.79e-05,-0.227195,-5.09139
6.81e-05,-0.226975,-4.4253
6.83e-05,-0.225844,-3.71153
6.85e-05,-0.224079,-2.96461
6.87e-05,-0.221958,-2.19903
6.89e-05,-0.21975,-1.42896
6.91e-05,-0.217714,-0.66799
6.93e-05,-0.216097,0.0710041
6.95e-05,-0.215126,0.776119
6.97e-05,-0.215007,1.43657
6.99e-05,-0.215921,2.04281
7.01e-05,-2.44698e-07,2.60028
7.03e-05,-7.25684e-07,3.18133
7.05e-05,-1.18905e-06,3.78565
7.07e-05,-1.62123e-06,4.39625
7.09e-05,-2.0103e-06,4.994
7.11e-05,-2.34638e-06,5.55839
7.13e-05,-2.62197e-06,6.0685
7.15e-05,-2.83211e-06,6.5039
7.17e-05,-2.97453e-06,6.84557
7.19e-05,-3.04962e-06,7.07676
7.21e-05,-3.06028e-06,7.18375
7.23e-05,-3.01173e-06,7.1565
7.25e-05,-2.91117e-06,6.98911
7.27e-05,-2.76742e-06,6.68019
7.29e-05,-2.59046e-06,6.23292
7.31e-05,-2.39097e-06,5.65508
7.33e-05,-2.17982e-06,4.95874
7.35e-05,-1.96763e-06,4.15988
7.37e-05,-1.76426e-06,3.27783
7.39e-05,-1.57849e-06,2.33459
7.41e-05,-1.41758e-06,1.35401
7.43e-05,-1.2871e-06,0.360954
7.45e-05,-1.19068e-06,-0.619567
7.47e-05,-1.12995e-06,-1.56329
7.49e-05,-1.10457e-06,-2.44754
7.51e-05,-0.0193705,-3.37444
7.53e-05,-0.0499946,-4.32306
7.55e-05,-0.0783776,-5.15438
7.57e-05,-0.104342,-5.85911
7.59e-05,-0.12776,-6.43056
7.61e-05,-0.148555,-6.86467
7.63e-05,-0.166698,-7.15995
7.65e-05,-0.182208,-7.31738
7.67e-05,-0.195149,-7.34033
7.69e-05,-0.205627,-7.23432
7.71e-05,-0.213787,-7.00692
7.73e-05,-0.219806,-6.66746
7.75e-05,-0.223892,-6.22679
7.77e-05,-0.226278,-5.69707
7.79e-05,-0.227214,-5.09148
7.81e-05,-0.226966,-4.42391
7.83e-05,-0.225809,-3.70875
7.85e-05,-0.22402,-2.96055
7.87e-05,-0.221876,-2.19383
7.89e-05,-0.219649,-1.42274
7.91e-05,-0.217597,-0.660922
7.93e-05,-0.215967,0.0787656
7.95e-05,-0.214986,0.784415
7.97e-05,-0.214859,1.44523
7.99e-05,-0.21577,2.05167
8.01e-05,-2.44527e-07,2.60916
8.03e-05,-7.25182e-07,3.19001
8.05e-05,-1.18825e-06,3.79392
8.07e-05,-1.62017e-06,4.40393
8.09e-05,-2.00904e-06,5.00091
8.11e-05,-2.34499e-06,5.56442
8.13e-05,-2.62052e-06,6.07357
8.15e-05,-2.83069e-06,6.50795
8.17e-05,-2.97322e-06,6.8486
8.19e-05,-3.0485e-06,7.07879
8.21e-05,-3.05943e-06,7.18484
8.23e-05,-3.01121e-06,7.15674
8.25e-05,-2.91103e-06,6.98861
8.27e-05,-2.76769e-06,6.67907
8.29e-05,-2.59115e-06,6.23134
8.31e-05,-2.39208e-06,5.65317
8.33e-05,-2.18134e-06,4.95663
8.35e-05,-1.96951e-06,4.15771
8.37e-05,-1.76645e-06,3.27572
8.39e-05,-1.58092e-06,2.33263
8.41e-05,-1.42019e-06,1.35227
8.43e-05,-1.28979e-06,0.359487
8.45e-05,-1.19337e-06,-0.620737
8.47e-05,-1.13256e-06,-1.56417
8.49e-05,-1.10701e-06,-2.44814
8.51e-05,-0.0192606,-3.37508
8.53e-05,-0.0498902,-4.32398
8.55e-05,-0.0782779,-5.15555
8.57e-05,-0.104246,-5.8605
8.59e-05,-0.127668,-6.43214
8.61e-05,-0.148466,-6.8664
8.63e-05,-0.166611,-7.16179
8.65e-05,-0.182122,-7.3193
8.67e-05,-0.195064,-7.34228
8.69e-05,-0.205543,-7.23629
8.71e-05,-0.213702,-7.00886
8.73e-05,-0.21972,-6.66933
8.75e-05,-0.223804,-6.22857
8.77e-05,-0.226188,-5.69873
8.79e-05,-0.227121,-5.093
8.81e-05,-0.22687,-4.42527
8.83e-05,-0.225709,-3.70993
8.85e-05,-0.223917,-2.96154
8.87e-05,-0.221769,-2.1946
8.89e-05,-0.219538,-1.42331
8.91e-05,-0.217482,-0.661277
8.93e-05,-0.215848,0.0786149
8.95e-05,-0.214863,0.784458
8.97e-05,-0.214733,1.44546
8.99e-05,-0.21564,2.05207
9.01e-05,-2.44379e-07,2.60971
9.03e-05,-7.24741e-07,3.19064
9.05e-05,-1.18752e-06,3.79455
9.07e-05,-1.61918e-06,4.40449
9.09e-05,-2.00782e-06,5.00135
9.11e-05,-2.34359e-06,5.56468
9.13e-05,-2.61897e-06,6.07361
9.15e-05,-2.82906e-06,6.50776
9.17e-05,-2.97156e-06,6.84818
