"time","q1@hydraulic","p2@presscontrol01"
0.001,0,0
0.003,0,0
0.005,0,0
0.007,0,0
0.009,0,0
0.011,0,0
0.013,0,0
0.015,0,0
0.017,0,0
0.019,0,0
0.021,0,0
0.023,0,0
0.025,0,0
0.027,0,0
0.029,0,0
0.031,0,0
0.033,0,0
0.035,0,0
0.037,0,0
0.039,0,0
0.041,0,0
0.043,0,0
0.045,0,0
0.047,0,0
0.049,0,0
0.051,0,0
0.053,0,0
0.055,0,0
0.057,0,0
0.059,0,0
0.061,0,0
0.063,0,0
0.065,0,0
0.067,0,0
0.069,0,0
0.071,0,0
0.073,0,0
0.075,0,0
0.077,0,0
0.079,0,0
0.081,0,0
0.083,0,0
0.085,0,0
0.087,0,0
0.089,0,0
0.091,0,0
0.093,0,0
0.095,0,0
0.097,0,0
0.099,0,0
0.101,0,0
0.103,1.12094e-10,2.10869e-38
0.105,3.22134e-05,2.52034e-07
0.107,0.000224214,5.27777e-06
0.109,0.00079911,3.14806e-05
0.111,0.00206308,0.000114401
0.113,0.00438752,0.000314911
0.115,0.00818684,0.000723992
0.117,0.0138935,0.00146589
0.119,0.0219318,0.00269963
0.121,0.0326914,0.00461899
0.123,0.0465026,0.00745128
0.125,0.0636144,0.0114553
0.127,0.0841754,0.0169191
0.129,0.108218,0.0241573
0.131,0.135648,0.0335094
0.133,0.166235,0.0453382
0.135,0.19961,0.0600291
0.137,0.23526,0.0779889
0.139,0.272538,0.0996456
0.141,0.310661,0.125446
0.143,0.348728,0.155852
0.145,0.385738,0.191335
0.147,0.420621,0.23236
0.149,0.452283,0.279373
0.151,0.479673,0.332776
0.153,0.501872,0.392896
0.155,0.518213,0.459956
0.157,0.528425,0.534051
0.159,0.53279,0.615147
0.161,0.5323,0.703119
0.163,0.528752,0.797855
0.165,0.52474,0.899438
0.167,0.523447,1.00842
0.169,0.52818,1.12612
0.171,0.541593,1.25493
0.173,0.564637,1.3984
0.175,0.595367,1.5611
0.177,0.645726,1.61842
0.179,0.805984,1.63857
0.181,1.09336,1.68053
0.183,1.49123,1.74748
0.185,1.97689,1.83599
0.187,2.52455,1.94111
0.189,3.10618,2.05699
0.191,3.69272,2.17725
0.193,4.25549,2.29548
0.195,4.76788,2.40566
0.197,5.20687,2.50251
0.199,5.55446,2.58188
0.201,5.79867,2.64084
0.203,5.93391,2.67786
0.205,5.96077,2.69271
0.207,5.88495,2.68631
0.209,5.71637,2.66045
0.211,5.4681,2.61762
0.213,5.15509,2.56074
0.215,4.7931,2.49292
0.217,4.3977,2.41728
0.219,3.98352,2.33677
0.221,3.56375,2.2541
0.223,3.14991,2.17163
0.225,2.7517,2.09135
0.227,2.3771,2.01494
0.229,2.03241,1.94374
0.231,1.72252,1.87879
0.233,1.45101,1.8209
0.235,1.22038,1.77065
0.237,1.03216,1.72845
0.239,0.887092,1.69455
0.241,0.785192,1.66907
0.243,0.725846,1.65201
0.245,0.707851,1.64326
0.247,0.729438,1.64259
0.249,0.788289,1.64966
0.251,0.881538,1.66403
0.253,1.00577,1.68512
0.255,1.15704,1.71223
0.257,1.33088,1.74454
0.259,1.52238,1.7811
0.261,1.72624,1.82087
0.263,1.93688,1.86272
0.265,2.1486,1.90548
0.267,2.35571,1.94796
0.269,2.55275,1.98898
0.271,2.73466,2.02747
0.273,2.89695,2.06242
0.275,3.03588,2.09299
0.277,3.14858,2.1185
0.279,3.23314,2.13849
0.281,3.28863,2.15267
0.283,3.31512,2.16098
0.285,3.31359,2.16354
0.287,3.28581,2.16063
0.289,3.23429,2.15272
0.291,3.16204,2.14035
0.293,3.07247,2.12419
0.295,2.96921,2.10495
0.297,2.856,2.08335
0.299,2.73652,2.06013
0.301,2.61432,2.03601
0.303,2.49269,2.01167
0.305,2.37465,1.98773
0.307,2.26289,1.96475
0.309,2.1597,1.94322
0.311,2.067,1.92356
0.313,1.98634,1.90612
0.315,1.91885,1.89117
0.317,1.86532,1.8789
0.319,1.82616,1.86944
0.321,1.80144,1.86285
0.323,1.79092,1.85912
0.325,1.79403,1.85818
0.327,1.80998,1.85991
0.329,1.83767,1.86411
0.331,1.87583,1.87057
0.333,1.92298,1.87901
0.335,1.97752,1.88912
0.337,2.0377,1.90058
0.339,2.10174,1.91302
0.341,2.16784,1.92608
0.343,2.23419,1.9394
0.345,2.2991,1.95261
0.347,2.36094,1.96539
0.349,2.41828,1.97742
0.351,2.46985,1.98843
0.353,2.51459,1.99817
0.355,2.55172,2.00646
0.357,2.58066,2.01316
0.359,2.60111,2.01819
0.361,2.61301,2.0215
0.363,2.61656,2.02311
0.365,2.61215,2.02308
0.367,2.60036,2.02151
0.369,2.58197,2.01853
0.371,2.55784,2.01431
0.373,2.52897,2.00903
0.375,2.49638,2.0029
0.377,2.46116,1.99613
0.379,2.42436,1.98893
0.381,2.38702,1.98151
0.383,2.35013,1.97408
0.385,2.31459,1.96681
0.387,2.28121,1.95989
0.389,2.2507,1.95347
0.391,2.22364,1.94767
0.393,2.20051,1.9426
0.395,2.18165,1.93835
0.397,2.16727,1.93497
0.399,2.15747,1.9325
0.401,2.15222,1.93094
0.403,2.1514,1.93028
0.405,2.15477,1.93049
0.407,2.16202,1.93151
0.409,2.17273,1.93327
0.411,2.18645,1.93569
0.413,2.20267,1.93867
0.415,2.22083,1.9421
0.417,2.24038,1.94587
0.419,2.26073,1.94986
0.421,2.28133,1.95397
0.423,2.30163,1.95808
0.425,2.32114,1.96208
0.427,2.3394,1.96589
0.429,2.35601,1.9694
0.431,2.37064,1.97256
0.433,2.38303,1.97529
0.435,2.39298,1.97755
0.437,2.40038,1.97932
0.439,2.40518,1.98056
0.441,2.40741,1.98129
0.443,2.40717,1.98151
0.445,2.4046,1.98125
0.447,2.3999,1.98054
0.449,2.39333,1.97943
0.451,2.38516,1.97796
0.453,2.37569,1.97621
0.455,2.36524,1.97422
0.457,2.35415,1.97207
0.459,2.34272,1.96981
0.461,2.33126,1.96752
0.463,2.32008,1.96525
0.465,2.30944,1.96305
0.467,2.29958,1.96099
0.469,2.29069,1.9591
0.471,2.28296,1.95743
0.473,2.2765,1.95599
0.475,2.2714,1.95482
0.477,2.26772,1.95392
0.479,2.26546,1.95331
0.481,2.26461,1.95299
0.483,2.26509,1.95294
0.485,2.26683,1.95315
0.487,2.2697,1.9536
0.489,2.27357,1.95426
0.491,2.27828,1.95511
0.493,2.28366,1.95612
0.495,2.28955,1.95725
0.497,2.29575,1.95846
0.499,2.30211,1.95971
0.501,2.30843,1.96099
0.503,2.31457,1.96224
0.505,2.32039,1.96344
0.507,2.32574,1.96457
0.509,2.33052,1.96559
0.511,2.33465,1.96649
0.513,2.33805,1.96725
0.515,2.34067,1.96786
0.517,2.34251,1.96832
0.519,2.34355,1.96861
0.521,2.34381,1.96875
0.523,2.34334,1.96874
0.525,2.34218,1.96858
0.527,2.34042,1.96829
0.529,2.33812,1.96789
0.531,2.33537,1.96739
0.533,2.33229,1.96681
0.535,2.32895,1.96616
0.537,2.32546,1.96548
0.539,2.32193,1.96478
0.541,2.31843,1.96407
0.543,2.31507,1.96338
0.545,2.3119,1.96273
0.547,2.30902,1.96212
0.549,2.30646,1.96157
0.551,2.30429,1.96109
0.553,2.30252,1.96069
0.555,2.30119,1.96038
0.557,2.30029,1.96015
0.559,2.29984,1.96001
0.561,2.2998,1.95996
0.563,2.30017,1.95999
0.565,2.30091,1.96009
0.567,2.30197,1.96027
0.569,2.30332,1.96051
0.571,2.30489,1.9608
0.573,2.30665,1.96113
0.575,2.30853,1.96149
0.577,2.31047,1.96188
0.579,2.31244,1.96227
0.581,2.31436,1.96266
0.583,2.3162,1.96304
0.585,2.31792,1.9634
0.587,2.31948,1.96373
0.589,2.32084,1.96402
0.591,2.32199,1.96428
0.593,2.32291,1.96449
0.595,2.32358,1.96465
0.597,2.32401,1.96476
0.599,2.3242,1.96482
0.601,2.32416,1.96484
0.603,2.32389,1.96481
0.605,2.32343,1.96474
0.607,2.32279,1.96463
0.609,2.322,1.96449
0.611,2.3211,1.96432
0.613,2.3201,1.96413
0.615,2.31904,1.96393
0.617,2.31796,1.96371
0.619,2.31687,1.96349
0.621,2.31581,1.96328
0.623,2.3148,1.96307
0.625,2.31387,1.96288
0.627,2.31304,1.9627
0.629,2.31231,1.96254
0.631,2.31171,1.96241
0.633,2.31124,1.9623
0.635,2.3109,1.96221
0.637,2.3107,1.96216
0.639,2.31063,1.96213
0.641,2.31069,1.96213
0.643,2.31087,1.96215
0.645,2.31115,1.9622
0.647,2.31153,1.96226
0.649,2.31199,1.96235
0.651,2.31251,1.96244
0.653,2.31307,1.96255
0.655,2.31366,1.96267
0.657,2.31427,1.96279
0.659,2.31487,1.96291
0.661,2.31545,1.96303
0.663,2.316,1.96314
0.665,2.3165,1.96325
0.667,2.31695,1.96334
0.669,2.31734,1.96343
0.671,2.31765,1.9635
0.673,2.31789,1.96355
0.675,2.31806,1.9636
0.677,2.31815,1.96362
0.679,2.31817,1.96363
0.681,2.31812,1.96363
0.683,2.318,1.96361
0.685,2.31783,1.96359
0.687,2.3176,1.96355
0.689,2.31734,1.9635
0.691,2.31704,1.96344
0.693,2.31673,1.96338
0.695,2.31639,1.96332
0.697,2.31606,1.96325
0.699,2.31573,1.96318
0.7,2.31556,1.96315
