"time","light_intensity","light_switch","headlight","light_switch_old"
0,0,0,0,0
0.02,0,0.117647,0,0
0.04,0,0.352941,0,0
0.06,0,0.588235,1,1
0.08,0,0.823529,1,1
0.1,0,1.05882,1,1
0.12,0,1.29412,1,1
0.14,0,1.52941,1,2
0.16,0,1.76471,1,2
0.18,0,2,1,2
0.2,0.222222,2,1,2
0.22,0.444444,2,1,2
0.24,0.666667,2,1,2
0.26,0.888889,2,1,2
0.28,1.11111,2,1,2
0.3,1.33333,2,1,2
0.32,1.55556,2,1,2
0.34,1.77778,2,1,2
0.36,2,2,1,2
0.38,23,2,1,2
0.4,59,2,1,2
0.42,83,2,1,2
0.44,100,2,1,2
0.46,99.9937,2,1,2
0.48,99.9874,2,1,2
0.5,99.9811,2,1,2
0.52,99.9748,2,1,2
0.54,99.9686,2,1,2
0.56,99.9623,2,1,2
0.58,99.956,2,1,2
0.6,99.9497,2,1,2
0.62,99.9434,2,1,2
0.64,99.9371,2,1,2
0.66,99.9308,2,1,2
0.68,99.9245,2,1,2
0.7,99.9182,2,1,2
0.72,99.9119,2,1,2
0.74,99.9057,2,1,2
0.76,99.8994,2,1,2
0.78,99.8931,2,1,2
0.8,99.8868,2,1,2
0.82,99.8805,2,1,2
0.84,99.8742,2,1,2
0.86,99.8679,2,1,2
0.88,99.8616,2,1,2
0.9,99.8553,2,1,2
0.92,99.8491,2,1,2
0.94,99.8428,2,1,2
0.96,99.8365,2,1,2
0.98,99.8302,2,1,2
1,99.8239,2,1,2
1.02,99.8176,2,1,2
1.04,99.8113,2,1,2
1.06,99.805,2,1,2
1.08,99.7987,2,1,2
1.1,99.7925,2,1,2
1.12,99.7862,2,1,2
1.14,99.7799,2,1,2
1.16,99.7736,2,1,2
1.18,99.7673,2,1,2
1.2,99.761,2,1,2
1.22,99.7547,2,1,2
1.24,99.7484,2,1,2
1.26,99.7421,2,1,2
1.28,99.7358,2,1,2
1.3,99.7296,2,1,2
1.32,99.7233,2,1,2
1.34,99.717,2,1,2
1.36,99.7107,2,1,2
1.38,99.7044,2,1,2
1.4,99.6981,2,1,2
1.42,99.6918,2,1,2
1.44,99.6855,2,1,2
1.46,99.6792,2,1,2
1.48,99.673,2,1,2
1.5,99.6667,2,1,2
1.52,99.6604,2,1,2
1.54,99.6541,2,1,2
1.56,99.6478,2,1,2
1.58,99.6415,2,1,2
1.6,99.6352,2,1,2
1.62,99.6289,2,1,2
1.64,99.6226,2,1,2
1.66,99.6164,2,1,2
1.68,99.6101,2,1,2
1.7,99.6038,2,1,2
1.72,99.5975,2,1,2
1.74,99.5912,2,1,2
1.76,99.5849,2,1,2
1.78,99.5786,2,1,2
1.8,99.5723,2,1,2
1.82,99.566,2,1,2
1.84,99.5597,2,1,2
1.86,99.5535,2,1,2
1.88,99.5472,2,1,2
1.9,99.5409,2,1,2
1.92,99.5346,2,1,2
1.94,99.5283,2,1,2
1.96,99.522,2,1,2
1.98,99.5157,2,1,2
2,99.5094,2,1,2
2.02,99.5031,2,1,2
2.04,99.4969,2,1,2
2.06,99.4906,2,1,2
2.08,99.4843,2,1,2
2.1,99.478,2,1,2
2.12,99.4717,2,1,2
2.14,99.4654,2,1,2
2.16,99.4591,2,1,2
2.18,99.4528,2,1,2
2.2,99.4465,2,1,2
2.22,99.4403,2,1,2
2.24,99.434,2,1,2
2.26,99.4277,2,1,2
2.28,99.4214,2,1,2
2.3,99.4151,2,1,2
2.32,99.4088,2,1,2
2.34,99.4025,2,1,2
2.36,99.3962,2,1,2
2.38,99.3899,2,1,2
2.4,99.3836,2,1,2
2.42,99.3774,2,1,2
2.44,99.3711,2,1,2
2.46,99.3648,2,1,2
2.48,99.3585,2,1,2
2.5,99.3522,2,1,2
2.52,99.3459,2,1,2
2.54,99.3396,2,1,2
2.56,99.3333,2,1,2
2.58,99.327,2,1,2
2.6,99.3208,2,1,2
2.62,99.3145,2,1,2
2.64,99.3082,2,1,2
2.66,99.3019,2,1,2
2.68,99.2956,2,1,2
2.7,99.2893,2,1,2
2.72,99.283,2,1,2
2.74,99.2767,2,1,2
2.76,99.2704,2,1,2
2.78,99.2642,2,1,2
2.8,99.2579,2,1,2
2.82,99.2516,2,1,2
2.84,99.2453,2,1,2
2.86,99.239,2,1,2
2.88,99.2327,2,1,2
2.9,99.2264,2,1,2
2.92,99.2201,2,1,2
2.94,99.2138,2,1,2
2.96,99.2075,2,1,2
2.98,99.2013,2,1,2
3,99.195,2,1,2
3.02,99.1887,2,1,2
3.04,99.1824,2,1,2
3.06,99.1761,2,1,2
3.08,99.1698,2,1,2
3.1,99.1635,2,1,2
3.12,99.1572,2,1,2
3.14,99.1509,2,1,2
3.16,99.1447,2,1,2
3.18,99.1384,2,1,2
3.2,99.1321,2,1,2
3.22,99.1258,2,1,2
3.24,99.1195,2,1,2
3.26,99.1132,2,1,2
3.28,99.1069,2,1,2
3.3,99.1006,2,1,2
3.32,99.0943,2,1,2
3.34,99.0881,2,1,2
3.36,99.0818,2,1,2
3.38,99.0755,2,1,2
3.4,99.0692,2,1,2
3.42,99.0629,2,0,2
3.44,99.0566,2,0,2
3.46,99.0503,2,0,2
3.48,99.044,2,0,2
3.5,99.0377,2,0,2
3.52,99.0314,2,0,2
3.54,99.0252,2,0,2
3.56,99.0189,2,0,2
3.58,99.0126,2,0,2
3.6,99.0063,2,0,2
3.62,99,2,0,2
3.64,83,2,0,2
3.66,52,2,0,2
3.68,34,2,0,2
3.7,28,2,0,2
3.72,27.0214,2,0,2
3.74,27.0643,2,0,2
3.76,27.1071,2,0,2
3.78,27.15,2,0,2
3.8,27.1929,2,0,2
3.82,27.2357,2,0,2
3.84,27.2786,2,0,2
3.86,27.3214,2,0,2
3.88,27.3643,2,0,2
3.9,27.4071,2,0,2
3.92,27.45,2,0,2
3.94,27.4929,2,0,2
3.96,27.5357,2,0,2
3.98,27.5786,2,0,2
4,27.6214,2,0,2
4.02,27.6643,2,0,2
4.04,27.7071,2,0,2
4.06,27.75,2,0,2
4.08,27.7929,2,0,2
4.1,27.8357,2,0,2
4.12,27.8786,2,0,2
4.14,27.9214,2,0,2
4.16,27.9643,2,0,2
4.18,28.0071,2,0,2
4.2,28.05,2,0,2
4.22,28.0929,2,0,2
4.24,28.1357,2,0,2
4.26,28.1786,2,0,2
4.28,28.2214,2,0,2
4.3,28.2643,2,0,2
4.32,28.3071,2,0,2
4.34,28.35,2,0,2
4.36,28.3929,2,0,2
4.38,28.4357,2,0,2
4.4,28.4786,2,0,2
4.42,28.5214,2,0,2
4.44,28.5643,2,0,2
4.46,28.6071,2,0,2
4.48,28.65,2,0,2
4.5,28.6929,2,0,2
4.52,28.7357,2,0,2
4.54,28.7786,2,0,2
4.56,28.8214,2,0,2
4.58,28.8643,2,0,2
4.6,28.9071,2,0,2
4.62,28.95,2,0,2
4.64,28.9929,2,0,2
4.66,29.0357,2,0,2
4.68,29.0786,2,0,2
4.7,29.1214,2,0,2
4.72,29.1643,2,0,2
4.74,29.2071,2,0,2
4.76,29.25,2,0,2
4.78,29.2929,2,0,2
4.8,29.3357,2,0,2
4.82,29.3786,2,0,2
4.84,29.4214,2,0,2
4.86,29.4643,2,0,2
4.88,29.5071,2,0,2
4.9,29.55,2,0,2
4.92,29.5929,2,0,2
4.94,29.6357,2,0,2
4.96,29.6786,2,0,2
4.98,29.7214,2,0,2
5,29.7643,2,0,2
5.02,29.8071,2,0,2
5.04,29.85,2,0,2
5.06,29.8929,2,0,2
5.08,29.9357,2,0,2
5.1,29.9786,2,0,2
5.12,30.0214,2,0,2
5.14,30.0643,2,0,2
5.16,30.1071,2,0,2
5.18,30.15,2,0,2
5.2,30.1929,2,0,2
5.22,30.2357,2,0,2
5.24,30.2786,2,0,2
5.26,30.3214,2,0,2
5.28,30.3643,2,0,2
5.3,30.4071,2,0,2
5.32,30.45,2,0,2
5.34,30.4929,2,0,2
5.36,30.5357,2,0,2
5.38,30.5786,2,0,2
5.4,30.6214,2,0,2
5.42,30.6643,2,0,2
5.44,30.7071,2,0,2
5.46,30.75,2,0,2
5.48,30.7929,2,0,2
5.5,30.8357,2,0,2
5.52,30.8786,2,0,2
5.54,30.9214,2,0,2
5.56,30.9643,2,0,2
5.58,31.0071,2,0,2
5.6,31.05,2,0,2
5.62,31.0929,2,0,2
5.64,31.1357,2,0,2
5.66,31.1786,2,1,2
5.68,31.2214,2,1,2
5.7,31.2643,2,1,2
5.72,31.3071,2,1,2
5.74,31.35,2,1,2
5.76,31.3929,2,1,2
5.78,31.4357,2,1,2
5.8,31.4786,2,1,2
5.82,31.5214,2,1,2
5.84,31.5643,2,1,2
5.86,31.6071,2,1,2
5.88,31.65,2,1,2
5.9,31.6929,2,1,2
5.92,31.7357,2,1,2
5.94,31.7786,2,1,2
5.96,31.8214,2,1,2
5.98,31.8643,2,1,2
6,31.9071,2,1,2
6.02,31.95,2,1,2
6.04,31.9929,2,1,2
6.06,32.0357,2,1,2
6.08,32.0786,2,1,2
6.1,32.1214,2,1,2
6.12,32.1643,2,1,2
6.14,32.2071,2,1,2
6.16,32.25,2,1,2
6.18,32.2929,2,1,2
6.2,32.3357,2,1,2
6.22,32.3786,2,1,2
6.24,32.4214,2,1,2
6.26,32.4643,2,1,2
6.28,32.5071,2,1,2
6.3,32.55,2,1,2
6.32,32.5929,2,1,2
6.34,32.6357,2,1,2
6.36,32.6786,2,1,2
6.38,32.7214,2,1,2
6.4,32.7643,2,1,2
6.42,32.8071,2,1,2
6.44,32.85,2,1,2
6.46,32.8929,2,1,2
6.48,32.9357,2,1,2
6.5,32.9786,2,1,2
6.52,48,2,1,2
