"time","Step_Time","Step_Y0","Step_YFinal","SineWave_Amp","SineWave_Bias","SineWave_Freq","SineWave_Phase","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","Step2_Time","Step2_Y0","Step2_YFinal","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Hsin","SineWave3_HCos","SineWave3_PSin","SineWave3_PCos","SineWave4_Amp","SineWave4_Bias","SineWave4_Freq","SineWave4_Phase","Step3_Time","Step3_Y0","Step3_YFinal","SineWave5_Amp","SineWave5_Bias","SineWave5_Freq","SineWave5_Hsin","SineWave5_HCos","SineWave5_PSin","SineWave5_PCos","SineWave7_Amp","SineWave7_Bias","SineWave7_Freq","SineWave7_Hsin","SineWave7_HCos","SineWave7_PSin","SineWave7_PCos","WeightedSampleTime_WtEt","Constant6_Value","Constant4_Value","Constant5_Value","Out1[1]","Out1[2]","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11","Out2","Out3","Out4","Out5","EventIndicator[0]","EventIndicator[1]","EventIndicator[2]"
0,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0,1,0,1,0,1,0,0,0,0,0,0,6,0,0,12,12,-1,-1,-1
0.1,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.09983341665,1,0,1,0,1,0,0,0.09983341665,0,0,0.01996668333,6,1,0,12,12,-0.9,-0.9,-0.9
0.2,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.1986693308,1,0,1,0,1,0,0,0.1986693308,0,0,0.03973386616,6,2,0,12,12,-0.8,-0.8,-0.8
0.22,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.2182296231,1,0,1,0,1,0,0,0.2182296231,0,0.2182296231,0.03973386616,6,2,0,12,12,-0.78,-0.78,-0.78
0.3,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.2955202067,1,0,1,0,1,0,0.2955202067,0.2955202067,0,0.2182296231,0.05910404133,6,3,0,12,12,-0.7,-0.7,-0.7
0.4,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.3894183423,1,0,1,0,1,0,0.2955202067,0.3894183423,0,0.2182296231,0.07788366846,6,4,0,12,12,-0.6,-0.6,-0.6
0.44,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.4259394651,1,0,1,0,1,0,0.2955202067,0.4259394651,0,0.4259394651,0.07788366846,6,5,0,12,12,-0.56,-0.56,-0.56
0.5,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.4794255386,1,0,1,0,1,0,0.2955202067,0.4794255386,0,0.4259394651,0.09588510772,6,5,0,12,12,-0.5,-0.5,-0.5
0.6,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.5646424734,1,0,1,0,1,0,0.5646424734,0.5646424734,0,0.4259394651,0.1129284947,6,6,0,12,12,-0.4,-0.4,-0.4
0.66,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.613116852,1,0,1,0,1,0,0.5646424734,0.613116852,0,0.613116852,0.1129284947,6,7,0,12,12,-0.34,-0.34,-0.34
0.7,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.6442176872,1,0,1,0,1,0,0.5646424734,0.6442176872,0,0.613116852,0.1288435374,6,7,0,12,12,-0.3,-0.3,-0.3
0.8,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,1,0,1,0,1,0,1,1,0,1,0.2182296231,0.9758974493,-0.2182296231,0.9758974493,1,0,1,0.09983341665,0.9950041653,-0.09983341665,0.9950041653,0.2,1,12,12,0,0.7173560909,1,0,1,0,1,0,0.5646424734,0.7173560909,0,0.613116852,0.1434712182,6,8,0,12,12,-0.2,-0.2,-0.2
