    "time","driveAngle","spring.w_rel",  "PI.I.y","inertia1.phi","spring.phi_rel","integrator.y","inertia1.w"
     1.024,      1.57,1.8391617e-008,-0.069993912,0.13428741,0.00080002176,     0.524,0.52400929
     1.028,      1.57,-1.5646866e-008,-0.069994275,0.13639144,0.00080002176,     0.528,0.52800889
     1.032,      1.57,-4.4989641e-008,-0.069994623,0.13851148,0.00080002164,     0.532,0.53200849
     1.036,      1.57,-7.010201e-008,-0.069994954,0.14064751,0.00080002141,     0.536,0.53600809
      1.04,      1.57,-9.1410827e-008,-0.06999527,0.14279954,0.00080002109,      0.54,0.54000771
     1.044,      1.57,-1.0930723e-007,-0.069995571,0.14496757,0.00080002068,     0.544,0.54400733
     1.048,      1.57,-1.2414922e-007,-0.069995857, 0.1471516,0.00080002022,     0.548,0.54800696
     1.052,      1.57,-1.3626403e-007,-0.069996128,0.14935163,0.00080001969,     0.552,0.55200659
     1.056,      1.57,-1.4595046e-007,-0.069996384,0.15156765,0.00080001913,     0.556,0.55600624
      1.06,      1.57,-1.5348092e-007,-0.069996627,0.15379968,0.00080001853,      0.56,0.56000591
     1.064,      1.57,-1.5910347e-007,-0.069996857, 0.1560477,0.0008000179,     0.564,0.56400558
     1.068,      1.57,-1.6304366e-007,-0.069997074,0.15831172,0.00080001726,     0.568,0.56800526
     1.072,      1.57,-1.6550627e-007,-0.069997278,0.16059174,0.0008000166,     0.572,0.57200496
     1.076,      1.57,-1.6667694e-007,-0.069997471,0.16288776,0.00080001594,     0.576,0.57600467
      1.08,      1.57,-1.6672367e-007,-0.069997652,0.16519978,0.00080001527,      0.58,0.58000439
     1.084,      1.57,-1.6579824e-007,-0.069997822, 0.1675278,0.0008000146,     0.584,0.58400412
     1.088,      1.57,-1.6403755e-007,-0.069997982,0.16987181,0.00080001394,     0.588,0.58800387
     1.092,      1.57,-1.6156479e-007,-0.069998132,0.17223183,0.00080001329,     0.592,0.59200363
     1.096,      1.57,-1.5849063e-007,-0.069998272,0.17460784,0.00080001265,     0.596, 0.5960034
       1.1,      1.57,-1.5491423e-007,-0.069998404,0.17699985,0.00080001202,       0.6,0.60000318
     1.104,      1.57,-1.5092427e-007,-0.069998526,0.17940787,0.00080001141,     0.604,0.60400297
     1.108,      1.57,-1.4659981e-007,-0.069998641,0.18183188,0.00080001082,     0.608,0.60800277
     1.112,      1.57,-1.4201115e-007,-0.069998748,0.18427189,0.00080001024,     0.612,0.61200259
     1.116,      1.57,-1.3722061e-007,-0.069998848, 0.1867279,0.00080000968,     0.616,0.61600241
      1.12,      1.57,-1.3228327e-007,-0.069998941,0.18919991,0.00080000914,      0.62,0.62000224
     1.124,      1.57,-1.2724759e-007,-0.069999028,0.19168792,0.00080000862,     0.624,0.62400209
     1.128,      1.57,-1.2215604e-007,-0.069999108,0.19419193,0.00080000813,     0.628,0.62800194
     1.132,      1.57,-1.1704567e-007,-0.069999183,0.19671193,0.00080000765,     0.632, 0.6320018
     1.136,      1.57,-1.1194864e-007,-0.069999253,0.19924794,0.00080000719,     0.636,0.63600167
      1.14,      1.57,-1.0689267e-007,-0.069999317,0.20179995,0.00080000675,      0.64,0.64000155
     1.144,      1.57,-1.0190149e-007,-0.069999377,0.20436795,0.00080000633,     0.644,0.64400143
     1.148,      1.57,-9.6995258e-008,-0.069999432,0.20695196,0.00080000594,     0.648,0.64800133
     1.152,      1.57,-9.2190892e-008,-0.069999483,0.20955196,0.00080000556,     0.652,0.65200122
     1.156,      1.57,-8.7502125e-008,-0.06999953,0.21216797,0.0008000052,     0.656,0.65600113
      1.16,      1.57,-8.2940693e-008,-0.069999573,0.21479997,0.00080000486,      0.66,0.66000104
     1.164,      1.57,-7.8515949e-008,-0.069999613,0.21744798,0.00080000453,     0.664,0.66400096
     1.168,      1.57,-7.4235052e-008,-0.06999965,0.22011198,0.00080000423,     0.668,0.66800088
     1.172,      1.57,-7.0103314e-008,-0.069999684,0.22279198,0.00080000394,     0.672,0.67200081
     1.176,      1.57,-6.6124472e-008,-0.069999715,0.22548799,0.00080000367,     0.676,0.67600075
      1.18,      1.57,-6.2300885e-008,-0.069999744,0.22819999,0.00080000341,      0.68,0.68000068
     1.184,      1.57,-5.86337e-008,-0.06999977,0.23092799,0.00080000317,     0.684,0.68400063
     1.188,      1.57,-5.5123002e-008,-0.069999794,0.23367199,0.00080000294,     0.688,0.68800057
     1.192,      1.57,-5.1767957e-008,-0.069999816,  0.236432,0.00080000273,     0.692,0.69200052
     1.196,      1.57,-4.856694e-008,-0.069999836,  0.239208,0.00080000253,     0.696,0.69600048
       1.2,      1.57,-4.5517657e-008,-0.069999854,     0.242,0.00080000234,       0.7,0.70000044
     1.204,      1.57,-4.2617241e-008,-0.069999871,  0.244808,0.00080000216,     0.704, 0.7040004
     1.208,      1.57,-3.9862355e-008,-0.069999886,  0.247632,0.000800002,     0.708,0.70800036
     1.212,      1.57,-3.7249267e-008,-0.0699999,  0.250472,0.00080000184,     0.712,0.71200033
     1.216,      1.57,-3.4773932e-008,-0.069999912,0.25332801,0.0008000017,     0.716, 0.7160003
