time,y_0,y_1,y_2,x_0,x_1,x_2
0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.199983333222161,0.0,0.0,0.49999167,0.39997333,0.14999938
0.03,0.799733358222044,1.79972001,0.0,0.99993333,0.79978668,0.299995
0.04,1.7986503119775,1.79972001,0.0,1.499775,1.1992801,0.44998313
0.05,3.19573542986313,3.5977606,4.1977206,1.9994667,1.5982939,0.59996
0.06,4.98959121996555,3.5977606,4.1977206,2.4989585,1.9966683,0.74992188
0.07,7.17842337889323,5.3924444,4.1977206,2.9982003,2.3942441,0.89986501
0.08,9.76004288189152,5.3924444,4.1977206,3.4971424,2.7908623,1.0497856
0.09,12.7318656012043,7.1820988,8.3817788,3.9957347,3.1863641,1.19968
0.1,16.0909186081163,7.1820988,8.3817788,4.4939275,3.5805915,1.3495444
0.11,19.8338378683313,8.9650574,8.3817788,4.9916708,3.9733866,1.4993751
0.12,23.9568772421375,8.9650574,8.3817788,5.488915,4.3645925,1.6491683
0.13,28.455906086146,10.7396629,12.5385831,5.9856104,4.7540525,1.7989202
0.14,33.3264165241381,10.7396629,12.5385831,6.4817071,5.141611,1.9486272
0.15,38.5635279724941,12.5042687,12.5385831,6.9771557,5.527113,2.0982854
0.16,44.1619874034571,12.5042687,12.5385831,7.4719066,5.9104041,2.2478912
0.17,50.1161800067914,14.2572415,16.6546823,7.9659103,6.2913312,2.3974408
0.18,56.4201295808615,14.2572415,16.6546823,8.4591175,6.6697418,2.5469305
0.19,63.0675062232259,15.9969634,16.6546823,8.9514787,7.0454847,2.6963565
0.2,70.0516297261602,15.9969634,16.6546823,9.4429447,7.4184094,2.8457151
0.21,77.3654806975122,17.7218333,20.7168358,9.9334665,7.7883668,2.9950025
0.22,85.0017036732545,17.7218333,20.7168358,10.422995,8.1552091,3.1442151
0.23,92.9526075899533,19.4302703,20.7168358,10.911481,8.5187893,3.293349
0.24,101.2101879866,19.4302703,20.7168358,11.398876,8.8789621,3.4424007
0.25,109.766119758939,21.1207145,24.7120807,11.885131,9.2355835,3.5913662
0.26,118.611777121138,21.1207145,24.7120807,12.370198,9.5885108,3.740242
0.27,127.738224644078,22.7916308,24.7120807,12.854028,9.9376028,3.8890243
0.28,137.13623563584,22.7916308,24.7120807,13.336572,10.28272,4.0377093
0.29,146.796302260168,24.441506,28.6277994,13.817782,10.623724,4.1862934
